,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,God,unknown,support,"Everyone has a belief in something, even if it turns out that you don’t believe in anything. Then you BELIEVE in nothing, nothing is what you believe in, you cannot dispute that statement. Surely you can grasp that much? When you take a drink from a cup, you believe that there is a cup in your hand, only because you feel it there and you see it there, but those two sensations are the only forms of proof that you have that the cup exists and believe me that is just what they are, sensations. Your powers to believe beyond what is physical and visible are weak or none existent, so you don’t believe. Happy are those who believe yet have not seen.
Besides who started the universe and don't say it was the big bang because I'll say who started the big bang?
It makes more sense to say it was started by someone that has always existed, by someone that never started but always was.
Something can start from nothing??? I don't think so, but that is what you are saying when you say you don’t believe in God, and what sort of science is that you believe in? “The universe started from nothing”.
Now that is a silly concept!",0,1,topic_stance_votes_2
1,God,unknown,attack,"Let's see how you deal with me. 
Alright, all facts are actually beliefs. 
Why does it make more sense for something to originally exist? 
If the big bang needed a start, who started God?",1,2,topic_stance_votes_1
2,God,unknown,attack,"Gotcha Jimmyjacks. Welcome.
You've never smelled coffee? Never tasted it either...
That's my understanding. You prefer delusion.
Bang Big.
Can you rephrase that in English.
No comment.",1,3,topic_stance_votes_1
3,God,unknown,attack,"The universe cannot be responsible for its own creation.
Cheers....",3,4,topic_stance_votes_2
4,God,unknown,attack,WHy does anything have to responsbilty for the formation (not creation) of the universe.,4,5,topic_stance_votes_1
5,God,unknown,attack,"It is well known that the big bang started, scientist all agree, but I never said God started, he all ways was, there was no beginning. 
He has always existed.
He is the force that has always existed, the force that started the big bang. If I said such and such started God, then you would just ask who started such and such, God is the be all and end all.",2,6,topic_stance_votes_2
6,God,unknown,attack,"If you don't have a problem with God always existing, why do you have a problem with our universe always existing (even before the big bang, the universe still existed. It was just a immensly dense neutron star, which favored the big band, which in turn made the neutron star into something more similar to what we see today)?
If you think it's fair to ask, ""What's before the Big Bang?"" I think it's only fair I get to ask, ""What's before God?""",6,7,topic_stance_votes_1
7,God,unknown,attack,"Sure: It makes more sense to say it was started by someone that has always existed, by someone that never started but always was.
emoticonXGood",3,8,topic_stance_votes_2
8,God,unknown,attack,"if you claim God 'always' existed, why not have the conditions that gave rise to the formation of the universe always to have existed? Why have the added complication of assigning the attributes of these conditonis being an all knowing, all powerful entity?",6,9,topic_stance_votes_1
9,God,unknown,attack,"No, because God is a capable of exercising force, an ultra dense neutron star would need something to trigger it off into the universe. Whatever started this, has to have a conscience, since we have consciences, since a conscience cannot exist unless it has always existed some where.",7,10,topic_stance_votes_2
10,God,unknown,attack,"Jimmyjacks, then you have a contridiction. You attack the big bang as it has no origin yet you make a exception for God. You cannot do that without sacrificing the prinicipals of debate. 
That means your argument revolves around a double standard and such has no intention of proving anything. Your thread is merely a bashing one. 
Your attack is obviously based upon all things must have a origin. You hold what you attack to that standard, but you do not hold your own belief to it. Why would we bother with someone who isn't even going to consider evenly applying standards to both sides? 
What is more believable:
A being of uncomprehdable power existing forever without logical reason, or a single hydrogen atom popping into existance.
You are clearly out of your league.",6,11,topic_stance_votes_1
11,God,unknown,attack,Then your argument too is flawed by the same principals of debate.,11,12,topic_stance_votes_2
12,God,unknown,attack,"Because? The conventional big bang is just as unlikely as God. Therefore your claim is wrong. 
However the current believe mainly among physicists and astronomers is that there is no end and there is no beginning to the universe. Expansionary theories along with contractionary theories that are being observed have led many to believe that the current universe was born from the death of the last universe. There is no end and there is no beginning.
You are out of your league.",12,13,topic_stance_votes_1
13,God,unknown,attack,"Just as I said there is no beginning to God and there is no end.
He always was.",13,14,topic_stance_votes_2
14,God,unknown,attack,"Except you attack the big bang for lacking a origin. If you are going to apply the logic that the big bang is wrong because it has no origin, then you must apply it to God if you wish to appear as anything but a devious fool. 
I take it you concede your earlier claim about me is wrong?  
Furthermore, your argument is chidlish. Using such logic, and applying the true skeptic forumla, a belief in God is just as credible as a belief that you exist. You cannot prove neither. As such, claiming that God is real, or that it exists it foolish. Not to mention that you have directly violated the belief of God by limiting its power and therefore violating the notion of ominipotence.
You are way out of your league.",14,15,topic_stance_votes_1
15,God,unknown,attack,"I do believe in the big bang, I believe God started it; there is nothing wrong in that statement, so I concede nothing. Everything is based on belief, and I believe you are wrong.",15,16,topic_stance_votes_2
16,God,unknown,attack,"And I believe that you're a smelly hobbit who goes by the name of Frodo Baggins.  
That's not the point, but your inability to address counter arguments as well as support your own does prove my claim that you are out of your league.
If you wish to continue avoiding your own argument and counter arguments, you're going to have a rough time here TOMHARRYBILL. Btw, being banned several times is a sign that you're not welcome here. ",16,17,topic_stance_votes_1
17,God,unknown,attack,"Not so, it is quite simple: I believe in the big bang, I also believe God started it, I believe because he has a conscience that he has the power to start it. Whereas your argument is that a dense star started it, its self! That is less believable by anyone’s logic, and is just plain stupid. So you are the one having a rough time since I have just smashed your argument and perspective to pieces.
Fool of a took!",17,18,topic_stance_votes_2
18,God,unknown,attack,"So I hear that the opium crop from Afghanistan just bloomed.  It appears you must have some from the last harvest.
A dense star? Please, show me where I said this. In fact, I don't recall even stating a star, much less as it as the origin. Oddly Trebor points out that you claimed it, not I. 
How did you even remotely deal with my argument? As I see it, you fabricated the star part. 
You failed to address the origin standard
You failed to address the skeptic problem
You failed to address your false claim about my argument
You failed to address how you violated the principals of a Diety
Seriously, Tomharrybill, registered a new screen name when you've been banned  2+ times is just childish.",18,19,topic_stance_votes_1
19,God,unknown,attack,"That is claim on your part. Now, demonstrate it's validity.",10,20,topic_stance_votes_1
20,God,unknown,attack,"You prove those claims, would dearly love to see the proof of that.",19,21,topic_stance_votes_2
21,God,unknown,support,"Anyone who claims something can start from nothing is a fool, so to say that the universe started from nothing is foolish. But if something that has never started, yet has always existed, starts something, then that makes logical sense and has to be the accepted scenario. 
Anyone that says otherwise is saying the universe started from nothing, err no!",21,22,topic_stance_votes_2
22,God,unknown,attack,"Let's see, Trebor just quoted you saying the star, not I. 
Please, I see no evidence that you addressed any of those points. 
Again, you do apply standards to the big bang you do not apply to God. How is it that you can have such low standards for your arguments but have such high standards for the opposition? 
You remind me of a comic where Kerry was asked if light was a wave or a particle, and he gave answers that suited both according to physics and he was criticized for 'flip flopping' yet Bush can't even spell cat and he's excused.",21,23,topic_stance_votes_1
23,God,unknown,attack,Prove it!!!!!,19,24,topic_stance_votes_2
24,God,unknown,support,"Anyone who claims something can start from nothing is a fool, so to say that the universe started from nothing is foolish. But if something that has never started, yet has always existed, starts something, then that makes logical sense and has to be the accepted scenario.
Anyone that says otherwise is saying the universe started from nothing, err no!
You cannot handle that statement.",24,25,topic_stance_votes_2
25,God,unknown,attack,"1) You are from the same forum
2) You have the same beliefs
3) You post in the same fashion
4) Your posts are typed in the same style
5) Your word choice, particuarly on gays is virtually identical
6) You post at the same times that he did
Need I go on? 
You cannot deal with that fact you have different standards for different arguments and excuse the problems of yours away while attacking the problems of others.",24,26,topic_stance_votes_1
26,God,unknown,attack,Only you have claimed that something came from nothing. This universe had a beginning to be sure but that does not preclude previous or future universes.,25,27,topic_stance_votes_1
27,God,unknown,attack,"WHAT YOU CALL THAT PROOF? Hey, I bet your from the USA, and your legal justice system is outrageous, you people have a history of locking people up without proof, I see where your inability to judge comes from, must be a trait of all Americans.
Sorry but you are wrong!",26,28,topic_stance_votes_2
28,God,unknown,support,"Anyone who claims something can start from nothing is a fool, so to say that the universe started from nothing is foolish. But if something that has never started, yet has always existed, starts something, then that makes logical sense and has to be the accepted scenario.
Anyone that says otherwise is saying the universe started from nothing, err no!
You cannot handle that statement.",28,29,topic_stance_votes_2
29,God,unknown,attack,"this may be the first problem you need to address. the big bang theory is even more tentative than that of evolution. there are other less popular but equally valid scientific explanations for thw beginning of the universe. in fact, the big bang event as you know it may very well be explained away or replaced with a more suitable theory, so how do you deal with that? a theory isnt valid because god fits into it, its valid because the evidence fits into it
other than that, there are a number of problems with god that are outstanding and unresolved. since this thread is titled 'god', maybe they can be addressed here.
1. god has no definition
2. god has no examples of manifestation
3. god has no recognizable form or features that could identify him if he were to show up
4. god has no consistency (comparing what is in the bible with reality)
5. god has no means of communicating to people in an unambiguous way
6. god has no appeal or interest to all humans (there are nations of people that god has never occured to)
i can think of more, but lets see if anything can be done with these first",16,30,topic_stance_votes_1
30,God,unknown,attack,"Um, I don't know where you got this ""neutron star"" business for the BB. 
It was the universe, not one star.",7,31,topic_stance_votes_2
