,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Abortion right or worng?,abortion,support,"Personally i don't believe in abortion. It's morally wrong and i think it's good that it's illegal. In my area girls under the age of 16 who fall preganant must have their parents permission before they can abort their baby which i think is a good thing.
Nowadays too many teenagers are getting drunk and having unprotected sex which leads to pregnancy and because they can't be bothered to look after the baby that get abortions. It was their fault in the first place for having unprotected sex so i don't feel sorry for them and they should either keep the baby and deal with the fact that it's their responsibility now or give the baby up for adoption, if they feel they are old enough to have sex then they are old enough to loo after a baby.
Some people don't realise this but it is an actual living thing that you are killing when you have an abortion, how could anyone kill their own child, because they are selfish or just aren't ready for kids, well if you're not ready for kids than you should have used protection.
Now i can fully sympathise with rape victims who end up preganant, it's understandable if they don't want to have a baby by the man who raped them. But it's these silly women who get themselves pregnant then don't want the baby. 
To me abortion is murder.",0,1,topic_stance_votes_1
1,Abortion right or worng?,abortion,attack,Abortion is wrong because the women were irresponsible? Pregnancy will teach them a lesson?,1,2,topic_stance_votes_2
2,Abortion right or worng?,abortion,attack,"I generally really hate it when responders slice and dice others' quotes and address each little fragment. It can lead to taking a phrase out of context of a larger thought, or even nit-picking and really isn't good debate.
I am going to pick some nits here, however, because I think this person says a lot of things without thinking. I am sure she is well-meaning, and the fact that she is posting something means she is trying to communicate, but my take on this is a repeat of others' ideas that she hasn't really thought about. Now that is pretty frigging presumptuous of me, but here it is. 
You don't believe it exists?
What do you base this moral judgement upon? Really, really think about it.
We make things illegal because we think doing so will make a better society than if they were legal. This is unrelated to whether we judge them as moral or not. What are the consequences of making abortion illegal?
First, do you know that for sure?
Are there some circumstances where requiring parental permission could make matters worse?
DO you know this or have been told? If they are alcohol abusers and couldn't be bothered to look after babies, do you think they would make good mothers? What about fetal alcohol syndrome.
That is not a very compassionate stance.
Keeping the baby seems to be a bad option if they are, as you judge, irresponsible. Wouldn't abortion be another option?
I don't know of anyone who doesn't consider an embryo or fetus living.
A fetus is a distinctly different thing than a child.
Well they didn't. That's a nice proclamation, but it's a little late. Perhaps you would fight for better sex education?
Is it murder or isn't it? Is it morally wrong or not?
Women don't get themselves pregnant. Maybe it's you who needs the sex education. 
Explain. You need to define murder.",1,3,topic_stance_votes_2
3,Abortion right or worng?,abortion,attack,"I think often abortion is wrong but I do not agree with criminalizing it. Primarily the reasons that are used to justify criminilzation are hugely fallacious and secondarily because it won't do a thing that is positive. A woman who is determined to end her pregancy - will. Criminalization will simply make it extremely dangerous. I am responsible, have even had my tubes tied, but if I were to become pregnant and that pregnancy were the result of rape or a threat to my health or livlihood I would end it - and I will not be checking the law books first. Every woman has her line in the sand - abortion will go on regardless of its legal standing. There are a miriad of reasons seek abortion - comdemning those reasons does nothing (i.e. calling them selfish) - addressing them could help. The reasons are valid.
I am torn on this one. Should a parent be able to make a life altering choice like that for their daughter? At the very least they should not be allowed to stop her from selecting adoption. And I do believe measures need to be in place where a girl can go to a judge to get premission for one if she is in an abusive home. My sister in law worked at a domestic violence shelter - she had 13 year old in there, pregnant by her own father, with the mother's consent. A judge immediately emancipated her so she could get an abortion and she was then placed into foster care.
There are so many things to address in here. Let me start by saying that I am a 36 year old mom - so I know what I am talking about when it comes to parenting. Secondly I strongly advocate encouraging personal responsibility in people and in our teens. I think strong, in your face, reality check sex education is needed. They need to talk to teenage moms in the ghetto. They need to talk to people who are living and dieing with AIDS. They need to see just how much it costs to have a baby and then to raise it. We need to stop teaching girls that men are the end all be all meaning of life for them - (""when you get married...."", ""when are you gonna get married?"", or the two I hear ""why don't you remarry?"", ""why couldn't you keep your husband?"") - this MANATTHECENTEROFTHEUNIVERSE idea we push on girls will lead to sex. We have to get rid of the nagative stigma that comes with being a single female.
These things said.
Much of what you say in your last paragragh is so dead wrong.
1 - It is not just teens who seek abortion.
2 - Looking after a baby is a REALLY BIG DEAL. Its expensive. Its hard. It requires a LOT of responsibility. Most teens do not have it. It is absurd to assume that a pregnancy will suddenly mean you get touched by the responsibility magic wand. Teens are generally a bad choice for parents. I do think that if the girl is healthy enough to maintain a pregnancy, has access to adequate health care and the baby will be born into or given to an environement that can adequately support it, that she should be encouraged to have the baby. And that she can stay in school. My neice had a classmate expelled for getting pregnant (Catholic school). That enfuriated me. 
Under absolutely no circumstances should pregnancy be used as a punitive measure - as your stance seems to suggest. It is absolutely abhorrant - and what a legacy for the child ""hi I am here because my mother needed to be punished for having sex.""
Actually I think most people DO realize this.
Agreed - birth control should be used, readily and easily available to anyone who wants it no questions asked.
However, you are trivializing the lives and reasons women choose abortion. 
Not being ready for kids - what does that mean, why aren't they ready? And the reasons go beyond this - 
Money - pregnant women and babies do not live off of air - this reason ties to things like jobs/careers/education. It is not selfish to need to support oneself - and in many cases they may have others they are supporting as well.
Health - not just whether the pregnancy will kill the woman - but lots of health reasons. Will a pregnancy cause her damage? Is she undergoing treatments/medications for a life threatening disease? Is she a vulnerable adult? (Primarily the learning disable or severely mentally ill - i.e., it is not a good idea to take a severely dillusional schizophrenic off her meds if it means she will try to fly off bridges.). Is she a severe addict?
Home life - is she in an abusive situation? I had friend who got pregnant by a man who would have killed her if he found out. I had another a friend who was thrown out of her house at 16 for being pregnant.
This is just the tip of the iceburg. Pregnancy is a complicated and disruptive even when planned. Do not trivialize this - try to meet it in the middle and your will stand a better chance at reducing abortion than condemning people will.
Women do not get themselves pregnant.",1,4,topic_stance_votes_2
4,Abortion right or worng?,abortion,attack,"thelmoose, your post was a little nit picky for saying you don't like it when people doing it...I think you went a little overboard but you did make some good points for he/she to think about and I will address those.
This is not exactly true. We can make laws based on moral judgments...in fact, claiming something is ""better for society"" is a moral judgment. Even so, a standard for ""what is best for society"" involves looking at morals and determining how you want to better society. I guess many laws come down to moral claims at the very end.
This is a good point...it wasn't compassionate at all. Playing the blame game is not gonna help the situation.
While true I am not sure that this matters. A child is distinctly different from a teenager who is distinctly different from an adult.
I agree...you can't take the stance of saying compassion will sometimes override a life. If a couple breaks up and the girl is sad you don't say ""well.. I have so much compassion for the girl that this justifies me killing the guy"". It is inconsistent and takes the focus off preserving a life and makes the focus a punishment (or something) against a woman.",3,5,topic_stance_votes_1
5,Abortion right or worng?,abortion,support,"Firstly, i don't know why you're all trying to read in between the lines. I am in my late teens. I am not trying to be compasionate and although i'm not perfect, i can easily decide whether i get pregnant or not. The reason why i say this is because a lot of my friends have got themselves pregnant, yes they GOT themselves pregnant because although it takes two to tango it doesn't take too much effort to go to the chemist. Protection is made so easy these days for young ones, it's practically handed out on a plate and it's very private (parents need not know). But they are so nieve and lazy that they don't bother, they'd rather bury their head in the sand. Honestly, i live next to a city which has the highest teen pregancys in Britain and do you want to know the reason for high sexual activity? Boredom! Yes they're that bored they just go out get drunk and have sex. In Scotland we do get sex education (we even have electricity!), which is very good and it put me off but it still doesn't stop a lot of others who viewed the videos as old fashioned and silly.
As regards my knowledge of childcare i am currently studying it at college and have looked after many children since i was the age of 11. My mother has manic depression and therfore it was me who practically raised my little brother who has ADD and learning difficulties and he was born when i was 11. Not only my Mum heavily relies on me but so do many of my Mothers single parent friends. So please don't undermine me.
Also, i know that teens aren't the only ones that are irrisponsible (unwanted pregnancy) but the only excuse for unwanted pregnancy in my books is if the couple decided not to use drugs as protection and the condom splits/slips. Or, if they get pregnant on the pill which is very rare.
The only thing i do have compassion for are pregnant rape victims. As i simply stated in my other post i still don't condone abortion, i simply understand them wanting to have an abortion.
Ps, No offense to anyone, this isn't directed at anyone but being a mother doesnt automaticaly make you a good mother. I know mothers who let their kids off with murder and i also know mothers who beat their child as discipline but neither of these are the right approach. I know that is easier said than done but i'm just trying to prove a point.",5,6,topic_stance_votes_1
6,Abortion right or worng?,abortion,attack,"Who would you say is likely to be the better mother, the one that wanted the child or the one that didn't?",6,7,topic_stance_votes_2
7,Abortion right or worng?,abortion,attack,So... abortion shouldn't be allowed because these women were irresponsible?,6,8,topic_stance_votes_2
8,Abortion right or worng?,abortion,attack,Well both could be a good mother because i know a mother who was very certain she didn't want her baby and went for an abortion but was too late on in her pregnancy to have one and then she was going to give himup fpr adoption but as soon as he was born she loved him and couldn't bear to give him up and know she's a great Mum. Being a good mother mainly depends on what you are like with you're child after birth.,7,9,topic_stance_votes_1
9,Abortion right or worng?,abortion,attack,"These women were irresponsible enough to have unprotected sex, they should realise that and know that the baby is their responsibility.",8,10,topic_stance_votes_1
