,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Can abortion change God's plan's for mankind?,abortion,support,"First of all let me say I am a devoted follwer of God and Jesus Christ our Lord and savior.
As with all issues involving life and death I saught God's council in prayer .
The answer I believe I recieved is that if man can create it , it is not from God.
What does the above statement have to do with abortions you ask?
Well I had never considered the 400K frozen embryos that are tossed away as bio hazard yearly from fertility clinics in the US alone.
Compound those 400 K embryos by the frozen embryos tossed away around the world yearly, and the number would certainly be in the millions of embryo's that are tossed away as bio hazard garbage every year around the world.
I found a world wide statistics forum on the web that has a constant ticker for abortion's in the world. They claim 100,000 plus million abortions happen yearly.
Okay we have millions of frozen embryo's just tossed from fertility clinics and we have a 100,000 million abortions around the world yearly.
Now compound those numbers by the children most of those embryo's or fetus's would have had of thier own had they been given the chance to be born.
Wow , now the number is literally in the billions upon billions , of people who never will be born due to being tossed away as a frozen embryo from a fertility clinic or as the result of abortions.
So I went to God in prayer and said how can this be so? You my God have decreed that man will walk upon this earth a determined number of years. The bible tells us you know how many breaths each of us will take. The bible tells me you have the hairs on my head numbered that you know when a sparrow falls from the sky. How oh God can billions upon billions of people you decreed should live be denied that through abortions and fertility clinics?
The answer came back as I posted above.
 If man can create it , it is not from God?
Ah I get it. Mankind has proven they can create flesh . We can create embryo's we can clone flesh of man and beast. But mankind cannot create the soul of man or beast only God can.
God is concerned with the souls of man , never the flesh as the flesh is only a temporary temple of the spirit ( soul ) of mankind.
You see people mis interpret the scripture so many anti abortion folks like to quote. 
I knew you before you were formed in your mother womb.
Of coarse God knew us before we were formed he knew he would create our souls each , as individual 's; each with our own free will and mind to think and learn with during our times on this earth.
He also knew the genetics we would come from, so he knew what we would be in body and soul. Lines of man have signifigance to our God.
Ah hah thank God I now know. It was not the abortions I worried about after all wern't they really the lucky souls? Given the teachings prevelant in the church's of men today? Those aborted souls never had to live upon this earth, They never had to know pain or sin. They got a free pass so to speak.
No judgement from God for thier sins as they died before they were born.
I had intended given the oppurtunity to ask God when I stood before him in judgement why I couldn't have been one of the aborted one's? 
No fair I planned to state, you are holding my sins against me, yet millions upon millions never had to be born and counted as sinners because they were aborted. Were they special ? Why did I have to live on earth? Why did they get to stay with you God?
 But God is always fair . so that was a silly arguement and I am thankful he cleared that up for me, least I had been in error questioning his fairness .
My real worry had always been since fertility clinics became the norm.
God how can this be? Across the world today millions of frozen embryos exsist. frozen Are those souls frozen too? Are they in limbo waiting and hoping to be born and released from that frozen state. Are they aware of anything in that frozen state?
The same answer came to my prayers.
 If man can create it , it is not from God.
Ah hah , man created those lumps of flesh, man cannot create a soul.
So the embryo's have no soul's . Nor do fetus's in utero.
 God gives the soul at the moment of birth , just as he takes it from the body at the moment of death.
Besides God has a plan for man, God has decreed from the beginning of the world who would be counted among the number of man. Who would be born to walk upon this earth and have the chance to learn to love and worship the one true God.
Nothing man can do , is able to change what God has planned.
 I repeat nothing that man can do will change God's plan for the world.
And God is fair always, so to be counted among the number of mankind , the flesh must be born , recieve a soul from God and die.
God is just that powerful and well able to send all he has decreed shall live in the world to walk among man.
So have faith, in a all powerful God. He does not allow the souls of mankind to be destroyed . He does give us the free will to destroy our own souls once we are born. But God will not allow man to take the right of free will he has given to each of us away before we are born.
 He send 's the soul to inhabit the flesh at the moment of birth, just as he call's the soul back from the flesh at the moment of death.
Praise God for his ways.
Paula",0,1,topic_stance_votes_2
1,Can abortion change God's plan's for mankind?,abortion,attack,"That's a nifty bit of sophistry, Paula. Hey, next time you're talking with the big guy could you ask him why he takes innocent infants who haven't had any time to sin or learn not to sin. Gives them a perfectly good soul and then takes it back for reasons beyond me. Thanks.",1,2,topic_stance_votes_1
2,Can abortion change God's plan's for mankind?,abortion,attack,"sinjin
what does the word sophistry mean? Its not in my websters dictonary.
Certianly mine is at least 40 years old , so is that a new word?
In answer to your question sin jin.
God just as he answered me simply above , does not always explain in detail his ways to mankind.
But my study and prayer tells me that babies born who live only a short while , may have been saved from worse fates that awaited them had they lived longer.
They may indeed be the lucky ones who were so loved by God he craved to have them walk the earth only a short while to be counted among men, he knew thier souls were not in need of years of learning many of us must do on earth to evolve into who we become .
They were simple , beautiful souls who did not reguire the rigors of the world to perfect them.
hope that helps.",2,3,topic_stance_votes_2
3,Can abortion change God's plan's for mankind?,abortion,attack,"As opposed to being denied the joys that most of us experience in life. Convenient. 
http://dictionary.reference.com/browse/sophistry",3,4,topic_stance_votes_1
4,Can abortion change God's plan's for mankind?,abortion,attack,"It is impossible for mankind to alter God's plan. That would make man more powerful than God. Everything that happens is part of God's plan, which is why it is so difficult for me to believe in God. Why would God create man, give them free will, then punish those who actually exercise their free will and choose not to believe in God?",4,5,topic_stance_votes_2
5,Can abortion change God's plan's for mankind?,abortion,attack,Maybe He doesn't punish them.,5,6,topic_stance_votes_1
6,Can abortion change God's plan's for mankind?,abortion,attack,"I'm just going by what Christians have told me. Apparently, people who don't believe in God go to Hell.",6,7,topic_stance_votes_2
7,Can abortion change God's plan's for mankind?,abortion,attack,"They've got it backwards. Don't tell them but they have the ""old plan"".emoticonXGood",7,8,topic_stance_votes_1
8,Can abortion change God's plan's for mankind?,abortion,support,"This is all well and good but if God told you that "" If man can create it , it is not from God."" then lets go with that. The Bible says numerous times that God ""forms"" you in the womb. 
Or if you want to look at human life as a continuum then just see that God created Adam and there you go.
Perhaps He was telling you that man created abortion ;)",8,9,topic_stance_votes_1
9,Can abortion change God's plan's for mankind?,abortion,support,God spoke to her not you. Not nice to second guess God. Or are you suggesting?????????,9,10,topic_stance_votes_1
