,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Do abortion proponents favor choice?,abortion,support,"Often abortion supporters convey their message as one of championing the cause of freedom of choice and resistance of the oppression of others values on women. Perhaps this should be posted as a poll but I wonder if this support for ""choice"" remains consistent.
Do those who support the choice of abortion also support the choice to bear children? Do they abhor the imposition of the one child rule on the women of China for example? The woman's choice is restricted and the ideals of the government are imposed upon her. Do those here who support the freedom of choice of abortion denounce China's policies and support the freedom of choice of bearing children?
There are also some areas in India where a person running for an elected office cannot have more than two children (there are obvious implications of this policy on what the makeup of the ruling government will be and how it will institute policy). Do those supporting the choice of abortion denounce this policy as a restriction of choice?
Or do environmental and population concerns outweigh and assume more importance than the freedom of choice in the above examples?",0,1,topic_stance_votes_1
1,Do abortion proponents favor choice?,abortion,attack,"I cannot speak for all pro-choice people, but as for myself, I can say I gladly support a woman's right to her decisions regarding her own offspring and reproductive health. I would not presume to know enough about her situation to add an opinion to that choice, but I will protect her ability to make it to the best of my ability. I am overjoyed when someone I love has a child, and enjoy that child as much as possible when I have a chance. I have a few relatives who have been blessed through means of adoption, and the same goes for them. I also know women who have chosen abortion, and my heart goes out to them.
I think a woman should be free to become a mother if she wants to, but I also think that that decision should be weighed against practical standards. I think its grossly irresponsible for a woman who already has seven children, and is living strictly by the financial aid the government provides, to have another child. (saw this situation firsthand) I also think that if you can't afford to keep your own stomach full, that maybe adding another mouth to the bargain isn't wise. But if you make a ton of money, and your private affairs are in order, I'm not so sure you should feel entitled to having children. I don't think anyone should tell you not to, but I don't think you're naturally entitled to offspring.
In china they have dramatic overpopulation, same goes for India. They have such a problem that it is unfathomable for the typical american to comprehend.
US- pop. 280,562,489 pop. density 79.6 per sq. mile
China - pop. 1,286,975,468- pop density- 347 per sq. mile
India- pop. 1,049,700,118 pop density- 827! per sq. mile.
okay, so (if we were evenly spaced) that gives each American 352 feet in which to breathe. In China, that number is reduced to a mere 80 feet, and in India, one person gets a whole 33 feet all to himself. 
When you think about it that way, would you really want to share your thirty feet with a baby? Even if you did, would it be right to infringe on your neighbor's thirty feet?
I do not like the idea of the government having too much say in these personal issues... that being said, I don't think it is such a hard thing to ask someone to limit themselves to two children. Certainly in the two most populated countries in the world, they re not in danger of dying out. Sure, some woman might decide its her right to have ten kids, but I think that just might be morally wrong, when we're talking about how many inches to each kid.
I think that environmental and political concerns should certainly take part in these decisions, though I will not go so far as to assign their importance. Yes, there should be freedom of choice, but should your choices infringe on another's? If we're talking in thirty feetses, sure as heck, i want you to stay out of mine! 
But there are always other circumstances. Should a wealthy landowner deeded with several acres be entitled to have as many kids as his land will support? maybe. Should a wealthy woman with tons of money be able to have as many kids as her pocket will allow? maybe
But on the other hand, should a poor woman without two red cents to rub together be required to abort her very loved and wanted child? probably not.",1,2,topic_stance_votes_2
2,Do abortion proponents favor choice?,abortion,attack,"Superbuddha,
I'm not sure that reproductive health is a good term to use too closely in relation to abortion. There are actually negative physical and emotional/psychological consequences that accompany abortion.
I agree that we should try to be good stewards of the resources around us.
I will not turn this into another debate that often comes up with this issue. But for the sake of clarification can you tell me if you believe it possible that the rights of the being's inside the mother are being infringed upon? That is, when do you deem it worthy of protection? (I won't debate this, I'm just curious as to your view).",2,3,topic_stance_votes_1
3,Do abortion proponents favor choice?,abortion,attack,"Um- there are negative physical/psychological results to carrying pregancies to full term, too. Actually, carrying a child to term is more dangerous than having an abortion. But the point is, that by protecting a woman's right to have an abortion, we are protecting her reproductive health by providing safe, sanitary, procedures. By keeping abortion legal, we are also helping to protect her psychological health, by providing better access to counseling etc.
Actually, I am of the opinion that the fetus has no natural rights of its own. Any rights we grant to a person as a citizen or national are granted at the moment of birth. By granting equal rights to a 3week old fetus that you do to a 20 year old man, you are endangering the rights of the woman who carries that child. Yes, I believe that in most circumstances, the child should be carried to term, but there are exceptions to every rule, and I'm not quite ready to forsake the lives and health of women to protect unborn children. Yes, I think the unborn child is worthy of protection, but not any more so than the mother, in fact probably less.",3,4,topic_stance_votes_2
4,Do abortion proponents favor choice?,abortion,attack,"What would be some of those negative results?
Yes, the danger one might encounter to save another's life may be more than the danger encountered to take another's life. 
Why would she need psychological counseling? Do abortion clinics provide this?
Do you believe in inalienable rights? Do you believe in the inalienable right to life?
Or by not granting them to the child you are endangering the rights of the child carried by the woman. You are giving her a dictatorship.
You think ""the unborn child is worthy of protection""...""but not more so than the mother, probably less""...yet you believe ""in most circumstances the child should be carried to term?""",4,5,topic_stance_votes_1
5,Do abortion proponents favor choice?,abortion,attack,"You may not have intended to, but you've given your carte blanche support for a woman to do what ever with her she wishes, with regards to her family - and you'd stick out of it, regardless.
Also, interestingly, there's no man in this 'idealy free' family of yours.
After reading some of the posts on the gun control forum, I think that the USA population is a lot more dense. :)",2,6,topic_stance_votes_1
6,Do abortion proponents favor choice?,abortion,attack,"negative results of pregnancy? Let's see, how about pre-eclampsia, placenta previa, and uncontrollable hemorraging? these are just some of the life-theatening conditions that can and do result from pregnancy. There are also the less dangerous side effects of pregnancy, such as vitamin deficiency, and then of course mental disorders that may result.
In some cases, an abortion is performed in order to save the mother's life. or is her life of no consequence other than as a vessel for a child?
I think we are all aware that abortion is a terrible thing. No-one is denying that. And contrary to what some people might think, there is nothing anyone could say to make (most) women undergoing an abortion feel any worse about it. Just like any traumatic situation, sometimes you might just need to talk to someone about it, make sure your head is in the right place. 
And yes, some abortion clinics do provide counseling, but as far as i know, all of them provide referrals to other organizations that do. Contrary to what some people might think, the employees at these clinics, for the most part, are caring, compassionate people.
That's a tough question. Yes, I think that in a perfect world this would be true, but as we all know, our world is not perfect. I would prefer that a woman never be faced with a circumstance in which abortion would seem an option than have her not have the option. 
I think I would say that rather than just a simple right to life, that beings have a right to a certain quality of life, that life itself is not enough. As I have said, abortion is never a good thing, but in some cases it might prevent what would be a life of suffering. These are terrible choices to make, but I do not find myself presumptious enough to assume that a child would rather be horribly deformed and retarded than not be at all. Unfortunately, we can't look into the future and ask the kid himself, we have to trust the people involed to make the right decision. 
And what exactly am i granting to the suit-wearing politicians in washington by giving them the right to revoke her ability to make these decisions for herself? I don't think dictatorship is the right word, since she is not asking for the power over anyone but herself, and her child. Would you call a man dying of inoperable cancer who decides to end his chemotherapy a dictator? Or a parent who decides to remove their child from life-support?
Would you rather it be a democracy? That everytime a woman is faed with this predicament, we put it to a vote? How about an oligarchy- where her situation is put in front of some committee who decides her fate?
Yes to both. You see, I am aware that life is complicated and difficult. I am aware that each situation we encounter has it's own aggregates, its own properties. I am not willing to make a drastic- cut in stone- decision regarding something that is so complex.",5,7,topic_stance_votes_2
7,Do abortion proponents favor choice?,abortion,attack,"Yes, I would stay out of it, unless I knew the woman, and she spoke up and asked me for an opinion, or advice. And even in the case of the woman being my best friend, and knowing all the different aspects to the situation, I still would not feel comfortable weighing in. Just like if it was me in the situation, I know that ultimately, it would be my decision, and I would have a right to that decision.
I have no idea where you got this. I have said before, that this decision should be left to the mother, the father (if he is even around) and her doctors. perhaps she would like to talk to a spiritual advisor, or her friends/family. Let me rephrase, the only people who should have a say, aer those the woman wants to include in her decision. Yes, the father should have a say, but he should not be able to force her into carrying the child. Hopefully, the two respect,love and support each other enough to reach the decision together.
And, for the record, I don't think there is some perfect recipe for a family. Children can be well raised by only their mother, or only their father. (for the record, I know a lot more single fathers than single mothers) Or even another family member. I don't think there is any such thng as the ideal family, except for the ideals each individual might have for themself.
Well, I guess you're entitled to your opinions. On the gun-control board, I imagine you might encounter a lot of rednecks- not the best specimen of our poplulation.",6,8,topic_stance_votes_2
8,Do abortion proponents favor choice?,abortion,attack,"Superbuddha,
That may be true, but those cases are extremely rare and do not warrant the blanket crusade for ""choice"" and ""reproductive freedom."" In regard to the mother simply being a vessel for a ""child,"" I do not believe that in any way. I do not subtract value from the mother as the pro-choice group does from the ""child."" It is respect for women that drives the pro-life cause, not disrespect. I do believe that a mother in the fullest sense of the word should do everything in her power to protect her child--even risking her life. That is what a mother is. That is what a mother does.
Do you think during this counseling that the abortion clinics give full disclosure to the woman of the developmental progress of the baby she is carrying? Do you think they offer her pictures of a baby her age so that she can make a fully enlightened decision? Did you hear about all of the controversy brought about by people attempting to get abortion clinics to show mothers an ultrasound prior to making a final decision on abortion?
Who will be the judge of quality of life and suffering? Who will tell you when you retire and you are no longer ""productive"" that your quality of life is nothing and your life is forfeit to make way for others? Who will determine that Christopher Reeves cannot live in his broken body because of a poor quality of life?
You are not presumptious enough to assume a child would rather be horribly deformed and retarded than not be at all. But you are willing to grant women the power to be presumptious enough to assume that a child would rather not be at all then be horribly deformed and retarded. Trusting the people involved may not be so wise. After all, it is a decision made in the midst of trauma, confusion, fear, etc. 
You are not giving them any rights. You are allowing them to do their job and legislate against inhumane and immoral actions as they do in any other arena. They would be revoking an ability to make a decision as they do in any other action that is deemed detrimental to people and society. Actually, you are allowing them to correct the wrong interpretations of the law and the overstepping of the judicial branch that Roe v. Wade created in the first place. (Although I believe the legislature has the power to do this, I believe that it would be more proper and practical for a change in abortion to occur at the grassroots level. That change will not occur by promoting ""choice"" and ""reproductive freedom"").
""choice"" = tyranny
the two examples you give do not fall into that category
Yes, complicated and difficult. But I am willing to make a drastic-cut in stone-statement, if it will save a child.",7,9,topic_stance_votes_1
9,Do abortion proponents favor choice?,abortion,attack,"That kind of information isn't necessary for informed consent, but if a woman inquires she will be given any and all information available on prenatal development.
Yes. Rightly so, because that's a sick absurd idea.",9,10,topic_stance_votes_2
