,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Horton Hears a Who,abortion,support,"""A person's a person no matter how small""
Horton Hears a Who is a great movie and has a great pro-life message. Everyone should go see it and take their kids.",0,1,topic_stance_votes_1
1,Horton Hears a Who,abortion,attack,"chloe,
A consistant pro-choice view is that a woman would be justified in killing a newborn baby, or ""allowing it to starve"" (to be politically incorrect) if she did not want to offer her bodily resources as nutrition and if there were no other options. 
If the other choice is that she be a slave to her child, I would say that she should go for it.
Now, how many children have YOU personally adopted, or are you one of those ivory tower profetalife theoreticians?",1,2,topic_stance_votes_2
2,Horton Hears a Who,abortion,attack,"""Go for it?""
You are just like the kangaroo 
Who in the movie even when she knew
That she heard a yop come from the speck and knew therefore that life was there
But she stiffened her neck and did not care
And she huffed and she puffed and she began to boil
Demanding that Whoville be thrown into the vat of burning boiling Beezlenut oil.",2,3,topic_stance_votes_1
3,Horton Hears a Who,abortion,attack,"One who thinks abortion qualifies
As bona fide atrocious genocide
Really should feel no bit of surprise
When their dumbass opinion I deride
It takes a special ignorance, you see
To spew such illogical exhaust
And argue that terminating pregnancy
Is on par with Hitler's Holocaust.
... Sure, it's not child-assimilation friendly, but some people here need to grow up.",3,4,topic_stance_votes_2
4,Horton Hears a Who,abortion,support,"This post is like Dejavu for me chloe. Yesterday my Pastor said the same exact thing in church, and for the same reason.",1,5,topic_stance_votes_1
5,Horton Hears a Who,abortion,attack,"Archie,
This post is like Dejavu for me chloe. Yesterday my Pastor said the same exact thing in church, and for the same reason.
And so he should, if so he believes.
I would like to ask your pastor how many children (s)he has adopted. Only then is (s)he qualified to speak, however.
Just don't any of you try to shove that perverted view of ""life"" on any of the women in my family, thank you.emoticonXAngry 
They are perfectly capable of deciding the future of their pregnancies for themselves without any of you butting in where you don't belong.",5,6,topic_stance_votes_2
6,Horton Hears a Who,abortion,support,"What does adoption have to do with being pro choice or life? I thought that the waiting list was years and years long to get a baby. (Not trying to argue, just don't understand)",6,7,topic_stance_votes_2
7,Horton Hears a Who,abortion,attack,"Am I in my right
If I choose to fight
A parasite unwanted to me?
And in what way
Will it be done away
Or should I just let it be?
This thing that can't speak
Can't feel and can't think
Is filling my life with woe.
And if it is born
It will likely be scorned
And my dreams will have nowhere to go.
And if you dare
To try and compare
A fetus with a poor little Who.
Take a moment and think
Of the toxins you drink
Along with the cow that you chew. emoticonXAgree 
We all have control over what we do to our own body and what creatures we kill when we go to McDonald's, so women should have control over what they do at the clinic.
If the government wants to force someone to have a child, I say that it should be forced to pay for every single penny that the child costs to take care of. Still think pro-life is a conservative ideal?",3,8,topic_stance_votes_2
8,Horton Hears a Who,abortion,support,Does that mean that if someone choses to have a baby that they should be responsible to pay for every penny that it costs to take care of it?,8,9,topic_stance_votes_2
9,Horton Hears a Who,abortion,attack,"Interesting, this is the same type of angry rants that Capo used to post on the abortion debates before he was banned. How interesting that you should get so angry and worked up over such an innocent exchange between me and chloe.
",6,10,topic_stance_votes_1
