,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,How Abortion Should Be Dealt With?,abortion,support,What do you see as the major flaw of the view opposite of your in regards to how abortion should be dealt with?,0,1,topic_stance_votes_2
1,How Abortion Should Be Dealt With?,abortion,support,Abortion is a private matter. It is not the concern of the Church and State.,1,2,topic_stance_votes_2
2,How Abortion Should Be Dealt With?,abortion,support,"If I understand your question correctly, you are asking pro-choice people to state what they think is the major flaw in the pro-life arguement and vice-versa. 
I think that the major flaw in the pro-life arguement is that they use slogans which may sound appealing but, on closer inspection, do not have much substance. 
For example, saying that ""life is precious"" may sound right but one has to analyze what one means by ""life"", which they mostly do not bother to do. When people hear ""life is precious"", people can relate because they see their own lives and those of their friends and loved ones as precious. However, the pro-life people extend that all the way back to the earliest fetus/embryo. I have seen posts of imaginary letters from that early fetus meant to elicit sympathy. This is anthropomorphising (attaching a personality where there is none) on a grand scale. They are imagining a baby with an innocent, helpless personality where there is in reality simply a growing body which will someday (around the third trimester) possess a mind, but not yet. They may have an arguement that the *potential* of that fetus is important (since, after all, we all started as fetuses) but the potentiality arguement is much less emotionally appealing and wins fewer converts than the arguement which appeals to people's imaginations in imagining a helpless, innocent, suffering baby. When it comes to the early fetus, that last arguement is an illusion - imagination is not reality. Reality is what is important.
A second, more minor, point against the pro-life arguement is that they often cannot help but mix in their views on sexual morality into their case against abortion. Many would give exceptions in the case of rape and incest because they feel sympathy toward those women. They have no sympathy toward women who chose to have sex.",1,3,topic_stance_votes_2
3,How Abortion Should Be Dealt With?,abortion,support,"To me the largest flaw in the pro-life argument is that the practice of medicine has it's own ethical controls, and doctors are the ones who should be deciding whether or not an abortion should be done, not politicians or judges who have little to no knowledge of medical issues. We don't need laws to tell doctors who should be able to have abortions and when anymore than we need laws to prevent doctors from performing elective limb amputation on healthy patients, or to prevent them from performing gender reassignment surgeries on people for any darn reason they want one.",3,4,topic_stance_votes_2
4,How Abortion Should Be Dealt With?,abortion,support,"You have a good point about this but returning to the
line of argument-- suppose it is the case that you lack confidence
in your belief. I fail to see why that should hold you back, if the
other person is not more certain. And I don't think it is the case
that people who seek abortions after viability, or the physicians who
do them, are more confident that what they are doing is right, than
you are that they are wrong. Or perhaps it isn't a matter of
confidence at all, but you simply regard your view about when a human
being with human rights comes into existence as somehow something
""purely subjective"".",2,5,topic_stance_votes_2
5,How Abortion Should Be Dealt With?,abortion,support,"I think the major flaw in the pro-life position is their classification of abortion.
It is not about taking a life.
It is about abandonment.",5,6,topic_stance_votes_2
6,How Abortion Should Be Dealt With?,abortion,support,"You make a good point, but I’m going to watch this program on Thursday on FX Channel. I found a video clip of the abortion episode on YouTube. 
Check it out http://www.youtube.com/watch?v=4ScUKhmD7c8
(http://www.fxnetworks.com/30days/)",6,7,topic_stance_votes_2
7,How Abortion Should Be Dealt With?,abortion,support,Abandonement? That's a new one by me. How so? I'm intrigued.,6,8,topic_stance_votes_2
8,How Abortion Should Be Dealt With?,abortion,support,"The mother is providing a service for the child. She is a care giver, and that child needs that care to survive.
I believe quite firmly that no one should be required to provide care against their will. If they choose to provide that care, and then choose to stop providing that care, they should take all reasonable steps to ensure someone else assumes the role of care giver.
For example, if a carer at a mental home has a personal emergency and has to leave, then he should attempt to call in any on-call staff, try and get the next rostered person to come in early, or so on. After he's taken all reasonable steps, he is free of an obligation to stay.
Or if a mother can no longer handle caring for her children, she should attempt to get a friend or babysitter to care for them, or give them up to the state.
Or if a pregnant woman no longer wishes to carry her baby. Unfortunately, in that instance, it is unlikely that anyone will be in a position to assume the role of caregiver.
However, regardless of the eventual fate of the person recieving care, no person should be required, no person should be forced to provide care against their will. They should be able to abandon that person, provided they take all reasonable steps to ensure someone else assumes the role of care giver.
Needless to say, I don't consider a pregnancy to be a 'reasonable step'.",8,9,topic_stance_votes_2
9,How Abortion Should Be Dealt With?,abortion,support,Ah! That makes alot of sense. Thanks for explaining.,9,10,topic_stance_votes_2
