,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Please end the confusion,abortion,support,"Is that which is ""not considered viable"" legally covered by abortion laws? A fetus progressed, say, one or two years of age, left to its' own, is hardly viable? - 
Toddler Homicide?( already legal)
We no longer have to change poopy pampers
Fetal homicide, neither worse or better than Canniablism...
One kills them/ One gobbles them up, or perhaps they are one in the same.",0,1,topic_stance_votes_1
1,Please end the confusion,abortion,attack,"What is your point? Perhaps it is just me, but I am having a difficult time understanding your questions/statements. Can you please clarify?
Thanks!
The Bootfitter",1,2,topic_stance_votes_2
2,Please end the confusion,abortion,attack,"I'm really confused, I seen a show that kept speaking on viablity? I'm assuming they mean the babes capability of survival outside the Mother? 
Answer me this, at what point, stage in development, determines the right/wrong time to get grinded/hacked up?( whatever the method)",2,3,topic_stance_votes_1
3,Please end the confusion,abortion,attack,"And so am I...
Dear rapture -- With all due respect, I would encourage you to formulate a clear thought and communicate it in a way that an average joe like me will be able to understand. As your two posts are written, I have no clue what you are attempting to communicate. I do have some interest in the topic of viability though, so if you could perhaps explain what you are saying, I would be interested in discussing the topic with you.
Thanks!
The Bootfitter",3,4,topic_stance_votes_2
4,Please end the confusion,abortion,attack,"I'm a product of public education. 
What is it? Exactly",4,5,topic_stance_votes_1
5,Please end the confusion,abortion,attack,"[QUOTE=rapture]Is that which is ""not considered viable"" legally covered by abortion laws? A fetus progressed, say, one or two years of age, left to its' own, is hardly viable? -[QUOTE=rapture]
Viability in pregnancy is basically the gestational age when a fetus can survive outside the womb, as in cases of impending premature births, and it is determined by a doctor, usually with a diagnostic ultrasound. I don't think that it applies to babies who have already been born, especially at one or two years old, because it is something that is determined during the pregnancy itself; a pregnancy can not be considered viable or non-viable if the pregnancy has ended, and there would be no way at conception to determine viability or non-viabilty.
When a pregnancy has been found to be non-viable, it means that there is no chance for the fetus to survive, outside the womb and/or in some cases, inside the womb as well. If a pregnancy has been determined to be non-viable, most of the time, termination of the pregnancy is recommended by the doctor (depending on the doctor/s and the reasons why it was found to be non-viable). If the development of the pregnancy is in the 1st trimester (first 12 weeks) it is generally recommended, but it also depends on why the pregnancy is non-viable, and from what I have learned anything later (2nd or even 3rd trimester) again depends on the doctor/s and/or the complications that made it non-viable in the first place. It is still a matter of choice, because the doctor can only recommend what they think should be done. Trust me, that word (this whole issue basically) has been pretty much shoved down my throat by my doctors for the past month, and I know a large percentage of doctors do recommend terminating the pregnancy if it is non-viable, but again, it is ultimately up to the woman in question . Also, it is legally covered in abortion laws; if it weren't, doctors wouldn't recommend it to their patients. 
I hope this clears it up for you..(?) Your question was a little confusing, and honestly I don't see how anyone could respond to your poll; it doesn't apply and we can't ourselves determine viability- that is something that medical professionals have to determine, and the 'true' definition of fetal viability is also better defined by the medical professional. 
[QUOTE=rapture]Toddler Homicide?( already legal)[QUOTE=rapture]
What? Did I miss something? What is 'toddler homicide' and how is it already legal?",1,6,topic_stance_votes_2
6,Please end the confusion,abortion,attack,"It helped.. I wasn't sure if the concept of viablity extended outside the womb.....
[QUOTE=rapture]Toddler Homicide?( already legal)
Fetal Homocide? Toddler Homicide? A human in different stages of development.....Why/or What is the difference?And if someone wanted this legal( Toddler Homicide) ...I don't see much anybody could do legally to stop it..
When women kill their tots they are locked up/ and branded with a criminal record vs  the female who callously kills durning the fetal stage.(Double standard?) 
I have a couple friends, who have aborted more than once, because they didn't want to lose their girly figure(trivial). I find it eerie and disturbion.....
I hardly meet women who want their babies...sorry about your situation.",6,7,topic_stance_votes_1
7,Please end the confusion,abortion,attack,"At least one difference is that what you are calling ""fetal homicide"" (aka ""abortion"") is currently accepted as legal by the United States legal system under the interpretation of the Roe vs. Wade Supreme Court case of 1973. ""Toddler homicide"" is not.
If someone wanted ""toddler homicide"" legal, they would have to change many existing laws and the interpretations of those laws. The unprovoked killing of a human being (post-birth) in non-war situations is currently illegal in the United States legal system.",7,8,topic_stance_votes_2
8,Please end the confusion,abortion,attack,"Well, an abortion can't technically be called 'fetal homicide' because it isn't illegal... homicide is. If a woman kills her toddler, that is homicide, and it isn't legal, and I don't see how it ever could/would be... all murder is illegal, but to call an abortion murder is really only your personal opinion on the issue, because as of now it is a legal procedure. Some people consider it to be murder, and some don't.. it isn't an open and shut thing either way; if it were, there wouldn't be so much debate over it, and if it were considered to be murder all around, no questions, then it would not be legal. Maybe the laws will change someday, who knows.. but right now it's not illegal for a woman to have an abortion. You can call it a double standard, but again that is mainly just opinion.
But I also have had friends who have had abortions because they didn't want to 'get fat'.. I know of one girl who had 7 by the time she was 22... that is pretty disturbing, and I don't think that it's really right to do it for reasons like that... like I said to her, if she were so afraid of getting pregnant, or getting 'fat', she should have either not had sex or she should have used protection... there are ways to prevent pregnancy, and birth control costs a hell of a lot less than an abortion (especially 7 times).. but at the same time I also had a friend who got pregnant, and got scared, and made an appointment to a clinic, and once she got there she didn't think she could go through with it, and now she has a healthy, adorable 5 year old and she is very thankful that she didn't have the abortion after all... but in the cases of my friends, all I could do was offer an opinion if they asked, but I didn't feel I had the right to tell them what to do either way. You really can't know what is going on in a woman's mind when she is considering an abortion, or after she has had one done.",7,9,topic_stance_votes_2
9,Please end the confusion,abortion,support,"Rapture, 
Just curious... do you consider it to be murder when a death row inmate is given a lethal injection? Since you were implying that an abortion is murder, although it is legal; when an inmate is put to death, that is an example of one human killing another human, and it is also legal, so would you also consider that to be murder?",9,10,topic_stance_votes_2
