,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Roe to be challenged? I Hope So.,abortion,support,"In the next six weeks, South Dakota lawmakers will decide whether to make abortion a crime.
A bill that would ban abortion in the state will be introduced within the next two days.
The bill will be called the Woman's Health and Life Protection Act. It will ban abortion, but won't prosecute a doctor who performs one to save a woman's life.
And the lawmaker who's introducing the bill says he thinks now is the right time to try and over-turn Roe vs Wade.
Rep. Roger Hunt says, ""Abortion should be banned.""
Those four words will likely lead to many others in the South Dakota House and Senate as lawmakers will decide whether to criminalize abortion in the state. The bill's supporters are using findings from a controversial abortion task force report recently given to the legislature.
Hunt says, ""DNA testing now can establish the unborn child has a separate and distinct personality from the mother. We know a lot more about post-abortion harm to the mother.""
The legislature debated a similar bill two years ago, but Governor Mike Rounds vetoed it because of concerns over some technicalities.
Hunt says, ""We have made those corrections to the bill.""
Sunday, Hunt and other anti-abortion advocates held an event promoting their legislation. They say now is the time to pass it, because other states are considering similar bills and because with new Chief Justice John Roberts, and possibly Samuel Alito, the US Supreme Court is changing.
Hunt says, ""Two very solid, we feel, pro-life candidates. Again you never know but based on their testimony to the senate we feel they're good candidates.""
Hunt says he thinks enough other lawmakers support the bill for it to pass, but he still thinks the decision will be a close one.
He says, ""I learned a long time ago the only time you really count the votes is when you're taking the votes.""
Hunt will also introduce two other bills this week. One is meant to ensure doctors explain the risks of an abortion to a woman is writing. The other deals with sex education and says school districts need to include principles in their curriculums dealing with abstinence and personal responsibilities.
http://www.keloland.com/NewsDetail2817.cfm?Id=0,45410",0,1,topic_stance_votes_1
1,Roe to be challenged? I Hope So.,abortion,attack,"Note the bolded.
Can lifers manage this issues without insulting intelligence and capabilities of women?",1,2,topic_stance_votes_2
2,Roe to be challenged? I Hope So.,abortion,attack,"Can't choicers stop insulting the intelligence and capabilities of the people of the country and let them view the evidence and decide for themselves whether abortion harms women's health, and if it does, whether it ought to be permitted?",2,3,topic_stance_votes_1
3,Roe to be challenged? I Hope So.,abortion,attack,"Okay Cone lets see some evidence to back up your assertion not from an anti abortion webiste- source it from somewhere impartial.
Other than that the title ""Woman's Health and Life Protection Act"" is a superb example of doublespeak emoticonXGood",3,4,topic_stance_votes_2
4,Roe to be challenged? I Hope So.,abortion,attack,I just posted an article that said there is more evidence that abortion might be linked to mental health problems... It was a study published a couple weeks ago.,4,5,topic_stance_votes_1
5,Roe to be challenged? I Hope So.,abortion,attack,"Ok, here's a thread where I discuss that ""The Right to an Abortion is not in the Constitution."" As you will read, this claim went unrefuted. Since the right to an abortion is not in the constitution, it may be regulated by the states however the states wish, just like speed limits and jaywalking. Thus, the states may do whatever they wish regarding abortion. They may ban abortion because they claim it harms women's health, or they may ban abortion because they claim that the fetus is a person, or they may ban abortion because Sunday is the first day of the week.",4,6,topic_stance_votes_1
6,Roe to be challenged? I Hope So.,abortion,support,"The right of a state to choose if it wants to allow abortion or not is in the Constitution. Ever hear of the term ""State's Rights""?
The 10th Amendment states: ""The powers not delegated to the United States by the Constitution, nor prohibited by it to the States, are reserved to the States respectively, or to the people."" 
What? You thought this was a pro-abortion post? :)",6,7,topic_stance_votes_1
7,Roe to be challenged? I Hope So.,abortion,attack,"Making abortion illegal is not in the Constitution.
And, they've got a lot of backward people in South Dakota. They are still grappling with the rampant racism in the state, especially towards native Americans.",7,8,topic_stance_votes_2
8,Roe to be challenged? I Hope So.,abortion,attack,"From the article on the study you refered to this quote immediately jumped out at me:
So according to one of the people who conducted the study don't go using their results as a tool for arguing against abortion.
One woman I know had an abortion a short time after she was married. I also know she has regrets that she had the procedure. I considered what she had to say about her experience and thought about the 14 year old son she now has. From what she told me, I could plainly see she would never have had her son if she had not had her abortion as her circumstances would have changed beyond recognition. Perhaps she gets depressed about the child she never had because of her abortion. However, her son is a fantastic boy whom she loves very much. 
So we cannot simplify in quite the way you seem to infer that we can.",5,9,topic_stance_votes_2
9,Roe to be challenged? I Hope So.,abortion,attack,"So you made the point on the interpretation of a legal document. The point is it is okay to illegalise abortion regardless of the reasons for doing so. Thinking outside of our current example can you not see the glaring problem with such an approach? I hope you can because the consequences of accepting such a philosophy are dire indeed.
However, returning to our original point, that being the former part of the proposed Bill's title I'd like some supporting evidence. I have pointed out the issue's with Steeeeve's citation, so hope you have something else to offer.",6,10,topic_stance_votes_2
10,Roe to be challenged? I Hope So.,abortion,attack,"No. 
I will never allow ""the people of the country"" to tell me what is best for my my life or my health.
To quote Jane Austen in Pride and Prejudice.
""I am only resolved to act in that manner, which will, in my own opinion, constitute my happiness, without reference to you, or to any person so wholly unconnected with me.""",3,11,topic_stance_votes_2
11,Roe to be challenged? I Hope So.,abortion,attack,"The Constitution does not inhibit a State from doing whatever they want as far as abortion is concerned.
Yeah, I expected as much. Come on, give us all the reasons you can as to why the electorate should not have a say on this issue. So far, the people in South Dakota are stupid, and they are racists. That convinces me. Remove the issue from the electorate. Let the all-wise, educated, tolerant, forward-facing ""pro-choice"" folks dictate to the people of South Dakota what their choice ought to be. Pro-choice? Hardly.",8,12,topic_stance_votes_1
12,Roe to be challenged? I Hope So.,abortion,attack,"I wonder how far you can take this. For instance, you may never allow ""the people of the country"" to tell you what's best for your health, but we need only look at an example to prove that ""the people of the country"" can make a law in that arena anyway. Marijuana, for example. You may not think marijuana is harmful to your health, but if you smoke it, you break the law. And if you break the law, you can be punished under that law. Even if you don't think the ""people of the country"" can tell you what is best for your life or your health, they still legitimately do so in many areas.
Interesting quote. It can't be acted out in many areas though. Murder for instance. Or speeding. Jaywalking either. Running stop signs. Beating children. No matter how happy these acts may make someone, they can be punished if they perform them, even if the state is wholly unconnected with that individual. We have a society that governs itself by laws. Until we do not, I'm sorry to say that you will be prevented from doing some things that you may deem would make you happy. And, should you insist on doing those things the law prohibits, you may be punished for doing them, even if they made you happy.",11,13,topic_stance_votes_1
13,Roe to be challenged? I Hope So.,abortion,attack,That is nice that you quote that...it stills suggests a link which I what I wrote.,9,14,topic_stance_votes_1
14,Roe to be challenged? I Hope So.,abortion,attack,I think the problems that have occured by granting Surpeme Court justices the power to amend the Constitution whenever they feel like it far outweigh the problems that would occur if State Legislatures were able to exercise the power the Constitution grants to them.,10,15,topic_stance_votes_1
15,Roe to be challenged? I Hope So.,abortion,attack,"Yes - drug use is another arena where you, the morality police and big brother can also bugger off.
And just like people smoke doobies despite their being illegal - you can bet your XXX I will have an abortion if I (me, myself, I - not you, Bush the horse or da Pope) determine it is detrimental to myself and whatever laws you have passed to increase your comfort level and the illusion that you have actually doen anything to help (a sad misconception) be damned.
You are missing the point of my using the quote. It is not an excuse for any kind of behavior. It is me, telling you, and anyone else who cares to meddle in my private affairs that they are not welcome there and I will not be taking into consideration for one second what any of you think.",13,16,topic_stance_votes_2
16,Roe to be challenged? I Hope So.,abortion,support,"Freedom! Liberty! Individual autonomy! Pursuit of happiness!
American values.
They may soon disappear.
Enjoy them while you may.",16,17,topic_stance_votes_2
17,Roe to be challenged? I Hope So.,abortion,attack,"Fetal genocide, enjoy it while you can. emoticonXKill 
I guess some of us just don't share your spin. emoticonXRolleyes",17,18,topic_stance_votes_1
18,Roe to be challenged? I Hope So.,abortion,attack,That's cute - that you think it will be stopped by the activities of a bunch short-sighted suits on the east coast.,18,19,topic_stance_votes_2
19,Roe to be challenged? I Hope So.,abortion,attack,"I don't expect all states to ban abortion. I just want the authority to do so placed back in the hands of the states to decide for themselves. That's where the Constitution says it should reside, not in the SCOTUS. I'm looking at patching the gaping hole in the Constitution created by judicial activists in Roe v Wade and Griswold.",19,20,topic_stance_votes_1
20,Roe to be challenged? I Hope So.,abortion,attack,I was actually talking about whether or not laws would stop it. I don't believe they will. I know the law will not matter to me one nit if I felt I had to have an abortion.,20,21,topic_stance_votes_2
21,Roe to be challenged? I Hope So.,abortion,attack,"Talk about insulting one’s intelligence. Don’t you hate it when politicians wrap their kooky little laws into these highly sugar-coated titles that has more to do with making them seem appealing on the outside but hides the true intention of the context? It is purely propaganda and the law makers just don’t want to call it what it really is; coercion childbirth. Hunt, be a man and just call a spade a spade for once. 
DNA testing can NOW establish a zygote different DNA then the woman? Good god…this guy must be living under a rock and yet someone elected him?",1,22,topic_stance_votes_2
22,Roe to be challenged? I Hope So.,abortion,attack,I grew up in South Dakota and I know racism when I see it. I could tell you some stories that aren't very nice.,12,23,topic_stance_votes_2
23,Roe to be challenged? I Hope So.,abortion,attack,"But no link was ever established. We have been over this over and over again. I really hate having to beat a dead horse more the once. Give it a rest….redundancy erks me. 
LOL! I love it when you lifers madly shriek ABORTION ISN’T CONSTITUTIONAL! IT ISN’T IN THE CONSTITUTION! I CAN’T FIND IT!! The fact that you guys have lost so sorely back in 1973 and haven’t grasped why you lost only adds even more insult to injury into your self-inflicted loss. But yet the Supreme Court, the people who determine what is constitutional, continues to say it is Constitutional. You can believe whatever you like but abortion is a constitutional right and it just drives you mad to know this. 
You can continue to live in your private fantasy world that it isn’t constitutional/in the constitution if you desire…after all, no one can take that right away from you and I am not here to drag a thirst quench horse to water. 
I am also not going to spend time proving something that the Supreme Court has already proven yet you continue to deny the results of. Time to deal with it…it has been over 33 years.",15,24,topic_stance_votes_2
24,Roe to be challenged? I Hope So.,abortion,support,"I don't hold a single shred of sympathy for people who vote their rights away for ""protection."" If the people of South Dakota want to be babied around and told what to do by social republicans then they need to sleep in the beds they made.",17,25,topic_stance_votes_2
25,Roe to be challenged? I Hope So.,abortion,attack,Just because you fail to realize what the article says doesn't make what you said true. Since you seem to like logical fallacies can you reconginze which one you just committed?,25,26,topic_stance_votes_1
26,Roe to be challenged? I Hope So.,abortion,attack,"Whatever happened to Life? Oh yeah, that's right. the pro-aborts don't believe that living takes priority over liberty.",17,27,topic_stance_votes_1
27,Roe to be challenged? I Hope So.,abortion,attack,"What link is there to realize? There was never one to begin with. It is impossible to conclude that abortion effected the mental health of these women by just looking at the numbers alone. No one interviewed the women’s feelings about the abortion, no one asked them if it really negatively effected them and etc.. 
You are making a false positive. There isn’t enough data available to make that kind of link which is why you failed to identify it yourself in the first place. I asked you repeatedly to show this link and you never did…remember, burden of proof is on you.",26,28,topic_stance_votes_2
28,Roe to be challenged? I Hope So.,abortion,attack,"Neither do many pro-lifers. Start talking about universal health coverage in America and they'll say in their usual shrill voices that it is their money and you have no right to tax “success”...even if it is being used to save lives. 
After all, it is their money and they have the liberty to spend it any way they want.
The “right to life” pro-lifers glowingly speak about usually ends when it invades another’s personal and private affairs.",27,29,topic_stance_votes_2
29,Roe to be challenged? I Hope So.,abortion,attack,"Universal health care, BKA Socialized Medicine is a joke. Primarily because it's just another government buearacracy that will cause the quality of health care to go down the toilet. To say nothing of the fact that doctors and other health care providers of consience (re. pro-life) will be unable to practice freely. The best way to get health care costs down isn't higher taxes and more government, but to get the lawyers out of medicine and lower malpractice premiums.",29,30,topic_stance_votes_1
30,Roe to be challenged? I Hope So.,abortion,attack,"Yep because the current bureaucracy we have on medicine is so much better; doctors getting gifts from pharmaceutical companies in order to endorse their drugs. Lobbyists bribing politicians and etc.. Yeah and that so many are insured totally rocks out as well! Hell, America has a infant mortality rate that is as equally high as some third world countries but social republicans can’t be bothered with that…too busy warding off the “fags” from marriage and demanding the American public pay for more bombs. If a born baby can’t morph into a F-22 or some other obsolete Cold War junk program then don’t expect any handouts little fella. Let alone some media attention. 
But seriously, how can you say we shouldn’t have socialized medicine (because you feel it doesn‘t work) yet demand we install coercion childbirth laws here in the USA (which have NEVER worked in the USA either.)
Which is it? Are you for protecting life or just stopping abortion because you think it turns good Christian women into skanks who jump on every dick and Harry?",30,31,topic_stance_votes_2
31,Roe to be challenged? I Hope So.,abortion,attack,"Yep, assembly line medicine, just like in your socialist utopia, the USSR. To say nothing of the fact that everywhere that socialized medicine exixts, people wait for up to weeks for important treatment. I'll take my fee-for-service anyday.",31,32,topic_stance_votes_1
32,Roe to be challenged? I Hope So.,abortion,attack,"Where do you hear such things.
My Canadian friends love their health care system, get the same level of care I do, and do not have to wait any longer for an appointment or at urgent care than me. And unlike here - everyone has access it.",32,33,topic_stance_votes_2
33,Roe to be challenged? I Hope So.,abortion,attack,"And what about mothers who can't afford medicine for their sick newborns? I guess they can ""eat cake"" and let them die in your ""Culture of Life"" utopia. But thanks for proving my point...you picked LIBERTY over life. You pick comfort over saving lives. 
BTW, I am a social anarachist.",32,34,topic_stance_votes_2
34,Roe to be challenged? I Hope So.,abortion,attack,"But you forget, I'm a strict Constitutionalist. Such an eggregious attack on the Constitution needs to be righted, IMO, regardless of whether or not one is in favor of abortions. It is a blight on the Court and the Constitution. emoticonXBanghead",21,35,topic_stance_votes_1
35,Roe to be challenged? I Hope So.,abortion,attack,"I agree. He should have called it the ""Don't suck the fetus' brains out bill"". THAT would be more accurate, don't you think? emoticonXRolleyes 
Now you know why he's a politician and NOT a scientist. :)",22,36,topic_stance_votes_1
36,Roe to be challenged? I Hope So.,abortion,attack,"Surely you, being a person willing to call a spade a spade, would detest the sort of propaganda displayed here: http://www.oregon.gov/DHS/ph/pas/docs/statute.pdf wouldn't you?
I never said this.
Turns out you agreed with me http://4forums.com/political/showpos...38&postcount=9
Yes, we have fully grasped why we lost. We lost because some judges determined that abortion ought to be a Constitutional right. Since they couldn’t find it in the Constitution, they put it there themselves.
I understand the Supreme Court has said this. They also said this. But, 58 years later, the Supreme Court said this. We therefore learn that, yes, sometimes the Supreme Court can be wrong. What a shock. We learn that, yes, Supreme Court justices are not infallible. What a shock. In fact, the Supreme Court said here that everything in Roe was wrong except for the central holding. So to summarize, the Supreme Court has been wrong in the past, and thus, can be wrong today.
If you're going to critique my claim, at least critique a claim that I actually made. I said ""the right to an abortion is not in the Constitution."" I did not say ""Abortion is unconstitutional."" To continue critiquing that claim is not to argue with me, but with a straw-man instead. 
No, you are not going to spend time proving that the right to an abortion is in the Constitution because you would look very silly if you did, especially considering the fact that you have already acknowledged that it is not.",31,37,topic_stance_votes_1
37,Roe to be challenged? I Hope So.,abortion,attack,"Eventhough the research concluded that, in fact, there very well might be a link between abortion and mental health, you, who I presume as looked at the study and the methods by which it was done, have found out that this research is false. Good to know we have such a great scientist with us.
The burden of proof is on the researchers...and they found a link. I wouldn't just make that up.
How this doesn't mean the researchers believe there is a link is beyond me. It seems that your burden of proof requires me to actually take you to the facility at which this research was done and then repeat the whole study for you.",28,38,topic_stance_votes_1
38,Roe to be challenged? I Hope So.,abortion,attack,"The concept is sound but the results rarely lead to dignity. Look at Terri Shiavo for example…a private event between a family was dragged through the mud and used as political fodder by those greedy, selfish right-to-lifers. These people really have no shame nor respect for others. It is their ideology right or wrong. 
So you never implied abortion isn’t constitutional? So you must feel it is constitutional then, right?
I agreed that it wasn’t written directly but it is a implied right (yeah, just like a lot of other rights). Next time you should read the context…if your claim is that abortion isn’t constitutional because it isn’t in there then you seriously need to a take a civics’ class. You can’t be this uninformed about the mechanics of the constitution and still be an American, I hope. 
You see this is why you continue to lose…you still don’t understand. Abortion would have never been brought up to the Supreme Court if you guys actually lifted a finger for the several decades that it was criminalized under. 
Refer to my post here http://4forums.com/political/showthr...=7407…pro-life selective outrage over abortion rights has made you terribly inconsistent to the point of irrelevancy. 
So? 
And? Want to try something relevant?
Foresight is 20/20. The Supreme Court can be wrong but they haven’t been wrong as of yet determining abortion rights. That is the only thing that is relevant. 
Just like right-to-life activists…this doesn’t mean they continue to be wrong on everything else.",38,39,topic_stance_votes_2
39,Roe to be challenged? I Hope So.,abortion,support,"“There might be a link” and “there is a link” two entirely different things. There MIGHT be a link just like there MIGHT be unicorns, aliens, flying monkeys and etc. but we need further research. If you are saying there MIGHT be a link then there isn’t a link so why are you arguing there is a link? 
MIGHT is a possibility.
IS is an absolute. 
Why thank you. However you don’t have to be a great scientist to debunk the post-hoc conclusion of your article…I am simply using logic. 
You just said “even though the research concluded that, in fact, there very well might be a link…”. Which is it Steve, is there or is there not a link? Stop pussyfooting around and pick a side.",31,40,topic_stance_votes_2
40,Roe to be challenged? I Hope So.,abortion,attack,"You MIGHT want to check out the thread that deals with this study. I have actually read the study....you have not.
Here was my last post on that thread. 
http://4forums.com/political/showpos...3&postcount=78
No, you are using limited facts. You assume that the article stated everything that was in the study, if you read the other thread you will realize that the study addresses are your attempts to debunk the study.
What is your deal? Would you like it better if I said there is stong evidence to support a link? Science can be wrong, I understand this and thus I am not going to say this is 100% concrete no questions asked. I don't know of many science 'facts' that are 100% concrete.",40,41,topic_stance_votes_1
41,Roe to be challenged? I Hope So.,abortion,attack,"I was simply wondering this: if we must call the ""Woman's Health and Life Protection Act"" the ""Coercion Childbirth Act"" in the interest of calling a spade a spade, must we not also call the ""Death With Dignity Act"" the ""Physicians Assisted Suicide Act?""
What I have consistently and repeatedly said, was that the right to an abortion is not in the Constitution, and that there is no reason why the States may not regulate abortion however they so desire. Regulate, of course, includes banning without exception, or permitting without restriction. 
I refute the ""abortion is an implied fundamental constitutional right"" claim in this post.
You have yet to respond to my claim, which is not that abortion is unconstitutional, but that there is no constitutional right to abortion. If you cannot determine the difference between those two statements, perhaps it is you who needs a civics course. 
I am quite familiar with the mechanics of the Constitution, which is why I correctly claim that 1) the right to abortion is not in the Constitution. 2) Judges should not engage in social engineering from the bench. 3) Judges should not say that something is in the Constitution, when it in fact is not.
You just don't get it do you? Let me try to spell it out simply. The Supreme Court can be wrong sometimes. I knew that might come as a shock to some people. So, I provided historical evidence of where the Supreme Court was wrong, and admitted their mistake, and made it right 58 years later. The Supreme Court got it wrong in Roe. I simply want them to admit their mistake, and make it right.
You evade the issue. I have not raised an objection to the fact that the Court is issuing rulings in this area. I am raising the objection that their rulings are wrong. You have not refuted this claim.
You really are too much. Of course the Supreme Court can be wrong on other issues besides abortion. However, would it make sense to discuss, for instance, that the Supreme Court's ruling that private property may be seized by the government and then handed over to private parties in an abortion forum? I wouldn't think so.",39,42,topic_stance_votes_1
