,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,To Voice of Reason,abortion,support,"I've noticed your latest signature is: "" Abortion is the most barbarbaric act one human being can perpetrate on another.""
Are you serious or is this just a slight exaggeration? Are you really saying that you think an abortion is more barbarbaric (since it's your signature you could at least spell it right, barbaric) than what Hitler did in the Holocaust?",0,1,topic_stance_votes_2
1,To Voice of Reason,abortion,attack,"I don't mean to speak for Mr. Reason and I certainly do not want to minimize the holocaust, but in sheer numbers.... as a matter of fact, yes.
As barbaric as starving and gassing innocent people is, sucking the life out of them through a tube is certainly no walk in the park.",1,2,topic_stance_votes_1
2,To Voice of Reason,abortion,support,"Thanks Truthsayer............As bad as the holocaust was and I am not one to ever trivulize it 40,000,000 abortions since 1972 is worse to me.........",2,3,topic_stance_votes_1
3,To Voice of Reason,abortion,attack,"Thank you for pointing out my spelling.......Like Will Rogers I am just and old country boy and spelling was never one of my better skills.......
I am glad you know about the Holocaust though......There are a lot of people in your age group who believe it never happened........",1,4,topic_stance_votes_1
4,To Voice of Reason,abortion,attack,"I dont know and wouldnt say that people believe it never happened, but more that they just dont know about it, or just dont care.",4,5,topic_stance_votes_2
5,To Voice of Reason,abortion,support,"The statement that abortion is the most barbaric act someone can do to another is a question of how bad the act is, not how common. Burning someone at the stake is worse than shooting them, though the latter has happened more often.
Abortion is not as barbaric as torture.",5,6,topic_stance_votes_2
6,To Voice of Reason,abortion,support,"So let me ask this, if you believe that life begins at conception, which I imagine you do, then would you think that killing 11,000,000 fertilized eggs is worse than killing 11,000,000 jews?",5,7,topic_stance_votes_2
7,To Voice of Reason,abortion,support,"If full human life with total equality begins at conception, and you don't include the knock-on effects on other people, just considering killing as a simple evil in itself, killing the fertilized eggs is worse. But the individual act of killing a Jew is not as bad as the act of torturing someone to death.",7,8,topic_stance_votes_2
8,To Voice of Reason,abortion,attack,"So once again we have a viewpoint that misses the fact that the vast majority of those exterminated by the Nazi's died under extremely unpleasant conscious circumstances? there was no mercy lost on these people, and many had been subjected to early traumas and tortures as well.
How can you even compare being gassed (large chamber or small?), shot, beaten to death maybe even being killed in an experiement to test the limits of human resistance to high atmospheric pressure with aborting a foetus?
Or perhaps you would care to demonstrate how a foetus that is aborted experiences any terror and pain like someone who was gassed at Auschwitz?
THe crux of this is can you prove that an abortion is more barbaric than torture and death of a conscious person.",2,9,topic_stance_votes_2
9,To Voice of Reason,abortion,support,"OK, assuming that full human life with total equality begins at conception:
1. What is the difference between killing the fetus and killing the jew? Doesn't equality mean there is no difference?
2. Did you mean the individual act of killing a fetus is not as bad as torturing a jew to death, or did you really mean it as it was written? If you meant it like you wrote it, I will need a little clarification on this.",8,10,topic_stance_votes_2
10,To Voice of Reason,abortion,support,"1) There is no fundamental difference, but certain religious groups that hold this still prefer the mother's life over the child's as she has responsibilities and a place in society. So the secondary considerations may be different
2) The act of torturing anyone to death is worse than the act of killing anyone in a more humane fashion",10,11,topic_stance_votes_2
11,To Voice of Reason,abortion,attack,There is no difference life is life no matter what stage of development no matter what creed no matter what colour whether it be homecide infantcide or indeed fetuscide there is no excuse to take someone elses life.,7,12,topic_stance_votes_1
12,To Voice of Reason,abortion,attack,Are you a vegetarian?,12,13,topic_stance_votes_2
