,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,What Happens to the Life Ended by Abortion,abortion,support,"At conception a particular individual's DNA is established. This is a scientific fact. So from conception one certain individual is forming and most likely will be born if the pregnancy is allowed to proceed (the majority of pregnancies allowed to proceed result in a live, healthy baby).
Now, if the mother chooses to abort that person will not be born. You or I would not be here if we had been aborted. And why not? Because that person's life was ended while still in the womb. 
Consider that person whose life was ended by abortion. How is abortion not killing? Why does it not matter to you that a life is ended by abortion? Even if it was just a clump of cells (I can hear this one coming) in the beginning, the fact is, in the end it will most likely be a live human being and that isn't changed by it's alleged ""clump of cells in the beginning"" status.
Please explain. :)",0,1,topic_stance_votes_1
1,What Happens to the Life Ended by Abortion,abortion,attack,"Actually I believe life begins at conception, that that life matters and abortion ends that life.
I also believe mama comes first and until we can seriously address the issues faced by pregnant women rather than demonizing them that they will abort whether it's legal or not.
I also believe that there are times when abortion is appropriate and necessary.",1,2,topic_stance_votes_2
2,What Happens to the Life Ended by Abortion,abortion,attack,"Your post was fine until you started into the ""demonizing"" bit. Why did you feel the need to get in that dig?
It's sad that the pro-choice movement has resorted to portraying a desire to protect the life of the unborn as ""demonizing"" women. Intellectual dishonesty.",2,3,topic_stance_votes_1
3,What Happens to the Life Ended by Abortion,abortion,attack,"As for the DNA defintion you are going to run into problems, is it Ok to get rid of one identical twin seeing as their DNA is exactly the same? Or chemotherapy, seeing as you will be killing a what you have defined as a new person - something with a new set of human DNA?
There is no doubt as to whether abortion is killing or not, the main thing is whether it is closer to murder (the principle rather than the law seeing as it is not an illegal killing before some points this out). Is what you are killing actually a 'person' yet, and how highly is a potential person rated against an existing one.",3,4,topic_stance_votes_2
4,What Happens to the Life Ended by Abortion,abortion,attack,The law is supposed to reflect the principle.,4,5,topic_stance_votes_1
5,What Happens to the Life Ended by Abortion,abortion,attack,"It does, as far as I'm concerned.",5,6,topic_stance_votes_2
6,What Happens to the Life Ended by Abortion,abortion,attack,"As long as pro-lifers simplify the issues pregnant women face as matters of convenience and imply that any woman who aborts for any reason outside of health (and maybe rape) as an unfeeling, irresponsible flake - they are demonizing women.
I hear again and again about how most abortions are for convenience or birth control with absolutely NO REGARD further than that. All abortion gets lumped into three categories - rape, medical reasons and birth control - as if that is all that impacts a pregnancy. That scope is too narrow, very pro-life leaning and almost completely disregards the women invloved.
Think about it! Why do people use birth control? Lots of valid reasons. Those reasons are no less valid after one is pregnant - although circumstances are certainly more dire.",3,7,topic_stance_votes_2
7,What Happens to the Life Ended by Abortion,abortion,attack,"what is considered ""appropriate and necessary"" is highly subjective. the fact is that only less than 5% of women abort because of health hazards or rape. the vast majority of abortions occur because the woman just doesnt want the child. of course there are issues that come into play: finances, acceptance, emotional stability, maturity, career, etc. these are not trivial, but at the same time they do not constitute a situation of life-or-death for the mother as so many people would like to portray.
with that said, we can still argue that the mama comes first. what happens when child is already born and any one of the above issues pops up? is it ok to ""abort"" motherhood?",2,8,topic_stance_votes_1
8,What Happens to the Life Ended by Abortion,abortion,attack,"Agreed. Those not in the situation don't know how bad it is for the woman, and so none should decide in the situation except the woman. None of us can judge ""oh her situation is not that bad"".
And what is included in your ""health hazard""? Only death?
It is for her. These are severe enough for her to say ""I have to have an abortion"". You just finished saying that it is subjective, and now it's not?
You were part of the debate where you agreed that there are too many differences between a born child and a fetus in the womb to make any sort of direct line moral comparison. It really is an invalid comparison.",8,9,topic_stance_votes_2
9,What Happens to the Life Ended by Abortion,abortion,attack,"OK - I'll bite
Finances - pregnancies need doctors, pills, and mama needs housing, clothes, shelter - not having these things are great risks to life and health.
Acceptance - If you are a teen-ager and the family may toss you - dang right
Amotional stability - This links to mental illness. These things may require meds, somebody who is not mentally stable can't care for themselves let alone a pregnancy (mental health worker)
Maturity - yep. Little girls are not equipped to handle being pregnant - not to mention theor bodies are not ready
Career plays into that finances money doctor thing mentioned above - during and AFTER baby is born
Yep - ever heard of adoption? - plus most new borns can be left at any hopsital or police station.",8,10,topic_stance_votes_2
10,What Happens to the Life Ended by Abortion,abortion,attack,"emoticonXIdea the baby belongs to GOD, the mother the dr. and any one else involved are condemned, yu see its called murder, purely in the first degree. emoticonXFrazzled",10,11,topic_stance_votes_1
11,What Happens to the Life Ended by Abortion,abortion,attack,"Perhaps not demonizing them, if castigating women who choose to abort as selfish or immoral is not demonizing. But, favoring fertilized eggs, embryos and fetuses over women certainly reduces greatly the humanity of the female sex.",3,12,topic_stance_votes_2
12,What Happens to the Life Ended by Abortion,abortion,attack,"What you don't seem to understand is that we would have far more women in the world today if it weren't for abortion. There are far less women in the world today because of it than there would be women as mothers who would die or are seriously injured in childbirth. So in that sense, abortion is very anti-woman. It's anti-humanity.",12,13,topic_stance_votes_1
13,What Happens to the Life Ended by Abortion,abortion,attack,"From what I've seen, the birth rate has stayed fairly constant from when it was illegal to legal, so your charge is baseless.",13,14,topic_stance_votes_2
14,What Happens to the Life Ended by Abortion,abortion,attack,"No, they were still abortions even before it was legal. There are still less women in the world as a result, legal or not. The true pro-life position is that abortion is bad legal or not.",14,15,topic_stance_votes_1
15,What Happens to the Life Ended by Abortion,abortion,attack,"Then you realize that making it illegal will not help a fig. So, legal or not, the way to help is to support women. Making it illegal will only exacerbate the problem because it will make it more dangerous for women.",15,16,topic_stance_votes_2
16,What Happens to the Life Ended by Abortion,abortion,attack,"You've yet to prove that a fetus is a person, so this is entirely irrelevant. Why do you want these women to die in unsafe illegal abortions?",15,17,topic_stance_votes_2
17,What Happens to the Life Ended by Abortion,abortion,attack,"Follow the logic . . .
- A fetus develops into a person if left to grow
- Killing the fetus prevents it from growing into a person
- Since many of the fetuses would grow into women, then my statement that there less women in the world as a result of abortion IS true.
I don't have to show that 'a fetus is a person' to make this arugment.",17,18,topic_stance_votes_1
18,What Happens to the Life Ended by Abortion,abortion,attack,"Oh, you have some?
And? that doesn't mean it is a person at that point, so this is irrelevant.
B/c stops an egg developing into a person. Do you actually have a point here?
And there's a lot less women in the world because of b/c. Lets make that illegal too!
Which can be applied to b/c, so is utterly pointless - unless you advocate b/c illegal.",18,19,topic_stance_votes_2
