,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Why I'm against abortion...,abortion,support,"First off, I don't see how people can live with themselves after killin' something you know will grow into a human child. Especially if it has a heartbeat. 
Another thing, if you give teenagers the option to have an escape goat for getting pregnant at an early age. They'll never learn! 
Life is life and you take whats handed to you. If you try and change that, you get a screwed up place(hince the world).
But thats just my opinion.....",0,1,topic_stance_votes_1
1,Why I'm against abortion...,abortion,support,"Just a couple points of clarification...
o It may grow into post-birth human person. It may not. 
o It can already be considered a human child before birth by commonly accepted definitions of the word 'child.'",1,2,topic_stance_votes_1
2,Why I'm against abortion...,abortion,attack,By that same logic I guess you would deny the kidney transplant and suffer a painful death even though doctors could change your fate. After all life is life.,1,3,topic_stance_votes_2
3,Why I'm against abortion...,abortion,attack,"Perhaps but by the time they have learned, it's far too late. Both for them and their unfortunate child who will start their life with one strike (or more) against them. 
(I will take a stab in the dark and anticipate your counterpoint. Teenagers do a very poor job of learning from the mistakes of their peers. Having two or four teenagers screw up their life in this manner will not prevent the rest of the high school from having sex. IMO, I doubt that that this would prove to be much of an impetus for engaging in safer sex.) 
Now, taking a step back I am not sure whether this is a legitimate reason for undergoing an abortion. I did say the child would start out life already behind his or her peers, but at least they are starting out. 
Hmmmm...but is it really a child? Or is it just a lump of tissue with the potential to become a child? As someone who has seen the results of an early term miscarriage I would have to go with the latter (at least at that point in the pregnancy). Late-term....that gets tricky in a hurry. And I don't know how speaks to the legitimacy of abortion? 
Whistler",1,4,topic_stance_votes_2
4,Why I'm against abortion...,abortion,attack,"Thinkin' more about this, I think you may have some good points. Teens may not, or shall I say, most likely will not learn from their mistake, but that shouldn't stop us from tryin'. 
I think the ""lump of tissue"" is a child, if it has a heartbeat and all. Hmmm....this a very touchy subject, I wonder if we'll ever come to a stopping point and just say ""Screw it!"", or if we'll all just continue fighting over a subject that has everything to do with choice...",4,5,topic_stance_votes_1
5,Why I'm against abortion...,abortion,attack,"The research i clear, that there is no effect. Your concern for their mental health is appreciated.
What is unique about the heart beat?
Ignoring, of course, the potentially disasterous outcome that they ""learn"" by. That argument is no different than refusing to treat lung cancer in a smoker, or head injuries after a traffic accident where the person didn't wear seatbelt. After all, if we treat, they'll never learn.
Yes it is your opinion. My opinion is very different.",1,6,topic_stance_votes_2
6,Why I'm against abortion...,abortion,attack,"carla said: What is unique about the heart beat?
What is unique about heart beats is that ONLY LIVING THINGS HAVE ONE!",6,7,topic_stance_votes_1
7,Why I'm against abortion...,abortion,support,"*NOTE*: THIS IS NOT FOR THE WEAK AT STOMACH :*NOTE*
Just read...
Dear Mommy, I am in Heaven now, sitting on Jesus' lap. He loves me and cries with me; for my heart has been broken. I so wanted to be your little girl. I don't quite understand what has happened. I was so excited when I began realizing my existance. I was in a dark, yet comfortable place. I saw I had fingers and toes. I was pretty far along in my developing, yet not near ready to leave my surroundings. I spent most of my time thinking or sleeping. Even from my earliest days, I felt a special bonding between you and me. Sometimes I heard you crying and I cried with you. Sometimes you would yell or scream, then cry. I heard Daddy yelling back. I was sad, and hoped you would be better soon. I wondered why you cried so much. One day you cried almost all of the day. I hurt for you. I couldn't imagine why you were so unhappy. That same day, the most horrible thing happened. A very mean monster came into that warm, comfortable place I was in. I was so scared, I began screaming, but you never once tried to help me. Maybe you never heard me. The monster got closer and closer as I was screaming and screaming, ""Mommy, Mommy, help me please; Mommy, help me."" Complete terror is all I felt. I screamed and screamed until I thought I couldn't anymore. Then the monster started ripping my arms off. It hurt so bad; the pain I can never explain. It didn't stop. Oh, how I begged it to stop. I screamed in horror as it ripped my leg off. Though I was in such complete pain, I was dying. I knew I would never see your face or hear you say how much you love me. I wanted to make all your tears go away. I had so many plans to make you happy. Now I couldn't; all my dreams were shattered. Though I was in utter pain and horror, I felt the pain of my heart breaking, above all. I wanted more than anything to be your daughter. No use now, for I was dying a painful death. I could only imagine the terrible things that they had done to you. I wanted to tell you that I love you before I was gone, but I didn't know the words you could understand. And soon, I no longer had the breath to say them; I was dead.I felt myself rising. I was being carried by a huge angel into a big beautiful place. I was still crying, but the physical pain was gone. The angel took me to Jesus and set me on His lap. He said He loved me, and He was my Father. Then I was happy. I asked Him what the thing was that killed me. He answered, ""Abortion. I am sorry, my child; for I know how it feels."" I don't know what abortion is; I guess that's the name of the monster. I'm writing to say that I love you and to tell you how much I wanted to be your little girl. I tried very hard to live. I wanted to live. I had the will, but I couldn't; the monster was too powerful. It sucked my arms and legs off and finally got all of me. It was impossible to live. I just wanted you to know I tried to stay with you. I didn't want to die. Also, Mommy, please watch out for that abortion monster. Mommy, I love you and I would hate for you to go through the kind of pain I did. Please be careful. 
Love,
Your Baby Girl
http://wajclan.topcities.com/abortion/abortion.html",7,8,topic_stance_votes_1
8,Why I'm against abortion...,abortion,support,Excellent post. Asking what is unique about a heart beat in the context of whether an emryo is alive or not is like asking what is significant about the engine running in the context of whether a car is running or not.,7,9,topic_stance_votes_1
9,Why I'm against abortion...,abortion,support,"Heartbeat?..........You tell me? After you see this, you won't say no.",9,10,topic_stance_votes_1
