,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Mars is heating up,climate change,support,"Turns out, scientists just found out that over the last 3-4 decades (the term of the Earth's warming since its last cooling) both the Earth and Mars have risen in average temperature 1/2 degrees celcius. Only difference is there are no human carbon emissions on Mars. This is further evidence that leads me to believe that human's impact on global warming is not near as significant as the environmentalist movement harps on and the sun actually has more to do with warming than we do. Anyone's thoughts?",0,1,topic_stance_votes_2
1,Mars is heating up,climate change,support,Earth certainly goes through cycles of massive climate change without any human intervention. Question is whether or not human emissions have hastened/added to this,1,2,topic_stance_votes_2
2,Mars is heating up,climate change,support,"Shhhhh, the global warming crowd don't want you to publish this kind of information, because it completely contradicts their man-made global warming myth.
But yeah, Mars is heating up and so are other planets. This is because the sun is hotter now tha it has been for the last 50 years.
It's stands to reason that the sun is also the main reason why the Earth is warming up.
But the global warming corwd won't even acknowledge that this might be the case and they continue to argue that people have more effect on the Earth than that flaming ball of nuclear fusion 1.5 million times the size of the Earth.
Nobody ever said that Mankind was a rational race...",1,3,topic_stance_votes_2
3,Mars is heating up,climate change,attack,"I'd like to see a link for the sun being hotter causing warming on mars, because from what I've read the warming is due to changes in albedo (basically how reflective the surface is) which mean mars is absorbing more radiation now than it was previously. These changes fluctuate over time as different types if dust are redistributed on the surface.",3,4,topic_stance_votes_1
4,Mars is heating up,climate change,attack,"This is not where I read it initially but here is a reference. I'm still searching for the original.
http://www.canada.com/nationalpost/s...59a5c7f723&k=0 
I have seen the hypothesis about the dust as well but the parallels with the Earth's temperature are too similar to me for me to not consider this.",4,5,topic_stance_votes_2
5,Mars is heating up,climate change,attack,"So, the claim is solely based on the fact that both Earth and Mars are warming, rather than any causative evidence (like, for example, some evidence of an increase in solar radiation)? I'm also puzzled by the assertion that the greenhouse effect has no scientific basis, I'd like to see Habibullo Abdussamatov's new version of quantum theory that apparently contradicts it. Apart from anything else the greenhouse effect is a big part of the reason Earth is so much warmer than mars in the first place, and why Venus is so much hotter than earth (distance from the sun is a factor but heat retention, not application, is the biggie here). There is also no explanation as to why CO2 levels have risen in line with industrial development, and occurred before temperatures started to rise. Abdussamatov is an astronomer who no apparent clue about climatology, or even basic quantum physics.",5,6,topic_stance_votes_1
6,Mars is heating up,climate change,attack,I think there was something about the frequency of sunspots and warming. Like the more spots means more heat. I'll search.,6,7,topic_stance_votes_2
7,Mars is heating up,climate change,attack,"Traditionally you don't do science by reaching a conclusion and then googling til you come up with the requisite answer...
The Earth is definitely warming. Mars *may* be warming. Or it might be a localised effect. Venus already experienced a runaway global warm due to - guess what - a large amount of CO2 in its atmosphere. Mars has a thin atmosphere but its mostly made of CO2. What does this suggest? That if you increase CO2 in the atmosphere, you get a warming effect. What does this suggest to me? That pouring CO2 into the atmosphere is a bad idea.
If the sun was causing this warm up we'd expect the rest of the planets to be warming too (and our own moon). You say they are. Where's the evidence?",7,8,topic_stance_votes_1
8,Mars is heating up,climate change,attack,"Here's a link that shows that other planets are warming up too:
http://www.abovetopsecret.com/forum/thread221608/pg1
And here's one that hypothesizes that cosmic rays can cause global warming:
http://www.theage.com.au/news/world/...128899045.html
BTW if CO2 causes global warming, why did the Earth cool off in the period between 1940 and 1980 eventhough the CO2 output went through the roof?",8,9,topic_stance_votes_2
9,Mars is heating up,climate change,attack,"From the linked article re Pluto: David Tholen, an astronomer at the University of Hawaii who measured the size of Pluto in the late 1980s using a series of occultations and eclipses involving Pluto's satellite, noted that even though Pluto was closest to the sun in 1989, a warming trend 13 years later shouldn't be unexpected. ""It takes time for materials to warm up and cool off, which is why the hottest part of the day on Earth is usually around 2 or 3 p.m. rather than local noon, when sunlight is the most intense,"" Tholen said. Because Pluto's year is equal to about 250 Earth years, 13 years after Pluto's closest approach to the Sun is like 1:15 p.m. on Earth. ""This warming trend on Pluto could easily last for another 13 years,"" Tholen estimated.
Which makes more sense given that Pluto is so far from the sun and yet seems to be warming more quickly than the planets closer in.
The usual explanation is that we were pouring sulphur-based chemicals into the air in those days. As we often see from volcanoes, this causes a cooling effect.",9,10,topic_stance_votes_1
