,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,True communism- tried and found wanting!,communism vs capitalism,support,"Today I woke up thinking about communism and capitalism. Over time, I've heard a lot of negative comments about capitalism--that its not 'fair' and that people are hurt by having to compete and many other things. I was thinking about how the people who espouse communism deny that the USSR was 'true communism'. 
But I was thinking that there are places where 'true' communism has been practiced for thousands of years. I, of course, am referring to the tribes living in the jungle rainforests in Brazil, Africa, and S. Asia. Now, whether or not you think that one culture is 'better' or not, we can say that, in the thousands of years they've been at it, life hasn't changed much in those cultures. They have an extremely high infant mortality rate and are acceptable to minor changes in the environment (1 year drought can wipe out a whole village, etc). These villages share everything. One must share what they kill or find for food, no private property, etc.. so there's no incentive to strive to better your position, no innovation, and no 'growth' as a culture.
Now, capitalism has only been for a few hundred years and our society has literally rocketed from agrarian to the moon. IMO This is indicative of the effort people will generate when they are able to accumulate private property. 
I'd like to get some feedback from both sides on this issue, especially people who think that capitalism isn't a good system. Thanks!",0,1,topic_stance_votes_1
1,True communism- tried and found wanting!,communism vs capitalism,support,"I would recommending reading this description of Marxism:
http://www.fredoneverything.net/Marx.shtml
.",1,2,topic_stance_votes_1
2,True communism- tried and found wanting!,communism vs capitalism,support,LOVED it brother!,2,3,topic_stance_votes_1
3,True communism- tried and found wanting!,communism vs capitalism,support,"Cun, the USSR was not Communist. 
For a nation to be communist, a few things need to be in place:
1) Rule by the workers, essentially a democracy
2) Classless Society
3) Communal Ownership
Now, if you look at the USSR, it was run by a few men, or one man at any one point in time. The workers had virtually no say in the direction of the nation or policy. That is antithetical to Communism. Second, classes did exist. Those higher up within the military as well as those in the party were significently better off and had more rights and powers then the average citizen. The scientists in the military and research cities had much more ownership rights and were rewarded based on a capitalistic method. The more research and applied concepts they produced the more stuff they got, like fridges and cars. 
That's not a Marxist Communist nation.",3,4,topic_stance_votes_1
4,True communism- tried and found wanting!,communism vs capitalism,support,The closes to the idea of communism we get in the real world is when we look at the family as a form of communism. Other real world attempts never got even close to as close to true communism.,4,5,topic_stance_votes_1
5,True communism- tried and found wanting!,communism vs capitalism,attack,"CUNx,
One must share what they kill or find for food, no private property, etc.. so there's no incentive to strive to better your position, no innovation, and no 'growth' as a culture.
Why are these necessarily the most important values for a society to have?
Sounds more than a bit ethnocentric to me.emoticonXSmilie",5,6,topic_stance_votes_2
6,True communism- tried and found wanting!,communism vs capitalism,attack,"Perhaps, but my wife watches a show called living with the Mek. Those people haven't changed in 1000 years and they still have a high infant mortality rate, the entire tribe faces death when there is the slightest trouble with the food supply, and they're susceptible to every disease and have no medicine. One bad year can wipe an entire tribe out.",6,7,topic_stance_votes_1
7,True communism- tried and found wanting!,communism vs capitalism,support,"No, but the Mek are!",4,8,topic_stance_votes_1
8,True communism- tried and found wanting!,communism vs capitalism,support,"Marxism describes a situation following a revolution in a capitalist system. You cannot claim that a tribal society is marxist, it simply doesn't fit the theory. It's worth remembering that developed tribal societies lasted well into the 1700s in western europe and it was only forcible eradication that destroyed them. I'm thinking of course of the highland clans.
If we're going to take infant mortality as the measure of a society, you will note that (ostensibly) communist Cuba has a lower infant mortality rate than capitalist America.",8,9,topic_stance_votes_1
9,True communism- tried and found wanting!,communism vs capitalism,support,"First, I'm sure that the Cuban's report whatever they feel is 'good' for Cuba. But I'm sure the difference between Cuba and the US is nothing compared to the US and the Mek or even Mexico and the Mek.",9,10,topic_stance_votes_1
10,True communism- tried and found wanting!,communism vs capitalism,support,"Debates about what the ""better"" system is are as old as the hills and frankly will (IMO) never be resolved for the simple fact that there are serious problems with both systems. For every example like the Mek, I could give you 10 examples of poor, starving trabes in Africa that are based on a capitalist system. Neither system seems to ensure prosperity or to even increase the odds of prosperity.
Part of the problem with capitalism is with our implementation of capitalism, which more closely resembles feudalism than any classic picture of capitalism. Maybe it is a fundamental weakness of capitalist systems that those who manage to acquire wealth will use that wealth to influence whatever governing power exists in order to codify unfair advantages for themselves. It has certainly happened in every capitalist society we have ever seen, so maybe it is inherent to the capitalist system. 
In all practicality the ""best"" system for now is probably some mix of the two. IMO part of what has hampered our development as a species over the last several decades has been the idea that there are essentially 2 choices when it comes to the system we live under and we MUST pick one and defend it. The day may well come that we recognize that NEITHER system is the answer to all the worlds ills. 
In the mean time, we seem to have an awful lot of people who would not know a free market if they tripped over it running around arguing that letting the free market sort out industries like the oil industry and health care industry, which are not free market industries either in practice or by their very nature. 
That seems to pollute the issue quite a bit.",9,11,topic_stance_votes_1
11,True communism- tried and found wanting!,communism vs capitalism,support,"And more pointed, Somalia during the warlord eras was essentially anarchy. That is absolutely free capitalism. Yet Somalia's GDP actually decreased significently during those times of absolute free capitalism. 
That is assumed with Capitalism. The very framework for capitalism to operate properly is one that can be manipulated by those within it. 
Well that is partially due to their failure to understand what capitalism actually is. One user I was talking to said that a capitalistic market will take care of the uninsured. He fled the scene after I discussed that capitalist ventures only allocate resources towards things that will be profitable. Uninsured and poverty healthcare is a money losing proposition. Therefore no capitalist venture will engage in it.",11,12,topic_stance_votes_1
12,True communism- tried and found wanting!,communism vs capitalism,support,"Well, I'm basing this on figures from the CIA World Factbook. Are you saying the CIA trusts Cuban propaganda? emoticonXClown",10,13,topic_stance_votes_1
13,True communism- tried and found wanting!,communism vs capitalism,support,"Umm, it's the CIA. Might improve report accuracy?",13,14,topic_stance_votes_1
14,True communism- tried and found wanting!,communism vs capitalism,support,"Their track record hasn't been sparkling, ever since Clinton dismantled them in the 90's.emoticonXClown",13,15,topic_stance_votes_1
15,True communism- tried and found wanting!,communism vs capitalism,support,"The reason for such spectacular technological advance has been public, not private, investment. The speculative captialist investor is guided by self-interest and short-term profits. They do not usually make the bulk of long-term investments in research and development, over decades, needed for major technological and scientific discoveries or breakthroughs. Literally going to the moon, was because of NASA, a government-owned, publically(taxpayer) funded company, not a private one. Computers were invented with public money for R&D. The research and development for new drugs to keep us healthy is mostly public money.",1,16,topic_stance_votes_1
16,True communism- tried and found wanting!,communism vs capitalism,support,"Which shows that early development for many things is properly done in the public setting (which is seems to be true given the huge grants to universities) while commercial development and refinement is done best in the private sector. 
This isn't a bad thing. In fact this may be the best allocation of resources. Capitalism generally does not allocate resources to ventures it believes may not work where public financing often does.",16,17,topic_stance_votes_1
17,True communism- tried and found wanting!,communism vs capitalism,support,"I think you have a point in some respects, but it is generally the profit incentive that really pushes and drives advances. Bell's telephone networks are still running and Edison's light bulb is lighting the way. The dishwasher to the automobile to the many patents of GE have all been private. Look at other countries (ie. the former USSR and China) who generally rely on stolen technology for their economies and military, since the real breakthroughs come from profit motivated systems.",16,18,topic_stance_votes_1
18,True communism- tried and found wanting!,communism vs capitalism,support,"These are pretty bad examples since both the nations electrical grid and the phone system were constructed almost entirely using public monies. 
There seems to be some disconnect here when it comes to the definition of capitalism. Capitalism does not necessarily preclude the possibility of government investment in some areas, particularly infrastructure investment. If not for government investment, we would not be much better off than some of those tribes were were discussing earlier that despite a capitalist structure are still running around in loin cloths chucking spears at their dinner.
Look at the automobile. Before Henry Ford even finished his first factory he had employed people who did nothing but travel around trying to convince state and local governments to install automobile friendly roads. Automobiles were not well suited for the wagon tracks that passed for roads in most of the country and Ford knew that if governments, starting with federal followed by state and local, could not be convinced to install the better roads that led consumers to purchase automobiles that his brain child was going to be stillborn. 
This is what a lot of the ""free market"" advocates cannot seem to get their heads wrapped around. ""The market"" does a pretty decent job of spurring innovation when it comes to short term projects. When it comes to the longer view, the ""free market"" falls flat on its face because if there is not a profit there in the immediate and foreseeable future, nobody is going to do it. I have actually seen people argue for a market supplied solution to road building and maintenance. The argument falls flat on its face in the face of logical discussion and real world experience.
We are getting into a ""free market"" type debate of late when it comes to alternative energy research and if the free marketers have their way, we are going to end up in a crisis with large numbers of Americans starving in the streets (literally). It may already be too late.
The problem is that we are coming up on peak oil. At this point the only question is which year we passed it. The problem is that Alternative energy is still not really profitable for the most part and will not be for several more years. Thus far, the government has funded over 80% of AE research that has been done, so even the relatively minimal strides we have made there are thanks to government funding. Where the real problem comes is when oil production starts to decline. Studies have shown that in order to make it through that with only minimal disruptions (and even the ""minimal disruptions"" scenario sounds pretty bad when you consider our current lifestyles) we will have needed to start a CRASH PROGRAM similar to the Manhattan project 20 years before it occurs. 
This is jsut not something that free markets do well
It is worth noting when discussing the relative merits of capitalism and socialism that both terms denote a means of production, no more, no less. Anything else that you amy attach to the terms is emotional baggage.",18,19,topic_stance_votes_1
19,True communism- tried and found wanting!,communism vs capitalism,support,"Dae,
I hear you and have said many times that I'm not a Laissez Faire type guy. My point was that the ability to accumulate capital (personal property) is the reason that the US is the country it is today. Sure there's a place for the govt. in ANY system, including this one. However, the reason our country has done so well, for so long and the reason we're so productive as workers is the fact that we have a right to participate in the system and accumulate wealth. 
Yes, the govt. will be needed to provide certain services. Yes, it is necessary to have rules, taxes, and a govt. to provide security and facilitate trade and etc... I've never said any different. However, there's a difference between saying that and saying that everything good has come through the govt. That's not true and if it was the USSR (or Germany) would rule the world today. The private sector is what drives the govt. and the economy. Without the Private Sector, there wouldn't be any govt. or tax money or tax payers to fund all the wonderful things that the govt. does. But too much govt. and the private sector whithers and with it, the govt. as well.",19,20,topic_stance_votes_1
20,True communism- tried and found wanting!,communism vs capitalism,support,"Your argument doesn't hold up. The economy of the USSR went from feudal agrarian to industrial in less than half a century. The proletariat at the time of the revolution numbered 4% of the population. The command economy catapulted the USSR to superpower status, which it only lost as a result of trying to maintain military superiority (40% of GDP on arms is going to do that). Many criticisms can be made of the USSR, lack of economic growth is not one of them. When capitalism was allowed in, look at the mess that resulted.",20,21,topic_stance_votes_1
21,True communism- tried and found wanting!,communism vs capitalism,attack,I think you undervalue the combination of poor immigrants and vast untapped natural resources as it pertains to our success.,20,22,topic_stance_votes_2
22,True communism- tried and found wanting!,communism vs capitalism,support,"First of all, the people of the USSR were whipped into submission for that entire time. Not only didn't they have freedom, they didn't have meat, butter, or any of those 'little extras' we're so used to here. They were slaves to the state, basically. It's completely ludicrous to think that the 'average' citizen of the USSR lived in any comparable comfort to Westerners. Of course, those are the ones who lived and weren't murdered by Stalin or the KGB. GREAT PLACE, YEAH!!!!!!",21,23,topic_stance_votes_1
23,True communism- tried and found wanting!,communism vs capitalism,support,And you think that the tyranny and oppression under which the Soviets lived was the result of their economic system???,23,24,topic_stance_votes_1
24,True communism- tried and found wanting!,communism vs capitalism,support,"Actually, the only way a govt. could ever control a person enough to supplant their natural wish for freedom and opportunity is to brutally subjugate them. So, yes, actually, the brutality IS a result of their economic system. If the people (in the USSR) had had the ability to participate in the economic system then they wouldn't have had to have been suppressed like that. Look at China now (and Cuba, etc...) the reason that communist citizens must be totally controlled is because they aren't free and because that economic system can't produce enough of the products that people need (much less the products they want).",24,25,topic_stance_votes_1
25,True communism- tried and found wanting!,communism vs capitalism,support,"You continue to neglect the very recent pre-industrial starting points of all these countries. I should also point out that America's wealth was built on slavery too. The reason the USSR couldn't provide for its people was that it was spending 40% of GDP on armaments and empire building. Political freedom has little to do with economic systems, most ordinary citizens have little control over what is produced by the economy, and what goods are available to them. A democratically controlled command economy would actually have more scope for freedom than the current plutocratic system. Every time a country has attempted democratic socialism, the CIA have intervened backing death squads and the like to suppress it. Ever heard of the School of the Americas?",25,26,topic_stance_votes_1
