,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,fascist or eco-communist?,communism vs capitalism,support,Which ideology do you adhere to?,0,1,topic_stance_votes_1
1,fascist or eco-communist?,communism vs capitalism,attack,"Neither. Capitalist economy, democratic socially (government).",1,2,topic_stance_votes_2
2,fascist or eco-communist?,communism vs capitalism,support,At this point I'm not entirely certain any contemporary definitions apply. Former capitalist.,1,3,topic_stance_votes_1
3,fascist or eco-communist?,communism vs capitalism,support,Hee hee...funny poll ;) Eco-communist all the way!,3,4,topic_stance_votes_1
4,fascist or eco-communist?,communism vs capitalism,support,"wow, thats hardcore...democratic society would be harsh. Having everyone vote is hard..that is why I like a republic :)",2,5,topic_stance_votes_2
5,fascist or eco-communist?,communism vs capitalism,attack,"Eco communist, because i'm not the other one.
Was this symbiotic humour?",5,6,topic_stance_votes_1
6,fascist or eco-communist?,communism vs capitalism,attack,I'm the opposite of both.,6,7,topic_stance_votes_2
7,fascist or eco-communist?,communism vs capitalism,support,"OK, OK, I got loose w/the terminology. Democratic republic, with term limits for all government positions (even the positions Clinton liked best :) ).",5,8,topic_stance_votes_2
8,fascist or eco-communist?,communism vs capitalism,attack,Can I be an eco-fascist? :),8,9,topic_stance_votes_1
9,fascist or eco-communist?,communism vs capitalism,support,"Easily an eco-communist. I mean, what`s more attractive than a tree-hugging, ""socially aware"" revolutionary? And lets face it, politics is all about getting laid.",9,10,topic_stance_votes_1
10,fascist or eco-communist?,communism vs capitalism,support,Isn't everything?,10,11,topic_stance_votes_1
11,fascist or eco-communist?,communism vs capitalism,support,Politics is also about money and capitalists can normally afford a higher quality level of revolutionary to 'support' than those clamoring for equality.,10,12,topic_stance_votes_1
12,fascist or eco-communist?,communism vs capitalism,support,"So true
Ah, yes. But money is just means to the end of getting laid, so it all boils down to the same thing.",12,13,topic_stance_votes_1
13,fascist or eco-communist?,communism vs capitalism,support,"Haggling does take some of the romanticism out of the goal, but we all do what's required.",13,14,topic_stance_votes_1
