,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Juvenile Death Penalty,death penalty,support,"Can anyone make a rational argument as to why executing a criminal who was 18 years old when committing the crime is not ""cruel and unusual punishment,"" but executing a criminal who was less than 18 at the time of the crime would be cruel and unusual?
Put another way, can anyone explain why it is constitutional to execute a person who was 18 years old when they committed the crime, but it is unconstitutional to execute a person who was under 18 when they committed the crime?
Participants in this discussion should assume that the death penalty, in general, is constitutional. This has been the case from the beginning of our Republic, and has been reaffirmed multiple times. In other words, it is not an appropriate argument to try and argue that the death penalty, in general, is unconstitutional. That has neither been the case through our history, and is not the current state of the law.
*Note: I am speaking within the context of the United States, and its Constitution.",0,1,topic_stance_votes_2
1,Juvenile Death Penalty,death penalty,attack,"I believe the rationale for treating persons of different age differently is their respective ability to understand their actions. The human nervous system is not fully developed until adulthood, therefore the ability to appreciate right from wrong, understand consequences of actions and mediate impulse control (among other things) differs between children and adults. The age of 18 is an arbitrary designation. The reasoning is that the criminal behavior may actually be different even if the outcome of the behavior is not. 
There is considerable evidence that neurophysiology and its resultant behavior does not develop completely until adulthood. When that occurs is variable. I am not arguing the validity of that rationale, but that is at least part of the reasoning, I believe.
I didn't know that anyone argued the it was unconstitutional to execute someone under 18. I do not know why the above physiologic difference would matter constitutionally. But that is one consideration when deciding a penalty for a conviction.",1,2,topic_stance_votes_1
2,Juvenile Death Penalty,death penalty,attack,"That is the premise of my question. On what basis can one claim that the Constitution makes this arbitrary designation with respect to the death penalty? I simply don't see any rational argument for it.
So why cannot juvenile crimes which would otherwise be death penalty eligible be treated on a case-by-case basis? Under the theory of variable neurophysiological development, we could suppose that some individuals under 18 will have a fully developed moral understanding, and also some individuals 18 and over who do not.
Fair enough. But I am curious to see if anyone can defend the rationality of the rationale (whatever it is purported to be). You're obviously not obliged to do that, but that is sort of the curiosity that I have.",2,3,topic_stance_votes_2
3,Juvenile Death Penalty,death penalty,attack,"A specific age is picked because it occurs sometime and there is no way to know in any specific individual whether their pre-frontal cortex is up to snuff or not. There is no way to judge on a case-by-case basis. If this occurs (I think it's clear that it does) and if this is a rational reason for treating persons differently (that is, of course, arguable) then the line must be drawn somewhere. 
I was wrong to say 18 is arbitrary. I misused the word. I would assume that most people have a mature CNS by that age, so that is why it is picked. The objective evidence of this is done looking at populations, not individuals. 
Subjectively, anyone who has kids will know that a young teen's judgement is pretty bizarre at times.",3,4,topic_stance_votes_1
4,Juvenile Death Penalty,death penalty,attack,"What do you mean by this? Could we not have the law treat under-18 capital offenders on an individual basis, determining whether the individual offenders in the individual cases were sufficiently developed?
Also, what would you say to the response that our current law provides that juveniles are sufficiently developed enough to have the responsibility, without parental involvement, to decide whether to obtain an abortion? Is it not a conflict to say juveniles should not be eligible for the death penalty because they are not morally developed enough, but at the same time say juveniles are morally developed enough to decide whether to obtain an abortion without involving their parents?",4,5,topic_stance_votes_2
5,Juvenile Death Penalty,death penalty,attack,"No way to measure that. I stated already, the objective evidence of this is done looking at populations, not individuals. 
Look at it this way:
Do you think we should treat a 5 year old differently than 25 year who commits the same crime?
If you answer is ""no"", we're done, but if it is ""yes"", then:
How about a 6 year old?
a 7 year old?
And so forth until you say ""no"". Then you have drawn the line somewhere.
Anyway, I'm just sayin'.
I am not gonna comment on abortions, except perhaps other things may be weighed into the equation, like the consequences of telling parents or having an unwanted pregnancy. I don't know. 
You asked for a rationale to treat different ages differently, I gave you one. Sounds like you don't like the answer. Sorry.",5,6,topic_stance_votes_1
6,Juvenile Death Penalty,death penalty,attack,"This is exactly my point. Could not juries take the facts of the case into account in each individual situation, and determine the moral culpability of the offender? I think yes.
I wasn't trying to discuss abortions, but rather the argument that juveniles lack the necessary development to be morally responsible.
On the one hand, the current law says that juveniles do possess enough moral maturity to make the very difficult moral decision to have an abortion without any input from their parents. On the other hand, the law says that juveniles do not possess enough moral maturity to be held responsible for decisions to commit murder.
In other words, I assume you will agree with the proposition that the decision of whether to obtain an abortion is a much more involved moral decision than is the decision whether to murder someone. Yet our law says that juveniles are mature enough to be responsible to make the former judgment, but are not mature enough to be responsible for the latter. We treat juveniles like adults in the more involved moral question of abortion, but we do not treat them like adults in the much easier moral question of murder.
I did ask for a rationale, but I'm now aware that my tone did not come through.
I do not believe that there is any conceivable rational argument that reasonably proves that the constitution actually does forbid the execution of a person whose crime was committed while he was a juvenile, but does not forbid the execution of an adult.
Are you persuaded by the rationale you have provided, or were you merely giving one of the rationales that some have given?",6,7,topic_stance_votes_2
7,Juvenile Death Penalty,death penalty,attack,"Look, Phyl.
You asked why the state sentences children differently than adults. One answer might be that children are physiologically different than adults. They don't think the same. Seems simple. As to whether that's constitutional, I have no idea.
If you wanted to make a point you should have just stated it, rather than pretending you are asking a question.
If you just want to be argumentative, do it with someone else.",7,8,topic_stance_votes_1
8,Juvenile Death Penalty,death penalty,attack,"With respect, this is not what I asked.
Within a particular context, this is what I asked.
I wasn't being argumentative. But I am trying to understand the argument in order to decide whether it is persuasive, which will necessarily mean that objections to the argument be dealt with. You may not be interested in doing that, and of course that is your prerogative. But do please try to be civil should you so decline.",8,9,topic_stance_votes_2
9,Juvenile Death Penalty,death penalty,attack,"I think that we've got to draw a line at some point, to demarcate between adult and child. Where ever we do draw it, it will seem, in some situations to be arbitrary. If we made it 20, the question would be why 20 year olds and not 19. Through the years society has determined that by 18 people should have attained enough life experience to form intent and to comprehend that their actions have consequences (at least as it applies to the death penalty, they can be tried as adults w/o death). We don't execute people who can't comprehend the nature of their crimes and society says that, under 18 you can't fully comprehend criminal actions.",1,10,topic_stance_votes_1
