,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,When should we execute?,death penalty,support,"Is it worth executing a few innocents to keep capital punishment? How many? 1 in 10, 1 in 100 or 1 in 1000?
Personally, I am in favor of executing kidnappers (or rapists) that kill. There is a point when a person kidnaps (I assume) that they must decide to kill or not. If they don’t kill they risk being identified by the victim. 
Personally I am more interested in the deterrent effect of capital punishment over the punishment aspect.
Any thoughts?",0,1,topic_stance_votes_1
1,When should we execute?,death penalty,attack,we shouldn't.,1,2,topic_stance_votes_2
2,When should we execute?,death penalty,attack,"If we were knowingly executing innocent people, it would be one thing. But the people we execute have been found guilty in a court of law, and are given the opportunity of 8 (i think it is 8) appeals. If after all of this an innocent person slips through the cracks and is executed, so be it. It is tragic, but overall I think the system works well the way it is. I think the deterent benefit of capitol punishment is far too valuable to throw away for rare instances of innocents being executed. Does anyone have any reliable information about how many people have been executed and were later found to be not guilty? I have never found any figures that I would consider to be reliable.",2,3,topic_stance_votes_1
3,When should we execute?,death penalty,attack,"Easy for you to say, would you feel differently if it was you or, maybe your mother who slipped ""through the cracks"" in the system?",3,4,topic_stance_votes_2
4,When should we execute?,death penalty,attack,"The point is, I think the benefits outweigh the cost. Yes, an innocent person may be executed once in a while, but we do not do it intentionally, we only execute those who have been found guilty in a court of law and lost all of their appeals. As far as me, I'll take my chances, I think the odds are in my favor. Again, does anyone have any facts of how often an innocent person is executed? Do we know how many have already been executed?",4,5,topic_stance_votes_1
5,When should we execute?,death penalty,attack,"executions from 1976 to 1999:
Texas = 248 executions – nearly one-third of all U.S. executions since 1976
Virginia = 82
Florida = 51
Missouri = 50
Oklahoma = 43
Louisiana = 26
South Carolina = 25
Arkansas = 24
Alabama = 23
Arizona = 22
North Carolina = 17
Delaware = 13
Illinois = 12
California = 9
Nevada = 9
Indiana = 8
and Utah = 6
""A shocking recent death penalty study of 4,578 cases in a twenty-three-year period (1973-1995) concluded that the courts found serious, reversible error in nearly 7 of every 10 capital sentence cases that were fully reviewed during the period. It also found that death sentences were being overturned in 2 out of 3 appeals. The overall prejudicial review error rate was 68 percent.""
works cited:
James S. Liebman, Jeffrey Fagan, and Valerie West; “A Broken System Error Rates in Capital Cases, 1973-1995,” 12 June 2000.
Fox Butterfield, ""Death Sentences Being Overturned in 2 of 3 Appeals,"" New York Times, 12 June 2000.",5,6,topic_stance_votes_2
6,When should we execute?,death penalty,attack,I would be willing to bet that you think odds are in your favor because you are an Anglo American male. Check this out: http://www.justicedenied.org/executed.htm. Or this http://www.innocenceproject.org/.,5,7,topic_stance_votes_2
7,When should we execute?,death penalty,attack,"It could be you.
Actually from what I've seen capital punishment has never been an affective deterent. In fact I think that it has the opposite effect in that there are more murders committed which have CP than places which don't. In in the USA there is a difference between states which have it and states whict don't. Texas has the most executions and the most murders as well.",1,8,topic_stance_votes_2
8,When should we execute?,death penalty,attack,"This is what I have been hearing; there is no evidence of deterrence. If that is the case I am against Capital Punishment. I have gone back and forth on it many times, so next week (or year) I may go back. Does anyone have any evidence?
Sundowner, I have no evidence of innocents executed. BUT, there have been many death row cases overturned or commuted sentences recently because of DNA evidence. It makes you wonder how many would have been executed before the DNA evidence has been used.
Is anyone in favor of “punishment” as compared to deterrence?  If someone were to torture and kill one of my kids, I don’t think killing them would be punishment enough. Let me torture them before they die; now that would be punishment. But what if the guilty person were later found innocent. Should I then get to torture and kill the next person convicted of the same crime?
I really want these criminals removed from society. I really don’t care if they are killed or not unless there is a real deterrence. But what would the acceptable rate of innocents killed be. Eventually, it will happen, if not already.
Most Libertarians don’t trust the government, and I think most are against capital punishment. Most of my life I have been against it too.",8,9,topic_stance_votes_1
9,When should we execute?,death penalty,support,"We have some major flaws in our legal system. The first and foremost legal flaw is that American prisoners are American people and thus are granted first ammendment American rights. This means that murderers who don't get birthday cakes, a basketball court, tv, and a turkey for Thanksgiving go crying cruel and unusual punishment and then they get it.
I've heard that the average cost of living of a capital punishment prisoner is appoximately $25,000.00 a year paid for by us.
It's really bad when murderers on deathrow in Mexico are calling murderers on deathrow in America p*****s and want to transfer here.
LEVIATHAN",9,10,topic_stance_votes_1
