,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Atheism vs. Creationism,evolution,support,"Atheism vs. Theism-- 
This oughta be good.... emoticonXHoho What are your thoughts?",0,1,topic_stance_votes_1
1,Atheism vs. Creationism,evolution,attack,"I follow creation because atheism is very improbable for me.
Human beings are the most outstanding technological Achievement ever to walk the earth so they needed to be designed and built by someone very very clever.",1,2,topic_stance_votes_2
2,Atheism vs. Creationism,evolution,attack,"Just because we are so amazingly complex does not necessarily mean that we have to be created by some omnipotent creator. It is my belief and that of the scientific community, too, that we evolved from apes. It is more probable to me that we came from apes and monkeys than from Adam and Eve. Do you really believe that there were two people, in the Garden of Eden, and that this God character made Eve from Adam's rib? How can you make a person from a rib? ""Well God can!"" Is the eager answer that I usually get to this question. But how would you? Is there any way to make a person out of a rib? I mean, it sounds like a fairy tale to me.",2,3,topic_stance_votes_1
3,Atheism vs. Creationism,evolution,attack,"Can human beings design and build something as amazing as a human being?
I do realise your cute belief, but it’s not very convincing.
Do you believe that humans must of come from two original parents?
Er. The same way you can recreate someone from a single strand of D/N/A
Who’s God?
So would genetic enhancement 100 years ago!
Peace,",3,4,topic_stance_votes_2
4,Atheism vs. Creationism,evolution,attack,Then who would create this very very clever being? In that case there has to be someone even more clever. Or maybe it really was god that envolved from the apes. ;),2,5,topic_stance_votes_1
5,Atheism vs. Creationism,evolution,attack,"I think you need to answer the same question I asked the other guy, who is God?",5,6,topic_stance_votes_2
6,Atheism vs. Creationism,evolution,attack,"I think that deciding on what is amazing is relative. Have we built machines equally amazing to or more incredible than humans? Of course! We have built particle accelerators, jets, airplanes, computers, toasters, and all of OUR other little creations. May I ask what you mean when you say Who is God? Currently I'm under the impression that you are a Christian, unless I am mistaken.",6,7,topic_stance_votes_1
7,Atheism vs. Creationism,evolution,attack,"Also, you cannot create someone out of a single strand of DNA. You can create the specific type of cell that the DNA codes for, but not a complete person.",4,8,topic_stance_votes_1
8,Atheism vs. Creationism,evolution,attack,"Thats a good point! but can we build the less impressive thing i,e. a human being? 
Or can we build something more simple like a cat?
Well you seemed to jump to a conclusion about who God was, not what he really is!
Yes you are correct.",7,9,topic_stance_votes_2
9,Atheism vs. Creationism,evolution,support,"You follow atheism because you don't understand theism. It is Creation vs. Evolution BTW. I am a blunt person on the net. So excuse me. To put it plainly if you want a God get one, but if you don't then forget about it live and die.
Do you want a God or not?",1,10,topic_stance_votes_1
10,Atheism vs. Creationism,evolution,support,"I think what people have been trying to say with the complexity thing is Intelligent Design theory. When we look at a building, we say that it was designed and built. Why? Why could it not have just risen out of the ground one day or even come together from a large pile of bricks? Have we met the designer? No, but we believe that he exists.
Here's something kind of related to the topic. A physicist estimates the probability of God existing at 2:1 (67% chance of existing). The book is due out sometime in the Fall. I for one am curious as to how he did that, though I believe it has something to do with probabilities of evolution, of prophesy fulfillment, and such.",9,11,topic_stance_votes_2
11,Atheism vs. Creationism,evolution,attack,"Creation vs Evolution is a garbage debate because Creation proposes supernatural origins of life, evolution is a change in the frequency of alleles from one generation to the next within a group. They are not at all opposed, and arguments typically only arise due to a misunderstanding by the religious that evolution somehow relates to the big bang and neccessarily is inclusive of abiogenesis.",11,12,topic_stance_votes_1
12,Atheism vs. Creationism,evolution,support,"Here's my understanding on theism- well, at least from what I know and from what I've seen in most religions, anyway, is that:
A) Humanity's greatest fear is its own mortality, so they create an afterlife for themselves.
B) Life is not fair. But people want it to be. Schoolyard bully push you down in fourth grade? Well, come judgement day, they'll pay for that one. It just doesn't happen like that in real life. People create god(s) so that they can justify the wrongs in their lives. 
C) Humans are arrogant and self-centered by nature. We love to make ourselves the center of the universe. (This is only from what I have learned about Christianity. I say this because in Christianity, it is only humans who get to go to heaven, it was the human who was made in God's image, and it is us who are masters of the universe.) We feel alone, and so we have this God figure to give us purpose and more meaning to life.
D) Humans always look up. For some reason, we always keep looking for a higher power. I think that Morgan Freeman in Bruce Almighty pretty much said the same thing, except much better than I did here. ;-)
These are only my thoughts and feelings, and no offense is intended. I do not follow atheism simply because I do not understand theism; rather, I feel that I understand humanity well enough to make my own decision. So instead of just assuming that everyone is stupid, try to be a little less blunt. Thanks for the correction, by the way.",10,13,topic_stance_votes_1
13,Atheism vs. Creationism,evolution,support,"Point well taken. So why would you want to be an atheist if you understand all of that? Don't feel bad God is an atheist so you two already have something in common. If you read the bible you'll quickly learn that few religions actually represent the God inside they claim to worship, thus making their God angry with them. You'll wonder who will get it worse the Atheist or the Judas.",13,14,topic_stance_votes_1
14,Atheism vs. Creationism,evolution,attack,"So does evolution.
See, heres my point. Evolution somehow deals with life that just appeared there by some unknown reason, sounds mystical to me! or what was it you said? ah yes, supernatural. emoticonXConfused",12,15,topic_stance_votes_2
15,Atheism vs. Creationism,evolution,attack,"I was refering to the very, very clever someone you mentioned in your first post.
Now you need to answer my question. Where did he/she/it came from?",6,16,topic_stance_votes_1
16,Atheism vs. Creationism,evolution,support,"If you 'want' a god or not is often irellevant since you should have a hard time beliving in anything that you don´t feel is possible, even if you want it to be true.
Of course some people belive in what they want to belive even if they don´t notice the reason. So they think they have a reason even if their belif actually are very irrational. A widespread phenomena.",10,17,topic_stance_votes_1
17,Atheism vs. Creationism,evolution,support,"[QUOTE=XeoX]If you 'want' a god or not is often irellevant since you should have a hard time beliving in anything that you don´t feel is possible, even if you want it to be true.
QUOTE]
You sound like my father. Maybe I am crazy so it does not effect me. Why should you have a hard time believing anything? Belief is very simple. It is binary. You can toggle your beliefs on and off like a light switch. Look at the world around us people do it all the time. All a person has to do is change their mind. People make things so complicated.",17,18,topic_stance_votes_1
18,Atheism vs. Creationism,evolution,support,"Since the name YHWH can be interpeted ""causes to become"" then cause is where God came from.",16,19,topic_stance_votes_1
19,Atheism vs. Creationism,evolution,attack,"Excuse me? I just provided an accurate definition of evolution, which you will find in several biology textbooks, and it says nothing about ""origins of life"" at all.
Yes Evolution deals with life and does not claim to suppose how it got there. Supernatural? Natural? It doesn't matter. Evolution occurs whether man and everything else was God-created or not.",15,20,topic_stance_votes_1
20,Atheism vs. Creationism,evolution,support,emoticonXHoho Good point,17,21,topic_stance_votes_1
21,Atheism vs. Creationism,evolution,attack,"Where exactly did he have to come from to be able to qualify for the design and construction of man?
You cannot ask a question in place of the question that i asked you first! That goes against the rules of proper debate!!! Your question is the classic evolutionary way out of a difficult situation which is the incapability of being able to answer the simply question;
If intelligent Human Beings cannot design and build something as simple as a cat then how should anyone in their right mind believe you when you say that they were built by something less intelligent like evolution, a dumb cause with no control or thought pattern. It just all sounds very illogical to me. If an intelligence can’t make one, then how can something less intelligent?",16,22,topic_stance_votes_2
22,Atheism vs. Creationism,evolution,attack,"Symbiote,
I think our conversation is rolling around all over the place. Can you define your belief for me? 
Do you believe in an intelligent designer of life, whether origins or after or what. I'm confused?
It always amuses me how atheists seperate their beliefs into cute little sections so as not to have to admit that life was designed.",20,23,topic_stance_votes_2
23,Atheism vs. Creationism,evolution,attack,I simply tried to explain to you that if you make the assumtion that intelligent beings can only be created by more intelligent beings that means you make a pyramid with more and more intelligent beings that create each other. It doesn´t make sense.,22,24,topic_stance_votes_1
24,Atheism vs. Creationism,evolution,attack,"Hey, do you think that you could tone down your disdain a bit? What do you think is so cute and amusing about atheism? Also, evolution has no intelligence- it is not a living thing! It is a process. You seem to have all of the answers, Richard, so tell me, how was life created? Why are you so sure of that? I'd love to hear it.
Thanks",23,25,topic_stance_votes_1
25,Atheism vs. Creationism,evolution,support,"You're right on that one. It would seem that we always keep looking up; it amazes me to think that people simply cannot consider the opposite, that we DEVELOPED AND EVOLVED into this current state.",24,26,topic_stance_votes_1
