,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,"Creation, Evolution, and Religion",evolution,support,"Is faith the basis of both creation and evolution or is there solid, unrefutable evidence for either?",0,1,topic_stance_votes_2
1,"Creation, Evolution, and Religion",evolution,attack,"faith means hope and therefore no one 'hopes' for evolution. religious people hope because they truly want it to be fact. evolution is a theory and is excepted as an essential. its like ""the world is round"" discovery; it is only in its infancy.",1,2,topic_stance_votes_1
2,"Creation, Evolution, and Religion",evolution,attack,"from Webster's Main Entry: faith
Pronunciation: 'fAth
Function: noun
Inflected Form(s): plural faiths /'fAths, sometimes 'fA[th]z/
Etymology: Middle English feith, from Old French feid, foi, from Latin fides; akin to Latin fidere to trust -- more at BIDE
Date: 13th century
1 a : allegiance to duty or a person : LOYALTY b (1) : fidelity to one's promises (2) : sincerity of intentions
2 a (1) : belief and trust in and loyalty to God (2) : belief in the traditional doctrines of a religion b (1) : firm belief in something for which there is no proof (2) : complete trust
3 : something that is believed especially with strong conviction; especially : a system of religious beliefs
synonym see BELIEF
Would your definition of faith to be?:
b (1) : firm belief in something for which there is no proof
If so, then neither can have a strict mathematical ""proof"".
However, I have confidence that scientific methods lead me closer to the way that the universe works, and that God reveals himself in the majesty of creation. Much more confidence than blindly following those who bear false witness.",1,3,topic_stance_votes_1
3,"Creation, Evolution, and Religion",evolution,attack,"i would liek to add, the reason i am agnostic is because of ""matter cannot be created or destroyed"". could this law be false? on the planet earth it is false. could it be true somehere in the universe?",1,4,topic_stance_votes_1
4,"Creation, Evolution, and Religion",evolution,attack,"I'm a bit confused by that statement, that ""law"" has been obsolete since Einstein came out with Relativity.",1,5,topic_stance_votes_1
5,"Creation, Evolution, and Religion",evolution,attack,theory of relativity,1,6,topic_stance_votes_1
6,"Creation, Evolution, and Religion",evolution,attack,"Yes indeed, one of the most fully verified theories we have. . .",1,7,topic_stance_votes_1
7,"Creation, Evolution, and Religion",evolution,support,"In responce to one of gilligan's posts I started this thread:
http://www.youdebate.com/vBulletin/s...=&threadid=260
Karl~
I could go with 2 b (1), (2), or the first part of 3 for the definition I would apply to this question.
And applying any, as you have noted, shows that BOTH creation and evolution are religions. Would this be an accurate statement?",1,8,topic_stance_votes_2
8,"Creation, Evolution, and Religion",evolution,attack,"2 a (1) : belief and trust in and loyalty to God
Since science doesn't have gods, this doesn't fit. So science isn't religion.
(2) : belief in the traditional doctrines of a religion
Science doesn't have doctrines. Science is a tool to learn about the world around us. Science progresses by challenging and questioning.
b (1) : firm belief in something for which there is no proof
Nope. One doesn't believe in science. One recognized and accepts the most parsimoneous explanation for the observed facts available.
(2) : complete trust
Certainly not. Darwin questioned the leading scientists of his day. Today, the process of peer review means that no one is trusted. That is why in publishing new science, the data and methods are explained in detail. That is why work is frequently repeated by other scientists. Science is always checked again.",1,9,topic_stance_votes_1
9,"Creation, Evolution, and Religion",evolution,support,"Lurch~
In order to apply your responces to the definitions, you would have to prove that evolution (the process by which all things existing were created) is scientific. The point of this thread is to show that both creation and evolution have to be accepted by faith, and thus both are religions.",1,10,topic_stance_votes_2
10,"Creation, Evolution, and Religion",evolution,attack,"No, sweetie. Evolutionary theory is the unifying concept of the biological sciences. It has been science for well over 200 years. It has been found to be science by U.S. District Courts, U.S. Circuit Courts of Appeals, and by the Supreme Court of the United States in every decision that considered it for the last 40 years or more. Only scientific illiterates believe that somehow evolutionary theory is not scientific, not because they have a rational basis for denying that fact, but because they have a problem reconciling their religion, based on ancient mythology, with observations of reality.
And I'll tell you one more time, sweetie. Evolution is not the process by which all things existing were created. Evolution is a biological science and applies only to living things. If you are going to discuss this stuff, then you need to at least have the integrity to invest enough effort to understand the terms. Creation is not evolution. Outside of biology the word means change and nothing more.
I am aware of that. But you are wrong. I will assume it is because of your ignorance and not dishonesty. Nothing in science is accepted on faith. Your continued insistance that it is so only underlines your ignorance of the matter. You are an example of why our high school graduates rank 40th out of 42 nations in their knowledge of science and math (we did better than Somolia and Croatia as I recall)
My responses didn't fit the definitions because the definitions were of religion and I was talking about science. Of course they didn't fit. Perhaps if you follow with your finger as you read.",1,11,topic_stance_votes_1
11,"Creation, Evolution, and Religion",evolution,attack,Matter could be 'created' when particles and antiparticles pop into existance on the edge of a black hole so that one of them is sucked into the singularity but the other is not. Then they have no chance to annihilate.,1,12,topic_stance_votes_1
12,"Creation, Evolution, and Religion",evolution,support,"Let's just say for arguement's sake that these definitions are true:
faith: firm belief in something for which there is no proof
proof: something that induces certainty or establishes validity
If there is no complete proof for evolution, wouldn't scientists be taking a step of faith in believing that it is true before it is completely proven? 
The definition of believe...
believe:to accept as true, genuine, or real.
sounds very much like the definition of acccept...
accept:to recognize as true
so I would say that evolutionists to ""believe"" in an idea for which there is no complete ""proof"" and therefore must have ""faith"" in a scientific sort of ""religion"".",1,13,topic_stance_votes_2
13,"Creation, Evolution, and Religion",evolution,attack,"It's called reasonable doubt, Calli.
You don't need a video of a person committing murder to convict them.
Secondly, science works on theories and models. 
No one has been able to provide a suitable alternative theory to evolution. So obviously, scientists are going to accept the best model available.",1,14,topic_stance_votes_1
14,"Creation, Evolution, and Religion",evolution,support,"Aaahhh, yes...but you do need IRREFUTIBLE evidence, don't you?
Wouldn't you call creationism an ""alternative theory""?",1,15,topic_stance_votes_2
