,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Creationists lose debate because they avoid questions.,evolution,support,Creationists get asked questions and they refuse to answer them. This means they have lost the debate.,0,1,topic_stance_votes_1
1,Creationists lose debate because they avoid questions.,evolution,support,Things are certainly quiet on the creationist front these last few days. Even Montalban is no where to be seen........ his gaelic Hail Mary sig is conspicuous by its absense.,1,2,topic_stance_votes_1
2,Creationists lose debate because they avoid questions.,evolution,support,-------------------------------------------------------------------------- Iff God created man in his own image and i look like God is God in a lot of trouble???,1,3,topic_stance_votes_1
3,Creationists lose debate because they avoid questions.,evolution,attack,"What you really mean is - Creationists don't answer the way you'd like them to. The fact is they usually get bored with presenting good evidence, only to have die hard evolutionists refuse to acknowledge the good science behind their claims. That's what seperates evolutionists from real scientists.",1,4,topic_stance_votes_2
4,Creationists lose debate because they avoid questions.,evolution,attack,"This is nonsense: if you think you have ""good science"" to substantiate your creationist claims, then state your case.",4,5,topic_stance_votes_1
5,Creationists lose debate because they avoid questions.,evolution,support,"And just what is the number of ""real scientists"" that acknowledge the good science behind creationist claims? And why is it that over 99% of the biologists in the U.S. accept evolution and reject classic creationism? You make statements that are patently untrue.......",5,6,topic_stance_votes_1
6,Creationists lose debate because they avoid questions.,evolution,attack,there seems to be an alleged lack of substantial evidence provided by the creationist to support their views is what I'm gathering from the other side......come to my thread and post your questions then.......hope I can answer them........,6,7,topic_stance_votes_2
7,Creationists lose debate because they avoid questions.,evolution,attack,"I hope you can answer them too! --> From reputable scientific sources that have been peer-reviewed... rather than cut-and-paste from non-scientific websites.
The concept of creationism has significant evidence in it's favor -- as long as one accepts non-scientific 'evidence' such as religious documents and beliefs. The point at which the Young Earth Creationist viewpoint falls apart is when comparing it against objective evidence that can readily be verified by anyone who wishes to do so.
As a belief, Young Earth Creationism is steadfast and unshakeable... because it does not rely upon any objective scientific evidence -- more of which is continuously discovered. Rather, YEC relies upon the 'unchanging' word of God as it was written many centuries ago and as is sometimes believed --> written in the hearts of all of humanity.",7,8,topic_stance_votes_1
8,Creationists lose debate because they avoid questions.,evolution,support,"It's interesting that you put quotes around non-scientific ""evidence"": I think the quotes are justified because creationist examples of evidence in support of the existence of God, a universe designed by a supernatural agency, etc., have absolutely no validity from a scientific viewpoint.
The ""evidence"" for an almighty Eye in the Sky watching over and guiding humanity would not satisfy a rational enquiry into the merits of the case.
The question arises then, is ""evidence"" the right word for describing the assertions that creationists make in support of their faith ?",8,9,topic_stance_votes_1
9,Creationists lose debate because they avoid questions.,evolution,support,"99%??
I'd say it's more like 99,999/100,000.",6,10,topic_stance_votes_1
