,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Death Nail,evolution,support,"It has been shown that animals change biologically without the need for RM + NS. You evolutionists obviously do not disagree with this. My contention is if plasticity can change the size, color, shape of animals (ie finches, peppered moths, tadpoles, etc) then this could give the ILLUSION of evolution in the fossil record. Do you evolutionists understand this concept? Do you understand how if a peppered moth has morphological abilities then it might give the ILLUSION that ""selection"" made these creatures ""evolve""? Same with the beaks of Darwin's/Grant's finches. I wrote a huge post on how animals emerge pre-adapted, and continue to adapt throughout their lifetimes. Do you not see how this could give the ILLUSION of evolution? -- you've already attributed both the peppered moths and finches as examples of evolution -- yet each case is most certainly an example of either plasticity or the ""throwing of switches"" during development.
And see here's where the evolutionary magic fairy dust comes in; all you guys have to do is NOT TEST ANYHING!!! Don't test to see if animals emerge with correct traits. Don't test to see how future generations may emerge with new colors, shapes and sizes to match their new environment. That way it's easy to say -- ""Oh well, that's not evolution because furture generations will not change"" or ""Oh animals cannot pass on acquired traits."" Both of these are intellectually dishonest statements....the first one is simply untested and ignored, the second is a strawman.
Indeed, evolutionary scientists simply do not test future offspring upon environmental changes -- that way they can continue the dishonest myth that their way is the only way..........but it's not the only way.
Yet then many evolutionists will say ""oh well....plasticity has evolved over millions of years""
Well heck, has Lamarckism evolved too? This logic is humorous because with one stroke of the pen (keyboard) you have unfalsified your theory. In otherwords you have the following explanation of evolution......yet if that doesn't work out for you, you can always wave your hand and attribute it to ""evolution"":
Evolution is a strange mechanism.
When we say ""animals adapt to their environment"" what we really mean is:
an animal produces offspring or ""replicates""
the replicates are close to the original, but not exact copies
some of these copies survive and replicate again, others die before they can replicate which copies replicate and which die before they can do so is influenced by the environment inexact copies whose differences make them less well adapted to the environment have a higher probability of dying, those better adapted get a higher chance of surviving to replication age.
Individual animals do not adapt to their environment
http://robert.cailliau.free.fr/ByLet...Evolution.html
By the way -- I still have not gotten a decent explanation of how plasticity happens if there is no intelligence in the genome to decipher external conditions. Morphological change begins with a conscious awareness of external conditions...which translates to a physical change. This falsifies your theory in my eyes. ---- You cannot tell me that a morphological change in response to a predator happens simply because of a ""chemical reaction."" Every creature has brain -- and they all use it differently.
---------------------
http://www.fiu.edu/~donnelly/termpaperex1.pdf#search='plasticity%20body%20struc ture'
1) in the presence of a predator, eggs can hatch at later times:
..... Flatworms (Phagocotus gracilis) were used as
predators or predator chemical cues upon salamander larvae (Ambystoma texanum and Ambystoma barbouri). The presence of the flatworms and their cues induced the eggs to delay their hatching time. This resulted in larger, and more advanced hatchlings. This finding supports the earlier field observations that the flatworm preyed heavily on smaller, less developed hatchlings. This shift in hatch time is adaptive and supports greater hatchling survival (Sih and Moore 1993).
Any evolutionists care to explain this phenomenon? How can this near-miracle happen without intelligence? 
2) specific morphological changes happens due to predators: 
In 1997 McCollum and Leimberger examined the morphological changes that
arose in the gray treefrog (Hyla chrysoscelis) in response to the presence of a predatory dragonfly (Aesha umbrosa). The larvae that were reared in the presence of the predator differed in shape and in color than those that were reared in predator free environments. The treatments exposed tadpoles to tail damage and to chemical cues of the dragonfly feeding on conspecifics. The tadpoles responded plastically by altering their color and tail shape. The tail was extended, presumably increasing swimming speed and hence survivorship. The color change was seen in the tail. The appearance of color on the tail is thought to attract predatory attacks on the tail rather than on the body.
3) specific behavior changes as a result of predators
Larval anurans have demonstrated phenotypic plasticity in response to variation in food availability (Anholt 1998). It has been argued that food availability and predation risk are intertwined. This can be demonstrated when food resources in an environment are high, search time by prey is reduced and predation success may suffer. During times of limited
food availability search time may be lengthened, thus increasing prey vulnerability to predation (Anholt and Werner 1998). In the presence of predators, search time is reduced as activity is restricted to avoid predation. 
4) Diet induces developmental changes in physical characteristics.
Depending on their diet, individuals (tadpoles) of both species develop into either a small-headed omnivore morph, which feeds mostly on detritus, or a large-headed carnivore morph, which specializes on shrimp. 
http://www.citeulike.org/user/balicea/article/454684
--------------------------------------------------------------
Thus if plasticity can instantly effect the hatch time of eggs, the size, shape, color, and physical/behavior characteristics of an animal, then about the only place I see a role for random mutations via natural selection is in the wishfully creative minds of evolutionists.
And this study is just on tadpoles. Does anyone think that this is not a world-wide, creation-wide phenomenon? Of course it is. Every creature is a product of their environment. Traits are formed from the beginning of conception -- all the way throughout life. Over time, this may give the illusion of ""evolution"" in the fossil record. 
This would explain why there are virtually no intermediate fossils. This would also explain why gradualism is not found in the fossil record. This would also explain why evolutionists cannot give us any example of random mutations that could lead to cumulative selection -- because they don't exist. S",0,1,topic_stance_votes_2
1,Death Nail,evolution,attack,"Not by any means. Evolution works on genetic change that future generations will inherit. Adaptation does no such thing. It changes an individual, but not its genes.
For example, if my parents volunteered to be part of a scientific experiment where they two additional arms fused onto their body before I was ever conceived, I would not be born with two extra arms.
On the other hand, if a genetic mutation made it advantageous to have two additional arms, and both my parents had that mutation, I would be born with both arms.
So the first one is untested, you say? Okay, it’s your loss for suggesting people can inherit non-genetic change like the fusing of extra arms on their parents’ body.
The only traits animals can pass are genetically-acquired. That is a fact. It’s tested by mere observation of the world around us. You could test it too, for all I care. Buy an aquarium and put a pet lizard in it. Chop off the lizard’s right arm. Then give him a wife and chop off her right arm, too. Once they’ve had eggs and the eggs hatch, count the number of arms the baby lizards all have. Logic and observed scientific fact tells us that they will have four limbs—right arm included.
Excellent quote mine. The salamanders were larger because—gasp!—they stayed in the egg longer! Did the larger salamander offspring inherit the size change? NO.
Rofl… What were they supposed to do if they stayed in the egg longer with more time to feed off of it? Shrink?
Did the tadpoles pass on their altered color and tail shape? NO. Evolution worked to make it so that the tadpoles could adapt their tail color and shape whenever the need arose. Without the genes to adapt like that, they wouldn’t be able to adapt.
… That’s pure animal behavior. That’s no more logical than saying since I saw a car on the street and moved out of the way that evolution is wrong.
No inherited change, as usual. The ability to change is the only thing inherited here, as usual.
Evolution explains the examples’ abilities to adapt. Without it, you’re in the hole.
Fossils show inherited change. Adaptation does not.
In that case, your idea is already falsified, because there are too many intermediate fossils to count.
Uh, how?
Besides the hundreds of cases in which such things are directly observed, I guess you’re right.",1,2,topic_stance_votes_1
2,Death Nail,evolution,attack,Look up the evolution of colour vision in primates. It's my personal favourite - but what do you think?,1,3,topic_stance_votes_1
3,Death Nail,evolution,support,"Well Spam&Scram is certainly the strangest of the anti-evolution crowd I've come across. He even proclaims that animals change as fact, not something that Creationists concede lightly.
He claims to know very little then decides he knows it all... (OK that's more like a Creationist.)
It might be intresting to see what happens if he came into contact with Creationists.",3,4,topic_stance_votes_1
4,Death Nail,evolution,support,"Some creationists would probably think he's a genius. Unfortunately for him, that's not exactly something to brag about.
This example was used on IIDB and shows the dichotomy with which SS's views conflict with reality: Polar bears are birthed in temperate climates all the time, thanks to zoos. Do they revert back to the fur color of a brown bear? No. Instead, SS finds a picture of dirty polar bear cubs and says, ""Look, brown!""
Another good simple counterargument is that superspeed adaptation would prevent anything from dying due to extreme conditions at birth. Maybe SS would like to take his chihuahua to Antarctica to birthe its puppies and see if they even live, let alone look like Siberian huskies.",4,5,topic_stance_votes_1
5,Death Nail,evolution,support,"Isn't the expression, ""death knell""?
What is a death nail?",5,6,topic_stance_votes_1
6,Death Nail,evolution,attack,"Codswallop. Nothing of the sort has been shown. It has been asserted without evidence.
Sadly for you, the example of the peppered moth, Biston betularia, is an example of a single point mutation on a single gene that has caused the change. In other words, f. carbonaria is the result of a dominant allele, while f. typica is the corresponding recessive. Additionally, there are three other point mutations to the same gene that are known that produce an intermediate form (f. insularia or f. medionigra). These alleles show incomplete dominance.
Similar mutations to the same gene in other species of moth have been observed to cause similar changes in those species. The gene has, or course, been identified and sequenced, and breeding research has shown that it always holds true: a f. carbonaria always produces f. carbonaria offspring, while f. typica does so only if both mates are f.typica.
Since the color changes to the population of moths (first white to black, and then black back to white) have been demonstrated to have been caused by a change in the allele frequency in a population over time, this is an example of evolution. It isn't a ""preadaption"" that is induced by environment, or plasticity or the ""throwing of switches"". It is genetic. Research has shown it to be genetic, and no amount of raving babble will change that.
By the way, I thought you said you were leaving. How can we miss you if you won't go away?",1,7,topic_stance_votes_1
7,Death Nail,evolution,support,Yes. But consider the source.,6,8,topic_stance_votes_1
8,Death Nail,evolution,attack,"Many evolutionists admit that animals only change when the environment changes -- yet this is precisely when plasticity kicks in. However, you evolutionists still claim that it takes thousands/millions of years for animals to ""adapt"" to their environment....What kind of nonsense thinking is this since you obviously are so in love with plasticity?? -- which can quickly alter shape, color, size, structure, and behaviors of animals? And why is it that animals who don't often change their environments are the very same animals who havent ""evolved"" in millions of years...ie...crocodiles, sharks, bats, etc?
And don't get confused: heredity -- or lack of it -- has nothing to do with this. We are talking only about FOSSILS that are dug up out of the ground and physical, biolgical change. 
So my question is this: if animals only evolve when they experience a change in their environment, and if a change in environment activates an adaptive response (plasticity) in all animals of a population, then what kind of logic makes you believe that it takes thousands/millions of years for populations of animals to ""adapt?"" If every creature in the population changes its phenotype at the same time in response to an evironmental cue (diet, temperature, predators, etc), this could give the illusion of evolution -- or change -- in the fossil record. This illusion could be attributed to RM + NS by highly-motivated, deceptive atheists who have agendas.",5,9,topic_stance_votes_2
9,Death Nail,evolution,attack,"No. You won’t find a single biologist anywhere who says something so ridiculous.
No. Adaptation occurs over a single lifetime.
That only occurs with some animals under very specific conditions. And low and behold, animals need the genes that code for it.
LOL. “Bats haven’t evolved in millions of years”… 
It doesn’t work that way, as you’ve been told and shown evidence of dozens of times.
None. It doesn’t take thousands/millions of years to adapt, as you’ve been told and shown evidence of dozens of times.
Great idea. Explain why all the tests that prove it wrong are irrelevant.
Since when is Kenneth Miller—and the millions of other religious evolutionists—atheists?",9,10,topic_stance_votes_1
