,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,The Great American Fossil Hoax,evolution,support,"In this post I'm going to expose the Great American Fossil Hoax, and make evolutionary scientists look like the complete fools they are. I'm going to quickly expose evolutionists' scam that there are any transitional fossils...and in the process I'm going to falsify human evolution.
First of all, what you have to realize is even if there were transitional scientists would not be able to prove it. There have been billions of fossils dug up out of the ground. Even if science were able to line up a long, gradual lineage of fossils side by side, from smaller to larger, for example, they still would not be able to prove that one came from another. Heck, what if you had several corpses buried in your backyard from 500 years ago??...who's to say which came from which -- or even if they're related at all? The reality is, there's simply no way to prove it.
please look at the following link:
http://www.accessmylibrary.com/comsi...=0286-11970623
From the smallest Chihuahua to the biggest Great Dane, all dogs emerge from the same basic set of genes.
So, you have a tiny chihuahua compared to the huge Great Dane. Same genes. Think of all the different varieties and sizes of dogs in between. Likewise they most certainly have the same sets of genes. Now think about thousands of years. Who could ever tell if one dog is ancestral to another? Their size and shape obviously have nothing to do with genetics. I could line up the bones of a Chihuahua and then a cocker spaniel, and then a Labrador and then a great Dane and say, ""WALLAH, there you have it, Darwian evolution!"" That ain't how truth, logic, and scientific honesty works! Yet, that's exactly what evolutionists do!
The reality is a change in phenotype is observed as evolution in the fossil record. But there is no way to tell from the fossils whether the changes in continuous records were caused by variation arising in the genotype or only in the phenotype. We all know now that the environment plays a role in expressing genes (you do know that genes can't turn themselves On and Off, don't you?)....thus a change in environment may alter the phenotype of the organism, yet there would be NO MUTATION and NO SELECTION. Do you simple-minded evolutionists get this very simple concept? The logical person can't help but ponder how much of the fossil record has been misconstrued by desperate evolutionists as examples of Darwinian evolution when it was nothing more than a phenotypic expression without any change in the genotype.
But it gets better. Everyone knows how evolutionists like to dig up human bones and compare and contrast their different sizes and shapes...and everyone knows how they then make evolutionary assumptions based on these physical appearances. Heck, the changes in human appearance over time IS evolution....it is THE scientific method.
I have long argued on here that this is a racist mindset. To label and judge people based on their physical characteristics is, in my opinion, immoral. But science, to this very day, continues scouring the earth looking for fossil humans so they can label and (mis)characterize their bones. But it turns out that each human being's physiology has nothing to do with evolution -- it has nothing to do with genes -- but simply represents the adaptability of the human genome to the local environment.
The reality is, despite height, skin color or skull volume, the human race is only one race -- the human race....and genetics has virtually NOTHING to do with physical appearance:
http://www.augsburg.edu/education/edc210/race-myth.html
""Science got us into this problem in the first place, with its measurements of skulls and its emphasis on racial differences and racial classifications,"" he said. ""Scientists should now get us out of it.""
Venter and scientists at the National Institutes of Health recently announced that they had put together a draft of the entire sequence of the human genome, and the researchers unanimously declared that there is only one race -- the human race.
Most scientists in the field say that those traits most commonly used to distinguish one race from another, such as skin and eye color, or the width of the nose, are traits controlled by a relatively few number of genes, and have changed rapidly in response to extreme environmental pressures during the short history of Homo sapiens.
""If you ask what percentage of your genes is reflected in your external appearance, the basis by which we talk about race, the answer seems to be in the range of 0.01 percent,"" said Dr. Harold Freeman, the chief executive, president and director of surgery at North General Hospital in New York City, who has studied the issue of biology and race. ""This is a very, very minimal reflection of your genetic makeup.""
and another:
http://www.amnh.org/exhibitions/geno...nety_nine.html
No Biological Basis for Race
Look around you: no two people are exactly alike. But believe it or not, we all share 99.9% of the same DNA.
New data from the mapping of the human genome reveal that all humans are incredibly similar-in fact, we are 99.9% genetically identical. We are all members of one species, Homo sapiens. Scientists have confirmed, as they long suspected, that there is no genetic or biological basis for race. 
No matter how scientists today scrutinize a person's genes, they can't determine with certainty whether an individual is from one ""racial"" group or another. Differences of culture and society distinguish one group from another, but these distinctions are not rooted in biology.
So if outward appearance including skull size and shape, nose size, bone density, etc are not a reflection of our genetic makeup, then why do scientists make evoluitonary assumptions based on the shape of one's skull when they dig it up out of the ground???? How could they ever make evolutionary assumptions about any fossil if such traits can be modified by environment? 
Look at the following link:
http://www.harvardmagazine.com/on-line/0103109.html
But we are just beginning to understand an unexpected new paradigm: certain genes that regulate phenotypes—groups of physiological traits and behaviors—are actually under social control. A genome, the complete collection of an organism's genes, is plastic, Hofmann contends. The environment—even social and cultural contexts—can switch genes on and off.
He goes on to say that up to 14 different phenotypic expressions are controlled by the environment or social control. Any of these expressions could be viewed as examples of darwinian evolution if haphazardly observed over a period of years in the wild. But this guy shows that selection had nothing to do with the phenotypic changes, instead they're just morphological phenomenons that had nothing at all to do with mutations or genes.
Yet, evolutionists, for years have been attempting to claim that certain fossils are transitionals, or that there are actually gradual lineages, no doubt accomplished by darwinian mechanisms. This is nothing but wishful thinking, speculation, and a desire/need to fool the public. 
The reality is, the thousands of varied physical features, such as shapes of eyes, ears, nose, mouth, height, bone structure, body shape, and other characteristics....just like in dogs....are all controlled in the same way, by the same genes being modified by the environment.
And since genes cannot be tied to physical traits, this effectively falsifies the current scientific explanation of human evolution.
The ""evolution"" of humans is a FRAUD masquerading as science and you evolutionists are continuing to fool yourselves if you believe otherwise. Science has TRICKED you.
The fossil record does not prove evolution. The fossil record proves nothing. Any ""proof"" of evolution would have to come from somewhere else. Of course, proof and valid evidence for evolution always comes from somewhere else.
Race is a social concept, not a scientific one,"" said Dr. J. Craig Venter, head of the Celera Genomics Corp. in Rockville, Md.
Oh, but it gets better. 
http://www.dailymail.co.uk/pages/liv...e_id=1770&ct=5
Human and Neanderthal DNA 99.9% identical
Dr Edward Rubin, one of the US and German researchers who have started to sequence the ancient DNA, said: 'We are at the dawn of Neanderthal genomics. 
Fossil remains have already shown that Neanderthals looked different from us, with heavy brows, low foreheads, and receding chins. They were also much more robustly built than modern humans. 
lol!!!! So now, instead of genes, science is rearing it's ugly racist head and proclaiming that Neanderthals were a different species not because of their genes, but because of the shape of their skull and their receding chins! 
Racist Pigs.
The theory of evolution is just so sad and pathetic....it's hanging on by life support and nothing else.... It just makes you want to shoot it in the head like a sick, rabid animal to quickly put it out of its misery.",0,1,topic_stance_votes_2
1,The Great American Fossil Hoax,evolution,attack,Keep up the good work in your other threads too. emoticonXGood,1,2,topic_stance_votes_1
2,The Great American Fossil Hoax,evolution,support,"Actually a lot of this work is done by European and African scientists (If you don't know where they are, look on an a globe (or an atlas if you can't cope with the spinning)), so attacking American scientists kinda shows how ignorant you are.",2,3,topic_stance_votes_1
3,The Great American Fossil Hoax,evolution,attack,"So tell me....knowing that the human race is 99.9% the same, and that ""No matter how scientists today scrutinize a person's genes, they can't determine with certainty whether an individual is from one ""racial"" group or another""....how can you justify how the racist scientists can hold up a skull and make judgements about it? How could they possibly construct a human phylogenetic tree if traits are modified by enviornment, not dictated by randomly mutating genes? How can the pigs in science proclaim that Neandethals were a different ""species"" based not on their genes -- which are 99.9% similar as ours -- but their receding chin and large skull? Evolutionary science is full of nothing but good-for-nothing, monkey-loving, chance-worshipping, racist fools.",3,4,topic_stance_votes_2
4,The Great American Fossil Hoax,evolution,attack,"There is some belief within the scientific community that neanderthals cross-bred with sapiens to produce modern-day caucasian Europeans. This explains the big nose, wider head, etc.
... How could that possibly be racism?",4,5,topic_stance_votes_1
5,The Great American Fossil Hoax,evolution,support,"From Wikipedia here:
Racism is a belief system or doctrine which states that inherent biological differences between human races determine cultural or individual achievement — with a corollary that one's own race is superior and has the right to rule others. 
I'm not sure what 'racist scientists' would make of it. Scientists don't make any judgements about whether Homo sapiens should rule over Homo erectus, due to the fact it's a) pointless, and b) not scientific. 
Making a judgement about a skull, based on its cranial capacity, and on its general morphology is perfectly normal, and is something we do looking at animals all the time (humans are also animals, before you start the God-drivel). Scientists are merely studying their position relative to modern H sapiens, whereas you seem to be assuming that those things lower down the tree are sub-human. What does that make you? 
As has been explained to you before, the expression of the genes in the different environment is what leads to the selection process. A phylogenetic tree simply tracks the emergence of phenotypes (which in turn can be said to track the appearance of new geneotypes). Simply, phylogenetic relationships merely track degree of shared characters. There's no connotation of superiority as you assert...
The 'pigs' in science proclaim Neanderthals are a different species due to the broad morphological differences (more than just skull characteristics), due to thier different lifestyles (from the archaeological evidence) and thier different movement histories. The former of these is the more important, but the latter can be argued to be contributing factors.
Given your contribution to the world of knowledge, that's not really much of an insult...
Are you planning on explaining what the problem you have with monkeys is? I did ask you before but you ran and hid. 
Yawn. You've been toasted on this before and I can't be bothered to do it again. Just ask Pandion or electrolyte if you need a refresher...
You don't seem to know what racism is, so I'm not suprised. You're the one who interprets the word primitive as sub-human. I seem to recall various comments on people not using the correct definitions of words.",5,6,topic_stance_votes_1
6,The Great American Fossil Hoax,evolution,attack,"Then you don't have a morphological progression that coincides with the geologic column. You seem to be overlooking this point.
You mean, many of the same genes, but not identical genotypes. Quit lying.
Did you find this in a stratigraphic progression? No? Then quit pretending you know what scientists would say. You're the last person here (as shown below) who should be making claims about scientific conclusions.
I understand the concept: you're saying that archaebacteria from billions of years ago contain the same genetic information as humans. Please find human genes in archaebacteria.
Can you tell a male human from a female human? Then you must be a sexist! (Seriously, this is an analogue of your argument. You obviously don't even know what racism is.)
It would behoove you to read, but none of us think you really want to. Your own quote talks about more than skulls and chins.
What's funny is that people have been saying this for over 140 years...",1,7,topic_stance_votes_1
7,The Great American Fossil Hoax,evolution,support,The Nebraska man was also proved to be a fake as well.,1,8,topic_stance_votes_2
8,The Great American Fossil Hoax,evolution,support,"Think about it... 
The ""theory"" of evolution is 100% false. Look around you and compare yourselves to people that have lived 500 years ago, or 1 or 2 millenniums ago. Nothing has changed by what we look like, or anything like that!
Yes, people were averagely shorter, .etc a long time ago, but this is because of the fact of what they ate, not because of evolution. 
If evolution were true, than explain how billions and billions of different organisms could've evolved from one another, or how they were put on Earth. Creationism plays a major part...",8,9,topic_stance_votes_2
9,The Great American Fossil Hoax,evolution,attack,"electrolyte: Then you don't have a morphological progression that coincides with the geologic column. You seem to be overlooking this point.
There is no geologic column. That is as much of a fraud as the frauds who put this theory together.
You mean, many of the same genes, but not identical genotypes. Quit lying.
You obviously did not read my links:
Science got us into this problem in the first place, with its measurements of skulls and its emphasis on racial differences and racial classifications,"" he said. ""Scientists should now get us out of it.""
Venter and scientists at the National Institutes of Health recently announced that they had put together a draft of the entire sequence of the human genome, and the researchers unanimously declared that there is only one race -- the human race.
Most scientists in the field say that those traits most commonly used to distinguish one race from another, such as skin and eye color, or the width of the nose, are traits controlled by a relatively few number of genes, and have changed rapidly in response to extreme environmental pressures during the short history of Homo sapiens.
""If you ask what percentage of your genes is reflected in your external appearance, the basis by which we talk about race, the answer seems to be in the range of 0.01 percent,"" said Dr. Harold Freeman, the chief executive, president and director of surgery at North General Hospital in New York City, who has studied the issue of biology and race. ""This is a very, very minimal reflection of your genetic makeup.""
and another:
http://www.amnh.org/exhibitions/geno...nety_nine.html
No Biological Basis for Race
Look around you: no two people are exactly alike. But believe it or not, we all share 99.9% of the same DNA.
New data from the mapping of the human genome reveal that all humans are incredibly similar-in fact, we are 99.9% genetically identical. We are all members of one species, Homo sapiens. Scientists have confirmed, as they long suspected, that there is no genetic or biological basis for race. 
No matter how scientists today scrutinize a person's genes, they can't determine with certainty whether an individual is from one ""racial"" group or another. Differences of culture and society distinguish one group from another, but these distinctions are not rooted in biology.
What does this mean to you, genius?????
I understand the concept: you're saying that archaebacteria from billions of years ago contain the same genetic information as humans. Please find human genes in archaebacteria.
No what I'm saying is what I said -- not what you just said. Try again.
Can you tell a male human from a female human? Then you must be a sexist! (Seriously, this is an analogue of your argument. You obviously don't even know what racism is.)
Yea, racism is calling people ""sub-human"" or ""brutes"" or wondering if they could talk simply by judging the shape of their skull.
What's funny is that people have been saying this for over 140 years 
Gee I wonder why -- because it's true, maybe??....that ToE is pathetic? yea, that could be it.",7,10,topic_stance_votes_2
