,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Three problems of evolution,evolution,support,"1 - There is no scientific law that allows something to evolve from nothing. If there was nothing in the universe to begin with, obviously nothing could happen to cause anything to appear. 
2 - No scientific law can account for non-living things’ coming to life. The soil in your garden didn't turn into the trees and flowers. They came from seeds, cuttings, or grafts from other trees and flowers.
3 - There is no known scientific law that would allow one kind of creature to turn naturally into a completely different kind. Insects don't evolve into more complex non-insects for instance, because they don't have the genes to do it.",0,1,topic_stance_votes_2
1,Three problems of evolution,evolution,attack,"This has nothing to do with evolution and so is not a problem for evolution.
Two things here. 1. ""non-living things? coming to life"" has nothing to do with evolution and so isn't a problem for evolution. 2. Soil in your garden is made from dead ""trees and flowers"": it is a living organism of sorts and most certainly isn't a ""non-living thing"".
Yes there is such a law: it is called natural selection. Insects do not ""evolve into more complex non-insects"" because there is no selection pressure upon them to do so as they are already incredibly complex organisms that fit their niches very well.
There are problems with evolution, but you haven't listed any. You have simply listed three problems with your understanding of evolution. My guess therefore is that you are an ignorant YEC supporter as you express opinions, based on flawed knowledge, on a subject about which you know next to nothing. This separates you from the non-ignorant YEC supporter who simply lies.",1,2,topic_stance_votes_1
2,Three problems of evolution,evolution,support,"The theory of evolution is about LIFE evolving from LIFE, it has nothing to do with the state of the universe ""to begin with"".
The theory of evolution is about LIFE evolving from LIFE, it has nothing to do with LIFE arising from NON LIFE.
My definition of ""kind"" goes like this:
A poodle is a kind.
A dalmation is a different kind.
As we know that poodles can evolve into dalmations, therefore one kind can evolve into another.
If you disagree please specify how exactly I am supposed to define kinds. If you cannot then please don't be annoyed when I continue to use my own tried and tested definition rather than yours.
-The evolution of new genes has been observed.
-Read up about what a scientific law is.",2,3,topic_stance_votes_1
3,Three problems of evolution,evolution,support,"The posts above are correct in that evolution does not involve the origin of life. In fact, Darwin didn't even consider the origin of complex organs such as eyes as part of the theory. But, to play along, I'd like to address it anyway.
Life didn't originate from ""nothing"". As I understand it (which may be admittedly flawed, so if anyone has a better understanding, just chime in), conditions in the pre-biotic Earth's atmosphere allowed for the formation of basic (inaminate) amino acids, proteins, and nucleotides in the oceans. A chance formation of a nucleotide that could duplicate itself marked the beginning of heredity. 
Some molecules ""survived"" longer than others because of their different formations. For example, nucleotides wrapped in protein shells would be more protected and last longer than those that had no shells. Thus, viral pre-organisms emerged and eventually formed bacteria. 
Conceptually, bacteria that work together could fill a niche. These cooperative bacteria started working together and eventually formed proto-cells. Furthering this logic, cells that work together could fill a niche, too, and so they formed tissues. You could apply a similar logic along the line until you get to a complex organism, such as an animal. 
Your third concern goes back to Darwin's avoidance of the problem of emergent features, and I think it is a valid criticism. Eyes and wings can't just pop-up out of nowhere. However, many of the phenotypes for animals are strikingly similar. For example, the same basic bones exist in a human arm as in a reptile's leg, a bird's wing, and a fish's fin. Their form is remarkably different, yet their similarities hint at similar origins. I suspect something similar happened with the development of emergent features (i.e., eyes), but the emergence was slow and so far in the past that its true origin is difficult to ascertain.",3,4,topic_stance_votes_1
4,Three problems of evolution,evolution,attack,"If there was nothing in the universe to begin with, where did god come from?
And, like others have said, this has nothing to do with the Theory of Evolution. 
I don't know what ""scientific laws"" have anything to do with it, but there are people doing research that is trying to figure out exactly what you are talking about, how life could have come from non-life. Of course, we'll never know how it happened exactly without a time machine, but certain people are working on ways to simulate what may have happened and synthesize self-sustaining reactions and self-replicating vescicle structures in attempts to mimic how life may have first started. 
One thing of interest is that a 3-carbon sugar has been spectroscopically identified in intersteller gas. If this reacts with formaldehyde (2 of them), fairly common in interstellar clouds as well, you get ribose. Miller-Urey showed that under certain conditions believed to exist on the early earth, you can get naturally occuring amino acids as well as purines and pyrimidines. There is a mineral called montmorillonite (comes in scoopable kitty litter). It was found that mont. surfaces catalyze the formation of RNA from individual nucletotides. Remarkably, the same mineral also catalyzes the formation of vesicles from a mixture of fatty acids. Put these all together and you have RNA inside a vesicle (a protocell?). Anyway, this is just part of the basis for this type of research, but I think it's a good illustration.
http://www.rpi.edu/~straca/NSCORT/chem.html
http://www.biomedcentral.com/news/20031024/02
You're right. An individual insect doesn't spin around and poof he's a dog. But, if you laid out individuals in a line, generation by generation, over a long period of time, there would be such small differences between generations that one couldn't tell the difference. If you then jumped from one generation to one born millions of years later, there may (or may not) be a discernable difference. One insect doesn't have the genes to become a dog, but over time, changes accumulate in the genome that a distant descendant may be quite different from it's distant predecessor, and it could even be a different species.",1,5,topic_stance_votes_1
5,Three problems of evolution,evolution,support,"The interesting thing to me is that it is repeatedly stated that evolution is not concerned with the origin of life. However, evolutionists continuously use evolution as an argument against creation, which is concerned with the origin of life.
So, evolutionists are arguing something that they should not be arguing.
Even if you do want to make the argument, however, you have to look at the origin of life. Whether you want to admit it or not, creation is about exactly that. Creation. It all starts with God creating the heavens and the earth and Adam and Eve. We, creationists, believe that and admit that. My question is...where does your 'belief' start?
However you believe (and that is what it is...a believe system) that a person is created, you will eventually, after tracking it back come to a point where you will have to question how things came to be. Maybe you get all the way to the beginning of time and you find yourself with a molecule of some matter. The question is...where did it come from.
My point is this...at some point you will have to account for the beginning of all things. The only answer for this is some sort of supernatural event and the only good answer to that supernatural event is God. Unless you know of a better one that I have not heard before. But, I doubt it.
In God's Love",1,6,topic_stance_votes_2
6,Three problems of evolution,evolution,attack,"You are commiting the fallacy of composition.
That every thing in the universe has a cause tells us nothing about the universe itself.",6,7,topic_stance_votes_1
7,Three problems of evolution,evolution,attack,"This is untrue. ""Evolutionists"" use the evidence around them to argue that a literal ""young earth"" reading of Genesis is blatantly false, ie that YEC supporters are wrong. Many ""evolutionists"" though are Christians who believe that God used evolution as his tool of creation. Only YEC supporters try to paint evolution and creation as mutally exclusive. They are not, as evolution is not concerned with beginnings; it is concerned with change.
I don't have any belief in this area. I don't know how life started and accept that I probably never will know. It might have started through a God ""magicking"" the first cell into existence, it may have started through purely random natural processes or anywhere in between the two. One only has belief and faith in this regard when one claims to know how life started. ""I don't know"" is not belief.
Some of us are capable of accepting ""I don't know"" as an answer to this question though.
And the answer is: we don't know. Maybe it came from nowhere. Maybe it was created. We don't know.
Tell me, what made your God? Your answer will likely be ""nothing, God has always been"". Why the need for the God though? Why not ""the universe needs no creator; no beginning: the universe is its own creator and its own beginning""? Why do you accept the causeless when it's called ""God"" but not when its called the ""Universe""?",6,8,topic_stance_votes_1
8,Three problems of evolution,evolution,attack,"There's a ""crux"" if there ever was one.",8,9,topic_stance_votes_2
9,Three problems of evolution,evolution,support,"Forgive me, I'm new to this. What does ""YEC"" stand for?
Also, to say that evolution isn't concerned with ""beginnings"" seems disingenuous to me. Couldn't it as easily be said that change marks the beginning for some species? I would say that evolution most certainly can be used to explain the beginning of many species we know today.",8,10,topic_stance_votes_1
