,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,When will human technology allow for creation of entirely new life?,evolution,support,"I know this is a bit off topic, but human technology - ranging from genetic manipulation to artificial intelligence - is slowly approaching the point where it is conceivable that within this century humans could be capable of creating an entirely new life form. 
I'm not talking only clones or hybrids - which have already been achieved at various levels - but engineering a new living being from scratch by synthesizing DNA in the full ""design"" that one would desire. Outside of biological designs of this sort, the question also arises whether artificial intelligence could ever advance to the point that one would create a sentient electro-mechanical ""living"" being - where the question would also arise as to what constitutes ""life"". Any such technology is still quite far away but it does bring up interesting moral issues of humans dangerously ""playing God"". Already moral questions of human - animal hybrids or human clones have started to become relevant since the technology seems to be just around the corner. 
If anybody is interested in these issues, this forums seems as good a a place as any to discuss them. What are your thoughts - either on the morality behind human manipulation / creation of life or on the potential technology behind it?",0,1,topic_stance_votes_1
1,When will human technology allow for creation of entirely new life?,evolution,attack,"If you mean starting from scratch with absolutely no genetic material at all as part of the formula or equation, then I don't believe man will ever accomplish that. Only God can create new life from nothing, or from non life shall we say.",1,2,topic_stance_votes_2
2,When will human technology allow for creation of entirely new life?,evolution,attack,"Well, man might someday gain the capability of fully synthasizing a molecule as complex as DNA from scratch. Of course, he would use the knowledge gained from studying how various DNA codes affect natural biological characteristics in order to properly design that DNA to achieve the desired characteristics. It might be even more difficult to then take that synthesized DNA and put it in an egg and artificial womb that has no natural (as opposed to artificial) biological parts, but even that might be achievable someday through chemical construction. All this means is that humanity might someday be able to copy the methods of nature to create a new being - perhaps even use creativity to create beings of very different natural functions than we see in our world.
It is all interesting to think about and could well be achievable within this century. We already are capable of a large degree of genetic manipulation through cloning and hybridization. One would think that it will only be a matter of time before more complex technologies get developed.
The other question, of course, is - If we could someday create new life using our technology, should we? That would bring up a whole host of issues, including:
- Would we know what we were doing well enough not to cause great harm?
- How would the beings we create be treated?",2,3,topic_stance_votes_1
3,When will human technology allow for creation of entirely new life?,evolution,attack,"Here is a strand of DNA: To think that Man can design, structure and then create such a thing that when fertilized and planted will actually grow into an independent life form with equal and functioning parts is a real stretch for me to even conceive as probable, much less possible. 
http://rds.yahoo.com/_ylt=A0WTb_0OcX...ca8%26ei=UTF-8
 There are approximately 60 trillion cells in the human body. Each of these cells carry material called chromosomes. Along those chromosomes are about 100,000 genes. The gene is what carries our heredity.
It determines everything from our eye and hair color to our risk for diseases like heart disease and diabetes. Inside each gene is Deoxyribonucleic Acid - DNA - whose purpose is to carry out a single function.
""DNA is a polymer,a molecule, made up of a large number of atoms, arranged in repeating units called nucleotides."" ( Criminalistics, Saferstein, Richard, 2001) Nucleotides are then strung together to form thew DNA strand.
There are four bases attached to the backbone of the DNA strand: adenine, cytosine, guanine, thymine. The DNA strand can go on forever containing millions of bases.
Double Helix 
There are actually two DNA strands called a double Helix. They resemble two wires twisted around each other.
The two strands are connected by the four bases, adenine, cytosine, guanine, and thymine ( A,C,G,T).
The pairing of the bases has to go in a certain pattern. Although there can be different sequences, A must attach to T and G must attach to C:
A........T
G........C
C........G
A........T
T........A
C........G
This is called base pairing. Although this is the way the bases must be paired together, there is no limit on how the bases are sequenced on the strand. So there are limitless possibilities of sequencing.
Each strand of DNA has the same information. It's how the bases are sequenced that determines our unique genetic heredity, including any predisposition to certain diseases.
All the human chromosomes contain about three billion base pairs. This is referred to as the genetic code. An individualized code that is as unique to each of us as our fingerprints, except in the case of identical twins.
The complexity of sequencing more than 3 billion pairs of chromosomes in order to create a viable creature in the mammal family is so far beyond mans capabilities today, and will always be in my humble opinion.",3,4,topic_stance_votes_2
4,When will human technology allow for creation of entirely new life?,evolution,attack,"You really need to work on these ultracrepidarian tendencies, you can only embarrass yourself.",4,5,topic_stance_votes_1
5,When will human technology allow for creation of entirely new life?,evolution,attack,"Let me put it this way. You do not have a high opinion of your God's handiwork, do you? We have moved from the discovery of DNA to deciphering the construction of the human (and others') genome in only sixty years, yet you seek only to belittle mankinds achievement in order to boost your invisible friend. Your opinion is indeed humble as it denies man's future progress in deference to ""Goddidit!"".
Where is the debate to be had from your cut-and-pasting something you obviously barely understand as the basis of your argument?",4,6,topic_stance_votes_1
6,When will human technology allow for creation of entirely new life?,evolution,attack,"Talk about sanctimonious, you call this a refutation of what I have said? I posted a basic description of the complexity of what DNA is and you contribute nothing but insults and assumptions that this is all beyond my comprehension because I'm a christian no doubt. If I believe in a personal God I must be stupid right pf? 
And by posting what science has discovered about the complexity of what makes up life, I believe I have convincingly shown how far Man is from duplicating that process from scratch and creating any working animal with all of its parts in order. What I am saying so you can comprehend it pf is that discovering and even cataloging the molecular structure, the proteins and atomic make up of the chromosomes, the genes and the cell structure of DNA doesn't in any way mean we can then create it from scratch and organize it so it becomes a living being of any type. I believe that is a more complex process than we could ever accomplish in the century as was suggested in the OP. 
And by extension, ever because as I said above, creating life from non life falls under the heading of Gods realm of creating something from nothing. We are good at taking raw materials and building them into something new and different, but taking non living matter and creating viable life from it as described in the OP will always be beyond Mans capabilities in my opinion. The Lord will return before we ever could gain such knowledge if such knowledge was even possible to gain. You may not like hearing that opinion, but there it is anyway.
Here again is a breakdown of the complexity of what is the genetic code.
http://rds.yahoo.com/_ylt=A0WTb_0OcX...ca8%26ei=UTF-8 
There are approximately 60 trillion cells in the human body. Each of these cells carry material called chromosomes. Along those chromosomes are about 100,000 genes. The gene is what carries our heredity.
It determines everything from our eye and hair color to our risk for diseases like heart disease and diabetes. Inside each gene is Deoxyribonucleic Acid - DNA - whose purpose is to carry out a single function.
""DNA is a polymer,a molecule, made up of a large number of atoms, arranged in repeating units called nucleotides."" ( Criminalistics, Saferstein, Richard, 2001) Nucleotides are then strung together to form thew DNA strand.
There are four bases attached to the backbone of the DNA strand: adenine, cytosine, guanine, thymine. The DNA strand can go on forever containing millions of bases.
Double Helix 
There are actually two DNA strands called a double Helix. They resemble two wires twisted around each other.
The two strands are connected by the four bases, adenine, cytosine, guanine, and thymine ( A,C,G,T).
The pairing of the bases has to go in a certain pattern. Although there can be different sequences, A must attach to T and G must attach to C:
This is called base pairing. Although this is the way the bases must be paired together, there is no limit on how the bases are sequenced on the strand. So there are limitless possibilities of sequencing.
Each strand of DNA has the same information. It's how the bases are sequenced that determines our unique genetic heredity, including any predisposition to certain diseases.
All the human chromosomes contain about three billion base pairs. This is referred to as the genetic code. An individualized code that is as unique to each of us as our fingerprints, except in the case of identical twins.
",6,7,topic_stance_votes_2
7,When will human technology allow for creation of entirely new life?,evolution,support,"Archie, when you earn for yourself a degree in biochemistry like I have, then maybe I'll listen to you about the ""complexity"" of genetic material. As somebody with an actual understanding of the topic and who doesn't rely upon junior-high level explanation of genetics, I find the entire process elegantly simple, not complex.
In other words, lack of understanding of some process by somebody as clueless as you doesn't render it ""complex""; rather, it just shows your cluelessness.",5,8,topic_stance_votes_1
8,When will human technology allow for creation of entirely new life?,evolution,support,"If you mean starting from scratch with absolutely no genetic material at all as part of the formula or equation, then I don't believe man will ever accomplish that. Only God can create new life from nothing, or from non life shall we say.
According to the experts. creating life from scratch is just 3 to 10 years away!
From here:
http://ezinearticles.com/?Texas-Brac...ears&id=712122
",8,9,topic_stance_votes_1
9,When will human technology allow for creation of entirely new life?,evolution,support,"Fairly long pieces of DNA (oligonucleotides) are already fairly cheap and easily available. Several labs have accomplished the larger feat of synthesising entire viral genomes (polio and smallpox) from scratch. Microbial genomes are only a year or three away. This technology is virtually here.
Designing a totally novel organism from scratch, with completely unprecedented metabolic systems and enzymes, would be a much more difficult feat to accomplish, and I wouldn't anticipate that for decades yet. However, engineered organisms with wholly new functions and features aren't nearly as improbable. Genetically engineered organisms with minor modifications are already agriculturally, industrially and medically important; examples with more extensive modifications should be coming soon.
The problem with religious zealots is they keep themselves deliberately ignorant of science, which is why they rarely have a clue what it is or isn't capable of accomplishing. But they never miss a chance to tell scientists that they know better than scientists do.",9,10,topic_stance_votes_1
