,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,would  proof of creationism change your ethics?,evolution,support,My moral compass does not care if genesis is literally true or not. Can anyone explain why it should?,0,1,topic_stance_votes_1
1,would  proof of creationism change your ethics?,evolution,support,"Well, if Genesis was in fact true, then we would have to assume that God is real and the Bible more or less explains what he wants, right? And if there is someone ""up there"" who will damn you to eternal torment if you don't do what he wants (which is one interpretation of the Bible) than that might effect the way you act. I realize that that isn't exactly the same as changing your moral compass, but history has demonstrated that most people's moral will stretch to accomodate pressing needs, and I think an actual vengeful diety would qualify.",1,2,topic_stance_votes_1
2,would  proof of creationism change your ethics?,evolution,support,"@kronus
Imagine you are shown god exists and did create the universe ""genesis stlye"". How would it change YOUR behaviour? Would it change YOUR ethics?",2,3,topic_stance_votes_1
3,would  proof of creationism change your ethics?,evolution,support,"An excellent question. I've always felt I've led a good life. My philosophy has been that if A) God wants some specific behavior from us and B) He can't make it clear what it is, then to heck with him. I lead a good life and if that isn't good enough than phooey. That wouldn't be a God I'd want to worship anyway. You understand of course that I don't except the mere existence of a book as God making his desires clear. 
Now all of a sudden we know that the Bible is in fact God telling us what he wants. The problem then becomes deciphering it. The Bible is not as cut and dried as some would like. God seems to undergo a radical personality shift between the OT and the NT, from a God of smiting to a God of love and tolerance. Which part are we to listen to? Do Paul's letters carry the same weight as the Gospel? I'd have alot of questions.
I guess how much I'd change my life depends on how forthcoming God is. Is the only thing we've learned what you've spelled out? God exists, Genesis is correct? If that's all we've got, than I'd still be forced to judge God based on my own ethical standards, same as before. The mere fact that a God exists does not, in my opinion, mean He is worthy of worship or following. God does alot of stuff in the OT that seems unjustifiable to be, and I'm not willing to let things slide just becuase someone claims ineffability. So I guess I would still lead my life as best as I could, according to the standards I've developed. At least, that would be my intention. Knowing that God was in fact watching and judging me might, for example, put a damper on my support of gay rights. I'd feel like a coward, but it could happen.
On the other hand, if God was willing to do a Q&A session and fill me in on a few things, and clarify a few points, then it's entierly possible that I might change my lifestyle. I really haven't written up my interview with God, so I'm not sure what I would ask or how the answers might change me, but I've got to assume that if I could chat with God, something about me would change.",3,4,topic_stance_votes_1
4,would  proof of creationism change your ethics?,evolution,support,"But maybe god does not hate gays, maybe he just hates the ones that demand to have sex with people whether they want it or not.",4,5,topic_stance_votes_1
5,would  proof of creationism change your ethics?,evolution,support,"Yesterday, former KKK leader and Baptist preacher Edgar Ray Killen was finally brought to justice. He had avoided it previously because he was a man of cloth. Even though seven other of his co-horts were convicted and served their terms, Killen was spared because a Christian woman serving on the jury in the original trial could not convict a man of God, leading to a deadlock.
This is the upside-down world of Christian ethics, and I mean to point it out when and where I can. Sorry if it's in the Evolution forum and off-topic, but it needs to be said. We can't afford to regress back to Christian ethics.",5,6,topic_stance_votes_1
6,would  proof of creationism change your ethics?,evolution,support,"Thus my wanting to question God. I am strongly pro gay rights. The Bible seems to be pretty strongly anti gay. Not anti gay rapists, just anti gay. If all I knew was that the BIble was ""true"", then in my estimation that would make God homophobic, which is to say immoral. If you have an omnipotent immoral being hanging around I could see it having a definite negative effect on ones ability to stick to ones morals. On the other hand, if your interpretation is correct then there isn't a problem. But there would be no way to know that unless God submitted to an interview.",5,7,topic_stance_votes_1
7,would  proof of creationism change your ethics?,evolution,support,"the problem with a ""un-genesis style"" creation is that it would effectively nullify everything in the bible. the biblical god both created life on earth in 6 days and sent his son to die for the sins of humankind. to me there is something very wrong with blatantly rejecting one biblical claim and blindly embracing another
the god in this context (one that created the world some other way, and may not necessarily disapprove gays) may also not care about your ethical code. then such a god's existence should have no bearing on how we live our lives, now would it?
if such a god requires us to be ethical, is not against homosexuality, and created the world in a way other than genesis' description, then you are talking about a god of specific characteristics that would lend itself to a precise definition. we would require a lengthy list of rules by which we should live, and a description of how the world was actually created, as well as historical references of god's interaction with mankind in times past. you'd end up with another bible",3,8,topic_stance_votes_1
8,would  proof of creationism change your ethics?,evolution,support,"Whilst I would agree that no country should base its morality and laws upon the ethics of a religion, I think you are unfairly tarnishing all Christians with the actions of one stupid woman here. There are aspects of Christian ethics that I feel are very sound (turn the other cheek and the removing the beam(?) from ones own eye before trying to remove a speck from anothers for example). Unfortunately just like any religion, it's the tiny vocal extremist nutter minority that tend to try and impose their own warped morality upon others that gives Christian ethics a bad name.
Large scale religions are highly conservative and XXXX at adapting to a changing world: that is what makes allowing religious ethics an influence in modern thinking a bad thing, not some stupid woman who's warped sense of duty prevented her finding a vile man guilty of his crimes.",6,9,topic_stance_votes_1
9,would  proof of creationism change your ethics?,evolution,support,There are christian faiths that allow there followers to be homosexual. And can you please provide some passages that say that God does not allow homosexuallity.,7,10,topic_stance_votes_1
10,would  proof of creationism change your ethics?,evolution,support,"No. I'm not going down that road here. Take it to religion or gay rights.
Nothing against you, but it's just so off topic.",10,11,topic_stance_votes_1
11,would  proof of creationism change your ethics?,evolution,support,"It might make me really like god or absolutely hate him.
To create all that fake evidence for evolution either shows a prankster attitude an order of magnitude greater than anything seen so far (makes me like him, a god with a sense of humour would be a very good thing), or it would indicate a real *******.",11,12,topic_stance_votes_1
12,would  proof of creationism change your ethics?,evolution,support,"Just to make it clear, I'm not gay. Not that theres anything wrong with being gay. I'm sure that if I were a chick, I'd be a lesbian.",11,13,topic_stance_votes_1
13,would  proof of creationism change your ethics?,evolution,support,"Mayabe the reason that God doesnt reveal himself is so that we deep down dont really know for sure, and therefore choose our own path? Mayabe this is a test to find out who is good, and who is bad?",12,14,topic_stance_votes_1
14,would  proof of creationism change your ethics?,evolution,support,"That is illogical. You seem to be suggesting that all who choose one path are good and all that choose the other are bad. The only way that can apply is if you apply the circular logic of declaring that all who choose path A are good. It doesn't test who is good and bad, it tests who will follow which path.",14,15,topic_stance_votes_1
15,would  proof of creationism change your ethics?,evolution,support,"why would making the good option more apparent mean the choice still doesnt exist? if god were to walk around claiming he was god and doing godly things, do you think there wouldnt be a huge portion of the world that would still choose to reject him? if that were the case, then there should be absolutely no christians in the world today. if the choice of sinful or righteous exists (and in many minds it does), then the manifestation of either god or the devil will do very little to change people's freedom of choice.",14,16,topic_stance_votes_1
16,would  proof of creationism change your ethics?,evolution,support,"You're in a room. There's a bowl of candy. No one is around, and there's so much candy that if you take one piece no one will notice. Taking something that doesn't belong to you is stealing and wrong. You don't take any candy.
You're in a room. There's a bowl of candy. There's a guy with a machine gun standing behind the bowl, and a sign saying ""Anyone who touches the candy will be shot. Alot"" . You don't take any candy.
In the first case you clearly exhibited moral behavior. In the second case your actions were largely dictated by self preservation. If you know that you're going to be punished for taking certain actions, then it's fear of punishment that's motiviating you. If you think you could get away with doing something wrong but don't do it anyway, that's exhibiting morals.",16,17,topic_stance_votes_1
17,would  proof of creationism change your ethics?,evolution,support,"In your first example the person who didn’t take the candy didn’t for possibly many reasons such as
a) he was brainwashed not to take other people’s candy
b) he is afraid of being punished after death for stealing
c) he doesn’t like candy
Is this what you call moral behaviour? By ‘moral behaviour’ I assume you mean ‘good’ behaviour.
In your second example the person mentioned above will behave in the same way regardless of the gun toting guy.
You are wrongly assuming that everybody that doesn’t touch the candy is because of fear of the gun",17,18,topic_stance_votes_1
18,would  proof of creationism change your ethics?,evolution,support,What I want to know is exactly what kind of candy are we talking about here ? Is it those awful candies that you will only eat if you are dying of starvation or those yummy ones that you will kill for ?,18,19,topic_stance_votes_1
19,would  proof of creationism change your ethics?,evolution,support,Warning: You are trying to punch above your weight. There are heavy hitters around here.,19,20,topic_stance_votes_1
20,would  proof of creationism change your ethics?,evolution,support,The latter.,19,21,topic_stance_votes_1
21,would  proof of creationism change your ethics?,evolution,support,"Clive's got it. Clearly the later. Let's not take ""kill for"" too literally though. :p",19,22,topic_stance_votes_1
22,would  proof of creationism change your ethics?,evolution,support,Thanks for clearing that up for me.,22,23,topic_stance_votes_1
23,would  proof of creationism change your ethics?,evolution,support,"Alright I'll accept that. But if God therefore lets us choose our path, God is not omniscent, and the divine plan is therefore subject to the decisions of mere mortals. But that inherently contridicts the orthodox God.",14,24,topic_stance_votes_1
24,would  proof of creationism change your ethics?,evolution,support,"Oh my god ! Now you tell me that it is not a sure bet that God exists....What ?
You mean all these years I have been behaving so good for a ""maybe or maybe not "" scenario . This is just too much ! Think of all the fun I missed !
Gosh darn it! But I can still make up for lost time.....but wait a minute what if God exists...........mmmmmm.",24,25,topic_stance_votes_1
25,would  proof of creationism change your ethics?,evolution,support,"God is not a necessity to support ethics. Otherwise atheists and agnostics would have no moral compass to guide them and we know this is not the case. 
Maybe you have misbehaved all these years and you thought you were a good little girl. Only God knows!",25,26,topic_stance_votes_1
26,would  proof of creationism change your ethics?,evolution,support,You are spoiling my fun !,26,27,topic_stance_votes_1
27,would  proof of creationism change your ethics?,evolution,support,"Of the two examples you chose, the first is horrid advice. I'll give you the second one however, as I think all of us need to work on keeping hypocrisy down to a bare minimum. 
I've been pondering this sentence of yours for some time now. What I don't understand is how you separate large-scale religious organizations from their adherents.",9,28,topic_stance_votes_1
