,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,God has emotions?,existence of God,support,"So I've heard a lot of people say that ""God loves"" or ""God hates"" or some other phrase which assumes that God has human emotions. How can you compare how human beings feel and interact to the way an omnipotent and omniscient being could ""feel""? What motivates God? If He has the power to know, see, and do everything, what ""feelings"" or purposes would guide His actions. We can't assume in this case that God has feelings like loneliness or affection because these are human emotions and would make him an imperfect being (as humans are called when compared to deities). So how can you make the assumption that He can love or hate?
Also, when answering, don't quote Scripture. If I wanted to ask the Bible, I would read it. I'm asking for your thoughts and ideas, not quotes from a book.",0,1,topic_stance_votes_1
1,God has emotions?,existence of God,attack,"Your wrong, God does feel affection, at least the God in my Bible. Why else would God repeatedly woe the Isrealites turning their backs on him and worshipping other gods? He loves you, that's affection.
Lonelyness, I don't think so. He has angels, and he is a Truine God. And he has an infinite imagination and infinite power. I think he could figure out something to do. (But he did create Angels and Humans to worship him....and he has Angel's still left even if we're rebelllious)
Did that answer your question?",1,2,topic_stance_votes_2
2,God has emotions?,existence of God,support,"I ask you how we can know something that does not already exist? We know science and math, because the patterns existed before we did, leading way to out discovery. Man does not create concepts of his own, but all ideas come from simplified ideas all mixed together. Take a unicorn for example; we've all seen a horse, and a horn, so if you combine the two ideas, you have a unicorn. Furthermore, if God was to create man in his image, I believe that means something besides the physical. How can the eternal, which transcends the physical, in itself be physical? I believe we cannot comprehend Gods true form, so instead, he gives us the mental image of a perfect human form as a guideline (since we are so needy). So if God made us in his image, meaning the sould in this case, then we would have many of the same traits as He would. How can we have something that He did not create? It doesn't make sense? How can there be a specification that the manufacturer did not notice, especially when the design was perfect? So God must have emotions, because if not, then why did men love in the first place if we knew not what it was?",2,3,topic_stance_votes_2
3,God has emotions?,existence of God,attack,"I would imagine that God would be very sad and depressed... because thats the way I feel when I see famine, war, dying children, people hating people for no good reason and the list goes on......
Maybe his guilt is so overwhelming this is what prevents him from showing up.",3,4,topic_stance_votes_1
4,God has emotions?,existence of God,support,"If we were created in God's image, then it would make sense that equally our emotions are a reflection of God's emotions. That our emotions are imperfect versions of his.
Of course I would personally say that when man invented god, they felt the need to give him human characteristics in order to make their invention more understandable. And to assist in the oppression of others by the ever-present threat of an 'angry god who will smite you'. An 'ambivalent god who is above that sort of thing' just isn't as good at convincing people that whatever you say is right.",4,5,topic_stance_votes_1
5,God has emotions?,existence of God,attack,"Would you believe that He has felt every emotion - good and bad - that has ever been and that will ever be? If you believe in the God of the Bible, I suppose you must believe it. He has not only felt those things, but has dealt with them and has subdued them.
I can see the benefit of that.
Now we can introduce ourselves to that discipline by reaching out spiritually. The out-of-body experience of thrillers and horror shows deals with the melodramatic, fictitious side of it, but the physical benefits of believers is a more constructive, positive approach.
Nearer, Oh Lord, to Thee is not just a string of notes.",5,6,topic_stance_votes_2
6,God has emotions?,existence of God,attack,"Guilt? Guilt over what? God gave man the power of free will. We do not experience anything that we have not brought upon ourselves. Famine, war, bigotry, all done by mans hand last time I checked. He gave us the gift of existence, and I'm grateful for that. I don't expect Him to come down, take me by the hand and lead me through life with the rest of the world. He gave us the power to choose, the rest is up to us.",4,7,topic_stance_votes_2
7,God has emotions?,existence of God,attack,"Man cannot invent anything that did not already exist in form. Did we invent the wheel, or discover the idea? Did the Wright brothers invent machine powered flight, or was it that they stumbled upon it? In every culture, in every society, man looks to something greater than himself. They simple don't leave it at themselves and be done with it.",5,8,topic_stance_votes_2
8,God has emotions?,existence of God,support,"A Russian scientist visiting an American University said ""Either there is a God or there isn't. Both possibilities are frightening!"" This is so true. If there is a God, we need to find out who He is and what he wants. If there is no God, we are in trouble. We are then hurtling through space at 66,000 mph and no one is in charge. If you ask me, both possibilities are extremely frightening. So I look at your question I see that it first assumes that there is a God and it questions the ""who He is and what he wants"" aspect of this situation. So if He is perfect can he have emotions? And are human emotions really 'human' or something we get from God when he made us in his image? Well, I'm not gonna quote scripture but the Bible implies that God doesn't just have love but he is love itself. For some strange reason this makes sense to me, because we know the physical aspects of this world but we hardly experience the spiritual aspects of our souls, we can kinda sense that there's more to ourselves then brains that have feelings because of chemical reactions. Yet it's very easy to write it off as just that. Since the question assumes the existence of a God we then have decided that there is this Spirit that exists as a spirit (along with Jesus who came to earth in physical form) we can then decide that we have souls inside ourselves (well not so much inside ourselves as actually ourselves). These souls were made in Gods image, emotions we feel aren't weakness our sinful natures can make us feel rage and hatred and it's okay to hate what is evil (people aren't evil they've just fallen) we can hate sin in the same way God does. God hates the sin but loves the sinner just as we all should.",8,9,topic_stance_votes_2
9,God has emotions?,existence of God,attack,"So that would mean that every religion ever conceived must be totally correct, as it can't have been invented if it didn't already exist.
Equally the giant pink and blue aardvark of flaming destruction that I just invented must already exist as well. Cool.",8,10,topic_stance_votes_1
10,God has emotions?,existence of God,attack,"Hello and welcome void, and damn good post.
I agree with you totally, should God exist that is exactly how I would see emotions.
And yes it is frightening, but when was life anything but?",9,11,topic_stance_votes_1
11,God has emotions?,existence of God,support,"I don`t really know, as I`m not a christian. But couldn`t it be so that love is actually the ""normal state"". I mean, if we say that good cannot have emotions, then some kind of state of mind must be the natural state of mind that is when we don`t have any feelings. Perhaps that state of mind would be love? 
Wow... kind of hippie-ish ;)",11,12,topic_stance_votes_1
12,God has emotions?,existence of God,attack,"Haha, no not like that. It's not the fact that every religion is right, or that their god exists, but A god. I've already said that we cannot invent anything that is not already. (I love philosophy, but it's so hard to word correctly) Does that make sense. And while not all gods are true, the idea of a god is.",10,13,topic_stance_votes_2
13,God has emotions?,existence of God,attack,"Yeah, I do understand where you are coming from actually, I was just being facetious. Sorry. But I don’t agree.
However as God hasn’t been ‘discovered’ yet, at least not beyond reasonable doubt, I think it is still reasonable to suppose that he could just be an invention of man.",13,14,topic_stance_votes_1
14,God has emotions?,existence of God,attack,"That's one of the reasons I've begun objecting publically against Christianity. God wants so much for you to deny your human senses and instead turn toward misery, the sackcloth and ashes bit, subdue your emotions and please the Lord. 
I enjoy my senses and emotions to the maximum.",6,15,topic_stance_votes_1
15,God has emotions?,existence of God,attack,"You said Christianity. Is that what you meant? I never learned it that way, nor have I read it that way.
I love my emotions - glad He made them. Although, I had hard time subduing some of them...you know: Lust, greed...the bad ones. emoticonXSmilie",15,16,topic_stance_votes_2
16,God has emotions?,existence of God,attack,"Christianity is all I feel competent to comment on. 
We should debate those deadly sins sometime Big Orn, just to see how fatal they are. For instance, who did you allow to define greed to you?",16,17,topic_stance_votes_1
17,God has emotions?,existence of God,attack,"True, but why would God want to be discovered like you want Him to? So many today think that God can be proven away with a litmus test or found in a beaker. It just isn't so. Science cannot discover what goes beyond its scope.",14,18,topic_stance_votes_2
18,God has emotions?,existence of God,attack,"You have so soon forgotten that I have not always been a Christian?
Bad choices, the wretched, far-reaching hands of time, and life in general have played a big part in my upbringing.",17,19,topic_stance_votes_2
19,God has emotions?,existence of God,attack,"No, I haven't forgotten that, but in answer to my question: how did you come to identify greed?",19,20,topic_stance_votes_1
