,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,IF God really exists what must he/she/it be like?,existence of God,support,"MOst everyone knows my stance on this?
Based on your your experience what do you think God is like. Do not base it on what others say about God or on what the bible says or the Koran or ... you get the point.
Base it strictly on your own life experiences. I know you may not think God exists or you believe for sure he does not. But given your life, what you remember of it, what would you say that means about who God is.
Thanks, and just so everyone knows, I will not argue with your experiences but I may argue with your conclusions drawn if they are illogical or to challenge you to think of other possibilities. Please do the same for me. I will post on my own experience later.
EF",0,1,topic_stance_votes_2
1,IF God really exists what must he/she/it be like?,existence of God,attack,"I have had nothing that resembles any kind of experience, or even a hint of experience, of God or a Godlike entity/consciousness. I believe that all the world's religions, from the earliest to the most modern, have nothing to do with what the reality of a godlike consciousness might be. They are human constructs designed to answer questions for which at present we have no answers.
However, there is one thing that the prominent religions have in common that I think they may have right if 'he/she/it' does exist, and that is the idea of omnipresence. To put it simply, if there is a Godlike entity I think it is probably the universe. This is pure conjecture, but I believe the universe could be a conscious entity. Why not? 
It would not have thought processes that we as humans could in any way relate to, and given the predictability of physical phenomena according to the laws we have discovered it would not seem to be able to will anything to happen, but it could still have a sense of itself and an awareness of everything within it.
This inability of humans to understand this hypothetical consciousness is why I cannot subscribe to a religion; if 'he/she/it' does exist there is no way any human could possibly understand it, relate to it, communicate with it, or even know that it exists. I doubt very much that it, if it exists, would have any interest in individual human beings; it would see us as purely an extension of the matter that makes up the planet, after all that is essentially what we are.
The whole process of evolution (specifically including abiogenesis) has been the transformation of inanimate minerals and chemicals into living creatures through a mind-bogglingly complex 4 billion-year chemical reaction. We came literally out of the matter of the planet. That matter came from a nebula which was originally part of a long-exploded (population II) star, which formed from a nebula from an older exploded (population I) star, which was born as the galaxies formed from the hydrogen and helium left over by the processes that started it all. In terms of the particles that make up the atoms in our bodies (and everything else), we all come from the same place. 
OK I'm completely rambling now but my point is that I do not believe that there is such a thing as a 'God', at least not with any of the connotations that that word has had in the history of human culture. If our brains can be conscious, why not the universe?",1,2,topic_stance_votes_1
2,IF God really exists what must he/she/it be like?,existence of God,attack,God is unknowable.,2,3,topic_stance_votes_2
3,IF God really exists what must he/she/it be like?,existence of God,support,We can only conceive of god in very rudimentary primitive concepts because of our immature and very limited intellect.,3,4,topic_stance_votes_2
4,IF God really exists what must he/she/it be like?,existence of God,support,A good starting point is to get educated and be done with it....,4,5,topic_stance_votes_2
5,IF God really exists what must he/she/it be like?,existence of God,support,I will if you do.,5,6,topic_stance_votes_2
6,IF God really exists what must he/she/it be like?,existence of God,attack,"Yes, After getting educated, we can realise that 'GOD' as we view it is just the anthromorphising of our hopes and fears.",5,7,topic_stance_votes_1
7,IF God really exists what must he/she/it be like?,existence of God,attack,Primitive and immature as compared to what or whom?,4,8,topic_stance_votes_1
8,IF God really exists what must he/she/it be like?,existence of God,attack,"You cussin' me, boy?",7,9,topic_stance_votes_2
9,IF God really exists what must he/she/it be like?,existence of God,attack,Do you think humans have the pinnacle of processing power and reason in our brain for the entire universe? (aside from god),8,10,topic_stance_votes_2
10,IF God really exists what must he/she/it be like?,existence of God,support,"If he don't I will, oh great and pompous orn.
orn rhymes with porn.
lol",9,11,topic_stance_votes_2
11,IF God really exists what must he/she/it be like?,existence of God,support,"Beating a dead horse there, Doc...
I think everybody needs to understand that we're all the same, just have different beliefs. No wonder religion slips in the back door of some of you folks...and carries off what you'd never expect.",6,12,topic_stance_votes_2
