,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Pop quiz for Atheists,existence of God,support,"Your quiz consists of two multiple choice and an essay question. Let's begin:
1. Jesus was:
A. a myth; invented by heretical Jews, he never existed.
B. an ordinary man who attracted a following by performing ""tricks"" and making interesting statements; disengenuos and decieving his followers
C. an amazing moral teacher, nothing more
D. a complete madman.
E. Other (limit your response to 50 words)
2. The resurrection story of Jesus is:
A. a myth - see answer 'A' above.
B. a legend that grew over time, well after anyone could have proven the legend false.
C. a lie fabricated by his followers immediately after his death
D. an honest misunderstanding; the Jews lost the body and were embarressed to admit their mistake while his followers were hallucinating
E. Other (limit your response to 50 words)
Essay:
Site at least two sources that were written within 200 years after the supposed resurrection date of A.D. 33 which support your responses to questions 1 & 2. (limit your response to 100 words) If you cannot provide any source material from this time period, please provide the two earliest sources. (Note, if you can only provide source material from the previous century, you may want to re-visit your answers for Questions 1 & 2)
Bonus Question:
Who was the author of ""The Iliad"" and ""The Odyssey"" and how do we know? (limit your response to 50 words)
Thanks to all who respond.",0,1,topic_stance_votes_2
1,Pop quiz for Atheists,existence of God,attack,"1. Jesus was:
E: a man who probably existed, perhaps even with good ideas about living. Stories about Jesus were embellished with ideas stolen or adapted from other religious and cultural stories.
2. The resurrection story of Jesus is:
E: Complete bunk with no reliable supporting evidence.
Essay:
I cite:
a) Rejected Gospels. People got to say whatever the hell they wanted about this ""Jesus"" fellow, if he existed. The events used to explain the circumstances of his birth are not merely nonsensical but contradictory to both the geography and the law/customs of the region. Jesus disappears for 30 years with nary a wonder of where the alleged son of God went.
b) The Bible. Despite offers of large cash rewards for anybody who can write a coherent timeline of the events surrounding the Resurrection without contradiction and without omission of information, nobody has been able to do this. The rising of the saints who were ""seen throughout the town"" surely should have been story fodder for years upon years, decades upon decades, centuries upon centuries, yet it seems from the rest of the evidence that the people saw the zombie saints and thought nothing of it.
Bonus Question:
We don't know. We credit Homer for the silly reason that a blind guy telling epic stories makes for good imagery. The stories were likely oral traditions passed along and embellished repeatedly.
Pop Quiz for ServantOfChrist:
Respond substantively to my dismantling of divine command theory in the slanderous thread you started months ago. No word limit.",1,2,topic_stance_votes_1
2,Pop quiz for Atheists,existence of God,support,"And what logical reasons do non-atheists have for believing that Man was made in the image of a non-provable, supernatural creature that could not have had legs (to walk on what?), lungs (to breathe what--air?), sex organs (to have sex with whom?), an anus (to excrete what?), muscles (to lift? Come on , the guy's all-powerlful!), teeth (to chew what?) and dozens of other human physical attributes, let alonge being omnpotent, nothing of which has ever been seen, to begin with?
You have a good reason-- and I stress the word REASON, as in LOGICAL, COMMON-SENSICAL, RATIONAL--for all this, do you?
And not only that, this creature, who obviously must have also created the zillions of other worlds in the zillions of other galaxies in our spectacularly large universe, is totally fixated on OUR piddling little grain of sand and what we do in bed with each other?? Go ahead, genius, justify that. Would LOVE to hear your thesis.
You might also want to explain who made this ""Maker"" we're suppsed to disprove. If everything must have been made, then who made HIM? Go ahead, we're waiting.
Oh, yeah... and in fifty words or less, please.",2,3,topic_stance_votes_1
3,Pop quiz for Atheists,existence of God,attack,"1) If he existed, he was a great morality teacher.
2) The flavor of the options all have similar tastes.
The resurrection story includes some absolutely fantastic claims which are unsubstantiated by other historians of the time.
If the dead REALLY got up and started walking around, don't you think some Roman historian would have mentioned it?
You have got to be kidding me...
Just out of curiousity, can we count on you to follow the same standards for any questions asked of you?
Can we count on Christians to supply the same level of proof for the Bible's claims?
I'll take the answer to the rhetorical questions as ""no"", and just move on.
I will happily expound on my answers if necessary, but it's pointless to demand a reference page from one side when the other side obviously cannot do the same...",1,4,topic_stance_votes_1
4,Pop quiz for Atheists,existence of God,support,Teehee. Nice. emoticonXGood emoticonXHoho,3,5,topic_stance_votes_1
5,Pop quiz for Atheists,existence of God,attack,"Jesus was then what he is now: the Logos of God (Philo, quis rerum divinarum heres 42.405), the heavenly High Priest (Hebrews), the culmination of God’s eternal plan (Ro. 16:25), the secret mystery only now, after his sacrifice, revealed through revelation and scripture (1 Cor 2:6-13).
A.
#1 is above.
The Jesus myth came out of Hellenistic Judaism already heavily imbued with the ideas of the suffering servant (Isaiah 53) and the son of God subject to a shameful death (Wisdom of Solomon “Let us condemn him with a shameful death”). Paul refers to the “archons”, the evil heavenly rulers of the age, as those who crucified Jesus (1 Cor 2:8) and extols the justice of the Romans (Ro. 13:1-3). The earliest layers of Q material do not refer to a death or resurrection (Kloppenborg). No earthly Jesus, no crucifixion, no death. It is all myth, man.
We don't know for sure. Traditionally thought to be Homer but is probably from oral tradition. Single authorship itself is disputed. Beyond that, I don't know much about it.
What is your point in asking this question?",1,6,topic_stance_votes_1
6,Pop quiz for Atheists,existence of God,support,"I have to ask: do you seriously not know, or do you just want him to up and say it?",6,7,topic_stance_votes_1
7,Pop quiz for Atheists,existence of God,support,"Oh, I know what he is trying to establish there.
I do want him to own up and admit what he is trying to establish. Don't expect him to, but hey, ""miracles"" happen (according to him). :p
In fact, as a return question, I'd like to ask him: does someone rely on the Odyssey to establish the existence of Pallas Athene, Circe or Calypso ?",7,8,topic_stance_votes_1
8,Pop quiz for Atheists,existence of God,support,I've always gone the Scylla and Charybdis route before instead.,8,9,topic_stance_votes_1
9,Pop quiz for Atheists,existence of God,support,Anyone else see a picture of the Santauario de Chimayo at the bottom of this thread?,9,10,topic_stance_votes_1
10,Pop quiz for Atheists,existence of God,support,I keep seeing ads for Hondas and stuff.,10,11,topic_stance_votes_1
