,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Proof that God is not all-powerful,existence of God,support,"By Reduction to the Absurd:
Suppose that God is in fact all-powerful. If he is all-powerful, then he can do anything. Yet this raises the question, ""If God can do anything, can he make a rock so hard that he himself cannot break it?""
If the answer is yes, then God cannot break this rock, so there is something he cannot do.
If the answer is no, then he cannot make such a rock, and thus there is also something he cannot do.
Therefore, it is impossible that God can do everything, and it is thus impossible for him to be all powerful.
I can't claim originality for this proof, but I have never heard any good refutation of it, and yet people still act as if God is all powerful despite the absurdity of such a notion. emoticonXBanghead If there is a refutation, then I'd like to hear it.",0,1,topic_stance_votes_1
1,Proof that God is not all-powerful,existence of God,support,"Well, the simplest refutation would be to say that God is omnipotent within the realms of logic. Everything that isn't inherently contradictory, God could do.
Another simple refutation would be to say that since God is beyond the physical realm, the logic of the physical realm doesn't apply to him. Perhaps he can create a rock so heavy he can't lift it, and yet still lift it. Our logic may simply not apply, the same way that Euclidean geometry doesn't apply in cruved space.",1,2,topic_stance_votes_1
2,Proof that God is not all-powerful,existence of God,attack,"That's because its sophistry. Its an inherent contradiction and it simply means we don't have the capacity to understand it. Another more common example is that the assertion that the universe cannot be endless, and yet as far as we know it is. Trying to understand it is for us humans like an ant trying to fathom the theory of relativity.
Damn are we ever conceited as a race...we seem to think that if we can't understand something, it cannot be. We also tend to think, in every generation, that we have achieved somehow the pinnacle of progress.",1,3,topic_stance_votes_2
3,Proof that God is not all-powerful,existence of God,attack,"The first refutation is not a refutation at all - it is a retreat. No longer is God all-poweful, but he is all-powerful within the realm of logic. That reminds me of the guy in Monty Python's Life of Brian who says ""Besides the sanitation, the education, the aqueduct, the public order, etc. what have the Romans ever done for us?""
The second refutation sounds like something Rousseau said, along the lines of ""I don't care about logic. I'll believe in God privately."" If one can claim that the power of God is beyond logic, but still true, then one can also claim that the powerlessness of God is beyond logic, but true. Similarily, I can claim that ""2+2=5"" is true by saying ""We humans are too simple-minded to understand it, therefore it must be true."" That's fallacious.",3,4,topic_stance_votes_1
4,Proof that God is not all-powerful,existence of God,support,"Fair enough.
You missed my point. Logic is simply a set of rules, which works for us here. There is no reason to believe that logic would work outside of this universe, however. It's not a matter of whether or not we can comprehend anything, it's just a matter of whether or not the same rules govern where God is. There's no way for us to know that they do, so it's quite possible that logic doesn't work there.",4,5,topic_stance_votes_1
5,Proof that God is not all-powerful,existence of God,attack,"This silly argument has been around for ages. It is gracious of you not to claim originality.
The argument is flawed in that it displaces the concept of universe and space. If you're going to confine us to human logic, you cannot dismiss these concepts.
If God built a rock so big he couldn't move it, it would be only because the rock had to be so big as to take up all available physical space in the universe and therefore not be movable at all...by any power whatsoever. There would be no place to which it could be moved.
But then, God could ""remove"" the rock by destroying it.
So the answer to your question is, ""Yes, God can make a rock so big that He can't move it. Then after He makes it, He can unmake it.""
Like I said, this is a silly argument often forwarded by those who doubt the power of God and continually quest for some disproval of His existence. You'll never succeed. I know it and God knows it. Not only is He omnipotent, He is omniscient.
Go figure!",5,6,topic_stance_votes_2
6,Proof that God is not all-powerful,existence of God,support,"hey! i was gonna say the same thing jim just said, whadya know!
but basically, God cannot do the illogical, like create a round square, simply because it cannot be done. it is by nature illiogical for any rock to be unbreakable, no matter how hard it is. in fact, something as simple as adding 2+2 and getting 3 is impossible for God. that doesnt make him less omnipotent, just means that there are certain illogicalities that can never exist",6,7,topic_stance_votes_2
7,Proof that God is not all-powerful,existence of God,attack,"Yes this is absurd.
All things are subject to the Will of God the Creator. Nothing exists or can exist that is not subject to God's Will.
God is not perfect at everything. God is not perfectly evil either. 
Your analogy is flawed.
Try again.",1,8,topic_stance_votes_2
8,Proof that God is not all-powerful,existence of God,attack,"Unmaking it isn't moving it. And I didn't say ""Move a big rock"" I said ""Break a hard rock."" In half, that is.
What about this hypothetical rock? Can it exist?
Or, does this mean that God himself requires God's Will to exist? Cyclical! emoticonXBanghead",8,9,topic_stance_votes_1
9,Proof that God is not all-powerful,existence of God,attack,"No it can not exist without being subject to God's Will.
The only way the hypotehtical Rock could exist would be if God would deem to give the rock Free Will and then deem to honor the rock's Free Will as God honors Free Will -- the vast majority of the time -- within people.
This hypothetical is rather pedistrian.",9,10,topic_stance_votes_2
10,Proof that God is not all-powerful,existence of God,support,"an unbreakable rock cannot exist, simply because its illogical, not because of God's will. as long as something is classified as a rock, or any other solid for that matter, it can break. in the same way God cannot create a round square. 
then again, God can set limits on himself, in that he can create a situation that he himself cannot revoke. in a way it is similar to the hard rock question. for instance, God cannot undo his word. if he says something will happen, or never happen, then it can never be undone. according to genesis, one of the things God cannot do is destroy the earth by water. in this sense, here is something God cannot do. by God's own declarations he limits his possible actions. but it doesnt make him less than omnipotent. he still possesses the ABILITY to destroy the earth by global flood, but he cannot because he cannot lie, and for every declaration he makes, its one more thing he cannot do",10,11,topic_stance_votes_2
11,Proof that God is not all-powerful,existence of God,support,Good point.,11,12,topic_stance_votes_2
12,Proof that God is not all-powerful,existence of God,attack,"I agree..how do we change this? One guess as to how we will ultimately change this is to create new life (robotic or biological or both) that will be capable of many of the things we strive to be, but cannot seem to grasp.
-Mach",3,13,topic_stance_votes_1
13,Proof that God is not all-powerful,existence of God,support,"God can do whatever He wants. Although one can say ""God does not"" or ""God is not"", a thiest believeing in and worshipping the God of Abraham and Joachim I do not think should ever say ""God can not"" anything....
With God, all things and everything is possible. 
Sentiments such as those expressed above in my view seem to be evident in Western Christianity where it seems believers are too often trying to bring God down to our level, imposing limits etc.",11,14,topic_stance_votes_2
14,Proof that God is not all-powerful,existence of God,attack,If it is not possible to comprehend God... then why do people even try?,14,15,topic_stance_votes_1
15,Proof that God is not all-powerful,existence of God,support,"a round square? how do you suppose that such a thing can exist? if God is all powerful, it simply means he can do anything that can be done. some things cannot be done. and not because it is too difficult a task, simply because it is illogical. 
can God exist and not exist at the same time?
because many people disagree or are not satisfied with this answer. you can never disprove (or prove) the existence of a incomprehendible (thats a word, right?) God. to accept that God cannot be comprehended makes you a theist or agnostic. for atheists, God should be comprehendible, and since he is not (i.e., a comprendible God does not exist), then they feel their view is right
can we all agree that a comprehendible God doesnt exist?",14,16,topic_stance_votes_2
16,Proof that God is not all-powerful,existence of God,support,"You're close. It's ""incomprehensible"".
...and I agree. If we could comprehend God, we'd be his equal...and we ain't!",16,17,topic_stance_votes_2
17,Proof that God is not all-powerful,existence of God,attack,"And if we somehow knew he existed throug a mere conjecture, i.e. blind faith, then we would be his superior!",17,18,topic_stance_votes_1
18,Proof that God is not all-powerful,existence of God,support,"If he cannot lie, then there is something he cannot do.",15,19,topic_stance_votes_1
19,Proof that God is not all-powerful,existence of God,attack,Blind faith in anything has nothing to do with superiority.,18,20,topic_stance_votes_2
20,Proof that God is not all-powerful,existence of God,attack,"So? This does not diminish His power. There is power in truth, weakness in lying.",19,21,topic_stance_votes_2
21,Proof that God is not all-powerful,existence of God,attack,"Whoa! A rock that God cannot break, with free will now! I don't want that thing running around the universe!
So, you are proposing that God can create a being more powerful than himself?",21,22,topic_stance_votes_1
22,Proof that God is not all-powerful,existence of God,support,"So you don't believe in telling white lies? Are you saying you have never lied (or at least since you've come to know that there is weakness in lying)? 
And by definition power is ""ability or capacity to do something: the ability, skill, or capacity to do something"". This is the most relevant definition, it also has strength, political control, and other irrelevant definitions. So if one ability is taken away (lying), even if it is bad, he is less powerful. Even if he would never do it in the first place if he was able to do it, he is still less powerful without the power to lie.",21,23,topic_stance_votes_2
23,Proof that God is not all-powerful,existence of God,support,"What twisted logic book did you use to come up with that question? My opinion (that truth is powerful and lying is a weakness) says absolutely nothing about my habits or false claims of complete honesty.
You left out energy and work.
This entire argument is inconsequential and fruitless. It has already been admitted there are things that God cannot do. It is also inconsequential that He cannot do those things. He's still the most powerful being in existence.
There are some things that He likely won't do even though He could...like magically appear and change a flat tire for you. He may however, grant you the strength to do it yourself, or send a good samaritan to do it for you.",23,24,topic_stance_votes_2
24,Proof that God is not all-powerful,existence of God,attack,"The question is illogical. By declaring the existence of an all powerful God then saying God cannot do something is not a comment on his powerfulness but rather the direct representation of his nature. Your question by its very statement does not test wether or not God is all powerful but wether or not God is comprehensible. See another thread for that topic.
The statement that God is all powerful defines his nature. To state then that he cannot do something outside of his nature as proof of the non existence of his nature is circular in logic.",1,25,topic_stance_votes_2
25,Proof that God is not all-powerful,existence of God,attack,"No, it tests whether he is all-powerful. The proof shows that the very notion of all-powerfulness leads to other notions that are absurd, such as the unbreakable rock or, someone else posted, the round square. This is called ""reduction to the absurd"" and it is a valid logical method. It has been used to prove that 1/0 is undefinable.
I stated that he cannot do something inside of his own nature, that is, his nature doubles back on itself and is contradictory. Similarly if someone spoke of something that is ""both green and not green at the same time and in the same sense"" I can disprove this statement using the Law of Non Contradiction. Of course, one can pull off the rubbish argument that ""it is incomprehensible, therefore it is true."" As I stated earler, such an argument is fallacious.",25,26,topic_stance_votes_1
26,Proof that God is not all-powerful,existence of God,attack,"Your statement is a logical fallacy. It is not proof but simply illogical. The fallacy is called the fallacy of inconsistency. You argue from two contradictory premises. 1) God is all Powerful, 2) God can not do something.
You state one as the conclusion of the other but that is just a funny way of stating two premises. The statement is illogical. Look up your favorite text on logical fallacies and you will see that I am right.",26,27,topic_stance_votes_2
27,Proof that God is not all-powerful,existence of God,attack,"No. I first assumed that God is all powerful, and then I showed that idea led to contradictions. The second ""premise"" is the conclusion. Learn to read.
Look up the ""Reduction to the Absurd method"" and you will find that the logic is valid.",27,28,topic_stance_votes_1
