,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,"Religion a ""Psychological Disease"" Say Experts",existence of God,support,"I found this article on the Internet and would like to hear what others think about it.
Religion a ""Psychological Disease"" Say Experts 
LONDON (AP) ~ According to the Royal College of Abnormal Psychology, based in London, England, religion as we know it is actually more of a disease than an organization. 
""When you look at the various aspects of religion, you find that psychoses actually play a very large part,"" stated Prof. Dawnette Vancurenko, a practicing psychologist and long time member of the College. 
""For instance, irrational belief, which is usually associated with conditions like schizophrenia, is actually one of the primary ingredients of mental illness,"" she continued. ""It is a pervasive pathogen that finds its home in all religions."" 
Belief is an emotional acceptance of a proposition, statement or doctrine, according to the College’s own definition. ""Much of humanity’s beliefs are the result of prolonged and incessant indoctrination during their formative years, generally recognized as being the first four to five years of life."" 
""Intimidation and peer-pressure exert an ""I must believe"" ethic that soon becomes commonplace. A conceptual system is then created that will describe the actions an individual may or may not be permitted to perform."" 
""The process is augmented by another psychological factor, that of paranoia, a functional disorder in which the symptoms of delusions of grandeur and persecution are manifest. The delusions develop insidiously and become knit together into a rational and coherent set of beliefs that are internally consistent, and, once the initial set of assumptions is accepted, compelling and vigorously defensible."" 
""In the old days, voices in the head were referred to as ‘Revealed Knowledge,’"" remarked Vancurenko. ""Today we call them schizophrenia or multiple personality disorder."" 
""Fortunately, most modern prophets are on medication,"" she said.",0,1,topic_stance_votes_1
1,"Religion a ""Psychological Disease"" Say Experts",existence of God,support,Teeheehee! :),1,2,topic_stance_votes_1
2,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,OH BRUTHA!! emoticonXCry Where did this load of fertilizer come from?,2,3,topic_stance_votes_2
3,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,"That article brings up a good point if Jesus or a prophet such as Mohammad was to appear today what would happen to them ?
They would probably be locked up in a nice padded cell, and they would be given all sorts of drugs to stop those voices that reveal divine knowledge to them.",3,4,topic_stance_votes_1
4,"Religion a ""Psychological Disease"" Say Experts",existence of God,support,"I am curious if there are people out there today claiming to be the messiah, and do they have followers? Has anyone heard of such a thing?",4,5,topic_stance_votes_1
5,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,"Unfortunately, our ""enlightened"" society today has caused us to have blind hearts.",4,6,topic_stance_votes_2
6,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,"Honestly though Bassman if a long haired person with a beard came up to you and claimed he was the son of God what whould you do ?
A) Call the police to take the crazy man away
B) Ignore him, and go on your way
C) Get down on your knees and worship him",6,7,topic_stance_votes_1
7,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,"If I were following the prophets all along, and had a heart toward God, then I would know that messiah has come.",7,8,topic_stance_votes_2
8,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,"That is such a cop out answer. I for one would loveto hear you answer this question...not only because I work in mental health, but because it is such an intriging question.....if a long haried, bearded man came up to you on the street and claimed he was the messiah, would you follow him? WOuld you call the police? What would you reaction be? Have ya seen the movie with George Burns called ""Oh God""?",8,9,topic_stance_votes_1
9,"Religion a ""Psychological Disease"" Say Experts",existence of God,support,"It is also worth mentioning that the current DSM IV has a diagnosis for religious addiction....The symptoms do resemble some of what the first post is talking about, although it more refers to people who actually ""get high"" off of religion. WHich yes, folks, if you can get addicted to internet porn, drugs and tv, religion can become an addiction too! I believe it is rare, but it does happen. People have lost jobs, spouses and lives do to addictions to ""jesus"".",9,10,topic_stance_votes_1
10,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,People have lost lives being addicted to gay anal sex. Maybe that should be in the DSM IV.,10,11,topic_stance_votes_2
11,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,"and this is relevant ?
Back on topic
Of course Religion can be harmful, but there are studies out there that say people who have some sort of spirituality seem to have a better quality of life and those who don't.
If you guys give me some time I will see if I can dig up the Report. It might be relevant to the Topic at hand.
Please can we keep this on Topic. Pretty please with sugar on top.",11,12,topic_stance_votes_1
12,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,"You bet. The self-contrived religion of gay America, where anything goes and you still get waltzed into heaven. No repentence, no singed consciences, and no remorse. Certainly there must be help for this somewhere in medicine / psychology / psychiatry.
If the DSM IV people weren't so politically correct they'd have gay disorder put back in their manuals like it was before. After all, the behavior falls into the ""abnormal"" range of the Bell Curve on human sexual behaviors.",12,13,topic_stance_votes_2
13,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,I see your homophobia is showing. I guess this statement of hate cancels out your whole guide of love the sinner hate the sin...Obviously there is more to it with you.....No wonder I see you as hate filled....you are!,11,14,topic_stance_votes_1
14,"Religion a ""Psychological Disease"" Say Experts",existence of God,support,"It isn't relevant to this topic. Everytime the topic of religion as harmful has come up on this board somebody (you this time) wants to show how lovely it has been for some people. I agree with you....so does everyone else. But that doesn't discount the fact that is has been an addiction and psychotic for others......I appreciate what you are saying, but the point of this thread isn't how religion is good, but when it is bad......can you come up with those numbers?",12,15,topic_stance_votes_1
15,"Religion a ""Psychological Disease"" Say Experts",existence of God,attack,"Is there a better way to phrase it so you don't go off spitting out invectives yourself? Maybe, ""Joe, you know tens of thousands of gay men are dying of AIDS due to homosexual sex. And still a great many of them fail to use condoms even after they've been counseled."" 
It's really hard getting through to you folks, brummer. How many gay deaths is it going to take before gays start recognizing it's not godly religious beliefs that destroy lives, but the abrogation of those beliefs, including supporting gay sex.",14,16,topic_stance_votes_2
