,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,What's YOUR beef with God?,existence of God,support,"OK, first off, this thread is for people who are either partially convinced about the existence of God, or have some problem with the nature of God as they understand it. this is not a thread where evidence is needed, just opinions and personal persuasions. if you believe God exists or have absolutely no doubt that God exists, then you can contribute, but its not the intention of this thread to prove that God exists or not. its just to explore the reasons why people believe or doubt whatever about God",0,1,topic_stance_votes_1
1,What's YOUR beef with God?,existence of God,support,"personally, I have a problem with the manifestation of God's power, or should I say the lack of manifestation. 
all the Gospels as well as the book of Acts, not to mention the Old Testament, are saturated with stories of miraculous deeds that are obviously supernatural, provide that they did indeed happen. Specifically in the New Testament, Jesus granted to his disciples the ability to perform the miracles that he did. numerous times he also promised that the same (and even greater) power would be given to everyone that believed on him.
the lifestyle Jesus modelled is very humanly possible, and anyone can follow it: ""love God with all your heart, love others as yourself"". I know I have the discipline within me to do that for the rest of my life. the trade-off of course would be the power to do miracles, just like Jesus did. What troubles me is, if I live that way for the rest of my life, am I guaranteed to obtain the power of God? if living the way Jesus did was so easy, how come nobody else is doing it? and if they are, how come they are not getting the results Jesus got?
Every promise in the Bible is conditional. It got to a point in my mind where I said ""if I hold my end of the bargain, will God hold His?"" In a world where there are so many God-believing Jesus-following people, why isnt there one single miracle being performed, like those in the Bible? why arent whither hands being outstretched? why arent scales falling off blind peoples' eyes? why aren't mountains being moved and storms being calmed?
my problem is this: if the works of Jesus were really possible, why isnt it being done today? if you do what Jesus did, you should get what Jesus got, right? either that or a) nobody is really doing what Jesus did, b) even if you do what Jesus did, you wont get his results, c) Jesus didnt do what the Bible said he did
if a) is true, then Jesus' model of living is not attainable at all, which means that noone is truly a christian. if b) is true, then the works of Jesus may be true, but the conditional promises in the Bible are not. if c) is true, then the Bible contains lies
the thing is, I'm not even that concerned about personally attaining supernatural power. for me its a matter of faith. not all the works Jesus did were physical miracles. but why is it that nobody has supernatural power? not even the people that believe in God for the right reasons have the power to do miracles. is this power attainable at all? is it real?",1,2,topic_stance_votes_1
2,What's YOUR beef with God?,existence of God,support,Without question my largest beef with God would have to be the fact that according to the Bible you need to believe in God in some fashion or another in order to make it into heaven. The reason this is my beef with him is because it is much more difficult to believe in him when you are born in India than if you are born in the US or Europe. The Indian culture is that of Hinduism and a mix of other religions unlike that of the US and Europe which is primarily Christian. That means being born in the US or Europe gives you a better chance of making it to heaven as you are more likely to end up being a Christian and believing in God. Would the be at all fair if this were the case? My answer is plainly and simply no! It is idiotic infact. If God existed and he was perfect then almost without a doubt he would have to base getting into heaven on the actions of a person instead of the beliefs of a person to be fair. His system would not be at all perfect if being born in one place means you get into heaven while being born in another place means you don't get into heaven. Furthermore this means that he needs to take into consideration other influences on your life including whether or not your parents or community were proper places to grow up and whether or not you were ever given the proper situation in which to change your life to God's expectations. If not given any opportunities or given very few and still turning out to be a decent person should be better than if you turned out to be a decent person and were given many opportunities to end up this way. God in all his perfection would need a very complicated system to judge who gets into heaven in order for it to be fair but I just don't see spelled out in the Bible.,2,3,topic_stance_votes_1
3,What's YOUR beef with God?,existence of God,support,"I guess my Beef isn't with God, more with the assumptions that:
1. It exists
2. It's paying attention to us and cares
3. The Bible or any other book is ""God""s word
I was brought up a Christian, but that started to fade the same time as the Easter Bunny and Father Christmas. I mean the Bible has some valid things to suggest, such as wash your feet after taking a dump and don't kill people, but it also suggests killing anyone who does pretty much ANYTHING on a Sunday, I take it easy on a Sunday myself, have a good sleep after the previous night out, and Sunday afternoon protected and unwed sex is great... oops. The only thing i've honestly taken from it is that you should treat people in the same way as you'd like to be treated.
My Beef with God then, can only be, WHAT HAS HE EVER DONE FOR ME! I don't have a bad life, but come on, I want more! And before you ask God, no, Jesus dying wasn't enough, he's a God, he gets to sit around with you and relax now!
Perhaps i'll still draw the line at denying the Holy Spirit, apparently the only unforgivable sin...",3,4,topic_stance_votes_1
4,What's YOUR beef with God?,existence of God,attack,"Man, I'd hate to be around when you take a dump if you need to wash your feet afterward. emoticonXDonno",4,5,topic_stance_votes_2
5,What's YOUR beef with God?,existence of God,support,"you mean like partially pregnant or almost pregnant or almost a virgin?
I don't have a beef with God, I only pick on guys shorter or weaker than I.emoticonXGood",1,6,topic_stance_votes_1
6,What's YOUR beef with God?,existence of God,support,"Why would anyone want to get to Heaven? Archangel and people like him would be there, praying and chanting 24/7 . Thanks but no thanks!",3,7,topic_stance_votes_1
7,What's YOUR beef with God?,existence of God,support,"Like the old joke says: A newly arrived Rabbi was talking to St Peter at the gates of Heaven, and asked 'Who is behind that high wall with all the gates, over in the distance? St Peter replied: ""That's the evangelicals - they think they're the only ones here!'""
The average person has only to look at those who believe most vehemently about their personal ultimate destination, and with apologies to Marx, think: ""I wouldn't want to join a club that would have THEM as a member!""",7,8,topic_stance_votes_1
8,What's YOUR beef with God?,existence of God,attack,"My point with this is that the toilets around the time of Jesus would have been holes in the ground that everyone shared use of, similar to those in the poorest regions of Africa, which result in Cholera and other such disease. Cleaning your feet regularly was introduced by these teachings, and as a result the spread of disease was restricted.
Another major fault with Christianity is that in order to fulfill prophecy, Jesus had to be a decendant of David, but as this is traced on Joseph's side, either this bit's wrong, or the virgin birth bit is. Either way, prophecy fail!",5,9,topic_stance_votes_1
9,What's YOUR beef with God?,existence of God,attack,"Actually, this jewish tradition was founded in either the Levitical laws or in Deuteronomy (I would have to check specifics on its origin) which were written many centuries before Christ appeared. 
This is also incorrect. The Gospel lists both the lineage's of Joseph and Mary. Check it out, you'll see I'm right. Beside, how would any Jew trace their lineage today to prove they are of the blood line of David? It can't be done. But it was well known info in the first century.
You seem to be armed with half truths and misinformation as ammo for your rejection of God and His word. I would suggest that you study the facts and not the unbelievers propaganda before writing Him off as nonexistent.",9,10,topic_stance_votes_2
10,What's YOUR beef with God?,existence of God,attack,"What are those ""facts"" that would rule out God's non-existence?",10,11,topic_stance_votes_1
11,What's YOUR beef with God?,existence of God,support,"God, the god of Judaism, Christianity and Islam, has been a totally lousy deity -- and I'm not given any commendations to any other gods either.
The omnipotent deity of these three religions has spread death, destruction and warfare throughout the world.
People have been massacred because they were the wrong religion or held the wrong theological views, um, just to name one, the massacre of the Cathars by Roman Catholics in the 13th century by order of Pope Innocent III. I must say, some ""innocent""!",11,12,topic_stance_votes_1
12,What's YOUR beef with God?,existence of God,support,"Actually toilets would have been of the standard Roman design in use throughout the Empire. Namely a plank with holes above a drain with flowing water to carry away waste.
Roman Sewage - History for Kids!
http://www.cromwell-intl.com/toilet/imperialroman.html
http://www.pbs.org/wgbh/nova/lostemp...n/toilets.html",9,13,topic_stance_votes_1
13,What's YOUR beef with God?,existence of God,support,"I have no beef with god, it is with his followers. As Simone has mentioned, It does more harm in the world to believe than not to believe.",13,14,topic_stance_votes_1
14,What's YOUR beef with God?,existence of God,attack,"Ah yes, Martin Luther King Jr, Mahatma Gandhi, Dom Helda Camara, Corrie Ten Boom; to start a list that could run into the millions, all did such damage as a result of their faith emoticonXCool . Such generalisations are utterly worthless. Some will use religion as an excuse to indulge their psychotic whims, for others faith will be an inspiration to do great good in the world. As well say all atheists are necessarily heartless selfish nihilists with no morals. True of some, worthless as a generalisation, and totally unfair to those atheists who work constantly, and often just as hard as those inspired by God, to help others. A friend of mine who worked for Christian Aid (for a nice bit of irony), for one.",14,15,topic_stance_votes_2
15,What's YOUR beef with God?,existence of God,support,"I FINALLY SEE THE LIGHT.
God is Triune in nature!
God the Father = Jews
God the Son = Christians
God the holy hell raiser = Muslims.
These aren't 'good people' Jo.
They just had good PR.",12,16,topic_stance_votes_1
16,What's YOUR beef with God?,existence of God,attack,"Your right, i should have stated ""not all"", none the less even if you could name a million who did wonders with their faith the death toll for those who have perished by it runs into the billions. I stand by what i said, it does more harm than good.",15,17,topic_stance_votes_1
17,What's YOUR beef with God?,existence of God,support,"secular religions such as Communism, Capitalism, Nazism and Fascism had done real harm and killed millions of people",17,18,topic_stance_votes_1
18,What's YOUR beef with God?,existence of God,support,"Hi Winston, this is very true, but this is a thread about ""peoples beef with god"", secular religions do not have a god (deity). If the thread were titled ""whats your beef with religion"" then your response would be more fitting.
I am defending my response to the op's question. My beef was with the followers (not all) of god (the deity) causing more harm than good. Not with god him/herself :)",18,19,topic_stance_votes_1
19,What's YOUR beef with God?,existence of God,attack,"You are right about Mans religion holly, but pure and undefiled religion which God represents is pure and PERFECTLY defined by two words; UNCONDITIONAL LOVE. So, if your beef was with the proper object of your discontent, it would be with Man who corrupts Gods truths, not with God in any way.
Jam 1:27 Pure and undefiled religion in the sight of {our} God and Father is this: to visit orphans and widows in their distress, {and} to keep oneself unstained by the world.
",14,20,topic_stance_votes_2
20,What's YOUR beef with God?,existence of God,attack,"Isn't that exactly what she said?
Holly - I have no beef with god, it is with his followers.
Archie - if you have a beef . . . it would be with man . . not with god . . 
Why did you bother?",20,21,topic_stance_votes_1
21,What's YOUR beef with God?,existence of God,attack,"My intent was to clarify the difference between Mans corrupted forms of religion and Gods true religion and what it represents. In other words, even though there are many corrupted forms of religion, I was encouraging her that the true religion can still be found in the mix. Maybe I wasn't clear in making that distinction.",21,22,topic_stance_votes_2
22,What's YOUR beef with God?,existence of God,attack,You manage to clarify the difference with almost every post you make.,22,23,topic_stance_votes_1
23,What's YOUR beef with God?,existence of God,support,Bwaaaahahahaha!,23,24,topic_stance_votes_1
24,What's YOUR beef with God?,existence of God,attack,"Don't confuse your inability to comprehend almost every post with my need to clarify what I say.
How easily the ignorant are amused. Or as Oscar Wilde put it:
Ridicule is the tribute paid to the genius by the mediocrities.
—Oscar Wilde
And don't forget this truism by Jonathan Swift:
When a true genius appears, you can know him by this sign: that all the dunces are in a confederacy against him.
—Jonathan Swift
",24,25,topic_stance_votes_2
25,What's YOUR beef with God?,existence of God,attack,Tell us your views on gays again Archie.,20,26,topic_stance_votes_1
26,What's YOUR beef with God?,existence of God,support,"He loovveessss teh gays.
It's the homosexuality that he despises.
emoticonXBanghead",26,27,topic_stance_votes_1
27,What's YOUR beef with God?,existence of God,attack,Precisely! emoticonXAgree,27,28,topic_stance_votes_2
28,What's YOUR beef with God?,existence of God,attack,"And if someone said to you it's not christians they hate, it's their christianity, you would...?",28,29,topic_stance_votes_1
29,What's YOUR beef with God?,existence of God,attack,Pray for them.,29,30,topic_stance_votes_2
30,What's YOUR beef with God?,existence of God,attack,"LMAO
########! You have ranted and raved on these very boards about perceived slights against your paricular beliefs. You have claimed discrimination and hate leveled against you because someone has slighted your religion. Yet you can't see that you do the exact same thing to gays, and are actually proud of what you do to gays on a daily basis.
Archie, this is just one more example of your severe disconnection from reality and logic.",30,31,topic_stance_votes_1
31,What's YOUR beef with God?,existence of God,attack,"Fair enough. But of course, I generally think it unwise to interpret either Wilde or Swift literally....",25,32,topic_stance_votes_1
32,What's YOUR beef with God?,existence of God,support,"The Problem of Evil:
""If God is omnipotent, then He must be able to prevent evil. If He is omnibenevolent, then He must be willing to prevent evil. So why is there evil?""
Not exactly a ""beef with God,"" per se. But a big theological problem, that's for sure.",1,33,topic_stance_votes_1
33,What's YOUR beef with God?,existence of God,attack,"Again you show that you're more attuned to atheistic philosophy than scriptural realities. No where does the bible say that God is omnibenevolent in any way. Or even describe Him that way. It is true that God is love. But He is also Just. So although atheists want to believe that if God really does exist in spite of their rejection of Him, His omnibenelovence will see them through to Heaven. But they are forgetting about His sense of justice and His plan for salvation through Jesus which requires an act of the will by the receiver of that GRACE. 
God is omniscient, omnipresent and omnipotent but He isn't omnibenevolent according to the scriptures. He requires that a price be paid for sin. Either we pay it personally or we accept what Jesus did as payment for our sins. That simple Gospel message is proof that omnibenevolence is a man made characteristic which is attributed to God apart from His word.",33,34,topic_stance_votes_2
34,What's YOUR beef with God?,existence of God,attack,"Spot the illogic. If there is no god, then there is no heaven, so no atheist would want to believe anything of the kind. emoticonXRolleyes
For the sake of argument, if there were a heaven, and people expressing the ideas that you do were candidates, then no sane person would want to go there. emoticonXAngel",34,35,topic_stance_votes_1
35,What's YOUR beef with God?,existence of God,attack,"Here we have a prime example of the ""My god is ever loving and just, he merely requires you to jump through petty hoops to go to heaven, rather than doing something to actually deserve it,"" argument.
Not a god worth bothering with.
Smiley",34,36,topic_stance_votes_1
36,What's YOUR beef with God?,existence of God,attack,"Yeah, all the theologians who've puzzled over this problem for centuries have just been bad Christians in the clutches of atheists.
-sigh-",34,37,topic_stance_votes_1
