,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Why are the majority of charities Christian?,existence of God,support,"After spending the past few days glued to the TV's coverage of Katrina, I began to wonder what all of the anti-Christians had to say about the fact that MOST of the help being given to Katrina victims is coming from CHRISTIAN ORGANIZATIONS. I've yet to see an atheist charity step up to the plate. What's the matter? Are only Christian organizations compassionate enough to lend a helping hand? 
I guess just as there are no atheists in a foxhole, there aren't any atheists in charitiable organizations either. emoticonXRolleyes",0,1,topic_stance_votes_2
1,Why are the majority of charities Christian?,existence of God,attack,"How about because while many charities have a Christian foundation, not all their contributors or workers will be Christian? Exhibit A: the American Red Cross.",1,2,topic_stance_votes_1
2,Why are the majority of charities Christian?,existence of God,attack,"From another thread:
The head of the Federal Emergency Management Agency is directing people wanting to contribute to give to the Christian charities above. Again, where are the atheist organizations?",2,3,topic_stance_votes_2
3,Why are the majority of charities Christian?,existence of God,attack,"I don't think the majority of people realize the red cross is a christian organization. I also don't believe there main mission is religious.
You seem to be attacking atheist, but then discount secular charity organizations like the united way. Why is that?",1,4,topic_stance_votes_1
4,Why are the majority of charities Christian?,existence of God,attack,"Atheism as a organization (if there is one) would find it difficult qualifying for not-for-profit tax free status enjoyed by wealthy Christian organizations. I once did a study on non-profits and religious principal salary/benefit levels would warm the heart of any capitalist, and in many cases make them very envious. All Christian organizations have a fixed percentage of donations raised for emergencies set aside for administrative, expansion and reserve purposes, all tax free. Disasters such as Katrina actually serve to build their financial strength and subsequent political clout.",1,5,topic_stance_votes_1
5,Why are the majority of charities Christian?,existence of God,attack,"Well, who was the head of FEMA appointed by? A brief googling seems to suggest a Mr. G.W. Bush was responsible, it wouldn't be entirely out of the question for dubya to appoint another member of the Christian right to this permission, who might be keen for Christian charities to be promoted. Other possible reasons are that religion is very strong in the south, and hence religious charities are more likely to have resources in the south, were the problem is.
In any case, the red cross is by far the largest organisation involved, and as has already been estalbished is secular. And as I said before just because the organisations are Christian doesn't necessarily mean that their workers or contributors are.",3,6,topic_stance_votes_1
6,Why are the majority of charities Christian?,existence of God,support,"Perhaps the ""atheist"" orginizations are already busy dealing with problems such as AIDs, poverty and other such horrible dangers in other parts of the world. 
Otherwise, this is really just a pathetic way to insult non-Christians.",6,7,topic_stance_votes_1
7,Why are the majority of charities Christian?,existence of God,support,"christianity cultivates a special skill in its leaders of appealing to people emotionally. its their survival tactic, so to speak. even if you had an athiest-run charitable organization, you'd probably use these tactics to get people to support it, and you'd quite likely hire a christian to do your marketing lol",7,8,topic_stance_votes_1
8,Why are the majority of charities Christian?,existence of God,support,"With the vast majority of the population being Christian, it seems obvious that the vast majority of charities are Christian.
http://www.cia.gov/cia/publications/...us.html#People
Then there's the fact that, in the past, just about everyone in the US was a Christian. That's round about the time many of these organisations were set up, so logically they’ll be Christian.
There's also the fact that non-Christian people give to Christian charities.
Finally, quantity of charities doesn't actually reflect the quantity of help given. For example, the Red Cross will be giving more than the Mennonite Disaster Service.
-Wez",8,9,topic_stance_votes_1
9,Why are the majority of charities Christian?,existence of God,support,"There is also the fact that New Orleans is something of a primary constitunacy (did I spell that corectly?) to these Christian charaties. Next time there is a big earthquake here in San Francisco, I can gurrantee you all these charaties wont make nearly as big a deal about helping out.",9,10,topic_stance_votes_1
10,Why are the majority of charities Christian?,existence of God,support,"Exactly. More Christian conceit.
UNHCR
UNICEF
Doctors without Borders
The Green Crecent
The list goes on and on.",7,11,topic_stance_votes_1
11,Why are the majority of charities Christian?,existence of God,attack,I'll take that bet. How about $500?,10,12,topic_stance_votes_2
12,Why are the majority of charities Christian?,existence of God,attack,"I'm not discounting secular organizations. I'm discounting atheists. They **** and moan about the wicked Christians trying to run their lives but don't pony up when others need help. Christians lend a hand in spite of all their supposed wickedness, but atheists are typically a bunch of cheap windbags. They speak of ""intrinsic morality"" not being religious-based, but don't display an ounce of it when push comes to shove. emoticonXCensored",4,13,topic_stance_votes_2
13,Why are the majority of charities Christian?,existence of God,attack,What a load of garbage.,13,14,topic_stance_votes_1
14,Why are the majority of charities Christian?,existence of God,attack,"Yes, because atheists love it when New Orleans gets drowned in water and thousands die. Hell, I know I'm throwing a party tonight, going to get my atheist friends over, and my pagan brothers to. Maybe a couple of beers, some dogs on the grill, all topped off with us ******* on a crucifex. emoticonXRolleyes 
Grow up.",13,15,topic_stance_votes_1
15,Why are the majority of charities Christian?,existence of God,attack,"Why would they ""necessarily"" be Christian organizations? They could just as easily be secular like the Red Cross? The reason is because Christianity teaches and promotes charity towards others and Christians put their money where their mouths are. Atheists doesn't. It's a ""WIIFM"" philosophy. 
As you stated above, the majority would be Christians. I can't think of too many philantropic atheists, can you? emoticonXRolleyes 
I'm not knocking the Red Cross. It's a great organization that has had its share of problems, but has weathered them and does great good around the world. It is also a Congressionally-chartered organization, unlike all of the Christian charities.",9,16,topic_stance_votes_2
16,Why are the majority of charities Christian?,existence of God,support,"Speaking from the Catholic standpoint, our religion is based on helping others on a day to day basis, let alone a natural disaster. We have additional collections all the time for charitable missions all over the world. We live in a wealthy country whose government apparently has hundreds of billions of dollars to better the lives of Middle Easterners in Iraq, I would expect we could take better care of our own without pandering for handouts from private charities. We need to get our priorities straight.",12,17,topic_stance_votes_2
17,Why are the majority of charities Christian?,existence of God,attack,"Why is it such an issue ?
To me if an organisation is doing some good it doesn't matter if they are Muslim, Hindu, Christian etc.",17,18,topic_stance_votes_1
18,Why are the majority of charities Christian?,existence of God,attack,"It's an issue because I always see negative posts about Christians and Christianity coming from the atheists on this forum but they remain damn silent when Christian organizations step up and help out everyone who needs help. 
It's real easy for them to complain about Christianity but they're not to be found when it comes to acknowledging the good that Christian organizations do. emoticonXMad",18,19,topic_stance_votes_2
19,Why are the majority of charities Christian?,existence of God,attack,No one is saying that Christian orginizations arent doing a good job. More power to them. We're taking exception to the view that atheists want to see the people of New Orleans suffer. I myself have sent off a $150 check to the Red Cross. Would I do that if I hated the people who were suffering in that area right now?,19,20,topic_stance_votes_1
20,Why are the majority of charities Christian?,existence of God,support,Its probably GAY money you sent! emoticonXWow,20,21,topic_stance_votes_1
21,Why are the majority of charities Christian?,existence of God,support,"Yeah, it passed through SF, that means it been contaminated and is therefore unsanitary for use by Christian extremists.",21,22,topic_stance_votes_1
22,Why are the majority of charities Christian?,existence of God,support,is it because chritsians beleive in charity and help to the less fortunate? Is that the right answer?,15,23,topic_stance_votes_1
23,Why are the majority of charities Christian?,existence of God,attack,"What I said was I don't see any atheist organizations stepping to the plate like the dozens of Christian charities are doing, nor do I see any atheists on this board acknowledging the good that the Christians are doing. All they do is bitch.
And to say that Christians only help Christians is BS. They also sent a lot of money for Tsunami relief and a hundred other areas where help was needed, regardless of their religious affiliation. To say otherwise is disengenuous on your part.",20,24,topic_stance_votes_2
24,Why are the majority of charities Christian?,existence of God,attack,All you do is bitch. Soooooo.........?,24,25,topic_stance_votes_1
25,Why are the majority of charities Christian?,existence of God,attack,I put my money where my mouth is. How about you? emoticonXRolleyes,25,26,topic_stance_votes_2
26,Why are the majority of charities Christian?,existence of God,attack,"JP, I'm losing an enormous amount of respect for you with every post you make in this thread.
Not only are you pounding on a very shaky generalization, but you're beating your chest and strutting about for all to see in a fit of righteous indignation because you've (and Christian organizations) donated some money to the hurricane relief.
It sickens me. 
IIRC, this type of attitude was seriously frowned upon by Jesus himself on several occasions in the Bible.
The vast majority of the US population is Christian, and therefore the majority of charitable organizations are Christian. Is that so hard to figure out? People donate money, ATHEISTS TOO, THOSE BASTARDS, to whatever charity they feel is going to get the most out of their money. 
What do want? A roll call of everyone here posting a tax receipt for their charitable donations so we can all whip them out and compare? What is this, the second grade?
Why you would feel the need to come on this board and point fingers while blowing your own horn is beyond me. 
Waxy",26,27,topic_stance_votes_1
27,Why are the majority of charities Christian?,existence of God,attack,"I'm not trying to XXXX my own horn. I happened to see the thread about charities and saw that the majority were Christian organizations. They weren't secular foundations, they were Churches and other Christian organizations.
I then began to think of all the anti-Christian propaganda that's been posted on here lately and thought that, just maybe, someone should point out to those blinded by anti-Christian hate that Christians do good things all of the time. I may have gone off a bit, but I'm better now. :)",27,28,topic_stance_votes_2
28,Why are the majority of charities Christian?,existence of God,attack,"In another thread you said you'd try to stop with the generalisations. What happened? Can you provide a shred of evidence of how Christians give more per person?
Because most people are Christian.
Why don't churches sell all their gold then? What possible benefit does it bring them? Why not sell it all? God sees no value for money in his kingdom, so why do churches insist on storing it?
Red Cross?
People tend to bash stupid Christians such as Chic and co, rather than Christianity as a whole. Those who bash Christianity as a whole are XXXXXX. Just like those who bash non-religious people as a whole.
As I said, quantity of charities isn't directly proportional to quantity of help. The Red Cross, yet again, does more than dozens off smaller charities put together.
People acknowledge Christian charities do good. Where is there a single post saying something to the contrary?
-Wez",13,29,topic_stance_votes_1
29,Why are the majority of charities Christian?,existence of God,support,"It's as simple as this.
Most charities need organization.
Most religious organizations are organized.
Most religious organizations are non-profit.
SO most charities are based on or around non-profit organizations, most of which are religious organizations, most of which, in the US, are christian.
But there are Jewish, Muslim, etc. charities, just fewer of them, since there are fewer Jews, Muslims, etc.
It's very simple and it's nothing special to do with Christianity.
Why are most charities in the Middle East Muslim?
Because Christians aren't charitable.
Make sense?",29,30,topic_stance_votes_1
30,Why are the majority of charities Christian?,existence of God,attack,"I had an epiphany. :) 
Difficult to do, but tell me how many atheists that you know tithe? emoticonXRolleyes 
No argumewnt there.
I don't know of any churches that speculate in precious metals, so I can't answer that. 
The Red Cross is an atheist organization?! emoticonXWow I guess that I didn't get the memo. :) 
Might I suggest that you do a quick search of this forum. Pay particular attention to the anti-Christian Gay Forum. 
You keep bringing up the Red Cross. The majority of donators to the Red Cross are most likely Christians as well, so what's your point? emoticonXConfused 
This forum is replete with Christian bashers. You'd have to be blind to not see that and an essential part of Christian doctrine IS charity. So, when they bash Christianity, they also bash the good that Christians do.",29,31,topic_stance_votes_2
31,Why are the majority of charities Christian?,existence of God,attack,"JP - you are big time generalizing.
Just becuase one disagrees with one action of Christianity does not mean that they don't recognize the good of another action.
The gay rights forum is a forum about gay rights. Christianity opposes gay rights. Of course they are gonna get reamed there.
If it were a forum about the good works of the church it would be different.
I recognize the charity of many Christian organizations and the committment to education. I EVEN attended a Catholic University.
However, when it comes to reproductive issues and gay rights the church is gonna get it square in the teeth from me. That does not make me ""anti-Christian"", it just means I am in favor of things that the church isn't.",31,32,topic_stance_votes_1
32,Why are the majority of charities Christian?,existence of God,attack,"None, seeing as tithing generally means giving money to the clergy/church.
Making it simple: Why doesn't the RC church sell all its gold and use the money to help the poor?
The [British] Red cross website has no matches for the words: ""God"", ""Christian"" or ""religion"". The American one has matches, but not in relation to the Red Cross's beliefs. Have you got evidence it's Christian?
That's another generalisation. Why do you make them? I won't just pick on you though. This is another stupid generalisation: 
But is the Red Cross Christian? Obviously most contributors are Christian. That's obvious as most Americans are Christian. 
That makes no sense.
If someone criticises, for example, the Church's stance on abortion, it doesn't mean that the person is criticising the church's charity. Someone who just insults the Church in general, or gays in general, should just be ignored.
-Wez",31,33,topic_stance_votes_1
33,Why are the majority of charities Christian?,existence of God,attack,"Just one I can think of of the top of my head.
Bill Gates Foundation
Maybe Gates isn't athiest, but he's not Christian.
http://www.jesus-is-savior.com/Belie...w_atheists.htm",16,34,topic_stance_votes_1
34,Why are the majority of charities Christian?,existence of God,support,"Atheist is a catch all phrase that Christian conservatives use for everyone not a Christian conservative.
It is quite a typical generalization.
Oh yeah, Doctors without Borders. I believe they won the Nobel Peace Prize.",34,35,topic_stance_votes_1
35,Why are the majority of charities Christian?,existence of God,attack,"Yes I was. I was attempting to make a point. I get tired of hearing the anti-Christian generalizations and decided to use this instance to reciprocate. You've read the same generalized anti-Christian posts as I have, so you know that they don't represent all of Christianity just as my statements don't necessarily represent all atheists.
Until THIS thread, I hadn't heard one positive thing said about Christians by atheists.
But it's more than just disagreeing with the policy. Some want to eliminate Christianity all together.[/quote]
I don't necessarily agree with all Christian dogma and positions myself, but I don't attempt to crucify all Christians as I've seen in this forum because of my differences.
Well, I think that I've beaten this dead horse to death, so I'll end my prolonged rant now.",32,36,topic_stance_votes_2
