,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,how do you see God,existence of God,support,How do you see God,0,1,topic_stance_votes_2
1,how do you see God,existence of God,support,"First, I drink two glasses of fine Scotch. I then find my favorite mind altering substance, and smoke it. I then go outside in the summer night, and watch the stars.",1,2,topic_stance_votes_2
2,how do you see God,existence of God,support,"Hi Matthew,
I voted for #1 because that's who my heavenly Father is, unconditional Love. But He is also a Holy God and a Jealous God who wants the relationship with us that He created us for. God wont compromise and requires obedience from His children. Have you read where it say's that ""God chastens those whom He Loves"" ? That means that as a parent will punish and correct a child they love, so will our heavenly Father. I know I have been corrected by Him on many occassions. 
God is a personal God who is interested in and actively involved in my life. He is with me every moment of every day and cares about the smallest decision I must make in life. Before I received jesus as my Savior I couldn't even read the bible because it made no sense to me. Immediately after receiving Him, I understood the Word of God clearly because apart from Christ, we are blind and deaf to the truths of God. I felt the Holy Spirit come into me and I was filled with new life which is what being born again means. From that moment on I have been an alien in this World and alive in Christ with the ability to understand and comprehend spiritual insights that never even existed to me prior to being born again.
I knew that all my sins were forgiven and that I had received the free gift of salvation that jesus died on the Cross for. This is real, it is life and it is why we are here. And it doesn't matter what sins we have commited Matt, because Jesus died for ALL of them. ""For all have sinned and fall short of the Glory of God, not one is worthy, not even one"". ""It is by Grace that we are saved and not by works, so that no man should boast, it is a free gift of God"".",1,3,topic_stance_votes_2
3,how do you see God,existence of God,attack,lmao emoticonXHoho,2,4,topic_stance_votes_1
4,how do you see God,existence of God,attack,Would you please be willing to share some of those spiritual insights? I am fascinated. Thank you.,3,5,topic_stance_votes_1
5,how do you see God,existence of God,support,"Yet your acceptence of Him as a inhuman monster that is presented in the old testament is at odds with your statement.
You say God is love but you believe God is fear.",3,6,topic_stance_votes_2
6,how do you see God,existence of God,support,Are you asking for the text book answer on what I know to be true about God or are you asking what my behavior tells me that I actually believe about God?,1,7,topic_stance_votes_2
7,how do you see God,existence of God,support,"I kind of did by explaining how the bible was foreign to me prior to being saved yet it speaks personally to me now. The bible is the LIVING WORD of GOD and can only be understood fully by those who know Him personally. It's giberish to all others. Also, why do you exist ? Why was man created in the first place ? That question haunted me as a young teen. I wanted to know the reason for my life, what is the reason I live ? He answered those questions for me so now I know that I come from Royal Lineage and am a child of a King of Kings and Lord of Lords. I'm not an orphan who is lost as I was before knowing I was unconditionally loved by my Father in Heaven.
Your view of the God of the OT is very skewed my friend. But it will take a lot more time than this forum allows to deal with the culture, conflicts and sense of justice that existed then in comparison to our modern way of thinking. Imagine if we could take the most barbaric heathen from 4000 years ago, take them around on a 2 week tour and show them the hi-tech modern, efficient methods, and the actual fetuses of the 6000 human babies we so effectively abort each day in this Country alone. Do you think they would consider their time more or less barbaric than ours ?
It is all relative to our perspective Matt, so from the perspective of the Age of Grace, the Age of the Law seemed harsh. But don't forget that the same God who gave us the Age of the Law, also gave us the Age of Grace which we currently reside in. And you can thank what Jesus did for this Age.",6,8,topic_stance_votes_2
8,how do you see God,existence of God,attack,"Thank you. I understand now what you are saying.
I respectfully disagree, however, that not knowing why we exist makes life meaningless. I have no idea why we have come to be what we are. I suspect there really is no reason and I don’t have a problem with that in the least. I don’t find that difficult to comprehend, nor do I think it is a cause for despair. It doesn’t change the amazing “outcome” for me, no matter how or why we got here.
I think things are pretty wonderful the way they are, even if I am not royalty. The world is pretty amazing on its own. Just today, I have enjoyed the cherry blossoms exploding, my cat sleeping in the sink, the sun shining on the mountains and Ella Fitzgerald singing “Bewitched”. That’s a good day, and it’s only 2 o’clock. I am a content person who is lucky to be alive and loved by many, and I am thankful for that. 
But that’s just me. Thanks for your take on things, and I am happy you get that much out of the Bible.",8,9,topic_stance_votes_1
9,how do you see God,existence of God,attack,"So in other words, you're saying that somewhere along the lines, God changed his mind.",8,10,topic_stance_votes_1
10,how do you see God,existence of God,support,Find the word problem in the Bible and its meaning and I will answer your question.,1,11,topic_stance_votes_2
11,how do you see God,existence of God,attack,"What if it was his plan all along. I cannot see a better way to demonstrate love that is freely given and freely received. Which could lead us to yet another topic which is ""what is love"". Has anyone done that one yet or should I start a thread?
Huck",10,12,topic_stance_votes_2
12,how do you see God,existence of God,attack,"As I read of your day I realized how much our heavenly Father enjoyed looking and seeing you enjoy your day. He gets great joy looking in on our happiest yet most mundane moments in life. Your day wasn't much different from mine. I don't claim any type of different life than the average person my friend, I just understand I'm not alone as I live it.
Not at all. The Age of Grace ushered in with Messiah is a natural progression to the Age of the Law that is the Old Testament.",10,13,topic_stance_votes_2
13,how do you see God,existence of God,support,"Or the ramblings of those who indulge in this sort of thing, relyed second/third hand and delivered with sincerity and lack of editing.",2,14,topic_stance_votes_2
14,how do you see God,existence of God,support,Wow. Keep preaching my friend. It is good to have ye here.,8,15,topic_stance_votes_2
15,how do you see God,existence of God,support,"Then by your own admission the OT is irrelevant to todays standards?
All I know is that the bible is being used as a weapon against my people by people who only believe the bible is the ""LIVING WORD of GOD"" when it is convenient. They igonor certain parts they consider irrelevant to their modern lives while adhering to the other parts as the literal truth, without taking the whole book into historical and cultural context. Either the bible was written for a certain time and place or all, and I mean all, is the literal ""LIVING WORD of GOD"". It can not be both.",8,16,topic_stance_votes_2
16,how do you see God,existence of God,support,"No Matt, that's not what I'm saying at all. The truths and principles in the OT still stand up today and always will. Some of the customs and traditions of that period no longer apply but the OT never promoted those customs and traditions as eternal standards to live by.
I'm not going to defend or attempt to justify how other believers interpret the bible Matt. But I told you on another forum as well as this one that God loves you in spite of your homosexuality. Maybe sharing of my own shortcomings will help you to understand how God doesn't compromise with any of us where sin is involved. 8 months after getting saved God told me very clearly in a word of knowledge, ie prophetic utterance to quit smoking cigs and He would use me in a powerful way. Dont quit and I would fall away for 30 years and stumble into other sins of the flesh due to my disobedience in that one area.
I screamed no Lord, I'll never deny or turn away from you. Needless to say, I wasted 30 years of my life struggling with sins of the flesh and cigs until 2 years ago when I was miraculously delivered from my addictions. But before I was delivered I had to finally put those cigarettes down and finally trust God to see me through the withdrawals. I also suffered from lust, pot smoking and drinking. Basically my personal life was a mess and I was miserable. Today I am free of all addictions and am finally living the victorious God always intended for me. 
The point is that as long as I lived in disobedience to God's will, He would never allow me to move to the next level of spiritual growth. That night two years ago He showed me that I was grieving the Holy Spirit which indwells me and was in jeopardy of being given over to a reprobate mind. He showed me how on one hand I had His unconditional Love while on the other hand, I was sacrificing that Love for cigs, beer, and a little pot that quenched the Spirit within me. Finally I saw what a waste it was compared to His Eternal Glory and Love and the rest is history, I was delivered.
The gay community continues to blame and demonize the Christian/ evangelical community for insisting that in order for gays to get right with God, they must give up their lascivious ways. It is exactly the same way for we straight people. We must live apart from acts of lust, adultery, orgies, and equally lascivious though heterosexual behavior. Your problem is with God my friend, not me or the Christian community. I lived with a friend who was a guy in Utah for 2 years once, without sinning once with him. 
You see Matt, I think your constant threads about spiritual questions and God is strong evidence that He is reaching out to you in a big way. And you are open to His voice and spirit in equally as big a way. You also know that the things I say are true and honest beliefs spoken without personal motive or private agenda. I know you dont want to hear this part, but submit to Him as your heart is telling you to. Worry about working out the next step after that. But first accept the lords salvation that is available to you and He will guide you into all understanding regarding your future with Him. And know that He will never lose or forsake you.",16,17,topic_stance_votes_2
17,how do you see God,existence of God,attack,Inconsistency sure seems like an odd way to show it.,12,18,topic_stance_votes_1
18,how do you see God,existence of God,attack,"If God (or his love...God is Love...) was unconditional, then there would be no need for Grace, nor the Cross. There would be no sin.
That's why I commented about the word ""problem"". It's not there...",18,19,topic_stance_votes_2
19,how do you see God,existence of God,support,"Well, from the viewpoint of another of the other religions, there IS no need for Grace, nor the Cross.",19,20,topic_stance_votes_2
20,how do you see God,existence of God,support,"True.
But I was referring to the OP, which I took to be the God of the Holy Bible.
I guess I should have stated that.",20,21,topic_stance_votes_2
21,how do you see God,existence of God,support,"Exactly! Being gay and having gay sex may not have been an acceptable custom to those who needed childern in an agricultual scoiety. Levitical law has no place in our culture. Also in a culture that considered women property and slaves to men anything that made a man a woman would be shunned. Once again not relevant to our culture.
Yet they are not asked to give up being heterosexual. The church is asking gay people to give up a God given part of themselves. That is why we demonize certain religious sects because they would make us something God did not intend us to be heterosexual. What kind of God creates His children a certain way then punishes them for who He created them to be. That is insane. That is like if I have a child with blue eyes I am going to beat him and disown him because of his blue eyes or saying that the only way I would love that child is to have him cut out his blue eyes or ware color correcting contacts.
Well then you will understand that I too have had a ""prophetic utterance"" when He showed me that my gayness was His gift to me to be cherished and celebrated. That my husband is His gift to me and He blesses our marriage. I also have come to understand that you are right the Holy Spirit is working hard to change the hearts of those who have hardened their hearts towards gay people and do not accept us as full children of God; created just as He created us. That gayness is a gift and not a sin or curse.
You would be wrong these threads are designed to get you thinking about how others percieve your fanatisim",17,22,topic_stance_votes_2
22,how do you see God,existence of God,support,"In specific, the God of the Christian Holy Bible.",21,23,topic_stance_votes_2
23,how do you see God,existence of God,support,"But we still need children today if we hope to continue as a species Matt. Look at the panic taking place in Russia and Europe where the birth to death ratio is reaching zero. They fear that within one generation they wont have a new generation of workers to replace the retiring generation od seniors. Why do you think that the consequences of our sins are less serious today than they were 4500 years ago ? 
You assume much my friend. If being gay was God given then He never would have condemned it in the bible. And it isn't the Church that is asking people to give up being gay, it is just upholding what it believes God's will is pertaining to sinful acts of the flesh. Just like the church condemns adultery for straight people. It's no different to God.
I know this is going to hurt you, but it needs to be pointed out. Did God make Mentally Retarded Children as they are ? Or Mongoloids ? Or the Physically Handicapped ? Or Children born with diseases that devalue the quality of their lives ? Or are these handicaps the result of our fallen natures. And most importantly, doesn't God love each of these people equally in spite of the physical maladies that afflict them ? So I dont believe it was Gods will that a small percentage of humanity should be gay, approximately 5%. But neither did he choose that I should be born with a deviated septum. Either way He still loves us equally in spite of our flaws. But that doesn't mean He created us this way. It means He allowed us to live in spite of our flaws.
If you are right and aren't deceiving yourself then I applaud your epiphany. And I will praise God in eternity for His truth and His grace regarding the homosexual condition. But I submit you are hoping your beliefs are correct but know nothing of the kind for certain. Don't fight God my friend. Receive Him and be saved, both you and your significant other. Seek His will for your lives and trust Him to guide you both into understanding His will for your lives. He will never leave you or forsake you Matt. He died for you because He loves you more than life itself.
Why would I care how others perceive me when I know that I am following the God of all Creation ? And if at the end of life it is found that I am right to believe my God and to take His Word literally, is that the definition of a fanatic ? I dont think so. I mean, what is fanatical about the absolute truth according to the author of all life ?",22,24,topic_stance_votes_2
24,how do you see God,existence of God,support,"The problem with that thinking is that it pretty much denies the sovereignty of God. According to your thinking, there are some things outside of God's control (hence your statements 'neither did he choose that I should be born with a deviated septum"" and ""that doesn't mean He created us this way"". There things, therefore, happened outside of God's work.
Or maybe you use the usual response to this, that He ""allowed"" it to happen--knowing all along that it would. But then you are back to square one--God allowed some people to be gay, as a part of nature. For all practical purposes, that's the same as saying he made them that way.",24,25,topic_stance_votes_2
25,how do you see God,existence of God,attack,Did you actually just say mongoloid?,24,26,topic_stance_votes_1
26,how do you see God,existence of God,support,"Homosexuality is not an impairment, any more than being blue-eyed, left-handed, red-haired... or heterosexual.",26,27,topic_stance_votes_1
27,how do you see God,existence of God,support,"As Jyoshu already noted, your belief would show that God is NOT all-powerful, that there are things that happen outside of him, thereby denying the sovereignty of God. Either he made you that way, or you were made that way by something outside of god (more powerful than god, possibly). ""Allowing"" it to happen is the same as him making them that way.",24,28,topic_stance_votes_2
28,how do you see God,existence of God,support,"It sounds like a few folks think that God ""creates"" or ""allows"" mentally retarded people. Does He create or ""make happen"" the lightning that strikes the golfer or the hurricane that smashes seaside towns? Sounds like some radical religionist's hype.
Does He cause the little bird to fall from the nest or is He just aware of it?
At the onset of humanity, He told Adam and Eve that the earth is here for them (mankind). He told them to take care of it. He said nothing about taking over if they (we) couldn't handle it.
Blaming God for all the things, both good and bad, that happen is a mistake, imho. Some things just happen. Does that mean that God's not in control? No, it only reinforces that He still is.",28,29,topic_stance_votes_2
29,how do you see God,existence of God,attack,I disagree. Big Orn is right. Only Calvinists and other determinists hold to this.,28,30,topic_stance_votes_1
30,how do you see God,existence of God,support,"It simply means that although God CAN make everything perfect according to His standards of perfection if He chose to, it doesn't mean that He must. Your perspective also denies the laws of cause and effect as well as paying the consequences for certain actions. If these abnormalities are caused due to our fall from Grace and our sinful nature, then God, according to His own Laws must allow the natural progression of our natures play itself out. 
He, of course can offer us a spiritual way out which is exactly what He did by taking on flesh and becoming the promised Messiah who would take the sins of man upon Himself as He died for our transgressions. And this is the whole concept that you unbelievers are fighting against so hard. But God has left no holes to wiggle through. You will find that His Word is faithful when He said, you either Love me or you Hate me. There is no in between when all is said and done.",25,31,topic_stance_votes_2
31,how do you see God,existence of God,attack,"""Allowing"" it is making a choice by default.",30,32,topic_stance_votes_2
32,how do you see God,existence of God,attack,"Yes, but this would only show add support to a determinist argument if there was only one possible outcome of God ""allowing"" whatever it was.
For example, let's say a mosquito lands on my arm. I know it will bite me. I can swat it, or I can do nothing. Doing nothing would be allowing it to bite me and since I have the power to stop it, allowing it to bite me would essecntially be the same as choosing it to bite me (to a certain extent).
But our world isn't so simple. There is not only one possible outcome of God allowing us to have free will. There is a potentially infinite number of outcomes.
Even from this example, one can see that it is more complex than that. I didn't choose for the mosquito to come to land on me in the first place for example.",32,33,topic_stance_votes_1
33,how do you see God,existence of God,support,"Well, if he doesn't know-of/allow these things, then He's not really God, now is He? There's no way to believe in God without subscribing to the view that he allows or causes these things. Otherwise, He's no God after all. It's not ""radical religion""--it's straight logic. If you're going to subscribe to the idea of an 'all-powerful' being, then you don't get to suddenly pretend he's not really all-powerful.
If they happen outside of his knowledge, then yes, He would not be in control. It's pretty straightforward.",29,34,topic_stance_votes_2
34,how do you see God,existence of God,support,"Personally, I think sometimes religious people rely on the the idea of the 'fall' to avoid having to subscribe bad things to God. ""Blame it on the fall--it's a lot easier."" If you're going to hold to the idea of an all-powerful being, then He simply has to be all-powerful. Even the fall can't take place outside His will.",31,35,topic_stance_votes_2
35,how do you see God,existence of God,attack,"Inconsistent from my limited, finite, colored and distorted viewpoint? I suppose , if you want to rest all your weight on such a thing.
Don't get me wrong. I'm no more ready to accept it all than you, I simply cannot deny the objective facts of it all.
Huck",18,36,topic_stance_votes_2
36,how do you see God,existence of God,support,"It is silly to ascribe things to God that are more logically ascribed to man.
The fall is not simply a cop out. It makes much more sense that the limited and finite would err than it does the infinite.
Occam's razer applies in this direction. People usually use it to say there is not a god. But in this case, it makes much more sense that the universe is screwed up because of us rather than God. (That is given the assumption that God exists).",35,37,topic_stance_votes_2
37,how do you see God,existence of God,attack,Read my last post.,34,38,topic_stance_votes_1
38,how do you see God,existence of God,support,"God is all powerful, yet He set up certain Spiritual and Physical Laws when He created the World and all life within it. If God were to do something that interfered with our Free Will, then He would be breaking His own Laws and He wont do that. You may not understand or appreciate that but He is perfectly balanced and in perfect control of the Creation He oversees. Just because God allows imperfections in His creation to exist, it doesn't follow at all that He is also imperfect. The assumption is ludicrous as it assumes that the creator is no greater than the least of His creations.",35,39,topic_stance_votes_2
39,how do you see God,existence of God,attack,"You say I only see it as inconsistent because I don't have the mind of God (which would be impossible for me to have of course) and then say this is all based on ""objective facts"" which we can have. Which is it?
Also, what ""objective facts"" are you referring to exactly?",36,40,topic_stance_votes_1
40,how do you see God,existence of God,attack,"Jyoshu, I’m not jabbing at you by any means. In no way do I consider you a radical. The point is we can’t assign blame to God for the carnal aspects of our lives. There is a reason God made the earth and all the physical laws that we have to abide by. We are here to overcome whatever it is, and those things that we can’t overcome, we have to ask for help from Him, which He already promised to take care of. Just because I fell off a building and died, doesn’t mean God did it or allowed it. I just didn’t watch where I was going.
The ""radical religionist"" part stems from all the ""God made me this way"" nonsense, which is not so. We are the ones that shape our lives by the choices we make. Just like the retarded boy next door, for example – God didn’t do that horrible thing, which not only affects him, but also his parents, siblings, other family members in a detrimental fashion. That retarded boy will never overcome that, but God uses that natural occurrence for those of us that do understand the way of things. Christ said He couldn’t spare us from these things, but that He has a way out through Him because He has already overcome the world (John 16:33). When that boy’s parents understand that their son’s troubles will spare a soul from the tribulations of this world, and that Christ can spare theirs, then they can have peace. So many – too many – people point a finger at God for the natural occurrences of life. A kid suffers at the hand of a child predator, not the wishes, wants, or allowances of God. A husband cheats on his wife not because God allows that behavior, but because of His power to grant us the freedom to choose right and wrong, good and evil.",40,41,topic_stance_votes_2
41,how do you see God,existence of God,attack,"Actually, that is an incorrect summation.
The point about objective facts are what the scripture says about God's nature and the logic of him being the way he is described. It all fits nicely. If he is infinite then it would make sense that he would be the one who sets the standards and the one who says whether or not those standards are correct.
I am alluding to other things there but that statement is not really that material to the argument. If the christian God is as described in the bible (and lets face it, if we are talking about the christian god then we have to accept the bible as the authority on his nature, we have little other choice), then for me to say He is inconsistent or unloving is a little like a painting complaining about the painters skills.
Huck",40,42,topic_stance_votes_2
42,how do you see God,existence of God,support,"I feared my parents when I screwed up, but I knew that they loved me. Where's the confusion? emoticonXConfused",6,43,topic_stance_votes_2
43,how do you see God,existence of God,support,The difference is that I bet your parents never threatened to throw you into the furnace. Then again maybe they did.,43,44,topic_stance_votes_2
44,how do you see God,existence of God,support,"I'm disappointed in you Matthew. I answered all of your questions sincerely, truthfully, scripturally and with Love, yet you don't even respond. Maybe it isn't the truth you are seeking but just an opportunity to bash christians. If that's the case then I feel deeply for you because you'll never find the truth by fighting those whose God you seek to know. The solution is acceptance of each other in spite of those issues that cause us to stumble.",44,45,topic_stance_votes_2
45,how do you see God,existence of God,support,"I'm disappointed in you Matthew. I answered all of your questions sincerely, truthfully, scripturally and with Love, yet you don't even respond. Maybe it isn't the truth you are seeking but just an opportunity to bash christians. If that's the case then I feel deeply for you because you'll never find the truth by fighting those whose God you seek to know. The solution is acceptance of each other in spite of those issues that cause us to stumble.",44,46,topic_stance_votes_2
46,how do you see God,existence of God,support,"I do not respond 
1 because I did not have time this afternoon.
2 because it does no good. It is like beating my head against a brick wall.emoticonXBanghead in your world you can hear God talking to you and that is ""prophetic utterance"" yet the message I got I am deceving myself. What more answer could I give you. I have given you my answer. I know in my heart as I have told you that my gayness and my husband are a gift and a blessing from God. Yet you do not want to hear this because you can't see God because you are hung up on what was written by some homophobe 3 & 1/2 thousound years ago. I see two types of christianity those that preach love and acceptance and those that preach fear and damnation. In my mind and by your own words you fit in the latter group. Life is too short and precious for us to live in fear and not to celebrate the gifts God has given us.",45,47,topic_stance_votes_2
47,how do you see God,existence of God,support,"Admittedly this is where you lose me Matt, because that homophobe you refer to is the Holy Spirit himself who inspired the writer(s) of the very books of the bible you struggle with. So once again, your problem isn't with me, or even with the writers of the bible but the God who has outlined what is right and wrong according to HIS PERFECT WILL for His Creation. You seem to believe you can question and reject His will while claiming to being accepted by Him at the same time. I've been around long enough to understand how that is a waste of time and energy. Not to mention an excercise in futility.
Let me just ask you this question to consider. If I insisted that I'm a spirit filled Christian who was receiving Prophetic Words of Knowledge from God while at the same time openly having an adulterous affair which is clearly against Gods will, would you encourage my walk with Christ as it stands, or would you call me a flaming hypocrite ? You'd call me an obvious hypocrite.
Then why do you insist that just because you're gay you deserve a pass on Gods standing statutes regarding morality and submission to His Holiness and Perfect Will for us ?",47,48,topic_stance_votes_2
