,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,California lawmakers kill off gay marriage bill,gay marriage,support,"A win for the people against gay marriage in one of the most liberal states in the union.
http://today.reuters.com/news/newsAr...omesticNews&st
By Jenny O'Mara
SACRAMENTO, Calif. (Reuters) - California's Assembly on Thursday killed off a bill that would have allowed gay marriage in the nation's most populous state.
The measure, defeated in a third and final vote, mirrored a bill that also failed last year and proposed making marriage in California ""gender-neutral"" and a ""personal relation arising out of a civil contract between two persons.""",0,1,topic_stance_votes_2
1,California lawmakers kill off gay marriage bill,gay marriage,attack,"Just because it failed this time doesn't mean it won't be passed next year or the year after. Eventually you bigots will have to die off! 
Anger, Frustration, & And Renewed Resolve Following Defeat Of Calif. Gay Marriage Bill  
by Mary Ellen Peterson 365Gay.com San Francisco Bureau 
http://www.365gay.com/newscon05/06/060305calRxn.htm
Christine Allen, a mother, grandmother, wife of 20 years, and resident of Nevada County said she is ""temporarily heartbroken.”
“We've been telling our grandchildren that the fight for civil rights has its ups and downs but eventually - fairness and equality always wins out in America. The hardest thing is keeping the little ones' hopes up.""",1,2,topic_stance_votes_1
2,California lawmakers kill off gay marriage bill,gay marriage,support,"It's just a matter of time before there are married gays in every state. Massachusetts will overturn their law saying that out of state gays can't get married, and the Constitution says that if you're married in one state, then every state must recognize it. Once people have married gay neighbors they'll realise that all the hoopla was just that, and human rights will, once again, advance.",2,3,topic_stance_votes_1
3,California lawmakers kill off gay marriage bill,gay marriage,attack,"LOL; what a silly attempt to solicit sympathy and total load of BS. Like the ""little ones"" are really that interested in the political greed of gay activism. Heck, most kids don't have to be taught that gay relationships aren't normal--they have more sense sometimes than a lot of adults in this country.",2,4,topic_stance_votes_2
4,California lawmakers kill off gay marriage bill,gay marriage,attack,"No it doesn't. The constitution never mentions marriage benefits at all.
Have you not read the study done in Scandanavia where marriage pretty much went to the toilet when gay marriage became normal there? (http://www.weeklystandard.com/Conten...3/660zypwj.asp) When something sacred is watered down to the point where anything goes, it ceases to be a unique and as beautiful of an institution.",3,5,topic_stance_votes_2
5,California lawmakers kill off gay marriage bill,gay marriage,attack,"Really? Funny, my son, even before I ""came out"" didn't think gays were bad or being gay was bad. He saw hate as being the real evil...and you exemplify that just perfectly...brava! emoticonXRolleyes",4,6,topic_stance_votes_1
6,California lawmakers kill off gay marriage bill,gay marriage,attack,"Marriage benefits? No, of course it doesn't. On the other hand, I never mentioned them. I was discussing marriage itself, the legal state. To quote the Constitution, Article 4, section 1.
""Full Faith and Credit shall be given in each State to the public Acts, Records, and judicial Proceedings of every other State.""
In other words, if one state says that you're legally married, no other state can say that you aren't. It's that simple.",5,7,topic_stance_votes_1
7,California lawmakers kill off gay marriage bill,gay marriage,attack,"You people crack me up.........You cite this clause when it favors you but in 2000 in Bush V Gore when the U.S. Supreme Court ruled against Gore in 2000 using the same clause you cried like babies............
Pathetic!!!!!!",7,8,topic_stance_votes_2
8,California lawmakers kill off gay marriage bill,gay marriage,support,No one can predict the future but I feel confident in saying that you will never see Gay marriage recognized in the lifetime of anyone that posts to this forum and as long as this country is a God fearing nation and does not turn into Sodom.,8,9,topic_stance_votes_2
9,California lawmakers kill off gay marriage bill,gay marriage,attack,Thats the problem You religeous bigots can't keep your religeon to yourselves. If you did then this country would be a better place. As far as I am concered 1 bible church allowed to operate in this country is 3 too many.,9,10,topic_stance_votes_1
