,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,States banning gay marriage on the rise,gay marriage,support,"It is my understanding that the number of states that have amendments banning same-sex marriage is now at 19.
Even California is working on it.
The number of states that have laws that ban it is 33. (Maybe more now; that number was from early 2004)
I think gay 'rights' lobbyists would do well to start realizing that marriage really matters a lot to the majority of people in this country, and to realize that they are treading on an institution that is traditionally and fundamentally opposite-sex by nature and definition. The number of states not allowing gay marriage is on the rise dramatically, since gay activists began pushing things so strongly in the last few years. The more gay people push to redefine marriage, the harder they are going to make it for themselves.",0,1,topic_stance_votes_2
1,States banning gay marriage on the rise,gay marriage,attack,"No, that's a myth. The less gay rights activists push for complete equality, the less they are going to get. People do justify banning civil unions as well as marriage because ""gays deserve it for pushing so hard toward marriage"". Of course, that logic is horrible, for people do not deserve to be punished because they've asked for equal rights. But regardless, if gay rights activists asked for only civil unions, then people would feel just as obligated to suggest a compromise between civil unions and no unions, then they would feel obligated in banning that too, because gay people shouldn't have been pushing for civil unions.
If we do not push for complete equality, there will never be complete equality, and no matter how many states decide to ban it, things will never change if this fight does not happen.",1,2,topic_stance_votes_1
2,States banning gay marriage on the rise,gay marriage,attack,"You know, I'd believe that more if there were people like the Shindler family who have pushed for federal courts to intervene and destroy the sanctity of marriage. There is nothing you could do or say that would convince me that Americans somehow have any respect for marriage whatsoever. What heterosexuals have done to destroy this institution from the inside out only tells me that heteros are simply spoiled children who have the attitude of:
""If we can't make it work, we aren't going to allow anyone else to come in and do marriage better.""",1,3,topic_stance_votes_1
3,States banning gay marriage on the rise,gay marriage,support,"By wanting marriage to stay an opposite sex insitution you are implying that gay relationships don't match up to straight relationships. That somehow hetero relationships are ""better"" and more deserving of ""marriage"" and here you go you little people who are less, have civil unions.
The fact that jyoshu is reveling in this thread he has started only shows that in his mind, gay relationships are somehow less than straight relationships and that by ""protecting marriage"" with bans and ammendments some how this thinking is supported, therefore correct.
Sad!
My relationship is just as good as any other and should have the same protections, benefits and yes, even the name that says so.",3,4,topic_stance_votes_1
4,States banning gay marriage on the rise,gay marriage,attack,"Well to most people gay marriages aren't equivalent to heterosexual marriages, did I say heteros do better than gays no, but the fact remains that people do have some core values that won't be shaken and till gays realize this they will accomplish nothing except spawn anger into disgust and disgust into loathing and loathing into hate and continue the downward spiral....
Why can't gays be content with what they have now, instead they're just going to P.O. a nation that has already shown they are leaning more conservative now a days. 
I don't know....I just think there are way to many problems that are more important than whether you can have the same last name as your ""life partner""",4,5,topic_stance_votes_2
5,States banning gay marriage on the rise,gay marriage,attack,"Wow.
Can I even add anything to this? Fantastic work Black Phoenix. You have showed just how narrow and ignorant the anti argument is right here.
This is amazing.
Seriously - dang. Wow.
The arrogance. It's mind-blowing.
Dang.",5,6,topic_stance_votes_1
6,States banning gay marriage on the rise,gay marriage,attack,You got THAT right!!!!!!!!!!!!!!!!!!,5,7,topic_stance_votes_1
7,States banning gay marriage on the rise,gay marriage,attack,"Wow, I wonder if this is what they said to women who wanted to vote, or blacks who wanted a better education at the white only schools, is this what they said to inter-racials couples who wanted to marry? 
You are correct, there are many problems bigger than which last name to take, like unfair taxation, healthcare benefits which gay couples are losing right and left, custody of children raised in gay families.. Nothing important eh? 
Wow, how narrow minded can you be?",5,8,topic_stance_votes_1
8,States banning gay marriage on the rise,gay marriage,attack,"What about whether your child gets medical insurance? Sounds like a pretty large problem to me.
The gay rights movement may or may not P.O. the nation, but there is no reason to grant a set of benefits to one group of people which another does not recieve. Whether or not many people view same-sex couples as equal to opposite-sex couples makes no difference if our nation is to call itself equal. Equality doesn't just mean granting the same rights and benefits to the government-approved people and lifestyles, it means granting the same rights and benefits to everyone.
If there are more important issues to you than whether or not someone can marry the one he or she loves, then why not focus on those issues? Why not live and let live? Why not allow others the same rights that you have and move on with it? How can you say, ""This issue really isn't important, but I'm still going to prevent you from having the same rights I do""?",5,9,topic_stance_votes_1
9,States banning gay marriage on the rise,gay marriage,attack,"Red herrings, every one. Those were not even simliar issues. Homosexuality is a moral issue.",8,10,topic_stance_votes_2
