,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Students conduct mock 'gay marriages',gay marriage,support,"Students conduct mock 'gay marriages'
Parents angered by lunchtime ceremonies on campus
Posted: February 19, 2005
1:00 a.m. Eastern
© 2005 WorldNetDaily.com
Students at a California high school conducted mock same-sex ""wedding"" ceremonies at lunchtime on campus, prompting protests from angry parents.
The school's Gay-Straight Alliance promoted the event at Silverado High School in the high-desert town of Victorville Feb. 11 to mark National Freedom to Marry Day.
Six female couples and three male couples took part in the ceremonies at the school's outdoor central gathering area.
About 40 parents, community members and students showed up in chilly, rainy weather to protest the event, the Los Angeles Times reported.
One protester, Therese Shore, said her son Andrew Stading, a Silverado senior, was reprimanded by school officials the day of the event for wearing a custom-made protest T-shirt bearing slogans such as ""Gay is not the way"" and an obscene slur about homosexuals, according to the Times.
""I don't want them shoving homosexuality down my child's throat,"" Shore said.
One student's father, objecting to a taxpayer-supported school holding such an event, held up a sign reading ""I don't.""
""I think the school and the district made a terrible, terrible judgment,"" he told the Times.
The district issued a statement, calling the ceremonies ""a lawful exercise of the right of free speech guaranteed to public school students under state and federal law.""
Some protesters objected to school rules barring religious demonstrations on campus.
""I'm Christian. I'm not allowed to bring my Bible, preaching to people,"" said sophomore Christina Wilson, 15.
Wilson and others carried signs with such slogans as ""God objects."" 
------------------------------------------------------------------------
I just want to know.... 
Why? 
If they spent more time learning and preparing their minds for the real world instead of spending time in mock gay marriages of which they probably don't take seriously to begin with --- it just doesn't belong in a school of learning regardless of whether you support the sexual lifestyle or not, a school is not a center for people to promote their sexual lifestyles!!! Period!!!! what next --- Tranny Day? 
emoticonXWow",0,1,topic_stance_votes_2
1,Students conduct mock 'gay marriages',gay marriage,attack,"If this was a school ceremony in the middle of the school day, then I don't agree with it. But since that's not the case here I think it was fine. It says at lunchtime. As long as students conducted it (which is what the article says) it's fine. What's your problem with it? Students can bring bibles and have praying ceremnoies if they want. As long as it is not required and it is conducted by the students, I see no problem with it.",1,2,topic_stance_votes_1
2,Students conduct mock 'gay marriages',gay marriage,attack,The school and the adminstration held the event....... thats the problem.,2,3,topic_stance_votes_2
3,Students conduct mock 'gay marriages',gay marriage,attack,Where do you read that?,3,4,topic_stance_votes_1
4,Students conduct mock 'gay marriages',gay marriage,attack,"I read it in the text:
",4,5,topic_stance_votes_2
5,Students conduct mock 'gay marriages',gay marriage,attack,"The Gay-Straight Alliance is a school club at our school. Run by students. 
The taxpayer part is only saying that it's a taxpayer-supported school, how much money does this ceremony cost? If I'm not mistaken, nothing.
The person is saying the district made a terrible judgement (bad grammer even) in not banning such activity.
The district is saying that the students were lawfully utilising their free speech. How is that the school sponsoring it?",1,6,topic_stance_votes_1
6,Students conduct mock 'gay marriages',gay marriage,support,I think it is great school kids are learning to speak their minds. These are the future leaders and voters in America. It is good they are learning to make a difference. Bettter than silence!,6,7,topic_stance_votes_1
7,Students conduct mock 'gay marriages',gay marriage,support,"Actually our school's Gay-Straight Aliance held a day of silence to show respect for gays who have had to live in silence. They asked the teachers to respect the people in their day of silence and not force them to talk. I think most teachers didn't force students to talk. Unfortunately, some just spoke in sign language for fun and said they were doing it as part of the day of silence.",7,8,topic_stance_votes_1
8,Students conduct mock 'gay marriages',gay marriage,attack,"Well, as we can see from other recent posts, your reading comprehension is below high school level.
I don't get it. Why do folks think lying enhances their POV?",5,9,topic_stance_votes_1
9,Students conduct mock 'gay marriages',gay marriage,support,Because their reasoning is obviously on the same level as their reading comprehension level.,9,10,topic_stance_votes_1
