,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,To all the anti same sex marriage people.,gay marriage,support,"I have a question for all those of you who are against same sex marriage. Now this takes some ability for inward perspective, a quality in short supply here sometimes.
Here goes.
Would you be happy to accept what you are asking gay people to accept? Would you want gay people to outlaw your marriages? Would you still support the majority decision if the majority of people were gay and it was heterosexual marriages that were being denied or banned outright? Would you accept civil unions even though they were less then marriage? Would you be happy or find it just that certain religious sects were fighting your civil rights?
I know this is a futile attempt to try and get you all to think of life from a gay perspective.",0,1,topic_stance_votes_1
1,To all the anti same sex marriage people.,gay marriage,support,"You know the answer, Matt. They'd never accept it.",1,2,topic_stance_votes_1
2,To all the anti same sex marriage people.,gay marriage,support,I am not asking them to accept anything. I am asking them how they would feel it the world was the other way around and they were being treated the way they are treating gay people.,2,3,topic_stance_votes_1
3,To all the anti same sex marriage people.,gay marriage,attack,"First the world isn't the other way around.
The huge majority of people are heterosexual.
Marriage since time immemorial has been about being between people of opposite genders
If on the otherhand the vast majority were homosexual then we would probably have much the same as the homosexual population would have died out leaving the heterosexual community around",3,4,topic_stance_votes_2
4,To all the anti same sex marriage people.,gay marriage,attack,This is not what I asked. I asked how would you feel if you were being treated the same way gay people are? Can you not answer the question? Or is it you know the way gay people are being treated is unjust and you don't want to admit it?,4,5,topic_stance_votes_1
5,To all the anti same sex marriage people.,gay marriage,attack,No it isn't unjust. Marriage has been between people of opposite gender. Them's the rules of the game. Doesn't make it unjust.,5,6,topic_stance_votes_2
6,To all the anti same sex marriage people.,gay marriage,attack,You did not answer his question.,6,7,topic_stance_votes_1
7,To all the anti same sex marriage people.,gay marriage,attack,"The Question is: ""How would I feel""
Honestly, I would feel upset that I did not get something I wanted. I was dissapointed when I didn't get a pony for my birthday. My seven year old knows the feeling quite well. The feeling by itself does not imply injustice. There may be injustice at work here, but feelings....nothing more than feelings.... are a poor means of judging.
I will feel upset if the Red Wings do not win the Stanley Cup. That does not mean that San Jose is evil or injust if they beat them in the play offs. 
I feel disappointed that I am not eligible for a scholarship to a women only school or a grant from the Rainbow Push Coalition. My inability to benefit from these does not imply sexism or racism...or does it... 
The mind boggles, the forehead knits...",7,8,topic_stance_votes_2
8,To all the anti same sex marriage people.,gay marriage,attack,"Apparently, you have five questions.
If by 'ability for inward perspective' you imply the ability to look at one's self, it is incongruent to say you are leary of our ability 'to think of life from a gay perspective'. What you are asking is for people to see your troubles from your perspective...hardly possible for many.
Yes. Were I a logical gay man, I would accept the fact that I cannot marry a man due to the definition of marriage. I would accept that fact and continue to demand that all legally joined couples share the same benefits now given to married couples.
Of course not.
That is a hypothetical question. That scenario is virtually impossible unless you contend that being gay is a choice and somehow the vast majority of men chose to be gay. In your wildest dream, if this should happen, I suppose there'd be a civil uprising followed by the secession of several states to form at least two countries. While the hetero country would grow, the gay country would die out and we'd move back in a take over all your stuff.
No...and you don't have to either.
Religious sects have the right to believe in and oppose whatever they choose as long as they stay within the law. It makes me neither happy nor comfortable to know what they fight against. I consider them wrong...but rightfully so. The Phelps Church is despicable yet has the right to protest whatever they please. We have a right to ignore them. You have a right to ignore any and all religious sects.
The Radical Muslims have a right to believe their's is the only way but they do not have the right to kill people who disagree. Freedom of speech is a precious thing we have.
Whatever religious sect it is that makes your jaws tight has a right to verbalize and broadcast their condemnation of homosexuality just as you have a right to condemn heterosexuality. They have a right to consider you the scum of the earth just as you have the same right toward them.
It would not make me happy to know that any group opposes my having rights. However, they have the right to oppose any idea that exists.
The justness of their efforts is relative. To them it is just. To you it is unjust. To me, while it would remain unjust to continue denying rights to gay couples, it is equally unjust to deny any group their right to vocalize and oppose whatever they do.
Defeatist attitude...but spot on. I contend it is virtually impossible for a heterosexual to imagine life from a gay perspective...just as it is impossible for a man to understand birth pains and menopause.
Looking inward, I see myself as compassionate, believing in equal rights for all people and dedicated to leaving people to their own beliefs as long as they do not interfere with my life. If I can obtain the same rights as others without harming them, I'm okay with it.",1,9,topic_stance_votes_2
9,To all the anti same sex marriage people.,gay marriage,support,"I do not believe that one segment should be treated differently in terms of actual rights in the US.
I personally think the gov't should get out of the business of marriage and institute civil unions defining and protecting rights for all parties involved provided they are able to give legal consent to enter the union.
Religions and other institutions can be in charge of marriage, that would automatically qualify as civil unions for gov't protections.
All this said, while I've been married for about 14 years (most of them Jerry Springer levels of chaos), I ONLY married legally for ease in adoption and protection of civil rights. I wanted a legal say in matters.
I didn't even have a wedding. I performed an exchange of vows with the wife. When I needed it legal, I went to the court house, got the papers and had my pagan priestess friend sign them...a customer in her store was the witness. I tipped her $20 for her troubles.
IMO, you can call anyone your spouse, mate, partner, wife or husband. Screw others opinions. Not everyone's going to like your choices.
What you NEED is equal protections and rights. For example, your partner choses you to have a say in his medical cares rather than have his estranged parents come in and do it. You need rights established in the raising of children of your mate if something happens to them.
That sort of thing.
As I said, I've had plenty of Jerry Springer moments and I loved knowing that My rights are protected and the law is on my side when needed.",1,10,topic_stance_votes_1
