,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Why? Why Not?,gay marriage,support,Personally that is the best opinion on how to go about gay marriage I have ever seen anyone state.,0,1,topic_stance_votes_1
1,Why? Why Not?,gay marriage,attack,There are ideals in this world that are better left alone.....lines that should not be crossed. Marriage is an ideal that does not need changing; doing so is crossing that line in the sand that was drawn there for a reason.,1,2,topic_stance_votes_2
2,Why? Why Not?,gay marriage,attack,"Hmmm. Sounds like Iran. 
Marriage is a idea that has been changed. Several times over to say the least. Seems you're relying on tradition.",2,3,topic_stance_votes_1
3,Why? Why Not?,gay marriage,attack,"Tell us what this supposed reason is without hinting at inherent homophobia or its root, the Big Three religions?",2,4,topic_stance_votes_1
4,Why? Why Not?,gay marriage,support,"Well this evening was definitely interesting. 
Sorry I missed the conversations here, but I was doing something a bit more pro-active. 
My partner and I were members of a discussion pannel hosted by the ACLU on Marriage Equality.
One of our fellow pannel members was a Baptist minister; Rev. Dr. Larry Greenfield, Protestants for the Common Good. He brought up an interesting point, that marriage is indeed meant to protect the ""family."" But he then posed a question which had many of us thinking. ""What makes a family?"" ""Where in the Bible does it ever give anykind of 'ideal' for what makes a family?""
The answer: There isn't any. When seen in Biblical terms, family means any group of people (usually adults) commited to the wellfare and education of children. 
He then moved on to: ""What makes a marriage?"" 
He brought up another interesting point. The usage of the word ""marriage"" originally didn't specify gender at all. It simply meant two adults committed to a life together. Very simplistic.
Only recently has our Government decided to narrowly define marriage. That was with the signing of DOMA in 1996. Before then there were almost NO laws which specified gender when speaking of marriage. 
So in all actuality the whole concept of a marriage being between one man and one woman, is extremely new, in the sceme of things.",4,5,topic_stance_votes_1
5,Why? Why Not?,gay marriage,attack,"I beg to differ. If you read Mark 10:6-9, it explains that a man and woman are made for each other and if a man puts his wife away and marries another, it is adultry.
If this man was a preacher, it looks like he would show where the Bible says that a woman and woman should get married in order to condone same sex marriages.",5,6,topic_stance_votes_2
6,Why? Why Not?,gay marriage,attack,"Why should your belief of that being the case take precedent over the belief that that is not the case?
What gives you (or any group) the right to impose your views on other people, directly affecting their rights, simply for an idea you have of ""ideals"" that not eveybody agrees with?",2,7,topic_stance_votes_1
7,Why? Why Not?,gay marriage,attack,In that case divorce should be made illegal. When you get married you promise to stay with that person for the rest of your life. In fact you do so before the presence of God. Therefore divorce should not be allowed.,2,8,topic_stance_votes_1
8,Why? Why Not?,gay marriage,attack,No....that is incorrect. Divorce has been around for centuries and was used in biblical times when a woman or man cheated on their spouse. Same sex marriage has never received any good stamp of approval in civilized societies.,8,9,topic_stance_votes_2
9,Why? Why Not?,gay marriage,attack,"I thought you had vowed never to post in this forum again. ????? I suppose with your views on divorce, your wedding vows have as much weight as your vow not to post here.",9,10,topic_stance_votes_1
10,Why? Why Not?,gay marriage,attack,Still attacking the messenger rather than the message I see. Why not just deal with his post?,10,11,topic_stance_votes_2
11,Why? Why Not?,gay marriage,attack,I made a decision to come back and post here again Steve. In the introductions thread a few days ago I stated I was returning to these forums.,10,12,topic_stance_votes_2
