,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Anti-Gun control,gun control,support,"Ok First of all in the constitution it says we have the right to bear arms. It is our right and what if we do outlaw guns? Criminols are gonna have them and could kill us. Statistics show that it is 1 cop for 20,000 people!! it might be just me but i want to be protected at all times and the most effective way!!!!And about the ""accidental Deaths"" by kids not knowing what guns do at a early age.. Schools should have a program [other than dare] that teaches you not to use guns and make up rules if you ever come into contact with one. This gun-control thing is going to far!
-Student Age: 14 America -",0,1,topic_stance_votes_2
1,Anti-Gun control,gun control,attack,you know i think that both have a good outcome. it would be against the 2nd ammendment but then this could happenemoticonXKill but if u take them then there is less violence,1,2,topic_stance_votes_1
2,Anti-Gun control,gun control,attack,yes it is against the second amement yes. But dont u want to be protected at tall times?,2,3,topic_stance_votes_2
3,Anti-Gun control,gun control,attack,but yet they wont have guns and neither will you. plus how many times have you used your gun cuz someone was in your house???emoticonXKill emoticonXCry OUCH!!!,3,4,topic_stance_votes_1
4,Anti-Gun control,gun control,attack,Yes i wouldnt have guns but these criminols would cause they do stuff illegaly. And i kno people who have used guns to protect themselves in there homeemoticonXKill emoticonXKill emoticonXKill emoticonXKill emoticonXKill emoticonXKill emoticonXCry,4,5,topic_stance_votes_2
5,Anti-Gun control,gun control,attack,but taking guns away would make the chance shrink of getting broken intoemoticonXCensored emoticonXHoho,5,6,topic_stance_votes_1
6,Anti-Gun control,gun control,attack,"Gun Control = Holding the gun steady and on target as the trigger is squeezed...
Yes I am for good gun control!",6,7,topic_stance_votes_2
7,Anti-Gun control,gun control,attack,ok it MIGHT by a few percentage but its been shown that people wo dostuff illegaly kill more. They would use illegal weapons so ur reason is irelivant.emoticonXAngry emoticonXAgree,6,8,topic_stance_votes_2
8,Anti-Gun control,gun control,attack,it would be easyer to crack down on gangs and so WAY LESS... like down to 8%emoticonXKill emoticonXCry emoticonXPhone dang he just missed the phone,8,9,topic_stance_votes_1
9,Anti-Gun control,gun control,support,Ok dudegun control i ment was takeing guns away,7,10,topic_stance_votes_2
10,Anti-Gun control,gun control,attack,"emoticonXBanghead emoticonXBanghead emoticonXBanghead emoticonXBanghead 
ok dude gangs wouldnt give their guns up!!! they would keep them because there ILLEGAL",9,11,topic_stance_votes_2
11,Anti-Gun control,gun control,attack,ya like gun control is taking all guns away from private citizens and all guns are controlled by the government and the policeemoticonXDonno,10,12,topic_stance_votes_1
12,Anti-Gun control,gun control,support,well barely any gangs go rape someone they would rather have a gang fight...women are more scared of rapists w/ gunsemoticonXHoho,12,13,topic_stance_votes_1
13,Anti-Gun control,gun control,attack,Your missing the point.... Gangs do many things otehr than gang wars...And Women would have a gun so they will protect themselves!!!!emoticonXKill emoticonXKill emoticonXLove emoticonXCry emoticonXCry emoticonXCry,13,14,topic_stance_votes_2
14,Anti-Gun control,gun control,attack,well i like both for and against because for. i mean taking away guns will make less crime but most gangs wont give up guns both are true but taking away will help,14,15,topic_stance_votes_1
15,Anti-Gun control,gun control,attack,AGGHHHHH dude u are contriditiing yourself!!!!!!!!!!! u say they wont take away but takeing away will help !?!?!?!?!?!?!?!?1/!?!!?!?!?!?1?1/ that makes no sense!!!emoticonXAngry emoticonXAngry emoticonXAngry emoticonXAngry,15,16,topic_stance_votes_2
16,Anti-Gun control,gun control,attack,well true but wats the point in keeping them... how many times do u hear on the news that someone broke in and the person shot them...idk about u but i never hear that. they are normally killedemoticonXKill emoticonXKill emoticonXKill emoticonXKill emoticonXCry thats wat will happen before u can grab ur gun,16,17,topic_stance_votes_1
17,Anti-Gun control,gun control,attack,u kno i have heard that and they had there gun next to there bed..etc so they didnt get kiledemoticonXKill emoticonXKill emoticonXKill emoticonXKill,17,18,topic_stance_votes_2
18,Anti-Gun control,gun control,attack,emoticonXBye wats the point of having one most of the time if they have half a brain they'll be sneaky so u wont wake up so u cant kill them or they'll kill u b4 u wake upemoticonXKill emoticonXBye emoticonXCry,18,19,topic_stance_votes_1
19,Anti-Gun control,gun control,support,DUDE c'mon if the government took guns then eventually we'd be at a technical disadvantage 100 years in the future durin war time!!!emoticonXKill emoticonXKill,18,20,topic_stance_votes_2
20,Anti-Gun control,gun control,support,"last post for me of the day, Now Gangs arwe stupid they wont be that smart they failed school!!!! this isnt your world GUNS FO LIFE",20,21,topic_stance_votes_2
21,Anti-Gun control,gun control,attack,well of course the military would have guns and they would start recruiting and giving the guns out,20,22,topic_stance_votes_1
22,Anti-Gun control,gun control,attack,"not exactly..that would suck hunting would be lame cause the guns they ""rent"" out are very lame indeedemoticonXChicken",22,23,topic_stance_votes_2
23,Anti-Gun control,gun control,support,"besides where would be the Xp for gun use. How would you react if someone just handed you a gun and said,""kill em all.""emoticonXAgree",23,24,topic_stance_votes_2
24,Anti-Gun control,gun control,support,"i would say ""Who do i kill?""emoticonXKill emoticonXKill emoticonXKill emoticonXKill emoticonXKill",24,25,topic_stance_votes_2
25,Anti-Gun control,gun control,support,but you wonldnt know how to use a gun. actually firing a gun takes skill and thats what are millitary really needsemoticonXKill emoticonXKill = emoticonXHoho,25,26,topic_stance_votes_2
26,Anti-Gun control,gun control,support,well some people like me have skill with a gun,26,27,topic_stance_votes_2
27,Anti-Gun control,gun control,support,Y are u arguing with me we're on the same side!!!!emoticonXBanghead emoticonXCensored,27,28,topic_stance_votes_2
28,Anti-Gun control,gun control,support,duh i was just saying i can use a gunemoticonXAgree,28,29,topic_stance_votes_2
29,Anti-Gun control,gun control,support,ya ya i know,29,30,topic_stance_votes_2
30,Anti-Gun control,gun control,support,back to the issue at hand. We dont need crappy gun controlemoticonXKill emoticonXKill emoticonXKill emoticonXKill emoticonXKill,30,31,topic_stance_votes_2
31,Anti-Gun control,gun control,support,AMENemoticonXAngel,31,32,topic_stance_votes_2
32,Anti-Gun control,gun control,support,Anyone Else Wanna Try To Step Up!!!!!!!!,31,33,topic_stance_votes_2
33,Anti-Gun control,gun control,attack,"just saying crappy is an opinion you are not supposed to use those in a debate, just facts...anyways how many times have u had to use a gun to defend yourself when someone broke into ur home",33,34,topic_stance_votes_1
34,Anti-Gun control,gun control,attack,"none, but knowing my luck right when the gov. takes the ugns a guy breaks into my houseemoticonXEmbarrassed",34,35,topic_stance_votes_2
35,Anti-Gun control,gun control,attack,why in the heck would you thinjk that the government would be able to take guns away from felons?????? the only people that would give away their guns are law-abidding citizens!!!! then crime would go up because the felons would have guns and we would fight them off with bats!!!!!!!!!!!!!!!!!!!!!,34,36,topic_stance_votes_2
36,Anti-Gun control,gun control,support,somthin like thisemoticonXKill emoticonXChicken,36,37,topic_stance_votes_2
37,Anti-Gun control,gun control,attack,law enforcement would be about ten times stronger it would be easier to take em' away...plus felens cant buy guns...emoticonXCensored,36,38,topic_stance_votes_1
38,Anti-Gun control,gun control,attack,Ok but they would still have a cashe of weapons hiden somewhere. They would have weapons saved!,38,39,topic_stance_votes_2
39,Anti-Gun control,gun control,support,How do you think the government would take away the guns????????????????there will always be felons!!!!!emoticonXAgree beet that!,37,40,topic_stance_votes_2
40,Anti-Gun control,gun control,attack,Semiliterate gun enthusiasts scare me.emoticonXChicken,40,41,topic_stance_votes_1
41,Anti-Gun control,gun control,attack,"Ha!, that should be a bumbersticker!
However, I do not agree with gun control. First of all, it violates the second amendment. Second of all, I wholeheartedly believe in the thinking that guns don't kill people, people kill people. You need to crack down on violence, not guns. Besides, you would just create a black market for guns and it would make the entire situation worse because those who want to lets say rob a liquor store would have a gun and the owner would have a bat...hmm. 
I'm not a redneck or a bush-loving republican but violence is the issue not guns!
Vote Ron Paul 2008! (against gun control, against taxes, against North American Union, against abortion unfortunately, for better social security and health care)",41,42,topic_stance_votes_2
42,Anti-Gun control,gun control,support,"God help us all!
emoticonXFrazzled",30,43,topic_stance_votes_2
43,Anti-Gun control,gun control,support,I don't understand how taking away innocent people's only means of protection will help us.,31,44,topic_stance_votes_2
44,Anti-Gun control,gun control,attack,taking away guns from private citezens would not stop people from keeping them illeagsaemoticonXKill emoticonXCry emoticonXIdea y,12,45,topic_stance_votes_2
45,Anti-Gun control,gun control,support,"I get into constant arguments with people about this. This is the most common one I get.
""But I don't feel safe with any one having a gun. Only police officers and security guards should carry and have them.""
First of all, feeling safe is NOT a right...that's a state of mind. It seems people think feeling safe is somehow a right, it's NOT. Self-defense IS a right. That is right granted by the Constitution, specifically the 2nd Amendment. In no where does it say ""only police officers or military, etc"" it says the people! Secondly, citizens with CCW (concealed weapons permits) are just a capable as police officers and security guards. Most if not all CCW holders have to go through some kind of training with firearms. Accidents hardly ever happen. Don't believe me? Look at the stats.",45,46,topic_stance_votes_2
46,Anti-Gun control,gun control,support,"Protecting yourself from criminals is only one reason to own a gun (and because they're criminal they don't care about the law so they'll find a gun anyway). An even better reason for the public to be allowed to own weapons is that it protects against government usurpations. It is no coincidence that one of the first things any totalitarian regime does is take away guns. If the government takes your rights and those of others and you don't have a gun, what's the best you can do? Challenge it in court, what if they're in on it? Go and throw rocks at them, they'll just pick you off with 50 calibers. The second amendment and the tenth (as if it is enforced) are the safeguards of your liberty, not the first or any other provision.",46,47,topic_stance_votes_2
47,Anti-Gun control,gun control,attack,"Ummm ""feeling safe"" is one of the reasons we have so many laws... so, in a sense, feeling safe is a right.
I am neither gun lover nor gun hater. However, a concealed weapon is a concealed weapon. Perhaps a gun owner has some training as to how to fire a gun, but police officers and (hopefully) security guards are trained to protect and uphold a law. Granted no one is perfect, but you cannot compare the training a CCW holder receives with that of the years of academy training a police officer goes through. Millions upon millions of americans go through life without ever firing a gun. Probably the majority of americans. I honestly don't feel it's safe to have someone with a CCW walking around a peaceful neighborhood toting a gun. It's pointless. If a neighborhood is dangerous and the police support is failing, then I can understand. But in anytown USA, I think it's beyond ridiculous.
The constition was written so long ago. I don't think the founders ever imagined a population so big or so many powerful weapons in the circulation. The constitional law was also meant more on the lines of militia. I'm all for hunting and recreational gun useage. But there has to be common sense as to what exactly a real threat is. And, there have been LOTS of accidents... including the bufoonery of our current vice president. There has to be reasonable control. There is no reason to have cop-killing guns in the population. Because of the lack of control laws we let happen, we now have created a larger problem of black market weapons. One has to wonder about the psychological makeup of joe or suzie blo carrying a concealed weapon in anytown USA. I'm sorry, it's more dangerous, not safe.",46,48,topic_stance_votes_1
48,Anti-Gun control,gun control,support,"I know what country I live in and what its Constitution says. My question to gun advocates is why with nearly no guns in many European countries and others, is the crime rate so much lower than ours? Many enjoy most or all the liberties we enjoy with the exception of gun ownership and yet there are simply fewer criminals. If all our guns make us free and safe, how come we're not safe and not any more free? Do we have more outlaws because of our historical relationship with firearms? Is the psychological attachment to the gun the same for both law abiding gun owner and outlaw? Don't both villian and hero intend to prevail by virtue of the gun's power?",48,49,topic_stance_votes_1
