,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Banning guns means more freedom,gun control,support,"""Freedom, as those versed in even rudimentary political science know, comes in two variants, freedom 'from,' and freedom 'to.' Both of these are crucial in American society. We all want freedoms 'to' do things that benefit us, and we want freedoms from things that harm us."" 
Do you want to have more freedom by giving up your guns? We could have freedom from gun violence and freedom from high taxes that are caused by thousands of gun injuries each year. 
""The cost of firearm injuries in the US in 1990 was an estimated $20.4 billion. This includes $1.4 billion for direct expenditures for health care and related goods, $1.6 billion in lost productivity resulting from injury-related disability, and $17.4 billion in lost productivity from premature death. (Max and Rice, 1993)....There you have it: costs of up to $20 billion, most of which is borne by the taxpayer, which limits our rights and freedoms. Hundreds of thousands of injuries, limiting the freedoms of those shot, and tens of thousands of deaths, completely halting those freedoms.  
""Rights come from one of two places. Either they are granted by God, or they are formed in agreement among people. Since God, although an important part of American society, has no official place in American government, our system of rights is based on an implicit social contract, one in which the general goal is to maximize freedom. Only when the American public comes to its senses and realizes that guns cost more than they are worth, will we all agree to limit one freedom, to provide us with another.
""This is also known as the 'workability' argument, or by some, the 'I refuse to submit' argument. How can we possibly get people to 'give up their guns'? Well, as I indicated above, we can't, unless they are willing to. This is why I advocate explaining the costs of guns as much as possible, and fighting the gun lobby at every turn. Only when we convince gun owners that their guns are dangerous to the freedoms of others can we hope to succeed. If nobody buys the argument, and everybody wants guns, then all I can (and will) do is continue to attempt to persuade otherwise. But I believe that when looking at the problem honestly and evaluating the tremendous costs of guns to our freedoms, and their relatively minimal returns on such, we as a society will decide to maximize our freedoms by giving up the guns.""  
http://www.asahi-net.or.jp/~zj5j-gttl/freedom.htm
Are you willing to make America freer by giving up your guns? Pro-gunners love to pay lip service to the idea of freedom, but are they willing to make the necessary sacrifice for the cause of freedom?",0,1,topic_stance_votes_1
1,Banning guns means more freedom,gun control,attack,"This argument, if true, would mandate all people to give up any and everything that may be harmful. Give up automobiles, they may be harmful. Give up swimming pools, they may be harmful. The list goes on and on with items that cost us much more in human suffering and death, each year.
[
A suppositional error based on what?
""The cost of firearm injuries in the US in 1990 was an estimated $20.4 billion. This includes $1.4 billion for direct expenditures for health care and related goods, $1.6 billion in lost productivity resulting from injury-related disability, and $17.4 billion in lost productivity from premature death. (Max and Rice, 1993)....There you have it: costs of up to $20 billion, most of which is borne by the taxpayer, which limits our rights and freedoms. Hundreds of thousands of injuries, limiting the freedoms of those shot, and tens of thousands of deaths, completely halting those freedoms.  
Let's see now. We can, in my opinion, automatically discount many of these cost. The bulk of deaths from firearms is in the criminal world, so lost productivity is somewhat of a misnomer, however, that's common with you GGs, isn't it? That 17.4 billion, mostly from criminal activity, would of course not be a savings to the taxpayer, anyway, so, in effect, this becomes a another red herring, designed to snooker the American Public.
Another fallcious thought process, as it deals not at all with the savings in human life and injury from the benevolent uses of a firearm each year. GGs like to , or, at least, used to like to make the comment, 'if gun control saves just one life?"" Well the question is, what if gun control takes one life? 
Only a minimum return in the eyes of advowed gun grabbers.
As your premise is more than flawed, my answer has to be, 'not no, but hell no!'",1,2,topic_stance_votes_2
2,Banning guns means more freedom,gun control,attack,"Those versed in even rudimentary political science also recognise that ""Freedom"" is a subjective term. I understand why she chose to focus on ""freedom"" instead of ""rights"", since ""rights"" is a well documented, non-subjective term with a legal definition. 
""freedom"" is just a by-product of the existance of rights.
""
Wow, I didn't know that anybody wtill quoted the junk science in ""Shooting in the Dark: Estimating the Cost of Firearm Injuries"" (the max and rice article being quoted here). Here is how they came up with their numbers. They took the number of firearm deaths and injuries per year, and calculated their cost in lost time and wages using the average income data for AMerica. BAsically, they assumed that all those people are middle class. Oddly enough, in the same report, they cite a source which shows that over 80% of the medical costs of gunshot victims are born by the taxpayer. Why is the government paying hospital bills for the middle calss? They are not. THe fact is, over 80% of deaths due to guns is criminals killing each other. MOst shootings in this country are career criminals shooting it out. So, lets look at this another way. 
According to the DOJ, career criminals cost us on average $753,000 per year, per criminal. Take the 13000 people who were killed the year that report was written, multiply by .8 and you get 10,400. Multiply THAT by $753,000, and you get 7,831,200,000. That is what we saved that year by doing away with those people. That doesn;t even include the 100,000 who were shot and only injured, and it desn't include the benifits for years to come (we save over 7 billion EVERY year thereafter becasue those same career criminals are gone).
Our rights are pre-existing. They are endowed by our creator, or whatever you want to call it. The government does not have the power to grant, nor to limit rights. It as been argued (and there are several supreme court cses that seem to agree) that the rights in the bill of rights, since they pre-date the government, are not even open to ammendment. Limiting one freedom in order to secure another is fine. Limiting a right to obtain a percieved freedom is not acceptable.
Who was it that said ""he who would trade liberty for security deserves neither"" (paraphrase)?
IF you want to explain the costs, you need better data. You also need to factor in that over a million times a year, guns prevent crimes. 
No, pro gunners like rights, you can have all the freedoms you want. We just want our rights, which will preserve your freedoms, as well as our own. WE can actually document, using real numbers and approved methds of research, our side of the arument. It is a shame that the anti gunners are so far out in la la land that they have to resort to junk methodology and creative numebrs in an attempt to make their point. IT is really a shame that the anti gunners live in such fear of their fellow man that everybody has to be a defenseless sheeple in orer for them to feel safe.",1,3,topic_stance_votes_2
3,Banning guns means more freedom,gun control,support,"I am glad you caught this, I forgot to comment it. We are bemoaning the fact that our criminals are loosing productivity. It seems logical to assume that of the 17.4 billion, 13.9 billion is actually a gain, since 80% of those ""productivity losses"" are actually gains to the rest of siociety, so you end up with a net gain of 10.4 billion per year. 
This is an angle that pro gunners haven't caught on to before. I think we could really make it work. Get a slogan like ""Help the economy, buy a gun"".",2,4,topic_stance_votes_2
4,Banning guns means more freedom,gun control,attack,"Hey let's not get too far? How about Paul Finkleman? Do you or do you not agree with Paul Finkleman? He thinks it is OK to ""cook data"" in support for gun control. How about you?
Hey where is that website at? Dude you need to check your sources. First you source a guy who thinks it is OK to ""cook data"" then your sourcing another guy who by his own website, if I estimate correctly from his own bio, is about 30 years old and has had nothing but temporary and part time job his whole life.
Plus I don't recall any text in the 2nd Amendment that says, ""shall be infringed if it becomes to expensive"". Quite the contrary is says, ""shall not be infringed"". I take that to mean that the reasons in the thesis are NOT good enough to infringe the 2nd Amendment.
You know what? This guy is A-OK. "" I would not pass whatever gun laws I pleased"". Even this guy knows a gun free society will never happen in the USA. That is why Brady and other gun control groups need lies and slimy politicians to get thier way.
Plus here is his ""rational"" law: ""A national system for registering guns and ammunition"".
Guess what? The Supreme Court already decided that this is HIGHLY ILLEGAL. Here is a letter from the FBI regarding the LEGAL handling of data to register guns:
http://www.acslpa.org/register/NICS_FBI_Ltr.htm 
So if you website gets it way, the author is going to be a support of civil rights violations and illegal activity.",1,5,topic_stance_votes_2
5,Banning guns means more freedom,gun control,support,"VOR, can you explain how outlawing my legally owned guns would reduce the amount of gun violence? There is no reason that myself and others on this forum could not make guns at our homes. Firearms has been and can be again a cottage industry, or do you believe that the japans school kids who were producing military arms at the end of WWII have some ability that I would not?",5,6,topic_stance_votes_2
6,Banning guns means more freedom,gun control,attack,"As I asked in another thread, ""My main question in the gun control debate is this- Why do I have to feel unsafe, just so you can feel safe?
Is it really freedom if you have to give up something you strongly believe in? By your reasoning,wouldn't this country be better protected from terrorists if we had no fourth amendment and the Government could search anyone at any time and place? Wouldn't everyone have protection from having their feelings hurt if there was no first amendment?
Come to whatever conclusions you want, just recognize that there are two sides (at least) to every issue. Guns have their benefits as well as their downsides. No one is well served if we can't examine the whole argument.",1,7,topic_stance_votes_2
7,Banning guns means more freedom,gun control,attack,"""Guns in the United States - Easy Access to Deadly Weapons
There are approximately 192 million privately owned firearms in the U.S. - 65 million of which are handguns.[1]
Currently, an estimated 39% of households have a gun, while 24% have a handgun.[2]
In 1998 alone, licensed firearms dealers sold an estimated 4.4 million guns, 1.7 million of which were handguns.[3] Additionally, it is estimated that 1 to 3 million guns change hands in the secondary market each year, and many of these sales are not regulated.[4]
Gun Deaths and Injury - The United States Leads the World in Firearm Violence
In 1998, 30,708 people in the United States died from firearm-related deaths - 12,102 (39%) of those were murdered; 17,424 (57%) were suicides; 866 (3%) were accidents; and in 316 (1%) the intent was unknown.[5] In comparison, 33,651 Americans were killed in the Korean War and 58,193 Americans were killed in the Vietnam War.[6]
For every firearm fatality in the United States, there are two non-fatal firearm injuries.[7]
In 1996, handguns were used to murder 2 people in New Zealand, 15 in Japan, 30 in Great Britain, 106 in Canada and 9,390 in the United States.[8]
In 1999, there were only 154 justifiable homicides by private citizens in the United States.[9]
Gun Violence - Young Lives Cut Short
In 1998, more than 10 children and teenagers, ages 19 and under, were killed with guns everyday.[10]
In 1998, gunshot wounds were the second leading cause of injury death for men and women 10-24 years of age - second only to motor vehicle crashes.[11]
In 1998, firearm homicide was the leading cause of death for black males ages 15-34.[12]
From 1993 through 1997, an average of 1,409 children and teenagers took their own lives with guns each year.[13]
Each year during 1993 through 1997, an average of 1,621 murderers who had not reached their 18th birthdays took someone's life with a gun.[14]
Guns in the Home - A Greater Risk to Family and Friends
For every time a gun is used in a home in a legally-justifiable shooting [note that every self-defense is legally justifiable] there are 22 criminal, unintentional, and suicide-related shootings.[15]
The presence of a gun in the home triples the risk of homicide in the home.[16]
The presence of a gun in the home increases the risk of suicide fivefold.[17]
The Economic Costs of Gun Violence - All Americans Pay a High Price
A study of all direct and indirect costs of gun violence including medical, lost wages, and security costs estimates that gun violence costs the nation $100 billion a year.[18]
The average total cost of one gun crime can be as high as $1.79 million, including medical treatment and the prosecution and imprisonment of the shooter.[19]
At least 80 percent of the economic costs of treating firearm injuries are paid for by taxpayer dollars.[20,21]""
http://www.bradycampaign.org/facts/f...page=firefacts
Children are killed with guns each day, not just criminals. 80% of the medical costs of treating gun injuries are paid for by taxpayers. Guns mean higher taxes. And there are only 154 justifiable homicides out of tens of thousands of gun deaths each year. That's not what I call freedom.",7,8,topic_stance_votes_1
8,Banning guns means more freedom,gun control,attack,"It would be nice to see the actual sources, or rather how crediable they are. Besides, justifiable homicides is someone who actually shot and killed the attacker. What about people should shot in defense and didn't kill their attacker, or just had to brandish the firearm in order to prevent a crime. Where are those numbers?
Also, the numbers on childeren are highly deceptive. What exactly is a child? The Brady bunch considers 19 year olds kids, despite the fact that they don't need a guardians signature and can make legally binding contracts. They are also old enough to buy their own firearms in most states. But the reason they include them in the numbers is to raise the death toll for 'children', because this is an age group when people get heavily into gang activity, drug dealing and the homocides involved with that.
Mind showing us the deaths for car and fire related deaths each year. Surely if firearm deaths weren't worse than these two areas, you would be fighting for better safety regulations in automobiles and speaking against matches/lighters, which are both privlage instead of trying to take away someone's civil liberties. Right?",8,9,topic_stance_votes_2
9,Banning guns means more freedom,gun control,support,"You mention that the US leads the world in gun violence. Free societies often pay a price as a result of free people making bad decisions.
I would rather live in a country like ours where some people carry guns. If people who lived in Rawanda a few years back had a few guns, I believe they would have prevented thousands of murders and mutilations (inflicted by machetes, btw).",9,10,topic_stance_votes_2
10,Banning guns means more freedom,gun control,support,how many deaths were from legaly owned guns?,10,11,topic_stance_votes_2
11,Banning guns means more freedom,gun control,support,"The entire system of laws had broken down! Laws are meaningless if they are not enforced. If the rule of law was suspended, might would make right. I would hope that in such a situation, people other than criminals would be armed with 'peacmakers.'",11,12,topic_stance_votes_2
12,Banning guns means more freedom,gun control,support,Reminds me of some certain Chinese people with AKs whose buildings didn't get broken into during the LA riots when police were nowhere around...,12,13,topic_stance_votes_2
13,Banning guns means more freedom,gun control,attack,"As a man wiser than myself once pointed out about the 3 kinds of lies, ""there are lies, damn lies, and statistics."" These statistics are very carefully crafted. As was pointed out by Rook, what about all of the private citizens who did not kill their attacker? What about those who successfully defended their lives and property without a shot fired? What about the number of times a criminal was justifiably killed by a police officer? That number is left out. Statistics also show that citizens are less likely than police to shoot a person who is not a threat (i.e. mistake that cellphone for a gun.) What about every time a gun is used outside of the home? Again what about the times a shot is never fired? How many of these shootings are actually attributed to criminal misuse, and how many belong to the suicide category? These statistics are not necessarily wrong, just incomplete. All of these numbers have been organized to further a specific point of view. 
My point is, you can quote John Lott, or Sarah Brady all you want, but I still insist that until you agree to see the benefits of firearms as well as the damage they do, you will always have a flawed view of the subject.",8,14,topic_stance_votes_2
14,Banning guns means more freedom,gun control,support,"It is misleading to quote costs from gun injuries. The vast majority of unjuries are intentional shootings or attempted suicides, so to get at the real costs you would have to subtract out the costs that would have been generated by knives and nooses, etc. had there been no guns, and you would have to subtract out the economic gains that come from guns scaring off criminals hundreds of thousands of times each year. In addition, you have to subtract out the economic gains that come from the target-shooting and hunting industries that service about 100 million Americans. There is so much subtracting going on here, I think we can conclude that guns (at least in the hands of law-abiding people) lower the tax burden and thus INCREASE freedom.",14,15,topic_stance_votes_2
15,Banning guns means more freedom,gun control,attack,"Hey your citing the Brady. Do you know what Brady has to say about the Brady Bill?
Something about ""safer streets""? http://www.nrablacklist.com/
What does the CDC have to say about Brady and other gun laws? 
""Centers for Disease Control (CDC) committee has reported that it cannot find any evidence that gun-control laws reduce violent crime"" - http://www.nationalreview.com/commen...0310220911.asp
So then there can only be two possible cases. 1) Brady is wrong and CDC is right or 2) CDC is right and Brady is wrong.
How many children? Do you know. It might help if you can put a figure on it.
And again. There is nothing in the 2nd Amendment about limiting gun ownership if it gets to expensive.
How about your buddy? The lawyer who thinks it is OK to ""cook data"" as long as you get what your after?",8,16,topic_stance_votes_2
16,Banning guns means more freedom,gun control,support,"i think VOR has checked out of the discuition, again.",16,17,topic_stance_votes_2
17,Banning guns means more freedom,gun control,support,"I think VOR is a true believer in faulty system of beliefs.
He/she finds something they really believe supports their view, they C&P it here thinkg ""HA, that will show them"" then they are dismayed when it gets shredded. So they leave, and are silent for a while, until they fnd something else that they believe supports the viewpoint, at which point they once again go ""HA, this will show them"".
I have known such people before and, depending on their capacity for self deception, often the time will come when they realise their position is indefensible and they will convert. 
Personally, I kind of like it. It keeps us pro gunners sharp. I kind of wish there were more anti gunners here for us to beat up on.",17,18,topic_stance_votes_2
