,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Bowling For Columbine....,gun control,support,"exposed!
http://www.hardylaw.net/Truth_About_Bowling.html
I knew the movie was a joke but look at all the intentional lies in it!",0,1,topic_stance_votes_2
1,Bowling For Columbine....,gun control,attack,"Nice try. 
http://www.michaelmoore.com/words/wackoattacko/
",1,2,topic_stance_votes_1
2,Bowling For Columbine....,gun control,support,"Touche!
Thanks for restoring my faith in ""Bowling for...""
As a non-American I was unaware of all the controversy surrounding the film. I thought the film, as presented was thought-provoking. (obviouslt emotive as well).
Thank you for a positive perspective.",2,3,topic_stance_votes_1
3,Bowling For Columbine....,gun control,attack,"Here is the reply to Moore's comments on his website:
http://www.hardylaw.net/replytomoore.html
Regardless of whether a lawsuit was filed or not...if the events portrayed in the film are wrong then they are wrong.. period.
Carefull editing of speechs made by Charleton Heston (on different dates) to get Moore's point across seem like ""fabrication"" to me....in essence....lies.
Therefore the whole movie is a lie.",3,4,topic_stance_votes_2
4,Bowling For Columbine....,gun control,attack,If I can show you just 1 untrue item in Columbine. Will you change your mind?,2,5,topic_stance_votes_2
5,Bowling For Columbine....,gun control,attack,You've had ample time to up till now.,5,6,topic_stance_votes_1
6,Bowling For Columbine....,gun control,attack,"What are you talking about ample time? I starting following this tread last afternoon? What is your point?
1) Did the NRA and KKK ever burn a cross together?
2) Does Lockheed Martin in Colorado build nukes, missiles, and bombs?
3) Did Chuck Heston ever say ""From my cold dead hands in Denver""?
4) How many edits does it take to make a point? If it is a documentry then why minipulate a speech?
1) That is a cartoon? Do you believe in cartoons? My nephew believes that things he sees in Bugs Bunny is real. Do you? Moore manufactured a monster from the NRA.
2) Lockheed Martin builds optical spy and commerical satellites. Why the nukes, bombs, and missiles in the movie? I recall seeing nukes and bombs? Please refresh my memory and help me out? What was the message you got? The current generation of optical spy satellites is launched only by the Space Shuttle. Why no footage of the Space Shuttle or communication satellites? Because commerical satellites and the Space Shuttle is not menacing enough.
3) Chuck Heston never said, ""From my cold dead hands in Denver"". Why and where did he say that? Not in Denver. This is what he said in Denver: ""So, we have the same right as all other citizens to be here. To help shoulder the grief and share our sorrow and to offer our respectful, reassured voice to the national discourse that has erupted around this tragedy."" Moore manufactured a monster.
4) Why did his ""documentry"" have to edit speeches together? Documentries have a higher level of honesty and unmaniplulated foothage. See photos from Moore's movie:
http://www.hardylaw.net/Truth_About_Bowling.html
Yup, one speech? or two? Both from Denver? What was Moore's message? 
You were manipulated.",6,7,topic_stance_votes_2
7,Bowling For Columbine....,gun control,attack,"Moore is exercising his First Amendment rights. Satire, comedy, and artistic expression is protected under the First Amendment. Lawsuits to economically strangle an opponent to achive a polticial objective is not a tactic of the NRA. That is a tactic for anti-gunners.
Yes those rockets are being used by the Weather Channel. Lockheed Martin in Colorado does not make anything with a an explosive war head of any size or type.
The Peace Keeper is not manufactured anyhwere. Lockheed once made it. No one makes makes the Peace Keeper anywhere. 
ICBMs are not manufactured anywhere in this country. There has been no budget to manufacture any ICBMs in this country for at least 10 years.
There are NO nuke componets manufactured at Littleton CO. There are no ICBM's manufactued in Littleton, WERE is different from ARE. Moore's own website says so. Of course that is not the message in the movie is it?
You were manipulated.
I'll use Moore's own words, ""But don't take my word – read the transcript of his whole speech"".
Please do.
Charlton Heston's Speech to the NRA
04 May, 1999
By Charlton Heston 
CNS Information Services
(Editor's Note: The following remarks by NRA President Charlton Heston were transcribed by CNS from a RealVideo presentation of his speech before the NRA's national meeting in Denver, Colorado May 1.)
Thank you. Thank you very much. Good morning. I am very happy to welcome you to this abbreviated annual gathering of the National Rifle Association. Thank you all for coming and thank you for supporting your organization.
I also want to applaud your courage in coming here today. Or course, you have a right to be here. As you know, we've cancelled the festivities, the fellowship we normally enjoy at our annual gatherings. This decision has perplexed a few and inconvenienced thousands. As your president, I apologize for that.
But it's fitting and proper that we should do this. Because NRA members are, above all, Americans. That means that whatever our differences, we are respectful of one another and we stand united, especially in adversity.
I have a message from the mayor, Mr. Wellington Webb, the mayor of Denver. He sent me this and said don't come here, we don't want you here. I said to the mayor, well, my reply to the mayor is, I volunteered for the war they wanted me to attend when I was 18 years old. Since then, I've run small errands for my country, from Nigeria to Vietnam. I know many of you here in this room could say the same thing. But the mayor said don't come.
I'm sorry for that. I'm sorry for the newspaper ads saying the same thing, don't come here. This is our country. As Americans, we're free to travel wherever we want in our broad land.
They say we'll create a media distraction, but we were preceded here by hundreds of intrusive news crews. They say we'll create political distraction, but it's not been the NRA pressing for political advantage, calling press conferences to propose vast packages of new legislation.
Still they say don't come here. I guess what saddens me the most is how that suggests complicity. It implies that you and I and 80 million honest gun owners are somehow to blame, that we don't care. We don't care as much as they do, or that we don't deserve to be as shocked and horrified as every other soul in America mourning for the people of Littleton.
Don't come here. That's offensive. It's also absurd because we live here. There are thousands of NRA members in Denver, and tens upon tens of thousands in the state of Colorado.
NRA members labor in Denver's factories, they populate Denver's faculties, run Denver corporations, play on Colorado sports teams, work in media across the Front Range, parent and teach and coach Denver's children, attend Denver's churches and proudly represent Denver in uniform on the world's oceans and in the skies over Kosovo at this very moment.
NRA members are in city hall, Fort Carson, NORAD, the Air Force Academy and the Olympic Training Center. And yes, NRA members are surly among the police and fire and SWAT team heroes who risked their lives to rescue the students at Columbine.
Don't come here? We're already here. This community is our home. Every community in America is our home. We are a 128-year-old fixture of mainstream America. The Second Amendment ethic of lawful, responsible firearm ownership spans the broadest cross section of American life imaginable. 
So, we have the same right as all other citizens to be here. To help shoulder the grief and share our sorrow and to offer our respectful, reassured voice to the national discourse that has erupted around this tragedy.
One more thing. Our words and our behavior will be scrutinized more than ever this morning. Those who are hostile towards us will lie in wait to seize on a soundbite out of context, ever searching for an embarrassing moment to ridicule us. So, let us be mindful. The eyes of the nation are upon us today.",2,8,topic_stance_votes_2
8,Bowling For Columbine....,gun control,support,That is not he same message in Moore's movie is it?,8,9,topic_stance_votes_2
9,Bowling For Columbine....,gun control,attack,"You answered the first one already... it is a 'cartoon'. It showed that just as one was out-lawed, the other was born. You decide what to believe from this.
By the way...
""Lockheed Martin is a global leader in the design, development and production of missiles and missile defense solutions for the United States and its allies around the world. The goal: Defend against attacks by ballistic missiles, cruise missiles and other airborne threats.""
http://www.lockheedmartin.com/wms/fi...=0&ti=0&sc=400",7,10,topic_stance_votes_1
