,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Does gun ownership deter crime,gun control,support,"Does private gun ownership deter crime ? 
http://www.youdebate.com/DEBATES/gun...deterrence.HTM",0,1,topic_stance_votes_1
1,Does gun ownership deter crime,gun control,attack,"I believe yes, because a robber might not rob a house if he/she knows that their is a gun inside that house.",1,2,topic_stance_votes_2
2,Does gun ownership deter crime,gun control,support,"I think this is pretty much common sense. I think some study is in order, though. Everybody....put a sign in your window that says ""This is a gun free home"" and we will see if the incidents of robberies goes up among group memebers.",2,3,topic_stance_votes_2
3,Does gun ownership deter crime,gun control,support,"That idea may make the homes of other people safer. This is both because the homes with the signs will be the main targets for criminals, and because that means that if a home doesn't have the sign than there is a higher likelyhood of there being a gun in the home (same number of guns in a smaller number of homes).
I worry that the reduction of gun ownership will increase crime rates even in households with a gun. Criminals, by nature, are risk takers. They are willing to risk everything for a quick buck and/or to harm someone they dislike. Gun ownership increases the risk, and there typically is no way to tell that a home has a gun. Therefore a simple risk/reward analysis will show more favorably for breaking into an unmarked house if overall ownership is down.",3,4,topic_stance_votes_2
4,Does gun ownership deter crime,gun control,support,"Countryboy has a good point robbers murderers etc might not come in if they kno u have a rifle or other guns in your house
-AMERICAN-emoticonXKill",4,5,topic_stance_votes_2
5,Does gun ownership deter crime,gun control,attack,emoticonXKill yeah but they also might not care! i mean they might have a gun themselves!,5,6,topic_stance_votes_1
6,Does gun ownership deter crime,gun control,attack,"Don't listen to Seleare! Of course it does! Although most criminals are extremely stupid they realize that they are in considerable more danger to rob a house with an armed civilian! They will most likely have a gun but it is also very likely that they will get shot if they barge into a house!
emoticonXKill emoticonXAngry",6,7,topic_stance_votes_2
7,Does gun ownership deter crime,gun control,support,"I don't know that there can't be some other factors involved, but Kennesaw, Georgia has pretty much proven that the presense of guns deters crime. It is required that every household has a working firearm...the criminals know this and they just don't seem to break in as much.",7,8,topic_stance_votes_2
8,Does gun ownership deter crime,gun control,support,"I STRONGLY believe yes, criminals are afraid of citizens with guns!! Conofguncontrol has the right idea! Seleare doesn't know what their talking about!",8,9,topic_stance_votes_2
9,Does gun ownership deter crime,gun control,attack,A person who legaly owns a gun will know how to use it accuratly by practiceing most criminals don't realy know how to accuratly shoot a gun stand 30' apart the lawful owner hits the target with the first shot the criminal will probably empty the gun and hit nothing. A friend of mine saw 2 gang bangers open up on each other from apx 25' apart with semi auto's they emptied their guns exchanging apx 30 shots and neither had a scratch. Had either one of these knuckel heads been squareing off against a law abiding gun owner they may have gotten off 1 to may be 2 shots and would have been in for a ride in either an ambulance or a hearse.,6,10,topic_stance_votes_2
