,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,For anti-gunners?  How do you defend yourself?,gun control,support,"Pro-gunners please try to stay away from this thread. I would like to hear how anti-gunners take care of themselves.
An anti-gun girlfriend I once ran around with did not like me to take a .45 around town. Tough choice, my response was, ""OK, the you if it ever comes down to it, you better run fast. I am going to run really really fast and you better keep up."" The look on her face said it all. A combination of disdain, ""you coward"", and don't you love me? But her question was why don't you want to protect me? My response was, ""If I stick around, then there will be two victims. Not one. I' ll be back as soon as possible and bring help.""
If you carry a cell phone. Take karate lessons. What ever? There is something you do for protection. What do you do?",0,1,topic_stance_votes_2
1,For anti-gunners?  How do you defend yourself?,gun control,attack,"I use the powers of the sun and the moon, which I harness at...
No, just kidding.
I rely on the police.",1,2,topic_stance_votes_1
2,For anti-gunners?  How do you defend yourself?,gun control,attack,Thank you for that insight.,2,3,topic_stance_votes_2
3,For anti-gunners?  How do you defend yourself?,gun control,attack,"^ This is the funny part!....
My answer:
.45acp strapped to your hip... .05 seconds to respond to threat...
Crocidile Dundee's answer:
Call the police... 1-30 seconds to get to the phone.... 1-3 seconds to dial police (if you have 911) 30 Seconds to 5 minutes to splain yourself..... 5-30-??? time for police to respond..
My analysys:
Your dead!!!
Having the logic bus mow you down:
PRICELESS!!
(sorry Kelvin... COuld not resist!)",2,4,topic_stance_votes_2
4,For anti-gunners?  How do you defend yourself?,gun control,support,"I consider his reply very great insight on anti-gun attitude. Joke or not, serious or not. There is some truth in the answer.",4,5,topic_stance_votes_2
5,For anti-gunners?  How do you defend yourself?,gun control,support,"Yeah the truth of battle.... He is dead... his childerend are dead...His wife is raped... And things are stolen..
Cops are there just in time to clean up the mess..
Hey Monty! Police are historians not protectors!
MOLON LABE!",5,6,topic_stance_votes_2
6,For anti-gunners?  How do you defend yourself?,gun control,attack,"Rev Hellbound
see the first post Quote: ""Pro-gunners please try to stay away from this thread. I would like to hear how anti-gunners take care of themselves.""
Do you recall on another thread you said I should make no comment on things going on in the USA?
Aren't you being a wee bit hypocritical now? (Butting in?)
No, of course not, you're opinions are so important, you're good enough to impart them, wherever and whenever they are needed.
This is a great service you are doing.
Go raibh mile maith agat, mo chara!",6,7,topic_stance_votes_1
7,For anti-gunners?  How do you defend yourself?,gun control,attack,"Monty Monty Monty...
Tá fáilte romhat!
Let me ""drop some knowledge""
Don't get your panties all in a bunch! An dáiríre atá tú?... You can't be.... I never said that you should make no comment on anything.... I only said this was an American story not an Australian one... Which I see now I have to break this down into a simpler explaination. The fact that you won't consider the foundation of the constitution and the context in which it was written means that you are looking at our domestic issues through skewed australian eyes. The facts are there for you to read but you REFUSE to consider the very foundation that our constitution does not GRANT RIGHTS it RECOGNIZES that the RIGHT HAS ALWAYS EXISTED! That the Connstitution INCLUDING the second Amendment puts RESTRICTIONS ON THE GOVERNMENTS AND NOT THE PEOPLE. Furthermore these INALIENABLE RIGHTS are protected and safeguarded by our second amendment. Until you learn these fundamentals of US CONSTITUTIONAL LAW and consider these matters in that context you have no basis for rational argument on this subject matter whatsoever and subject your standing to a side show at best.
Finally, you are the one making these absurd demands that one not ""but in"" in a PUBLIC forum... If you want PRIVATE communications... then may I suggest you try E-MAIL
Until you figure yourself out.... Go n-ithe an cat thú, is go n-ithe an diabhal an cat! my Global Socialist friend....
BTW... Cò an caora sin còmhla riut a chunnaic mi an-raoir? 
MOLON LABE!",7,8,topic_stance_votes_2
8,For anti-gunners?  How do you defend yourself?,gun control,attack,"Thank you for your apology. There you were implying I had no right to talk about America, I'm glad you've 're-invited' me into this debate.
You say that the Constitution puts restrictions of the government, but not the people.
Tell me if you as a private citizen (with your guns) are allowed
In State Schools?
On Federal property - military reserves
In court buildings?
On National Parks?
In public hospitals?
If no to any of these, then your rights have been abridged, and you've no case to quote the Constitution as an absolute, even in regards to governments.
Look at your next go at weaving into your argument absolutes...
So, cavemen had the right to be free from lodging soldiers? (Amendment III)
That cavemen had the right to trial by jury, in cases involving more than $20.(Amendment VII)
How did cavemen vote for President? (Amendment XII)
You say that the constitution is just elaborating on rights that have always existed, then why the need to write them down?
If these rights always existed, then why can some constitutionally be added, then subtracted? (Amendment XVIII - Prohibition, then Amendment XXI - repealing Prohibition).
Obviously these rights are not absolute either, in that they haven’t always existed. American rights come about by winning a war against Britain, and entering into a social compact with fellow like-minded citizens. With powers given to a central authority to protect these rights and rules.
And the constitution gives the state the right to defend itself!
“The Congress shall have power to declare the punishment of treason, but no attainder of treason shall work corruption of blood, or forfeiture except during the life of the person attainted.”
Furthermore, if the Constitution does not restrict people, then how do you account for it emplacing limits on the voting age? Or, who can run for US President?
Moreover, if the Constitution does not restrict people, then why are your rights to carry guns less of value than an airliner’s right to forbid you to carry your guns onto an aeroplane? Who decided that the airliner had MORE right?
Basically, you’re wrong, wrong, wrong, and wrong.",8,9,topic_stance_votes_1
9,For anti-gunners?  How do you defend yourself?,gun control,attack,"State Schools? That is still in debate. This the only challenge to the law thus far. Looks like we WILL have guns allowed on schools soon.
http://www.jointogether.org/gv/news/...561929,00.html
Reserve bases? They give you one when you walk through the gate. If your not allowed on the base, then and try to enter. Then you are in direct violation of the Constitution. Congress is given authority to raise and train a standing army. Part of that authority is to keep civilians OFF the base armed or not.
In court? That violates the V Amendment. The right to a fair trial. A non verbal message is sent to judge and jurry when armed citizens are in a court. That influences the judge and jurry. So it is not Constitutional to influence a judge and jurry. It is illegal. You can argue it is legal to bring your firearms into an EMPTY courthouse where there is no trial. It is most definately violates the right of accused to have firearms in a courthouse.
On National Parks? Ever hear of hunting?
In public hospitals. I do all the time.",9,10,topic_stance_votes_2
