,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Gun free Zones,gun control,support,Why do gun free zones not work? Because criminals do not obey the laws against having guns in gun free zones.,0,1,topic_stance_votes_2
1,Gun free Zones,gun control,attack,"Simply naming an area a gun free zone does not make it a gun free zone. If it is truely to be a gun free zone, the law must be enforced. To enforce the law, you must provide a means of security / controlled access to the zone, to screen for and prevent guns from entering the zone. If the law is enforced, the gun free zone will work.",1,2,topic_stance_votes_1
2,Gun free Zones,gun control,support,An example of this would be an airplane for the most part. The laws are strictly enforce although they can still be beaten. However instances of this actually occurring in a way that puts people in danger are few and far between. So yes it can work but it takes incredible measures to make it work.,2,3,topic_stance_votes_1
3,Gun free Zones,gun control,attack,It appears the safety Nazis feel gun free zones should be ran like prisons. Maybe the safety Nazis should take a field trip to their states prison system and ask the guards if guns or any other weapons ever make it into the prisons. Prisons are considered gun and drug free zones. If this was true then how can an inmate get shot by a gun in prison?,3,4,topic_stance_votes_2
4,Gun free Zones,gun control,attack,What type of system do you propose? Is it one of total gun freedoms or one of a certain amount of control?,4,5,topic_stance_votes_1
5,Gun free Zones,gun control,attack,What is your definition of total gun freedom?,5,6,topic_stance_votes_2
6,Gun free Zones,gun control,attack,You want kids to be placed in a prison for an education. Do you think they will really like to learn in that type of school?,3,7,topic_stance_votes_2
7,Gun free Zones,gun control,attack,"Heh, well I guess that answers that question. Do you think that doing such would actually reduce gun related deaths or provide a whole lot of other significant advantages to individuals? Can you forsee any major disadvantages?",6,8,topic_stance_votes_1
8,Gun free Zones,gun control,support,"I think of airplanes, courthouses, and prisons as being gun free zones. JustAnotherGuy claims that gun free zones don't work. So should we allow prisoners, airplane passengers, and people in courthouses to have free access to guns?",8,9,topic_stance_votes_1
9,Gun free Zones,gun control,support,I think that JustAnotherGuy realizes that gun free zones work on a small level when there is a sufficient amount of effort put into upholding these laws. I'm sure you also know that the laws necessary to create these gun free zones will intrude on your right to privacy and lessen the amount of freedoms you have. So the long and short of the matter is that gun free zones can work on a small level and should be used in specific cases but to try and get them to work on larger levels would be very difficult.,9,10,topic_stance_votes_1
10,Gun free Zones,gun control,attack,"You need to go to a prison and ask the prison officials if there are weapons in the gun free zones of prisons. As pointed out drugs and guns made it onto an airplane because criminals can place them on airplanes any time they want to.
Gun free zones do not work because criminals will not obey them!",10,11,topic_stance_votes_2
11,Gun free Zones,gun control,support,Gun free zones work just as well as drug free zones!,11,12,topic_stance_votes_2
12,Gun free Zones,gun control,attack,Lol... this is just silly. Just because murder occurs even in countries (and places) where murder is illegal doesn`t make laws prohibiting murders useless emoticonXRolleyes,12,13,topic_stance_votes_1
13,Gun free Zones,gun control,attack,"No I don't . I want children (at least my children and family) to be placed in a school where they do not have to worry about one of their classmates pulling out a tech 9 and going on a rampage in the library. I don't think that is too much to ask. I think eliminating the risk of this makes a school a much more effective place to learn. How many people do you think actually learned anything at Columbine the day they came back to school, or perhaps were they a little distracted. I'm all for the government giving you and like-minded extremists your own school (hell, even your own state...why not) and letting you all carry guns into schools and every other place you want to. As long as when a gunfight breaks out at your school in Rottencrotch Nebraska, I don't have to see all the parents on TV crying and bawling about how could this tragedy happen here, and saying that something should have been done, this never should have happened. I think there is a time and place for guns, but I don't think that guns belong in schools.",7,14,topic_stance_votes_1
14,Gun free Zones,gun control,attack,Please demonstrate to us how running your gun free school would be different from how a prison is operated. You stated you wanted a fence with locked gates around the school. You wanted everybody searched before they entered school. You wanted all items searched before they entered school. This is how they operate prisons. Drugs and guns still make it into prisons. Let us not forget the airplane with the drugs and guns on it after all of the passengers were searched for weapons.,14,15,topic_stance_votes_2
15,Gun free Zones,gun control,attack,Could I ask all viewing here...how many of you really need an explanation of this (other than Justanotherguy)? For some reason I am not surprised by his response.,15,16,topic_stance_votes_1
16,Gun free Zones,gun control,attack,"So you want to run the schools like prison! Are you going to put armed tower guards around the school grounds? Not only does this sound like a prison, it sounds like that thing in Berlin. Berlin Wall a device used to keep people in. It also had armed guard towers. So to keep guns out of a gun free zone you would insist on a police force using guns to do this.",16,17,topic_stance_votes_2
17,Gun free Zones,gun control,attack,"Must you take everything to the extreme? I guess that would make you an extremist. We are talking about school security, not communist Berlin.",17,18,topic_stance_votes_1
18,Gun free Zones,gun control,attack,"Extremes? Below is a quote from you!
Since you like having unarmed passengers fight armed terrorists. Do you want unarmed security officers to attack armed criminals attempting to enter gun free zones? 
So you just want check points and no fences? What is to prevent some one from walking between the check points if there is not an fence? Sound like the Berlin Wall.",18,19,topic_stance_votes_2
19,Gun free Zones,gun control,attack,"Yes, that is really an extremist view.",19,20,topic_stance_votes_1
20,Gun free Zones,gun control,attack,So now you are calling yourself extreme?,20,21,topic_stance_votes_2
