,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,"Guns get banned, people will die.",gun control,support,"If guns are banned, people will die. No question about that. The question is how many.
My kung fu grandmaster gave a very good short speech today about gun control. He is an ex-cop, and he used to train the police officers in our town. He is very wise and offers an interesting insight into gun control. He told us a story today, about a police officer that was off duty and in plain clothes who was approached by a man with a large knife. The officer told the man to back down, however the man kept coming at him. The officer was forced to pull out his gun and kill him. If this was a civilian, he/she would be dead.
I gained a useful insight into what it feels like to be assulted during today's class. I was pinned down and being choked by a man 200lbs and over 1 foot larger than me. After awhile, I realized that there was almost no hope of getting out (this was training, of course. Not real.) If you are confronted with a situation like this, and are not carrying a gun or other weapon, most likely you will be injured or killed by the attacker. Even with martial arts training, our grandmaster acknowleges that in some situations, you have to just do what you can, and hope you get out alive, especially if you are a small person.
Violent crime will continue to happen no matter what, however whether it rises or falls is up to the voters and the politicians. If you think violent crime will never happen to you, put yourself in the place of the people that it has happened to, especially the dead ones. Then think twice about voting for gun control.",0,1,topic_stance_votes_2
1,"Guns get banned, people will die.",gun control,attack,"It's easy to come up with scenarios where you think a gun is the only escape, but then there are plenty of alternatives where guns take lives unnecessarily, be they because children get hold of them, or nutcases, or someone who's just had a bad day.
The advantage of being confronted by a knife wielding maniac (as opposed to a gun wielding maniac) is that he/she has to come within arm's reach.
Smiley",1,2,topic_stance_votes_1
2,"Guns get banned, people will die.",gun control,support,"smiley,
The advantage of being confronted by a knife wielding maniac (as opposed to a gun wielding maniac) is that he/she has to come within arm's reach.
Guns do make killing a relatively impersonal matter, don't they?emoticonXHoho",2,3,topic_stance_votes_1
3,"Guns get banned, people will die.",gun control,attack,"That's because so many scenarios exist where those without a gun die for that fact. These situations occur every damn day in the real world, they're not the stuff of Hollywood movies.
So?
If you're arguing that nutcases have guns, then that's a poor argument for the stance of ""You don't need a gun, what're you afraid of?""
The disadvantage is that to dealing with a knife wielding maniac without a gun forces you to get within stabbing range.",2,4,topic_stance_votes_2
4,"Guns get banned, people will die.",gun control,attack,"So what? Whether killing is a personal or impersonal matter, the bottom line is that somebody IS going to be killed and that's all there is to it. I highly doubt somebody's BEING killed is of less importance than HOW they were killed.",3,5,topic_stance_votes_2
5,"Guns get banned, people will die.",gun control,support,"And if guns are banned, the only people who will have them will be the Government and criminals. How is that a good thing when the whole reason for the Constitution allowing them was for individual self defense and to stand against Government Tyranny? Banning individual ownership of guns defeats the whole purpose and the principles upon which this Country was founded.",5,6,topic_stance_votes_2
6,"Guns get banned, people will die.",gun control,attack,"Except I can't see Jesus owning, carrying, or using a gun. Can you?",6,7,topic_stance_votes_1
7,"Guns get banned, people will die.",gun control,support,"I have only one thing to say to you Ghosty.
Bang, you're dead!
That's how long it takes. In fact, in the time it takes me to type this sentence, I've killed 15 other people with my god given righfully owned gun.
In that time I dare say I might have managed to kill 3 or 4 people with a knife.
That's what makes the big difference.
Smiley",7,8,topic_stance_votes_1
8,"Guns get banned, people will die.",gun control,attack,"And if I die, I die, there's nothing I can do to change that. Hell I might get killed driving to the store because somebody driving a semi lost control of his rig and ran by car over.
That's not really a fair comparison. For all we know your literacy skills aren't all that great and you could've spent an hour hammering out this entire post to make sure that it looked halfway decent. A lot of things can happen inside of an hour.
Also in the time it took you to kill all those people, somebody would be alerted and probably kill you in response.",8,9,topic_stance_votes_2
9,"Guns get banned, people will die.",gun control,attack,"True, you might die falling over a twig, but the point is that an idiot with a gun can kill 2 or 3 people before you can blink, which could hardly be said for someone with a knife. Also, you can run from somone with a knife, but turn your back on a gunman and you may not get 2 paces.
And yes, it is fair comparison (my typing is reasonable), and do you really think that it would take an hour to knife 2-3 people, or to gun down 15? Nice try at derailing the argument but it didn't work. The comparison was between the number of people who can be picked off by a gunman and those stabbed by a knifeman in similar lengths of time.
As for somone killing me, I dare say I could get 3 or 4 before anyone was able to react. Or I could just go into a school or some other place where guns aren't regularly carried. Then I could plough my way through a whole host of people before anyone got to me. And remember, running away isn't a great defense against a gun.
Scenario: Man runs into street and starts stabbing people, after the second one has gone down people realise what's going on and either run away from him (to escape - remember out of reach is out of danger) or towards him (to grab him - chances are he will only manage to stab one of them before he is incapacitated).
Alternatively: Man runs into street with gun. Bang, bang, bang, that's 3 gone already. People start running. Bang, bang, there go 2 more. Assuming someone in the area has a gun and kills him at this point, problem solved (but 5 dead already). If not, those running towards him are probably dead meat. Those running away will be next.
Have you spotted the the difference yet?
Smiley",9,10,topic_stance_votes_1
