,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,How Many Died at Virginia Tech Today?,gun control,support,Be sure to give your guns a big fat kiss tonight before you go to bed tonight 'cuz guns did really good today.,0,1,topic_stance_votes_1
1,How Many Died at Virginia Tech Today?,gun control,attack,How ridiculous can one be?emoticonXRolleyes,1,2,topic_stance_votes_2
2,How Many Died at Virginia Tech Today?,gun control,attack,"Erm... I hope you are being sarcastic here. (If not I'd have a few choice words for you because I have a friend in the Engineering building at VA Tech where the main shooting went on, and I haven't been able to get in touch with her so I don't even know if she is even alive or what)",1,3,topic_stance_votes_2
3,How Many Died at Virginia Tech Today?,gun control,attack,"who wants to bet that the firearm used in the tragedy was stolen?
who wants to bet that it was stolen from a incompetent gun owner who failed to properly secure his/her property?",2,4,topic_stance_votes_1
4,How Many Died at Virginia Tech Today?,gun control,attack,Most likely it was (that or lifted from their parents gun collection).,4,5,topic_stance_votes_2
5,How Many Died at Virginia Tech Today?,gun control,support,"It was sarcasm, for sure...based on the false assumption that the gun(s) acted on their own.
I hope you find your friend well.
There's no telling where the gun came from. Albuquerque just recently went through a killing spree executed by a man who's had no history of violence..he used a gun he legally acquired years ago.
Guns are not the problem.",5,6,topic_stance_votes_2
6,How Many Died at Virginia Tech Today?,gun control,attack,Quesion: Does having that firearm in a locked house constitute improper security?,4,7,topic_stance_votes_2
7,How Many Died at Virginia Tech Today?,gun control,support,"Alright. I figured so, but I guess me recent debates with Archangel have caused my sarcasm-detector to be unreliable. ;)
Thanks. I hope so as well.
Agreed. I think it is the people that are the problem (including those who don't secure their weapons properly, making it a cinch for them to be stolen and wielded in a case like this - but also, as you said, sometimes by people who legally acquired their guns).",6,8,topic_stance_votes_2
8,How Many Died at Virginia Tech Today?,gun control,attack,"Depends on how well it's locked. Can someone get through a non secured window? 
jim's trucking, true there will always be cases of legal weapons used in crimes. However, the vast majority of firearm crimes are with illegally obtained firearms. Going with the statistics, I'm willing to bet the weapon used was not legit.
I agree, it's not guns that are the problem, it's not even people for the most part, it's the supply and distribution chain",7,9,topic_stance_votes_1
9,How Many Died at Virginia Tech Today?,gun control,support,"I am being sarcastic.
Only cowards have to have guns. I loathe the things.",9,10,topic_stance_votes_1
10,How Many Died at Virginia Tech Today?,gun control,support,"Shadow, I hope that your person is safe. 
Should I lobby to have my grandchildren go to university abroad?
Where the level of civilization is higher?",10,11,topic_stance_votes_1
11,How Many Died at Virginia Tech Today?,gun control,support,"After the Port Arthur massacre where 75 people were shot death. Our government bought back the guns in private hands and practically banned gun ownership. Problem solved.
I know I k now:
• Guns don’t kill, people do
• If every student had packed an assault rifle, a grenade launcher, several thousands rounds of ammunition etc this tragedy would not have happened
• We need guns to protect us from people with
• If the shooter had not had a gun he would have used a knife, and ax or a stone and killed maybe even more people
Feel free to add to this list on totally deranged justification for owning guns.
GUNS KILL THEIR ONLY PURPOSE IS TO KILL AND KILL THEY DO",11,12,topic_stance_votes_1
12,How Many Died at Virginia Tech Today?,gun control,attack,"Welp, next time a 'dingo eats a baby' I'm sure a stern warning and hurled insults will be more than enough to chase it off and preventing it from eating another.",12,13,topic_stance_votes_2
13,How Many Died at Virginia Tech Today?,gun control,attack,were any dingos at the Virginia Tech ?,13,14,topic_stance_votes_1
14,How Many Died at Virginia Tech Today?,gun control,attack,"I figured so - my arguments with Archangel have affected my sarcasm-detecting skills.
Thanks. I actually got hold of her about a half-hour ago - she was shaken up, but the shooter never came to where she was.",11,15,topic_stance_votes_2
15,How Many Died at Virginia Tech Today?,gun control,attack,"Actually, they didn't. The whole tragedy was caused by gun control. If even one student was packing when that occured, 33 lives could have been saved. But no, more victims of botched laws and corrupt politicians.",1,16,topic_stance_votes_2
16,How Many Died at Virginia Tech Today?,gun control,attack,A gun's purpose is irrelevant. A gun would've saved 33 people.,12,17,topic_stance_votes_2
17,How Many Died at Virginia Tech Today?,gun control,attack,"A gun is simply a tool. It is the person weilding it that makes it use good or bad. My 3 handguns have had probably 10's of thousands of rounds of ammo down the pipe, and I have yet to once kill ANYTHING with one of them.",12,18,topic_stance_votes_2
18,How Many Died at Virginia Tech Today?,gun control,attack,"Keep in mind that we are not talking about 2 crackheads in Philly blasting away at each other...yes...they are more than likely carrying illegaly obtained firearms, and carrying them without a permit. For all we know, the shooter may have legally obtained these guns, even if his intentions at time of purchase were to commit this crime. We need to wait and see how this shakes out, because it could probably go either way. 
This I can partially agree with. A blind eye is often turned by some gun shop owners and even gun manufacturers when it comes to making money.",9,19,topic_stance_votes_2
19,How Many Died at Virginia Tech Today?,gun control,attack,"Apparently you fail to see the bigger picture here. If the students were armed the killer wouldn't have been able to take out so many students.
Last year a bill was defeated that would have allowed VT students (their constitutional right) to carry guns. 
All those kids would be alive today if it weren't for the anti-gun lobby.",1,20,topic_stance_votes_2
20,How Many Died at Virginia Tech Today?,gun control,attack,"I guess the guys that fought and beat the mighty British Empire and that founded the country that you live in were cowards.
It's truly amazing to see that someone who loathes Bush can't see the connection between the 2nd amendment and protection against dictatorship.",10,21,topic_stance_votes_2
21,How Many Died at Virginia Tech Today?,gun control,attack,"the purpose of a 'tool' called gun is to kill. Killers use those 'tools'. 
without 'tools' the 'tradesman' at Virginia Tech couldn't have done any 'work' today.
Yeah! I would feel real safe to know that every person I pass by on the street, or knock at my door is armed to the teeth. I would feel so safe you wouldn't believe it.
The rest of the world must be really stupid not have come with the same idea!
By the way do you think that children should pack guns at 5 years of age or maybe younger?emoticonXDonno",18,22,topic_stance_votes_1
22,How Many Died at Virginia Tech Today?,gun control,attack,"I think alot less would have died but thanks to this it was easy for the nut to go and kill when he knew his victims were unarmed and defenseless.
""Roanoke Times article of 1/31/2006: 
""A bill that would have given college students and employees the right to carry handguns on campus died with nary a shot being fired in the General Assembly. 
""House Bill 1572 didn't get through the House Committee on Militia, Police and Public Safety. It died Monday in the subcommittee stage, the first of several hurdles bills must overcome before becoming laws. 
""The bill was proposed by Del. Todd Gilbert, R-Shenandoah County, on behalf of the Virginia Citizens Defense League. Gilbert was unavailable Monday and spokesman Gary Frink would not comment on the bill's defeat other than to say the issue was dead for this General Assembly session. 
""Virginia Tech spokesman Larry Hincker was happy to hear the bill was defeated. 'I'm sure the university community is appreciative of the General Assembly's actions because this will help parents, students, faculty and visitors feel safe on our campus.' ""
source: http://www.roanoke.com/news/roanoke/wb/wb/xp-50658",22,23,topic_stance_votes_2
23,How Many Died at Virginia Tech Today?,gun control,attack,"And what's to stop a nutball from using for example his car as a deadly weapon?
It's actually quite easy to ""Grand Theft Auto"" a couple of hundred pedestrians.
Should cars be illegal too?
Instead of focusing on the tool that the killer used, it's much more important to figure out why this guy thought it was necessary to kill 30+ people.
This way we might prevent such a disaster from happening in the first place.
And I sincerely doubt that taking away all guns will stop people from doing these kinds of things.
Maybe they'll do a GTA, go on a stabbing spree or just buy diesel fuel and fertiliser and put on a really big show.",22,24,topic_stance_votes_2
24,How Many Died at Virginia Tech Today?,gun control,attack,"Thank you very much, shadow. At least there is some good news from VT. I hope she's going to be OK.
The psychological cost to the people at VT... Impossible to determine.",15,25,topic_stance_votes_1
25,How Many Died at Virginia Tech Today?,gun control,attack,"Shooter, so a cop is reporting to the scene and there you are packing a gun.
How is the cop to know you're not the shooter?",16,26,topic_stance_votes_1
26,How Many Died at Virginia Tech Today?,gun control,attack,"I was not speaking for the militia nor was I speaking for those who defend nations. 
Careful reading of the Second Amendment clearly indicates that the principle of gun ownership is based upon the first phrase of the Amendment:
",21,27,topic_stance_votes_1
27,How Many Died at Virginia Tech Today?,gun control,support,"If gun ownership was banned in America, the only consequence would be that only criminals who don't respect the law anyway would possess guns which would further victimize the honest citizens who would then be completely defenseless.
Currently, even armed criminals must wonder and worry about how many armed citizens will be present at the scene of their crime. If guns were banned, that concern would go with it.
The problem we face is controlling the people who will use guns as this student did, as a weapon for revenge or to vindictively punish Society at large or someone else they believe has wronged them. I maintain that Guns don't kill people, people kill people with guns.",24,28,topic_stance_votes_2
28,How Many Died at Virginia Tech Today?,gun control,attack,"Here we are facing a tragedy involving 33 dead and 27 wounded young people and their families.
Comments, criticisms and other, at this point irrelevant remarks.
Not one single word of compassion or expression of condolence or sorrow.
How sad!",28,29,topic_stance_votes_1
