,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Months go bye. AWB expires.  What happened?,gun control,support,"What happened?
Why no surge in machinegun battles?
Why no bayonet attacks?",0,1,topic_stance_votes_2
1,Months go bye. AWB expires.  What happened?,gun control,support,"You can watch an actual assault weapon in action here
Watch out! It might bite!",1,2,topic_stance_votes_2
2,Months go bye. AWB expires.  What happened?,gun control,support,"We had the same ""Streets running with blood"" hysteria when CCW permits were expanded. I'm still waiting to hear about a modern ""OK Corral"" event. How many years has it been?
The sky is falling! The sky is falling!",2,3,topic_stance_votes_2
3,Months go bye. AWB expires.  What happened?,gun control,support,i still have nets set to try to ceatch thoes AK's and uzi's that were going to flood the streets.,3,4,topic_stance_votes_2
4,Months go bye. AWB expires.  What happened?,gun control,attack,whats awb?,4,5,topic_stance_votes_1
5,Months go bye. AWB expires.  What happened?,gun control,attack,"Assault Weapon Ban. A largely (in fact, I believe entirely) cosmetic ban which attempted to eliminate the lethal threats of bayonet lugs, pistol grips and sickle shaped magazines.",5,6,topic_stance_votes_2
6,Months go bye. AWB expires.  What happened?,gun control,support,The AWB did lead to the development of baby Glocks so it wasn't all bad..........,6,7,topic_stance_votes_2
7,Months go bye. AWB expires.  What happened?,gun control,support,"But it also led to the end of Tec-9s.
And it drove up the price of (some) hicap mags.",7,8,topic_stance_votes_2
8,Months go bye. AWB expires.  What happened?,gun control,support,"Feh, the TEC 9 is trash. Glock is a far superior product. 
I hardly ever considered a 10 rd pistol mag much of an road block to a decent self defense handgun, even though the ban didn't affect me. 
In regards to rifles, mags were pricier, but if someone stuck to an AK or AR base weapon there were decent deals to be found and in all honesty more than a 2 or 3 mags for simple personal use is hardly necessary.",8,9,topic_stance_votes_2
9,Months go bye. AWB expires.  What happened?,gun control,support,"There was never a shortage of high-cap mags. The AWB just made smaller pistols more desireable. You could still get the mags for the big fellers, and all the manufacturers came out with nice little compact ten-rounders. There's now a whole new class of pistol out there. Can anyone say ""unintended consequences""? Happens any time the government tries to ban something. emoticonXCool",9,10,topic_stance_votes_2
10,Months go bye. AWB expires.  What happened?,gun control,support,but it killed the calaco's!!!,10,11,topic_stance_votes_2
11,Months go bye. AWB expires.  What happened?,gun control,support,"What happened is that now I can have a bayonet lug, flash supressor, and magazines greater than 10 rounds on my AR15.
I would point out that the original ban was unconstitutional on two accounts.
Of course it violates the second amendment.
But more importantly, it is an act outside of Congress' limited, enumerated powers. Congress has no such power.",1,12,topic_stance_votes_2
12,Months go bye. AWB expires.  What happened?,gun control,support,"I agree that the AWB was nothing more than an attempt to ban scary looking but useless cosmetic features merely to get the camel’s nose under the tent regarding gun bans.
When Congress passed the legislation it claimed its authority from its power to regulate interstate commerce. As we were able to see from Judge Robert’s confirmation hearings, Congress has a very broad view of its authority to regulate many, many things under the claim that it either is in or affects interstate commerce. 
In any event, I cannot see SCOTUS ever ruling that congress cannot regulate guns because they fall outside of the interstate commerce regulatory power. The better issue is whether the AWB was an unconstitutional infringement on an individual RKBA.",12,13,topic_stance_votes_2
13,Months go bye. AWB expires.  What happened?,gun control,support,"No doubt the Commerce Clause has been stretched beyond the founders wildest imaginations.
However, check out the Lopez case:
http://www.agh-attorneys.com/4_us_v_lopez.htm
It involved a ban of guns within a certain proximity to schools. Held - Congress has no enumerated Power to ban guns in school zones. Pay specific attention to Thomas' Concurrence. He wants to revisit the whole commerce clause nonsense and restrain the feds to what the Constitution actually says - regulating commerce among the several states.",13,14,topic_stance_votes_2
14,Months go bye. AWB expires.  What happened?,gun control,attack,Do I hear some people saying Oops?,14,15,topic_stance_votes_1
15,Months go bye. AWB expires.  What happened?,gun control,attack,"Is this really the best you can do Brady? Resurrecting a six year old thread simply to suggest that the lack of this ludicrous law is the reason Loughner was able to do what he did?
I've covered it in numerous threads that the ludicrous law you hold up as a shining example of effectiveness would've done nothing to prevent the Tuscon shooting from taking place. I've cited the law itself numerous times, but you don't seem interested in the facts. Observe:
Bill Text - 103rd Congress (1993-1994) - THOMAS (Library of Congress)
(a) PROHIBITION- Section 922 of title 18, United States Code, as amended by section 110102(a), is amended by adding at the end the following new subsection:
`(w)(1) Except as provided in paragraph (2), it shall be unlawful for a person to transfer or possess a large capacity ammunition feeding device.
`(2) Paragraph (1) shall not apply to the possession or transfer of any large capacity ammunition feeding device otherwise lawfully possessed on or before the date of the enactment of this subsection.
It says right there that the law didn't apply to previously manufactured and possessed magazines that would legally be recognized as ""high capacity"" in nature. That means Loughner could have found and purchased a pre-ban magazine of whatever size he wanted, it just would've been expensive to do. But it still would've been fully legal and he couldn't be charged with having violated any laws.",15,16,topic_stance_votes_2
16,Months go bye. AWB expires.  What happened?,gun control,support,":
YouTube - FOPA Hughes Amendment VOTE APRIL 10 1986
This is criminal! Watch this C-SPAN clip: FOPA Hughes Amendment Vote on April 10, 1986. Here you can see how Chairman Charles Rangel (D.-NY) ram-rodded through a Federal machinegun freeze that clearly failed both a voice vote and a recorded vote. We are now saddled with an onerous law that is not only unconstitutional, but that also was NEVER PASSED!
I will also draw your attention to the courts ruling the Brady NICS checks unConstitutional as an unfunded mandate. Now it should be unconstitutional period.",16,17,topic_stance_votes_2
17,Months go bye. AWB expires.  What happened?,gun control,support,"  These FBI figures are for all rifle homicides, not just the so-called Assault Weapons. 
  Crime in the United States -- by Volume and Rate per 100,000 Inhabitants, 1990–2009 
  January to June 2010 
Meanwhile the gun supply in the U.S. goes through the roof.
  Total NICS Background Checks -- November 30, 1998 - January 31, 2011 
",17,18,topic_stance_votes_2
