,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,"With guns, we are citizens. Without them, we are subjects.",gun control,support,"--------------------------------------------------------------------- 
In 1929, the Soviet Union established gun control. 
From 1929 to 1953, about 20 million dissidents, 
unable to defend themselves, were rounded up and 
exterminated. 
-------------------------------------------------------- 
In 1911, Turkey established gun control. From 1915 
to 1917, 1.5 million Armenians, unable to defend 
themselves, were rounded up and exterminated. 
-------------------------------------------------------- 
Germany established gun control in 1938 and from 
1939 to 1945, 13 million Jews and others who were 
unable to defend themselves were rounded up and 
exterminated. 
-------------------------------------------------------- 
China established gun control in 1935. From 1948 
to 1952, 20 million political dissidents, unable to 
defend themselves, were rounded up and exterminated. 
-------------------------------------------------------- 
Guatemala established gun control in 1964. From 
1964 to 1981, 100,000 Mayan Indians, unable to 
defend themselves, were rounded up and exterminated. 
-------------------------------------------------------- 
Uganda established gun control in 1970. From 1971 
to 1979, 300,000 Christians, unable to defend 
themselves, were rounded up and exterminated. 
-------------------------------------------------------- 
Cambodia established gun control in 1956. From 
1975 to 1977, one million 'educated' people, unable 
to defend themselves, were rounded up and exterminated. 
-------------------------------------------------------- 
Defenseless people rounded up and exterminated in 
the 20th Century because of gun control: 56 million. 
-------------------------------------------------------- 
It has now been 12 months since gun owners in 
Australia were forced by new law to surrender 
640,381 personal firearms to be destroyed by their 
own government, a program costing Australia 
taxpayers more than $500 million dollars. 
The first year results are now in: 
Australia-wide, homicides are up 3.2 percent 
Australia-wide, assaults are up 8.6 percent 
Australia-wide, armed robberies are up 44 percent 
(yes, 44 percent!) 
In the state of Victoria alone, homicides with 
firearms are now up 300 percent. 
(Note that while the law-abiding citizens turned 
them in, the criminals did not, and criminals still 
possess their guns!) 
While figures over the previous 25 years showed a 
steady decrease in armed robbery with firearms, this 
has changed drastically upward in the past 12 
months, since the criminals now are guaranteed that 
their prey is unarmed. 
There has also been a dramatic increase in 
break-ins and assaults of the ELDERLY. 
Australian politicians are at a loss to explain 
how public safety has decreased, after such 
monumental effort and expense was expended in 
""successfully ridding Australian society of guns."" 
-------------------------------------------------------- 
The Australian experience and the other historical 
facts above prove it. 
-------------------------------------------------------- 
You won't see this data on the American evening 
news or hear our president, governors or other 
politicians disseminating this information. 
-------------------------------------------------------- 
Guns in the hands of honest citizens save lives 
and property and, yes, gun-control laws affect only 
the law-abiding citizens. 
-------------------------------------------------------- 
Take note my fellow Americans.....before it's too 
late! 
-------------------------------------------------------- 
The next time someone talks in favor of gun 
control, please remind them of this history lesson. 
-------------------------------------------------------- 
With guns, we are citizens. 
Without them, we are subjects. 
-------------------------------------------------------- 
If you value your freedom, Please spread this 
anti-gun control message to all of your friends.",0,1,topic_stance_votes_2
1,"With guns, we are citizens. Without them, we are subjects.",gun control,support,"Nice post HellH0und.
I totally agree.",1,2,topic_stance_votes_2
2,"With guns, we are citizens. Without them, we are subjects.",gun control,support,"Liberals would just respond with, 'Trust me'.",1,3,topic_stance_votes_2
3,"With guns, we are citizens. Without them, we are subjects.",gun control,attack,Arm the homeless! ;),1,4,topic_stance_votes_1
4,"With guns, we are citizens. Without them, we are subjects.",gun control,attack,"Totaly agree, and im from a country that has probably the strictest gun control in the world, but gun crime is continualy rising. These dumb politicians dont live in the real world, they ban legally owned guns thinking that the criminal also has a legaly owned gun, doh.
They call it a free and democratic soceity, yeah right, criminal has a gun and I cant.",4,5,topic_stance_votes_2
5,"With guns, we are citizens. Without them, we are subjects.",gun control,support,"Is your point that citizens should be allowed to have guns to defend themselves from the government or that citizens should be allowed to have guns to protect themselves from other citizens?
As for protecting form the government, I highly doubt that the U.S. military would be used to massacre U.S. citizens because its actions are far too public. It certaintly is possible that a more secretive organization such as the NSA would be able to carry out plans such as the ones which you described in other countries. However, do you think it would be possible for ordinary citizens armed with firearms to stop the highly trained employees of the NSA?
As for protection from other citizens, I think that the government should allow this, but I also think that people shouldn't have guns. So if the number of guns owned by citizens in the U.S. were to decrease, I would want it to be a voluntary change, not one forced by the government. There should still be gun regulation just as there is regulation of any product on the market.",5,6,topic_stance_votes_2
6,"With guns, we are citizens. Without them, we are subjects.",gun control,support,"You might want to pick up a history book and read it. Try reading both the Federalist and Anti-Federalist Papers for starters. If you were familiar with them, then you would've already had the answer to your first question.
Your selective memory is at work again. As I recall, in Waco military vehicles and equipment were used against the Branch Davidians. Nevermind the presence of members of Delta Force which was denied, at first, by the government. Then they were caught lying again about using flammable tear gas which, ironically enough, is banned by the Geneva Convention for use against enemy troops. In the end, the 'open and shut case' the government thought they had, blew up in their faces because of their lies and abuses. I also recall, at some point around the time of the Great Depression that U.S. troops were called out to quell food riots in New York, I think it was. There were a couple of young officers present by the name of MacArthur and Patton, I believe. There are a few other instances I'm sure.
I note your glee about secret agencies and their awesome firepower in which mere citizens would be defenseless against. Is your closet full of brown shirts? You must be proud.
Huh? You're for protecting yourself against other citizens as long as it doesn't involve guns? Of course, that wouldn't apply to the criminal that you're protecting yourself against! Why don't you read how well your gun bans are working in other countries? Regulation? The only regulation should be mandatory firearms training for all citizens like in Switzerland. Not the 'regulation' that you liberals would propose which, of course, always leads to an outright ban of private ownership. Why do you fear the 'people'?
It doesn't matter what you think, the second amendment is clear enough all by itself. Try reading the Constitution again.",6,7,topic_stance_votes_2
7,"With guns, we are citizens. Without them, we are subjects.",gun control,support,"I'd like to think that I don't fall into the same conspiracy theorist/ extremist categories as some on this site, but at the same time, the fact of the matter is, government agents already have a record of killing citizens without reprise. The standoff at Waco, the NYPD shooting of Diallo, the FBI shooting at Ruby Ridge. While I don't believe that our government has sinister intentions, I do believe that if a civilian had pulled the trigger in a situation like Ruby ridge, or the Diallo shooting, then that citizen (or citizens in the case of Diallo) then jail time would be served. C'mon, shooting at a man 41 times (only hitting him 19) for reaching for his wallet, and the cops walk, but in the same city, a man defends himself with a handgun from a mugger in an elevator, and they charge him for possesion of a firearm? There is certainly a double standard that allows law enforcement to get away with more than civilians. Like I said before, I don't believe our government has sinister intentions, but there has yet to be a government anywhere that does not betray some of its citizens, and so a level of distrust is certainly appropriate when dealing with any government body, plan, or agent.",6,8,topic_stance_votes_2
8,"With guns, we are citizens. Without them, we are subjects.",gun control,attack,"What's the point of posting a bunch of propaganda from some biased website? Your whole post proves nothing because it doesn't show a causal relationship between gun control and mass murder. How come Sadam Hussein was able to kill so many of his subjects although gun ownership was common among the Iraqi public? I suppose we could find a way to blame all the world's problems on gun-control. Even this pro-gun website admits that you can't blame the holocaust on gun-control. 
""The simple conclusion is that there are no lessons about the efficacy of gun control to be learned from the Germany of the first half of this century. It is all too easy to forget the seductive allure that fascism presented to all the West, bogged down in economic and social morass. What must be remembered is that the Nazis were master manipulators of popular emotion and sentiment, and were disdainful of people thinking for themselves. There is the danger to which we should pay great heed. Not fanciful stories about Nazi's seizing guns."" 
http://www.guncite.com/gun_control_gcnazimyth.html",1,9,topic_stance_votes_1
9,"With guns, we are citizens. Without them, we are subjects.",gun control,attack,So do you want to argue my points or do you want to argue me? Which of my bullits are wrong? Which of them are right?,9,10,topic_stance_votes_2
10,"With guns, we are citizens. Without them, we are subjects.",gun control,attack,"""Your whole post proves nothing because it doesn't show a causal relationship between gun control and mass murder.""
I think that applies to all your bullets.",10,11,topic_stance_votes_1
11,"With guns, we are citizens. Without them, we are subjects.",gun control,attack,"Ok we will leave it as you are incapable of intelligently discussing my points...
Just when you are ready to come get my guns...... remember!
MOLON LABE!",11,12,topic_stance_votes_2
