,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,gun control yes or no?,gun control,support,"Everyone as a thought on gun control good, bad, extreme or don't really care.
but I would like to find out is do you support some sort of guncontrol yes or no?
please yes or no at the top of your anwser and then add how much under that.",0,1,topic_stance_votes_1
1,gun control yes or no?,gun control,attack,"NO to gun control
This is hard for me b/c i dont really like the idea of everybody walking around w/ guns... but at the same time, the evidence that gun control doesn't work is sooo good, plus it's against the Constitution...",1,2,topic_stance_votes_2
2,gun control yes or no?,gun control,attack,It depends...,2,3,topic_stance_votes_1
3,gun control yes or no?,gun control,attack,"I am against certain measures such as
banning a firearm because of cosmetic features
because its ""small""
well basically banning any firearm, or any law requiring locks here and there NO!
I am for :
background checks as long as it is not a nusiance or infringement. In other words, instant check would be better.
keeping them away from violent persons and from very mentally disturbed individuals.
Oh and I'm new here.:)",3,4,topic_stance_votes_2
4,gun control yes or no?,gun control,attack,"I am for control of weapons. I don't want every hobo on the street running around with semtex or nerve gas.
However, I am against deliberately restrictive weapons laws.",4,5,topic_stance_votes_1
5,gun control yes or no?,gun control,attack,"I am for control of weapons. I don't want every hobo on the street running around with semtex or nerve gas.
However, I am against deliberately restrictive weapons laws.",4,6,topic_stance_votes_1
6,gun control yes or no?,gun control,support,"Why does gun control have to be an all or none thing? There is a common misconception that gun control means getting rid of all guns. Not true. Yes, there are those in favor of getting rid of all guns, and I find these people to be extremist whackos. And there are those who would get rid of all gun control laws, and again...extremist whackos. Having an age limit on the ability to buy guns is a gun control measure. I certainly do not want 7 y/o's to be able to go to the store and buy a 9mm. Age limits are simply common sense laws that are required by any responsible society. There are many common sense laws, but probably a few more that we need. Likewise, there are some laws and measures that we do not need.",1,7,topic_stance_votes_1
7,gun control yes or no?,gun control,attack,"Well, there are some groups that say only some gun control, but they have a hidden agenda. The Brady Campaign and the Violence Policy Center, both favor complete prohibition of guns, even though they do not advocate it openly. Yes I believe in some gun control, but only that which is logical. If you make it illegal, it will just create a big black market, and we all know how that is. LA in California has a big black market thanks to gun control, still politicians here keep advocating more of the ""useless"" gun control.emoticonXCensored XXXXXX..",7,8,topic_stance_votes_2
8,gun control yes or no?,gun control,support,"gun controle YES, know your target and what is behind it, aim center mass, and trigger squieze.",8,9,topic_stance_votes_2
9,gun control yes or no?,gun control,attack,"I believe the RKBA as recognized by the 2nd. Amendment is a fundamental individual right. I do not believe, however, that the right is unlimited any more than I believe that the rights to freedom of speech, press, and assembly are unlimited. All rights are subject to rational limitation. I am for rational gun control laws, like the ban on felons possessing firearms. I am against irrational gun control laws like the cosmetic, deceased, and demonstrably useless 1994 AWB.
I believe gun control proponents should accept that the RKBA is an individual right. To argue that the right is a state’s right or a militia member right is to do so in the face of both history and legal precedent. Such a weak foundation renders all their gun control proposals, despite the public marketing tag of “common sense measures,” extremely suspect as nothing more than the gradual encroachment towards an unspoken yet much desired goal of a total firearm ban. Gun rights supporters are naturally wary of gun control supporters who are wedded to this view. 
You cannot have an honest discussion of whether a gun control measure is constitutional where one party to the discussion is chained to a warped and disingenuous interpretation of the RKBA.
---
“The great ideals of liberty and equality are preserved against the assaults of opportunism, the expediency of the passing hour, the erosion of small encroachments, the scorn and derision of those who have no patience with general principles, by enshrining them in constitutions, and 
consecrating to the task of their protection a body of defenders.” Justice Benjamin Cardozo, The Nature of the Judicial Process, Lecture II, 1921.
---
Portions of The Declaration of the Causes and Necessity of Taking Up Arms (July 6, 1775) 
“Administration sensible that we should regard these oppressive measure as freemen ought to do, sent over fleets and armies to enforce them.
(Lexington/Concord)
General Gage . . . sent ought from [Boston] a large detachment of his army, who made an unprovoked assault on the inhabitants of the said province, at the town of Lexington, as appears by the affidavits of a great many persons, some of whom were officers and soldiers of the detachment, murdered eight of the inhabitants, and wounded many others. From thence the troops proceeded in warlike array to the town of Concord, where they set upon another party of the inhabitants of the same province, killing several and wounding more, until compelled to retreat by the country people suddenly assembled to repel this cruel aggression.
(Registration/Government Storage)
The inhabitants of Boston being confined within that town by the general their governor, and having, in order to procure their dismission, entered into a treaty with him, it was stipulated that the said inhabitants having deposited their arms with their own magistrates, should have liberty to depart, taking with them their own effects. They accordingly delivered up their arms, but in open violation of honor, in defiance of the obligation of treaties, which even savage nations esteemed sacred, the governor ordered the arms deposited as aforesaid, that they might be preserved for their owners, to be seized by a body of soldiers; detained the greatest part of the inhabitants in the town, and compelled the few who were permitted to retire, to leave their most valuable effects behind.
(Martial Law)
The general, further emulating his ministerial masters, by a proclamation bearing date on the 12th. of June, after venting the grossest falsehoods and calumnies against the good people of these colonies, proceeds to '[D]eclare them all, either by name or description, to be rebels and traitors, to supersede the course of the common law, and instead thereof to publish and order the use and exercise of the law martial.
(The Declaration)
“We are reduced to the alternative of choosing an unconditional submission to the tyranny of irritated ministers, or resistance by force. The latter is our choice. We have counted the cost of this contest, and find nothing so dreadful as voluntary slavery. Honor, justice, and humanity, forbid us tamely to surrender that freedom which we received from our gallant ancestors, and which our innocent posterity have a right to receive from us. We cannot endure the infamy and guilt of resigning succeeding generations to that wretchedness which inevitably awaits them, if we basely entail hereditary bondage upon them.
Our cause is Just. Our Union is Perfect. Our internal resources are great, and, if necessary, foreign assistance is undoubtedly attainable. - We gratefully acknowledge, as signal instances of the Divine favor towards us, that his Providence would not permit us to be called into this severe controversy, until we were grown up to our present strength, had been previously exercised in warlike operation, and possessed of the means of defending ourselves. With hearts fortified with these animating reflections, we most solemnly, before God and the world, declare, that, exerting the utmost energy of those powers, which our beneficent Creator hath graciously bestowed upon us, the arms we have been compelled by our enemies to assume, we will, in defiance of every hazard, with unabating firmness and perseverence, employ for the preservation of our liberties; being with one mind resolved to die freemen rather than to live slaves.
We fight not for glory or for conquest. We exhibit to mankind the remarkable spectacle of a people attacked by unprovoked enemies, without any imputation or even suspicion of offence. They boast of their privileges and civilization, and yet proffer no milder conditions than servitude or death.
In our own native land, in defense of the freedom that is our birthright, and which we ever enjoyed till the late violation of it - for the protection of our property, acquired solely by the honest industry of our fore-fathers and ourselves, against violence actually offered, we have taken up arms. We shall lay them down when hostilities shall cease on the part of the aggressors, and all danger of their being renewed shall be removed, and not before.”
---
“Is it necessary for your liberty, that you should abandon those great rights by the adoption of this system?. . . Will the abandonment of your most sacred rights tend to the security of your liberty?. . . .I am fearful I have lived long enough to become an old fashioned fellow: Perhaps an invincible attachment to the dearest rights of man, may, in these refined enlightened days, be deemed old fashioned: If so, I am contented to be so. . . . Guard with jealous attention the public liberty. Suspect everyone who approaches that jewel. Unfortunately, nothing will preserve it, but downright force: Whenever you give up that force, you are inevitably ruined. . . .
My great objection to this Government is, that it does not leave us the means of defending our rights; or, of waging war against tyrants. . . .
The Honorable Gentleman who presides, told us, that to prevent abuses in our Government, we will assemble in Convention, recall our delegated powers, and punish our servants for abusing the trust reposed in them. Oh, Sir, we should have fine times indeed, if to punish tyrants, it were only sufficient to assemble the people. Your arms wherewith you could defend yourselves, are gone. . . . Did you ever read of any revolution in any nation, brought about by the punishment of those in power, inflicted by those who had no power at all? You read of a riot act in a country which is called one of the freest in the world, where a few neighbors cannot assemble without the risk of being shot by hired soldiery, the engines of despotism. We may see such an act in America. A standing army we shall have also, to execute the execrable commands of tyranny: And how are you to punish them? Will you order them to be punished? Who shall obey these orders? Will your Mace-bearer be a match for a disciplined regiment? In what situation are we to be? . . . .What resistance could be made? The attempt would be madness."" Patrick Henry, (on the advisability of a Constitution without a bill of rights) Speeches of June 5 and 7, 1788, before the Virginia Ratifying Convention, reprinted in The Anti-Federalist Papers and the Constitutional Convention Debates, pages 199-216, Mentor Books, 1986, edited by Ralph Ketchum.
---
“Last Monday, a string of amendments were presented to the lower house; these altogether respected personal liberty. . .” William Grayson, 3 Patrick Henry, p. 391 (1951) [letter to Patrick Henry, June 12, 1789].
---
“Mr. Madison has introduced his long expected amendments. . . .It contains a bill of rights [including] . . . .the right to keep and bear arms.” Fisher Ames, 1 Works of Fisher Ames, pp. 52-53 (1854) [Letter to Thomas Dwight, June 11, 1789].
---
“The rights of conscience, of bearing arms, of changing the government, are declared to be inherent in the people.” Fisher Ames, 1 Works of Fisher Ames, pp. 53-54 (1854) [Letter to F. I. Minoe, June 12, 1789].
---
(The Principle enshrined in the Constitution)
“As civil rulers, not having their duty to the people duly before them, may attempt to tyrannize, and as the military forces which must be occasionally raised to defend our country, might pervert their power to the injury of their fellow citizens, the people are confirmed by the article in their right to keep and bear private arms.” Tench Coxe (on the Second Amendment), Remarks on the First Part of the Amendments to the Federal Constitution. Published under the pseudonym, ""A Pennsylvanian"" in the Philadelphia Federal Gazette, June 18, 1789 at 2 Col. 1.
---
“We're going to have to take one step at a time, and the first step is necessarily, given political realities, going to be very modest. Our ultimate goal, total control of handguns in the United States, is going to take time. The first problem is to slow down the increasing number of handguns in this country. The second problem is to get handguns registered, and the final problem is to make the possession of all handguns, and all handgun ammunition illegal.”--Nelson T. Shields, founder of the Center to Prevent Handgun Violence and former Chairman of Handgun Control, Inc., in The New Yorker magazine, July 26, 1976, at Page 53f.
---
“Experience should teach us to be most on our guard to protect liberty when the Government's purposes are beneficent. Men born to freedom are naturally alert to repel invasion of their liberty by evil-minded rulers. The greatest dangers to liberty lurk in insidious encroachment by men of zeal, well-meaning but without understanding.” Justice Brandeis, in Olmstead v. United States, 277 U.S. 438, 485",9,10,topic_stance_votes_1
