,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Canadian health care inequality?,unknown,support,"I must admit that I really haven't followed this controversey but this looks like something to keep an eye on for future reference. If any Canadians want to expand on this I'd be interested.
""Canada is the only nation other than Cuba and North Korea that bans private health insurance""
=================================
Unsocialized Medicine
A landmark ruling exposes Canada's health-care inequity.
Monday, June 13, 2005 12:01 a.m. EDT
Let's hope Hillary Clinton and Ted Kennedy were sitting down when they heard the news of the latest bombshell Supreme Court ruling. From the Supreme Court of Canada, that is. That high court issued an opinion last Thursday saying, in effect, that Canada's vaunted public health-care system produces intolerable inequality.
Call it the hip that changed health-care history. When George Zeliotis of Quebec was told in 1997 that he would have to wait a year for a replacement for his painful, arthritic hip, he did what every Canadian who's been put on a waiting list does: He got mad. He got even madder when he learned it was against the law to pay for a replacement privately. But instead of heading south to a hospital in Boston or Cleveland, as many Canadians already do, he teamed up to file a lawsuit with Jacques Chaoulli, a Montreal doctor. The duo lost in two provincial courts before their win last week.
The court's decision strikes down a Quebec law banning private medical insurance and is bound to upend similar laws in other provinces. Canada is the only nation other than Cuba and North Korea that bans private health insurance, according to Sally Pipes, head of the Pacific Research Institute in San Francisco and author of a recent book on Canada's health-care system.
""Access to a waiting list is not access to health care,"" wrote Chief Justice Beverly McLachlin for the 4-3 Court last week. Canadians wait an average of 17.9 weeks for surgery and other therapeutic treatments, according the Vancouver-based Fraser Institute. The waits would be even longer if Canadians didn't have access to the U.S. as a medical-care safety valve. Or, in the case of fortunate elites such as Prime Minister Paul Martin, if they didn't have access to a small private market in some non-core medical services. Mr. Martin's use of a private clinic for his annual checkup set off a political firestorm last year.
The ruling stops short of declaring the national health-care system unconstitutional; only three of the seven judges wanted to go all the way.
But it does say in effect: Deliver better care or permit the development of a private system. ""The prohibition on obtaining private health insurance might be constitutional in circumstances where health-care services are reasonable as to both quality and timeliness,"" the ruling reads, but it ""is not constitutional where the public system fails to deliver reasonable services."" The Justices who sit on Canada's Supreme Court, by the way, aren't a bunch of Scalias of the North. This is the same court that last year unanimously declared gay marriage constitutional.
The Canadian ruling ought to be an eye-opener for the U.S., where ""single-payer,"" government-run health care is still a holy grail on the political left and even for some in business (such as the automakers). This month the California Senate passed a bill that would create a state-run system of single-payer universal health care. The Assembly is expected to follow suit. Someone should make sure the Canadian Supreme Court's ruling is on Governor Arnold Schwarzenegger's reading list before he makes a veto decision.
The larger lesson here is that health care isn't immune from the laws of economics. Politicians can't wave a wand and provide equal coverage for all merely by declaring medical care to be a ""right,"" in the word that is currently popular on the American left.
There are only two ways to allocate any good or service: through prices, as is done in a market economy, or lines dictated by government, as in Canada's system. The socialist claim is that a single-payer system is more equal than one based on prices, but last week's court decision reveals that as an illusion. Or, to put it another way, Canadian health care is equal only in its shared scarcity.
When asked whether he was worried about being known as the man who helped bring down his country's universal health-care system, Mr. Zeliotis told the Toronto Star, ""No way. I'm the guy saving it."" If the Canadian ruling can open American eyes to the limitations of government-run health care, Mr. Zeliotis's hip just might end up saving the U.S. system too.
http://www.opinionjournal.com/editor...l?id=110006813",0,1,topic_stance_votes_2
1,Canadian health care inequality?,unknown,attack,"Public healthcare tends to have problems when right wingers refuse to actually tax the wealthy the amount required to fund it. You get what you pay for in this regard. Increased public spending in the UK has started to provide significant increases in service, though it is taking time to make up for underinvestment.",1,2,topic_stance_votes_1
2,Canadian health care inequality?,unknown,attack,Universal health care in Canada is great if you don't mind waiting 6 months for a critical surgery..........,2,3,topic_stance_votes_2
3,Canadian health care inequality?,unknown,attack,What are you counting as critical? Stats?,3,4,topic_stance_votes_1
4,Canadian health care inequality?,unknown,attack,"Any surgery that is needed for life threatening illness are taken care of ASAP. None life threatening, but life quality illnesses are the one that take time. Hip and knee replacements Life quality. Cancer life threatening.
Now, if I am not mistaken, a poorer person without health care coverage in the US would never recieve a hip replacement operation? Or am I wrong?",3,5,topic_stance_votes_1
5,Canadian health care inequality?,unknown,support,"You are correct. I have been waiting 9 months for a hip replacement (hip injured in an accident nearly 2 years ago) because my HMO requires a year of ""active monitoring"", which apparently consists of monthly doctors appointments while we wait for a miracle. 
I can certainly see both sides of this, since the pain in my hip starts at ""unbearable"" in the morning, but generally calms to just ""excrutiating"" by lunch time. This guy would likely not be much better off in the US. HMOs don't like to pay for such things, and will make you jump through every hoop imaginable before providing the service.",5,6,topic_stance_votes_1
6,Canadian health care inequality?,unknown,support,"According to a report published last year, the average waiting time for a hip replacement in the UK would be about 10 months. This average of course conceals large county and metropolitan variations (from one National Health Service Trust to another). A lot depends on where you live.
At least you'd get the operation for free in this country.",6,7,topic_stance_votes_1
7,Canadian health care inequality?,unknown,attack,"I'm going to make an exception to my ""no post"" position. I'm not going to respond to any snide remarks, so don't waste your time.
====================================
On the subject of hip replacements, be very careful; be extremely careful. The fatality rate for hip operations is extremely high in the elderly; about 33% as I recall. I know of one man, only 48 years old, who was injured in an auto accident (actually rather minor) that broke his hip. He wound up with a staph infection that eventually took his life and he was bedridden for much of the rest of his life. He took an overdose of medication because of the extreme pain. 
I'd get about a dozen second opinions and then I'd get the best surgeon to be found anywhere and a hospital with a sterling reputation before I would even consider such surgery. Knees are different, but hips are wading into dangerous water.
My $0.02 and I'm outta here.",7,8,topic_stance_votes_2
8,Canadian health care inequality?,unknown,attack,"He's baaaaaaaaack! According to your statement, I get a free shot here. I am not at all surprised, when you made your last post declaration I gave you a week. I can't say I missed you (that's only one opinion), but the free exchange of opinions (no matter how warped they might be) makes for an interesting forum. I have no doubt there will be numerous ""exceptions"", old Mules never die, nor do they fade away.
Dono",8,9,topic_stance_votes_1
9,Canadian health care inequality?,unknown,attack,"Heart bypass, prostate cancer.......I have a couple of Canadian friends who needed those surgeries and one was told he had a 4 month wait and the other a 6 month wait so they both came down to Bellingham Wash and had the Surgery within 2 weeks............",4,10,topic_stance_votes_2
