,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,13yr Old Girl wants abortion,abortion,support,"http://www.foxnews.com/story/0,2933,155326,00.html
She is the guardian of the state.....this is going over the line now. emoticonXMad",0,1,topic_stance_votes_1
1,13yr Old Girl wants abortion,abortion,support,"A thirteen year old having a kid?!! Well, if she wasn't raped I'd say she'd deserve the labor pains! What an idiot!",1,2,topic_stance_votes_1
2,13yr Old Girl wants abortion,abortion,attack,"Apparently the Department of Children & Families thinks she'd not old enough to make a decision about an abortion, but she is old enough to have sex, give birth and take care of the kid. emoticonXRolleyes
And I just love this little line right here:
...the teen, who has been in state custody for four years...
What a great job the state did in raising her...",2,3,topic_stance_votes_2
3,13yr Old Girl wants abortion,abortion,support,"Most 13 year olds aren't physically, mentally or emotionally mature enough to handle pregnancy.",3,4,topic_stance_votes_2
4,13yr Old Girl wants abortion,abortion,attack,"There was a study in Britain back in 1999 that concluded the risk of breast cancer following an abortion was trivial, almost as insignificant as getting lung cancer from a lifetime exposure to second-hand smoke - UNLESS it was the first pregnancy that was interrupted. If the first pregnancy was interrupted, the likelihood of subsequent breast cancer was right up there with the likelihood of lung cancer after a lifetime of smoking. (The study is obviously not politically correct, so I've seen no mention of it on this side of the Atlantic.) The study didn't address causes, and only noted the correlation, but the lead doctor did speculate that it may have something to do with hormonal changes that need to run to completion.
Once again, the state of Florida takes the lead in losing and abusing its children.",4,5,topic_stance_votes_1
5,13yr Old Girl wants abortion,abortion,support,"Like I said before if she had the stupidity to get pregnant she should at least have to go through the labor pains! She can give it up for adoption. Well, she should be required to give it to adoption because she is certainly not mature enuf to take care of it!",5,6,topic_stance_votes_1
6,13yr Old Girl wants abortion,abortion,attack,"Aah yes, stupid people who make a mistake should be in pain. Good argument there, real good...
In that case I want the people who voted for Bush to be tortured.",6,7,topic_stance_votes_2
7,13yr Old Girl wants abortion,abortion,attack,"It's not about the pain. Most 13 year olds bodies can not physically endure a pregnancy without sustaining damage. The lobor is the least of it. They are barely more than little girls.
Not to mention I am far more forgiving of a young girls stupidy than somebody older. Almost everything 13 year olds do is dumb. I speak from experience. :p 
As far as 13 year old girls having sex - I think they barely know what they are getting into. I suspect most are ""talked into"" at that age.
Just curious oh furious Tigeroo - since you are all about how these girls deserve such pain for their stupidy - what shall we do with the fathers? Balls in a vice for the duration of labor? Or maybe we just should not use something as serious as pregnancy as punishment.",6,8,topic_stance_votes_2
8,13yr Old Girl wants abortion,abortion,attack,She should have thought about the damage it would do before she had sex,8,9,topic_stance_votes_1
9,13yr Old Girl wants abortion,abortion,attack,"And you could ask a kindergardener to explain quantum physics. 
Chances are - she does not know, she simply does not get it. Not at that age. No real idea about pregnancy or parenting. She is a child. Not to mention - a body ill-prepared for pregnancy will not just be harmful to mother, but also baby.
I note that you did not responde to my part about the fathers. So it's not that you think people who make stupid mistakes deserve pain - but that stupid females do - exclusively.",9,10,topic_stance_votes_2
10,13yr Old Girl wants abortion,abortion,attack,This is the same type of person (age 13) that the left want parent notification denied.....,10,11,topic_stance_votes_1
11,13yr Old Girl wants abortion,abortion,attack,"Speaking for the left now, eh VOR?",11,12,topic_stance_votes_2
12,13yr Old Girl wants abortion,abortion,attack,"all you have to do it keep up with the news and you might find out who is against parent notification...........Never mind, you will never do that.......",12,13,topic_stance_votes_1
13,13yr Old Girl wants abortion,abortion,attack,"First off, to the people who have reply'd to the origal post. It is unfare of you to blame the state for a girls mistake. A 13 year old who has sex in the first place does not have the maturity to even understand how stupid that is! I agree that she is not very smart but don't be so judgmental, you don't know what her life is like or what she has gone through. Also, in the custody of the state, do you really think she has the means to have and raise the child who would no doubtedly end up in the same cycle as the young mother? As a young parent myself, not 13 but still young, I whole heartedly agree that if the girl want's an abortion, she should be able to have one. And she is going to have one because the state is allowing her to have one. For the young girls near future, i hope that the state will put her in some therapy and help her understand that she is too young to have sex.",1,14,topic_stance_votes_2
14,13yr Old Girl wants abortion,abortion,attack,Are you talking to yourself now?,13,15,topic_stance_votes_2
15,13yr Old Girl wants abortion,abortion,attack,"You make some great points but she could carry the baby to term and then put it up for adoption...........There are long lists of people wanting to adopt babies...........I know a couple that waited 5 years and then adopted a child from South Korea..........
Why does the innocent baby have to forfeit its life?",14,16,topic_stance_votes_1
16,13yr Old Girl wants abortion,abortion,attack,"I guess that was for me.......great answer as usual........ emoticonXRolleyes 
Sad...........",15,17,topic_stance_votes_1
17,13yr Old Girl wants abortion,abortion,attack,"no, that wasn't for you, it wasn't directed to you. I actually like your point of view. I think i responded to the wrong thread. Sorry about that.",17,18,topic_stance_votes_2
18,13yr Old Girl wants abortion,abortion,support,"I think adoption is always a great idea, but if she doesn't want to have the baby, she doesn't have to. It's not up to you or even me. I feel bad for people when it takes years to adopt, but it's not the fault's of women who choose to have an abortion, i'm sorry, it's just not.",18,19,topic_stance_votes_2
19,13yr Old Girl wants abortion,abortion,attack,"Nikki, who speaks for the innocent, defenseless baby in the womb?
They have committed no crime...........They have a right to life...............40,000,000 abortions since Rowe V Wade was approved in 1972.......
So very sad..........",19,20,topic_stance_votes_1
20,13yr Old Girl wants abortion,abortion,attack,"I have read a lot of your reply's, i have no doubt that you are a smart man, but don't try to belittle me for my beliefs, i am not calling you sad am I? I think that women have the right to choose, as so many millions of american's feel. I had a baby at 15, i raised her by myself and abortion wasn't even in my head, i just think that we have a right. There are things about abortion that i do not believe in, such as partial birth or useing abortion as a form of birth control, but it's a legal right, a woman's right.",20,21,topic_stance_votes_2
21,13yr Old Girl wants abortion,abortion,attack,"Sorry I didn't read all of it! the father also should be punished but usually is because of having to pay child support. However, it should be a privilege for the mto be able to pay for their mistake. Maybe we need to start educating those in middle school at 6th grade the difference between love and having sex.",10,22,topic_stance_votes_1
22,13yr Old Girl wants abortion,abortion,attack,"For a 13 year old girl that could greatly damage her body to have a pregnancy so young. She is just starting to grow and mature, and its not healthy, natural, or right to have a pregnancy at that age. She could cause alot of damage being that young.",16,23,topic_stance_votes_2
23,13yr Old Girl wants abortion,abortion,support,"WhiteFalcon, at this point i would assume other members to say ""good, she desearves to have that damage done to her."" White, i agree with you 100 percent. it would be dangerous to her and the baby either way. :)",23,24,topic_stance_votes_2
24,13yr Old Girl wants abortion,abortion,attack,"I am not trying to belittle you, far from it.......I am not calling you sad.......I think its sad that millions of babies have to die....I commend you for carrying your baby to term but you avoided my question........How about the baby? Doesn't he or she have any rights? Why does he or she have to pay for the mistakes of their mother? The legal right you talked about is a law made by liberals who do not care about human life...... It is a horrible law that hopefully sometime in the near future will be overturned.....I think the law of God takes precedence.........
God bless you for having your baby and raising it the way all mothers should.........",21,25,topic_stance_votes_1
25,13yr Old Girl wants abortion,abortion,attack,"WF, that is true and if the young lady life is endangered then to terminate the pregnancy would be appropriate but get a neutral doctor to make that decision, not one from Planned Parenthood or and abortion clinic who have a biased interest in performing abortions...............
That is all I ask...........",23,26,topic_stance_votes_1
26,13yr Old Girl wants abortion,abortion,attack,"[QUOTE=Voice Of Reason]I am not trying to belittle you, far from it.......I am not calling you sad.......I think its sad that millions of babies have to die....I commend you for carrying your baby to term but you avoided my question........How about the baby? Doesn't he or she have any rights? Why does he or she have to pay for the mistakes of their mother? The legal right you talked about is a law made by liberals who do not care about human life...... It is a horrible law that hopefully sometime in the near future will be overturned.....I think the law of God takes precedence.........
I think i have a liberal point of view but i care about human life. In studies, women who intend to give there babies up for adoption will later decide to raise the baby themselves once they see the baby, in some cases, having dire if not horrible reprocutions. to answer your question, I don't think a fetus has rights, not until it starts to develop, i believe an abortion in the first tri-mester should be legal and i don't find it to be murder and I never will. They are not babies, they are a fetus, if it was a baby or infant they would call it an infant. The law will never be overturned, not in our lifetime, i along with millions of other women will fight to keep it legal, just as you will fight to have it overturned. and you havn't answered my question, how do you feel about stem cell research?",25,27,topic_stance_votes_2
27,13yr Old Girl wants abortion,abortion,attack,"[QUOTE=nikki22005]
When you found out you were pregnant did you say ""I am going to have a baby or I am going to have a fetus""?
Thousands of young women have had abortions and regretted the decision the rest of their life.......In fact the woman who was used in the Lawsuit that sprang Rowe V Wade has since stated it was the biggest mistake of her life and that she was used by radical feminist groups in the action........
I don't know you but when it comes to abortion your views don't sound that liberal to me.............You just want to abide by a flawed law that has killed millions of babies............",27,28,topic_stance_votes_1
28,13yr Old Girl wants abortion,abortion,support,"The 13yr old girl was ruled to be smart enough to know if she wants an abortion or not. However, if she is smart enough to get an abortion then she is smart enough to have sex, know the consequences, and know how to take care of a baby. I honeslty don't think the 13yr old girl knows the consequences of her actions at all and therefore shouldn't have sex, get an abortion, or take care of a baby. Obviously she had sex and got pregnant. Now she needs to learn the consequence of this action much the same way I learn from my mistakes. Should she keep the baby? No, because she doesn't know how to take care of one. If you let her get an abortion you are just saying that there are no consequences to your mistakes because we can always cover them up or make them easier for you. This really gets me steamed. She had sex, she needs to know what happens when you do have sex. I bet she will have many more abortions after this because there is no consequence to being irresponsible anymore.",28,29,topic_stance_votes_1
29,13yr Old Girl wants abortion,abortion,attack,"When you found out you were pregnant did you say ""I am going to have a baby or I am going to have a fetus""?
Honestly and I am sure you are looking for the truth, when I was pregnant, I didn't say anything, to anybody. I didn't even realize i was pregnant until i was 4 and a half months pregnant and once i found out i was too scared to tell anyone and didn't tell my dad till i was 8 months along. And also, if i am here being honest, i never called her my baby in the first place, not until i had her for 3 weeks, because i didn't like her, i didn't understand how to take care of a child and never had a mother myself. If my father had known or i went to planned parenthood or knew more about babies, i would never have had her. Thankful now that i have her, it wasn't always that way and there was resentment for a long time. I was lucky, i had the support of my family but millions of women don't have that help, don't have support and abortion can seem like the best option for them, even if they later regret it, which is stupid on those mothers parts. If there was doubt, the mother shouldn't have done it. Sometimes what seems right at the time, if your broke and have no one, then later in life, you have more support and what not, it's easy to regret it i'm sure.",28,30,topic_stance_votes_2
30,13yr Old Girl wants abortion,abortion,attack,"OK, have you ever heard any woman when she found out she was pregnant say ""I am going to have a fetus""?",30,31,topic_stance_votes_1
31,13yr Old Girl wants abortion,abortion,support,"Wait, only the first trimester? Why then? Is a ""fetus"" all of a sudden a person after 3 months? Nothing insane happens from 2months 29 days to 3months 1 day. It was simply a way of dividing up pregnancy that a judge made up.
And? A fetus is a person...a baby is a person...an adult is a person.
Yet you don't care if it dies? Human life begins at conception as many scientists have pointed out. Even if science disagrees you should still take it on the safe side until you do find out. Would you say that we should take a chance that the ""fetus"" is not a human and keep doing abortions until we find out for sure when human life begins? I don't think human life is something to play around with like that. But to each there own i guess emoticonXRolleyes",29,32,topic_stance_votes_1
32,13yr Old Girl wants abortion,abortion,support,"Lets say for example that when i was 15 i did have an abortion and now 7 years have gone by. I would have been able to use my scholarship to art school and would have gotton my degree, had a great job by now, looked back and said ""i would have a 7 year old now... i could have supported her damn it"" and felt regret. It's all how you look at it I guess. Not that right now i am some bum on the street or anything, because i am not and my daughter lives a very spoiled life, but some people would choose the latter and have thier life dreams and goals, to most people who feel they can't support thier child, i agree with that. People do have a right to live thier lives the way they want to, even if they have abortions and believe in capital punishment, it's an american right. If you don't like abortions, don't have one.",30,33,topic_stance_votes_2
33,13yr Old Girl wants abortion,abortion,attack,"OK, have you ever heard any woman when she found out she was pregnant say ""I am going to have a fetus""? 
no, because if a woman was going to carry to term, once it was born, it would be a baby.",31,34,topic_stance_votes_2
34,13yr Old Girl wants abortion,abortion,attack,"So your saying here that ""making"" her have the baby would be the only ""punishment"". I agree with you that she isnt responsable enough and doesnt know the ""consequences"" of what she did, so she obviously wont beable to care for a baby. Your saying here that she shouldnt have an abortion because thats the only ""punishment"". So if she shouldnt have an abortion, all she can do is have the baby, yet you state that her having the baby is a bad idea. Seems like you contradicted yourself a little.
There can be other types of consequences instead of ruining her life...",29,35,topic_stance_votes_2
35,13yr Old Girl wants abortion,abortion,support,"Quote:
Originally Posted by Nikki
I think i have a liberal point of view but i care about human life. 
Yet you don't care if it dies? Human life begins at conception as many scientists have pointed out. Even if science disagrees you should still take it on the safe side until you do find out. Would you say that we should take a chance that the ""fetus"" is not a human and keep doing abortions until we find out for sure when human life begins? I don't think human life is something to play around with like that. But to each there own i guess 
Okay then, i don't care about human life. So when i have a miscarrige, do i then bring the dead human life to a preist, have it baptized then bury it in a cemetary?",34,36,topic_stance_votes_2
