,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Abortion is the reason Europe is turning Arab,abortion,support,"http://www.telegraph.co.uk/news/main...7/nfert107.xml
Arab's birth rate - 7-10 kids
Birth rate in UK - below 2....
And we wonder why it seems muslims are taking over the world... DUH !!! THEY care about life more than the ""free"" world....
I believe that one of the reasons we are dealing with terrorism in the world is because we are committing mass murder on babies in the womb...
Need i say more...",0,1,topic_stance_votes_1
1,Abortion is the reason Europe is turning Arab,abortion,support,"Your reasoning of the effects of abortion are correct. 
The liberals who see abortion as a normal, acceptable, right to choose abortion are aborting themselves into extinction. 
Reverence, and a love of life is not what motivates Muslims. The power of Islam is. There is nothing to indicate that Muslims ""love"" life. They'll cut your limbs or head off for nearly any reason. They'll remove your head with a hacksaw so to take the time for ""you"" the victim to enjoy the moment and to voice your opinion and video it for your family and countrymen to enjoy.",1,2,topic_stance_votes_1
2,Abortion is the reason Europe is turning Arab,abortion,attack,"Cause you know - nobody in the UK is aware of how to use birth control or makes concious choices not to have kids. Your article doesn't even talk about abortion. Hell - I am pro-choice and can come up with better arguments against abortion than this.
emoticonXRolleyes",1,3,topic_stance_votes_2
3,Abortion is the reason Europe is turning Arab,abortion,support,If you dont believe that muslims love life they will cut your head right off! Its an easy choice if you ask me.,2,4,topic_stance_votes_1
4,Abortion is the reason Europe is turning Arab,abortion,attack,Worst thread ever.,4,5,topic_stance_votes_2
5,Abortion is the reason Europe is turning Arab,abortion,attack,"In point of fact, the low birth rate in most of Europe is not due to the availablity of abortion, but to good sex education and the ready availablity of effective contraception to everyone who needs it. See this study, for instance: 
http://www.advocatesforyouth.org/PUB...heet/fsest.htm
People have small families because they want small families. In point of fact, the abortion rate in Europe is generally much lower than the rate in the US, due, again, to education and contraception. 
Would you force folks to have children they don't want?",1,6,topic_stance_votes_2
6,Abortion is the reason Europe is turning Arab,abortion,support,The women of Islam need to become feminists. That's all that's needed.,6,7,topic_stance_votes_2
7,Abortion is the reason Europe is turning Arab,abortion,attack,"Wow, I don't think I've ever seen an argumentum ad Muslim TM in the abortion debate before.",7,8,topic_stance_votes_1
8,Abortion is the reason Europe is turning Arab,abortion,attack,I fear that would lead to extermination of the women.,7,9,topic_stance_votes_1
9,Abortion is the reason Europe is turning Arab,abortion,attack,Do you want them all dead?,7,10,topic_stance_votes_1
10,Abortion is the reason Europe is turning Arab,abortion,support,"I'm sure you haven't. But it is a worthy thread because of the reality that Islam ""is"" closing in on what we consider ""the free world"". If you love your freedom and the choices you now have, you should pay attention to Islam. 
They are consumed with a hatred for the west and are dedicated to their cause. 
Symbiote declares this the worst thread ever. It is unpleasant, but, Islam will not be denied. The numbers Cruiser provided mean a lot. Especially to progressives.",8,11,topic_stance_votes_1
11,Abortion is the reason Europe is turning Arab,abortion,attack,"Yes, if you love freedom, you'll support draconian legislation impeding on the rights of women, ethnic minorities, and well, anyone really the ruling regime doesn't like.
Only through Mindless Obedience to our Great Leader can we be truly free!",11,12,topic_stance_votes_2
12,Abortion is the reason Europe is turning Arab,abortion,attack,Do you want anyone to take you seriously?,2,13,topic_stance_votes_2
