,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Abortion/gun control,abortion,support,"I'm just curious about so-called republican and democrat views on separate issues, and if they coincide with the stereotypical conservative and libral choices.
Vote on whether you're pro-life and for or against gun control, pretty much any form.
Same with pro-choice.",0,1,topic_stance_votes_2
1,Abortion/gun control,abortion,attack,"Well I'm English so I hope you don't mind me replying.
Anyway I am pro-life and for gun control (In that you need a licence to own one).",1,2,topic_stance_votes_1
2,Abortion/gun control,abortion,attack,I don't mind anyone replying. More philosophical question than political.,2,3,topic_stance_votes_2
3,Abortion/gun control,abortion,support,"I am pro-choice and relatively nuetral on the guns. As long as we don't hand out permits to criminals and complete XXXXXX who won't bother to be safe with their weapons, I don't really care. I don't want a gun in my house - but that's my perogative. I have never quite understood what I have seen as a predominantly male fascination with hand guns anyway. But whatever....",3,4,topic_stance_votes_2
4,Abortion/gun control,abortion,support,i am always for keeping the goverment out of my life as much as i can.,4,5,topic_stance_votes_2
5,Abortion/gun control,abortion,support,Gotta get some pro-life people in here :P,5,6,topic_stance_votes_2
6,Abortion/gun control,abortion,attack,"""You raaaaannnng....uuuuuuhhhhhh"" :)
I'm very pro-life and very pro-gun....but I bet you guessed that. 
emoticonXKill",6,7,topic_stance_votes_1
7,Abortion/gun control,abortion,support,Right there with ya! Spread the word!!,7,8,topic_stance_votes_1
8,Abortion/gun control,abortion,attack,"Why are you folks pro-gun and against gun control? Philosophically I mean, not ""it's in the constitution"".",8,9,topic_stance_votes_2
9,Abortion/gun control,abortion,attack,"I'm VERY Pro-Life. And I'm for people being able to own guns, but I don't want machine guns out on the street, and I think you need a permit. But you should have the right to own a gun.",9,10,topic_stance_votes_1
10,Abortion/gun control,abortion,attack,Why should we have the right to own a gun? Why shouldn't the gov't be able to decide whether or not you can?,10,11,topic_stance_votes_2
11,Abortion/gun control,abortion,attack,"To me, owning a gun is no less a right than owning a refrigerator. To equate gun ownership to abortion is absurd",9,12,topic_stance_votes_1
12,Abortion/gun control,abortion,attack,"Eh? I'm not equating them, I'm seeing if there is any correlation between them. That would be absurd :P",12,13,topic_stance_votes_2
13,Abortion/gun control,abortion,attack,"I was responding to this 
and it seemed to me that you kinda were. Your point appeared to be that if the government can ""control a woman's body"" then why can't they tell us what to do with guns",11,14,topic_stance_votes_1
14,Abortion/gun control,abortion,attack,"In a way I was, as far as the poll goes. Abortion and gun control use very similar arguments about personal responsibility and gov't intrusion into private lives, but the different sides, conservative and liberal, switch who use them. I wanted to see if what I observed would show up here.
With what you say, you can flip it. Why can the gov't legislate morals in one area but can't in another. It's just the subject that changes.
Both parties pick and choose their battles, it seems to me, and they sometimes contradict themselves. This is partly why I never subscribe to one or the other :P",14,15,topic_stance_votes_2
15,Abortion/gun control,abortion,attack,"""it's in the constitution"" is a good argument IMO, but that is not what you wanted. Ok i feel that gun control is just a nother way for a few people to tell outhers what to do. like probition, or outlawing pot, and hundrids of outher issues. Guns are not dangrous, they need some one to make them dengrous, just like knives, hammers and outher objects.
why are you for gun control.",14,16,topic_stance_votes_2
16,Abortion/gun control,abortion,support,"""it's in the constitution"" is a good argument for making it legal, but says nothing about personal opinions on the matter. It's akin to saying ""I think it should be legal because it's legal"".
Thank you for your opinion :) The poll grows muahahaha",16,17,topic_stance_votes_2
