,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,And now for a story that you will NOT hear at most media outlets,abortion,support,"It turns out that Planned Parenthood has found itself in quite a debacle after an 18 year old college student video taped one of its counselors trying to encourage a deception in order to circumvent California law.
The 18 year old student posed as a 15 year old girl who got pregnant from her 23 year old boyfriend, an instance that is defined as statutory rape. California law requires that Planned Parenthood report such cases. However, this employee suggested that the student simply ""figure out a birth-date that works"" in order to make it appear as though she was 16 in which case there would be no statutory rape to be reported.
The story and video can be found here: http://www.cnsnews.com/ViewCulture.a...20070515b.html.
Given these facts, there is no doubt that the employee was trying to figure out a way to perpetrate a deception in order to circumvent the law. It is also true that the video taping of parties without their consent is likewise a violation of California law.
With that established, I would be interested in your comments.",0,1,topic_stance_votes_1
1,And now for a story that you will NOT hear at most media outlets,abortion,attack,"I cannot comment on the particular legal case - deception to circumvent the law vs. illegality of taping of parties without consent and the admissability of that evidence. Technically, the counselor was acting illegally and should be prosecuted for it.
However, morally, I have mixed feelings about forcing counselors (and others who are placed in a position of trust by those using their services) to inform on their clients without the client's consent. It undermines the trust that one can put in such a counselor. I would rather have young women who are underage be able to trust a counselor and, perhaps, have the counselor be required, by law, to pass on certain information about the legality or give certain advice. I just think that these girls need to know that they can trust such counselors if they go to them. That includes having it be the client's (girl's) choice whether the counselor informs the authorities about the relationship.
That being said, there may be extreme cases (as with a 40 year old using his authority to pressure a 14 year old into sex, where the 14 year old is too scared to say anything) where a counselor informing the authorities without the client's consent would be a good idea. I think there needs to be some way of defining laws or policies which could catch the outrageous cases while still allowing such young clients to be able to trust their counselors.",1,2,topic_stance_votes_2
2,And now for a story that you will NOT hear at most media outlets,abortion,attack,Old news. There have been accusations of similar stories for years.,1,3,topic_stance_votes_2
3,And now for a story that you will NOT hear at most media outlets,abortion,support,"I would say that both parties have a case here. The clinic and worker were taped without consent which does violate CA law. Also, the video has been splashed all over the net on sites like YouTube and the like, plus broadcast on some major news networks. (The O'Reilly Factor showed the video last night.) Can't really dispute the fact that the law was broken when you have seen the video. 
In the same respect, the actions of the planned parenthood clinic are deplorable. Instructing a girl claiming to be 15 years old to lie in order to circumvent parental notification and state notification laws is rediculous. Again, after seeing the video, there is really no denying what was said. 
The only question I wonder about is if the video would be admissible in a court of law due to the fact that it was illegally made.",3,4,topic_stance_votes_2
4,And now for a story that you will NOT hear at most media outlets,abortion,attack,"For the sake of clarity, I am not suggesting this was a sting operation by the authorities. I am merely ""thinking out loud"" as to how a law requiring notification can be enforced if evidence cannot be gathered without the consent of planned parenthood.
I, for one, do not know how one could expect to enforce laws requiring notification by Planned Parenthood if someone does not go to Planned Parenthood and secretly tries to see how they handle certain cases which require reporting.
What are the police or policy makers to do? Ask Planned Parenthood if they would consent to ""counsel"" this 18 year-old who will pose as a 15 year-old statutory rape victim in order to see how they will handle the scenario; to see if they will obey the law? Should they also get Planned Parenthood's consent to be taped? Do you think with such foreknowledge that these counselors will say what they normally would?
If you ask me, it is a pretty foolish thing to require consent to perform a sting operation from the party under suspicion. But then again, California is a pretty foolhardy state--a state that decided that it was a bad idea for health care providers to have to notify the parents of minors seeking abortions.",4,5,topic_stance_votes_1
5,And now for a story that you will NOT hear at most media outlets,abortion,attack,"[Edit]
I think this  is the relevent law:
Better than the alternative :-\",5,6,topic_stance_votes_2
6,And now for a story that you will NOT hear at most media outlets,abortion,attack,"which does nothing to negate the value of this thread. It just proves that Planned Parenthood has used deception in the past and will continue to be deceptive in the future. But my question is this. If PP is simply concerned with offering a medical procedure in order to insure the health and welfare of women, and not the wholesale murder of as many children as possible, why would they see the need to deceive anyone in order to promote their abortions ?",3,7,topic_stance_votes_1
7,And now for a story that you will NOT hear at most media outlets,abortion,attack,"So that no girl, underage or otherwise, refuses to seek treatment for fear of what their parents will think or say. If a girl cannot be tested for a STD without parental notification and she does not wish her parents to know she had sex (or fears their wrath), she may not go in for testing.
In general, knowing whether you have a STD is a good thing.",7,8,topic_stance_votes_2
8,And now for a story that you will NOT hear at most media outlets,abortion,attack,"But why does this generation get to bypass the same authority that every other generation before them submitted to with their parental oversight ? How is it right now for 13,14 and 15 year old kids to make such adult decisions without their parents knowing ? Are you suggesting that 13 year old girls are mature enough emotionally to make such adult decisions about getting an abortion ?
And if so, do you then also believe that a 13-15 year olds should be allowed to adopt a child ? Or to enter into a contract to purchase a home or car ? Because those are also adult decisions and it doesn't seem reasonable to me that we should allow them to slide on emotionally damaging decisions about sex or abortions and then insist they're not mature enough to participate in other adult decisions. Kids need consistency in order to grow up to be responsible adults and by your way of thinking, you will just add more confusion and insecurity in an already difficult time in an adolescents life.",8,9,topic_stance_votes_1
9,And now for a story that you will NOT hear at most media outlets,abortion,attack,"Are you seriously suggesting that 13 year old girls are mature enough emotionally to make the adult decision to remain pregnant?! :O
Unfortunately, it is out of our hands. She has to make a decision since she is now pregnant (ignoring the problem is still a decision). That she is emotionally young does not mean she is immune to the physical changes her body will go through, nor does it mean that decisions about those physical changes must be off limits to her. 
It really is not my decision that they get pregnant :P Once they are, consistency does not excuse disallowing the very fundamental ability to make their own decisions about, arguably, the most intimate part of their lives, up to and including termination of the pregnancy.
My previous point also still holds true and the same logic applies. In general, knowing whether you have a STD is an essential part of health and in order to ensure underage girls get tested a certain amount of protection from parental oversight is needed. Your goal is to prevent women and girls from having access to abortions, while others wish to prevent the desire but understand that it is unacceptable to take away the freedom to acquire them.",9,10,topic_stance_votes_2
