,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Debate a signal of prochoice confusion and breakdown?,abortion,support,"Al Mohler has an interesting commentary on an ongoing debate between two pro-choice journalists. Check it out here.
An Op-Ed writer for the NY Times, William Saletan is arguing that the pro-choice movement is loosing in the national debate and should admit that abortion is a ""bad thing.""
Katha Pollit, a columnist for The Nation is putting forth an argument that says as prochoicers seek to reframe their arguments, injecting more moralism into the antiabortion debate will not keep abortion legal and accessible.
Here is Mohler's conclusion on this interesting dialogue between Saletan and Pollit:
""Why should pro-lifers pay attention to this debate among advocates of abortion rights? The answer to that question is simple--the exchange between William Saletan and Katha Pollitt demonstrates the inherent weakness of the pro-abortion argument, or its pro-choice variant. Lacking any objective definition of human life and the status of the unborn, the pro-abortion movement is mired in a pattern of endless internal debates and confusions. Saletan's argument is less radical than Pollitt's, but his position is morally arbitrary, based more in pragmatic concern than in moral philosophy.
In any event, the exchange between William Saletan and Katha Pollitt indicates that the pro-abortion movement knows that it has work to do in reaching the hearts and minds of Americans. The pro-life movement had better remind itself of the same challenge. Both sides are locked in a race to reach the hearts and minds of those still stuck in the middle.""",0,1,topic_stance_votes_1
1,Debate a signal of prochoice confusion and breakdown?,abortion,attack,"I agree that pro-life is *getting one up* on pro-choice ,for the past 20 years the pro-choice movement has't been pushing as hard as the pro-life.The thought that reproductive rights could one day be taken away was outlandish.The pro-choice movement is paying for it's retreat now.The pro-life is winning hearts of americans because of it's over emotionalism and lies.I disagree with William Saletan,no one should be forced to say ""abortion is bad"" The pro-choice movement is regrouping.I guess we will just wait and see what happens.TY for the commentary:)",1,2,topic_stance_votes_2
2,Debate a signal of prochoice confusion and breakdown?,abortion,support,"ABORTION IS NOT BAD.
That's all that needs to be said.",2,3,topic_stance_votes_2
3,Debate a signal of prochoice confusion and breakdown?,abortion,support,"I agree that most people who have pro-choice views have been complacent about their rights since, after Roe vs. Wade, they did not feel that those rights were under threat any longer. Far too often, on any subject (global warming also comes to mind), people will not respond to a problem until they start to suffer from that problem and they don't bother to pay enough attention to prevent the problem in the first place. In this case, the problem would be that of the loss of abortion rights.
I have actually been surprised by the number of people who don't realize what the debate is all about. A surprising number of people I have spoken with actually think that the debate is about whether or not a woman ""should"" have an abortion, not about whether or not she ""can"" have an abortion. Just look at the absurd use of the word ""pro-abortion"" in that post. I, personally, have never had a discussion with anyone who was arguing that women ""should"" have abortions. Even with people who are arguing that abortion is an important option for women who are in deep poverty and who are pregnant, I don't remember hearing any arguements that they ""should"" have an abortion. The use of the term ""pro-abortion"" is simply absurd. Unfortunately, as with so much of the pro-choice/pro-life debate, the pro-life people distort the picture in order to try to win their arguement.",2,4,topic_stance_votes_2
4,Debate a signal of prochoice confusion and breakdown?,abortion,support,"Good point, another, thanks!",4,5,topic_stance_votes_2
5,Debate a signal of prochoice confusion and breakdown?,abortion,attack,"And pro-""choice"" doesn't distort? That alone shows an unreasonable look on the issue.
I agree that many are uneducated about the subject (which helps the pro-choicers I might add) and I think many that get an abortion are not educated about whether or not it is morally ok to do. Many have just grown up with it and assumed it to be ok (which neither side of the issue should support...there is nothing wrong with education on an issue).",4,6,topic_stance_votes_1
6,Debate a signal of prochoice confusion and breakdown?,abortion,attack,"Why should choicers listen to lifers? Dumb statement.
Where he misses the boat is that for many choicers an ""objective definition of human life"" is not required to determine whether a woman can make her own medical decisions.",1,7,topic_stance_votes_2
7,Debate a signal of prochoice confusion and breakdown?,abortion,attack,"In debates between those of us not in power (such as ourselves), there are ranges of views on both sides - both intelligent and well thought out, vs. knee-jerk emotional reactions. So, both camps in these types of forums can be occasionally guilty of distortion. However, where the leaders of the movements are concerned (those that run NARAL or Democratic congresspeople), I haven't heard too many extreme distorted comments. If you have heard such distortions at those high levels, could you name some?
I would be fine with information pamphlets on abortion (or other sources of information on abortion which are read by women considering that procedure) having a section with arguements on both sides - about the views on health concerns, morality, etc. Then, the woman can continue to choose for herself and would have heard summaries of both arguements. 
As for your comment about many getting abortions since they have grown up with it and assume it to be ok, the same can be said of those who are automatically against abortion because their parents and their communities are. As can be seen in the arguements in this forum, the issue is far too complicated to easily convince people one way or the other. I would love to see a calm and rational televised public debate on the subject but suspect that the issue is too emotionally charged and any such debate would end up degenerating into angry mutual accusations.",6,8,topic_stance_votes_2
8,Debate a signal of prochoice confusion and breakdown?,abortion,attack,"(Kind of like religion.)
I would like to hear how you propose ""educating"" women on whether or not abortion is a moral decision for them. 
I personally am all for education. I want women to have access to talk to other women who have had abortions, who have been single mothers, who have had the children they wanted to abort, who have had adoptions, etc. I think it's in insult to require this of them, I certainly am educated enough to make up my own mind about my own body, but others may desire additional input.",6,9,topic_stance_votes_2
9,Debate a signal of prochoice confusion and breakdown?,abortion,attack,"Educating them on the two sides of the debate....not a hard concept.
I'm not talking about whether or not to obtain an abortion...just mainly explain the debate to those considering one. 
I have named a few as I have seen them. NARAL is famous for it and PP does it as well...but it happens on the pro-life side....I am not a fool to think distorting is one sided.
I would like to see this too...in fact, at the university I graduated from we tried to get a public debate but the other side refused which was kinda lame but it happens. I also think that growing up with it being legal has more of an impact than having your parents be against it but the law for it. And I feel many just don't talk about it and thus you go with what the law says normally. Most of my friends don't know anything about the subject and just assume it to be ok but haven't thought about it. I used to think it was ok before I thought about it.",9,10,topic_stance_votes_1
