,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Free Abortions,abortion,support,"Babies conceived during the disaster will be killed for free!  
Arkansas Clinic Offers Free Abortions 
Wed Sep 28, 6:35 AM ET
A doctor has offered to perform free abortions on hurricane evacuees, saying it may be too dangerous for them to wait until they return home.
Despite protests from abortion opponents, Little Rock Family Planning clinic director Dr. Jerry Edwards said he has already performed six free abortions. The clinic usually charges between $525 and $600 for a first-trimester abortion.
""If we didn't provide it now, they would get it later — a late-term abortion that would give greater risk to the mother's health,"" Edwards told KTHV-TV in Little Rock.
Edwards, who runs the only abortion clinic in central Arkansas, was unavailable for further comment Tuesday, a clinic employee told The Associated Press.
Rose Mimms, executive director of Arkansas Right to Life, said Edwards is risking further traumatizing women who have already lost their material belongings. ""This just adds to the devastation these women already have in their lives,"" she said.
But Marvin Schwartz, spokesman for Arkansas-Oklahoma Planned Parenthood, said Edwards is providing women with a needed service.
""The timing of the abortion procedure is, of course, extremely critical. The earlier in the pregnancy, the less critical it is,"" he said.",0,1,topic_stance_votes_2
1,Free Abortions,abortion,attack,Talk about exploitation! And the left accuses Haliburton of what?,1,2,topic_stance_votes_1
2,Free Abortions,abortion,attack,"Exploitation? They're being offered for free.
Exploitation would be doubling the price...
-Wez",2,3,topic_stance_votes_2
3,Free Abortions,abortion,attack,Just what I expected from the pro-death people.,3,4,topic_stance_votes_1
4,Free Abortions,abortion,attack,"Can you explain how it's exploitation?
Or are you refusing to argue?
-Wez",4,5,topic_stance_votes_2
5,Free Abortions,abortion,attack,You really should warm that thing up before you put it in gear.,2,6,topic_stance_votes_2
6,Free Abortions,abortion,attack,"Exploitation in that many women, who are concerned about their circumstances, aren't thinking clearly. Now, here comes this doctor saying,""we'll kill your baby for free!"" That's exploitation.",6,7,topic_stance_votes_1
7,Free Abortions,abortion,attack,The doctor would have to gain something for it to be exploitation. What does he gain? You see when you offer someone something for free that they might really want but can't afford it's called charity. When you suggest that these women need someone else doing their thinking for them it's called misogyny. Clear?,7,8,topic_stance_votes_2
8,Free Abortions,abortion,attack,"Charity to kill unborn babies? Yeah, sure emoticonXGood If that's charity, then I'm Leonoid Brezhnev.",8,9,topic_stance_votes_1
9,Free Abortions,abortion,attack,"Yes, offering medical procedures without cost would be charity. Pleased to meet you Leonoid.",9,10,topic_stance_votes_2
10,Free Abortions,abortion,attack,Hyperbole.,7,11,topic_stance_votes_2
