,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Removing the fetus without death,abortion,support,"Just throwing this out there. 
Assume that there is a way to abort/remove/extract the fetus from a woman without killing it
As a pro lifer would that be acceptable?
As a pro choicer would you feel that still respects the woman’s body?
I'm aware that this technology does not exist and there would still be the problem of storage and ownership, but I don't think it is crazy to believe one day down the road we'd be able to do this.",0,1,topic_stance_votes_2
1,Removing the fetus without death,abortion,support,"I can't see why anyone would have a problem with it if it were as simple as that, but as you say in real life there is going to be a lot more issues - the main one being of cost, and then following on whether or not a premature baby would have priority over an unwanted one (especially if its running alongside abortion). 
The big question is one more of could we do it on the nessary scale when there really isn't the demand or funding availble. Other than the one or two arteficial wombs that a hosipital would have for premature babies, what other peice of equipment or other cost would a pro-lifer be willing to sacrafice to pay for another womb machine.",1,2,topic_stance_votes_2
2,Removing the fetus without death,abortion,support,"It should be clear to all that read these posts in this topic that pro-life people are not intrested in the fetus its self or the life it may become if rescued from abortion.
When have you ever heard a pro lifer on these threads mention what plan they have for the fetus after it has been saved from its near fatal proceedure.
It is clear to me after reading many of the pro-life arguments that their position is in no way one that is arrived at thru concern for the life they want to save. It is simply arrived at thru dogma and self centered self importance. They have a distinct need to prove to others that they are more moral, or more godly than the person they are disagreeing with.
I myself think abortion is a bad choice,.. However it is a choice.",2,3,topic_stance_votes_2
3,Removing the fetus without death,abortion,attack,"I was approached with this arguement myself once. The one about what the pro-lifers are doing to provide for the unwanted babies.
I would answer this way. It is much healthier to have a C-Section or a natural birth than an abortion. The methods used for such things are always harmful, emotionally and physically to the mother. I would say that if they don't want the baby, than let it live and then put him up for adoption. Many girls and women who have abortions know about the pain and suffering they go through in such operations, and they're much more willing (after the abortion) to provide for a baby till it's born; unless they're an irresponsible person who lives for sex and uses abortion as a way out.
They know it's wrong, and the feeling of guilt which almost never leaves them is an emotional ball and chain they need to carry around for years and sometimes the rest of their life.
There are orphanges and other institutions that will take care of a child. And believe me, there are plenty of people out there waiting to adopt a baby more than anything.
I'm a pro-lifer, and I don't fight this battle to prove my higher morality above you homo-sapiens consuming the earths resources. emoticonXAngel Kidding there. I feel that for the million or more babies killed every year that such a law allowing their death should be struck down, and there will not be an economic upheavel if there are extra babies to take care of.",3,4,topic_stance_votes_1
4,Removing the fetus without death,abortion,attack,"Easy for you to say. What about the nine months out of your life? 
Having given a child up for adoption, I would say that the pain of that is about the worst there is. None of these are easy choices no matter what you think. It is no more ""convenient"" to have an abortion as to have a child. It is no more painful to have an abortion than to give up a child.",4,5,topic_stance_votes_2
5,Removing the fetus without death,abortion,attack,"You obviously don't read many posts.
Why is this relevant?",3,6,topic_stance_votes_1
6,Removing the fetus without death,abortion,attack,"Some would say the same about pregnancy as well, and there is no way you are telling me that cutting someone open is less harmful to a mother than having an abortion. If this were the case then this is how it would be done. Abortion may be harmful in some cases but it is just plain wrong to say it is more harmful, especially if you take into account possible physical and 'emotional' damage during pregnancy as well. If you are going to claim something like this, you need to back it up with stats - at the very least the rates of postnatal depression vs similar post abortion depression and the risk of death and injury from an abortion compared to the same from 9 months pregnancy and birth (which whilts unequal will still favour abortion slightly).
No one lives for sex and uses abortion as a way out, or perhaps someone does, but then they are monumentally stupid. I'd say that it is better to prevent suffering than risk it unnessarily. An early fetus is incapable of feeling anything, there is nothing you can do to it that will make it suffer in any way, why turn dumb matter into an unwanted child if it harms no one? Later stages of pregnancy I have no problem with protecting, its suddenly changed from a growing set of cells into something that is aware of what is done to it at which point I would recognise that it deserves protection and the best chance of a pleasant continued existance as possible.
Someone who doesn't agree with abortion might feel this, but you need to back it up otherwise. We have no problem with ending billions of lives over the course of our lives, if we don't think that they matter (cooking and even having food, having an immune system, disinfectants etc). If you don't recognise the organism as something worth worrying about, why would you? I say that its more likely that its more an embarrasment for most people than a feeling that they have killed someone (though to be fair, I can't back that up).
If its white and a baby. There are far more unwanted children, even if we exclude aborted feti, than there are potential adopters. 
Nor will there be economic upheaval if there isn't (though there will probably be some regardless soon). Honestly though, do you think you would care more if it were blacks or jews being killed rather than feti and embryos? I'd certainly hope so...if you condemn abortion clinic bombers you are setting a certain double standard. 
I just don't think that a potential person can ever outweigh the wants and needs of an existing one, and 99% of the time pro-lifers agree. Soon as you realise that its not actually 'babies' being aborted then its a lot harder I think to hold a universally pro-choice opinion",4,7,topic_stance_votes_2
7,Removing the fetus without death,abortion,support,"An accurate understatement:
http://www.unicef.org/publications/files/SOWC_2005_(English).pdf#search='how%20many%20child ren%20in%20the%20world%20go%20un%20adopted%3F'",7,8,topic_stance_votes_2
8,Removing the fetus without death,abortion,attack,"http://www.priestsforlife.org/postab...imonywomen.htm
You can find the testimonies of many women and girls who have had abortions there.
You have presumed a couple things in your post, and I wish that you would slow down on the assumptions that come into your mind. My views on abortions do not differ between the race of the mother or child. And I certainly do not feel guilty about killing animals for meat. And you will not try and equivocate the killing of animals with the killing of humans in this debate. That's a ridiculous arguement and not one to bring up in such an issue as this.
--Someone who doesn't agree with abortion might feel this, but you need to back it up otherwise. We have no problem with ending billions of lives over the course of our lives, if we don't think that they matter (cooking and even having food, having an immune system, disinfectants etc). If you don't recognise the organism as something worth worrying about, why would you? I say that its more likely that its more an embarrasment for most people than a feeling that they have killed someone (though to be fair, I can't back that up).--
Check that site. And if you're talking about something other than animals, let me know. But please, if you are, do not try and bring that up. The killing of animals for meat is hardly something to talk about in an abortion issue.
My Mom was a qualified nurse, and she's told me that it does indeed harm the woman much more to have an abortion. Sucking the fetus out and pills and things that create toxic environments for the baby in order to kill it not only hurts the mother physically and psychologically, but any of those methods may harm her fertility as well as give her extreme pain many weeks afterwards. My Mom had eleven children, and she never felt extreme pain so long after giving birth. You want you're proof, there it is.
--No one lives for sex and uses abortion as a way out, or perhaps someone does, but then they are monumentally stupid. I'd say that it is better to prevent suffering than risk it unnessarily. An early fetus is incapable of feeling anything, there is nothing you can do to it that will make it suffer in any way, why turn dumb matter into an unwanted child if it harms no one?--
As I've already told you, it does harm people, and believe me, there are many monumentally stupid people out there already.
Perhaps if you were unconscious (or in a coma) and I shot and killed you simply because I was your Dad and didn't want to support you, do you honestly think that an arguement like ""She couldn't feel anything, what's the harm?"" would stand? No way!
--Why turn dumb matter into an unwanted child if it harms no one?--
Because the irresponsible girl or women who didn't consider this before they had sex is obligated to take care of it. The father issue is another thing, but the mom is solely responsible for that kid. And a kid is not dumb matter. You yourself could not arise from dumb matter (define dumb matter) you arose from a living person, you were a living person when you were in your mom, and you're a living person as you read this text.
And are you saying that putting kids in orphanages is worse than killing them simply because they MIGHT be unwanted?",7,9,topic_stance_votes_1
9,Removing the fetus without death,abortion,support,"Michele, thank you. I am sorry you had to go through that pain.
Interestingly, none of the men commenting here have the guts to respond to you. They have no idea what it costs a woman. What is worse, they don't care.",5,10,topic_stance_votes_2
