,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Setting it straight,abortion,support,"Some people say that they believe that having a child is too expensive, or that they just don't want the child. This is not a sufficient argument. If you don't want to have the child, protect yourself, or practice abstinance. If a married couple doesn't want a child, surgeries can take place to remove the possibility. If you are willing to have a surgery to avoid having a child, have the surgery before you become pregnant, not after. Why must you wait until after you become pregnant? One person can have multiple abortions, but it only takes one operation to remove the possibility of becoming pregnant. When a woman first becomes pregnant, she has a living organism inside of her. It was her fault that it came into existence, but she should not be able to kill it just because she doesn't want to suffer the consequences of her own actions. Under certain cercumstances, such as rape, or possible injury to the woman, I believe that they should be allowed to have an abortion. I do not believe it is right, but the life of the woman is more important than the unborn and the woman should not have to suffer from rape more than she has to. Under the condition of rape, I believe that, though it would still be murder, the woman is not responsible for the creation of the living being, and should not have to suffer for it.",0,1,topic_stance_votes_1
1,Setting it straight,abortion,attack,"Soooo, um, pregnancies are solely a factor of a woman's behavior, eh?
No males involved?
Um, have you ever been exposed to any level of sex ed?",1,2,topic_stance_votes_2
2,Setting it straight,abortion,attack,"Do you yet pay any bills? How successful do you think a pregnancy will be if the woman starves? Has nowhere to live? Can't afford medical care? What if she is responsible for already born children?
It's very cute that you think money does not matter. It also indicates to me that you have yet to support yourself. You can go ahead and be against abortion, but to claim money does not matter is beyond absurd.
No child should be used as a punitive measure against a woman for her sexuality. You claim to care for babies with a statement like this?",1,3,topic_stance_votes_2
3,Setting it straight,abortion,attack,Of course it's solely a product of women's behavior simone. It's the women that has to make the phone call to the stork. The stork doesn't answer calls from men.,2,4,topic_stance_votes_1
4,Setting it straight,abortion,attack,"Yes jitobear, pro-lifers value babies only in the sense that they punish evil women for their promiscous ways! You have 'em pegged!
I don't believe this is what she meant, and I hate it when people characterize those who are pro-life like this.",3,5,topic_stance_votes_1
5,Setting it straight,abortion,attack,"I don't believe this of all pro-lifers. What did she mean by ""she should not be able to kill it just because she doesn't want to suffer the consequences of her own actions"" then? Especially imbedded in a post that does not call for men to be accountable at all? If she does not mean to sound punitive against women, she should choose her words more carefully. I am not going to tip toe about here just because she may have meant something other than what she said.",5,6,topic_stance_votes_2
6,Setting it straight,abortion,attack,"Fair enough.
And you are right, she should choose her words more carefully, especially since I don't believe that is what she meant to say, but she'll have to resond to that.",6,7,topic_stance_votes_1
7,Setting it straight,abortion,attack,"ROFL! Thank you, thank you, Master Shake! Priceless retort!",4,8,topic_stance_votes_2
8,Setting it straight,abortion,attack,"i never said it was SOLELY her responisbility. I merely said that if she wasn't raped, she is responsible. But I knew that someone would think I meant that men aren't responsible for it.",8,9,topic_stance_votes_1
9,Setting it straight,abortion,support,"I never even mentioned money. If the woman was not able to pay for the pregnancy or the child, she should have been more careful. She should have protected herself or just not have had sex.",9,10,topic_stance_votes_1
10,Setting it straight,abortion,support,"I never said that I believed babies were a punishment. Do you not agree that if a woman doesnt want a baby, it is a negative consequence for her to suffer?",10,11,topic_stance_votes_1
11,Setting it straight,abortion,support,"I did mean to say what I said, and it makes perfect sense to me. The fact that I think that a baby is a negative consequence for a woman who doesnt want it doesnt mean taht i believe that babies are only good as punishment. I simply think that a woman who concieved a baby should not kill it. If she didn't want a baby, she should have protected herself against the possibility. A baby would not be necessarily the bad consequence of her having sex, but the negative consequence of the combined facts that she had unprotected sex and took no birth control or any other measures to keep from becoming pregnant.",11,12,topic_stance_votes_1
12,Setting it straight,abortion,support,"So, though I did mean to say what I said, it was taken the wrong way. I apologize for being unclear.",12,13,topic_stance_votes_1
13,Setting it straight,abortion,attack,"Julie - your posts indicate that you feel pregnancy is just punishment for women. Even if you don't think that that is all babies are good for, the fact that you would use the life of a child punitively is quite disgusting. I see nothing in your stance to indicate you care about babies at all. You disregard what they need and would leave them in a potentially horrible situation becuase you think its what the woman deserves. And I have yet to hear from you what you feel is justifiable punishment for the men.
You, sweetie pea, are quite the misogynist.",13,14,topic_stance_votes_2
14,Setting it straight,abortion,support,"And, I do not hesitate to add, a baby-hater as well.
What a life to wish on a baby! To be born to a woman who doesn't want the baby and views the baby as a punishment!
What a helllish life! To wish that on a poor, innocent little baby!",14,15,topic_stance_votes_2
