,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Why this inconsistency?,abortion,support,"The pro-life argument quite plainly revolves around the premise that fetuses are human beings, and therefore have a right to life. However, many (if not all) pro-lifers say that they will allow abortions in the ""extreme cases"" of rape or incest. Now, what does that imply? Rape/incest fetuses aren't human beings, while others are? Pro-lifers say that they don't want the government picking and choosing who has the right to life and who doesn't, but this sounds like picking and choosing to me.
I think this inconsistency effectively nullifies the pro-life argument. Of course, to get rid of the inconsistency, the pro-lifers can bring rape and incest babies into the sphere of protected beings. The result - a horribly unreasonable position I can't suport.",0,1,topic_stance_votes_2
1,Why this inconsistency?,abortion,support,"I find the same thing. I've met few people who had no abortion exceptions: pls usually agree with health abortions IME.
The rape and incest things is strange and comes down to the fact that she didn't willingly have sex. And? It's murder if you had consensual sex but not if you didn't? It doesn't make sense. On the other hand, if they are consistent and condemn abortions in those circumstances...I find that horrific. Just my opinion.
I'm pro-choice because I understand how traumatic an unwanted pregnancy is and because I think calling a zef a baby is absurd. Any unwanted pregnancy is traumatic, not just rape related ones.",1,2,topic_stance_votes_2
2,Why this inconsistency?,abortion,support,"Now that's just scary, I must say.",2,3,topic_stance_votes_2
3,Why this inconsistency?,abortion,attack,"Your right, it is inconsistent, I dont think any baby ought to get aborted.",1,4,topic_stance_votes_1
4,Why this inconsistency?,abortion,support,"I guess it's because some pro-lifers have been brainwashed (as well as many pro-abortionists) that aborting a baby conceived by rape or incest will heal, or be a help to the victim. 
I, myself, have come to the conclusion that abortions hurt much more than they heal. Not just phsyically (Side effects can occure months afterward) but psychologically as well. Guilt, depression, so forth. 
In my view, abortion is murder, one way or the other and rare extreme cases don't justify its legality. Even the rape victim gets a better chance than the baby does. They're at least alive while they kill their baby. That in itself will eat at the person for years until they find some way of forgiving themselves.
I believe these testimonies to be real, and I feel sorry for those victims who feel obligated because of family relations' repuations to kill their own child. It really is sad.",4,5,topic_stance_votes_1
5,Why this inconsistency?,abortion,support,"What I've been saying here, and after awhile - the guilt, depression, etc - will get buried, deeper & deeper - but no negative/damaging experiences leave people. They stay quietly in the background-computer base -
until, as you said: Hopefully, the person ""finds some way of forgiving themselves"", right. 
But what about in the mean-time? - And we know, from research & quite a number of Healers, that rot (inside a person) is damaging... and often in very unsuspecting ways.
Much better to life benevolently, in the first place.
Annie",5,6,topic_stance_votes_1
6,Why this inconsistency?,abortion,attack,I'm trying to understand why so many people are trying to create guilt and remorse where none exists.,6,7,topic_stance_votes_2
7,Why this inconsistency?,abortion,attack,"They should forgive themselves much quicker. I'd say, um, like 5 minutes after the abortion procedure. That's bound to drastically reduce the heartbreak of ""unsuspecting ways"", internal rot.
I'm laughing with you, I swear!",6,8,topic_stance_votes_2
8,Why this inconsistency?,abortion,attack,"I guess that is your opinion,so if you ever get raped don't get an abortion.The point is,is that it is a choice and not yours.If a women (girl) is molested or raped and doesn't feel comfortable keeping the baby who are you to decide that for them?Personally if I were raped and became pregnant I WOULD NOT keep the fetus,if someone else thought differently and they decided to keep a rape fetus more power to them,but don't expect everbody to feel the same as you do.The best person to make that choice is the one that has been through the rape/incest and has to live with the outcome.",5,9,topic_stance_votes_2
9,Why this inconsistency?,abortion,attack,"Do I have tell you exactly how many rape/incest victims are the ones who decide an abortion is neccessary? How many of them need to have counseling years afterwards because they had the abortion, not because they were a rape/incest victim? 
There are very few if any girls in the U.S. that would have an abortion after an experience like that. It's the family and relations that force them into it in order to keep the matter hush-hush. No doubt some of those reasons seem good, but abortion is an incorrect solution. The help a victim should get is a hug, some tears and comforting words so that they view their future life in a positive light. Instead, they bury them in words of ""GET AN ABORTION, YOU'LL FEEL BETTER LATER"". Yeah right.
Oh, I think I'll add that only 1% of abortions performed yearly are for rape/incest cases. And some years it may even drop lower than that. Should we keep abortion legal for just that 1%?",9,10,topic_stance_votes_1
