,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,life,abortion,support,"did anyone know that when you deliver a baby it starts crying even before you cut the cord?
Also, has anyone checked out the 4-D ultrasound? It is awesome. You can see babies smiling inside of the womb. I recommend that anyone thinking about getting an abortion first get an ultrasound.",0,1,topic_stance_votes_1
1,life,abortion,attack,"Anyone who has witnessed a birth knows this. So?
In the last trimester they smile, but not in response to stimuli. That doesn't happen until they're about 2 months old. Btw abortions are restricted in the third trimester.",1,2,topic_stance_votes_2
2,life,abortion,support,"What will happen if abortion is outlawed, is that wealthy women will be able to still get them, while poor women will be subjected to back alley abortions once again. Sounds like a great plan for the delusional christians.",2,3,topic_stance_votes_2
3,life,abortion,support,"I am against abortions past the first trimester (3 months) and that stage there isn't enough brains to even feel pain..Not connections.
Past 20 weeks and I have real issues with the procedure. The time limit to an abortion is 24 weeks, I'd like to see that backed off by 4 weeks.
I am pro-choice, but pushing into that 24th week gets way to human like and gray mater matters. Naturally there are exceptions in my mind regarding health risks and such.",3,4,topic_stance_votes_2
4,life,abortion,support,"And who makes the decision, Rich? That's the issue, as I see it. I don't believe the government has any business in a woman's body.",4,5,topic_stance_votes_2
5,life,abortion,attack,"So you must be against Medicare and Medicaid. I assume you would also be against nationalized healthcare. 
The government, rather the supreme court dictators, became involved in the woman's body in 1973. You must be against roe v. wade.",5,6,topic_stance_votes_1
6,life,abortion,support,"chloe,
Also, has anyone checked out the 4-D ultrasound? It is awesome. You can see babies smiling inside of the womb. I recommend that anyone thinking about getting an abortion first get an ultrasound.
I recommend that you keep your runny nose out of any decisions that the women in my family, or any other family but your own may choose to make regarding the future of their pregnancies.
There is no more guilt attached to removing a fetus than there is to removing a diseased gall bladder.:)",5,7,topic_stance_votes_2
7,life,abortion,support,"chloe,
A consistant pro-choice view is that a woman would be justified in killing a newborn baby, or ""allowing it to starve"" (to be politically incorrect) if she did not want to offer her bodily resources as nutrition and if there were no other options.
Exactly so!!
If there are ""no other options"" and it is a choice between the life of the mother or of the child, I vote for the mother every time.",7,8,topic_stance_votes_2
8,life,abortion,attack,"I believe your response here is either to bait, or just showing your ignorance.",6,9,topic_stance_votes_2
9,life,abortion,support,"Indeed the improved technology has a broad number of uses. Among them will be to make abortions even safer and more in control of the physician. Who knows maybe it will serve as a replacement for partial birth abortions now that the doc can see what he is doing in near real time! After all if you can see the skull etc maybe it can be ""deflated"" in place without pulling a leg down to assure the position of the fetus. Its a very good technology if thats the case!!!!emoticonXAgree",9,10,topic_stance_votes_2
