,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Ozone Depletion,climate change,support,Man made or natural?,0,1,topic_stance_votes_1
1,Ozone Depletion,climate change,support,are you joking?,1,2,topic_stance_votes_1
2,Ozone Depletion,climate change,support,I have a debate thing in one of my classes and I was just trying to get proof for it.,2,3,topic_stance_votes_1
3,Ozone Depletion,climate change,support,"man made: http://www.epa.gov/ozone/resource/public.html
this is the most basic site, but i'm sure there are many links abound.",3,4,topic_stance_votes_1
4,Ozone Depletion,climate change,support,"With global warming at least there is some debate. As far as ozone goes, there is no question that it is man made. Just see the comparison between the ozone hole's size change and CFC usage.",3,5,topic_stance_votes_1
5,Ozone Depletion,climate change,support,"emoticonXBouncer Of course it is man made. CFC is one of the culprits causing ozone hold destruction. After the Montreal Protocol placed a band on CFC, I believed it was mandated in the 90's the scientists notice that ozone hold seemed to be recovering.",1,6,topic_stance_votes_1
6,Ozone Depletion,climate change,attack,"The ""Hole"" in the Ozone layer was found in 1956 before CFC was being widely used......",6,7,topic_stance_votes_2
7,Ozone Depletion,climate change,attack,"Wow,,,very interesting.
Cant wait to see the replies to this.",7,8,topic_stance_votes_1
8,Ozone Depletion,climate change,attack,Noticably there hasn't been one for 2 and a half hours......,8,9,topic_stance_votes_2
9,Ozone Depletion,climate change,attack,"Still nothing,,,,guess they are gonna let it die",9,10,topic_stance_votes_1
10,Ozone Depletion,climate change,support,"It is interesting however to be expected. Of course no one here said that CFC's were the only cause of ozone depletion as you seem to think. What was brought up here was the direct link between strong ozone depletion and CFC's. So sure there will be ozone depletion without the use of CFC's but as shown in this thread so far, CFC's are a major offender in the battle to save the ozone. The CFC comparison also shows that man is the primary cause of ozone depletion.",8,11,topic_stance_votes_1
11,Ozone Depletion,climate change,attack,"They said CFC was the main culprit. So I went after CFC. If you want to come up with another ""reason"" then I'm waiting......",11,12,topic_stance_votes_2
12,Ozone Depletion,climate change,attack,In what way did you go after CFC's as far as it being a main culprit? You said nothing to show that CFC's are not a main if not the main culprit of ozone depletion. All you showed is that they are not the only culprit.,12,13,topic_stance_votes_1
13,Ozone Depletion,climate change,attack,"Well, where there's a ""Hole"" in the ozone layer would naturally state that there would be depletion of ozone there right? Following?
But, the main culprit for ozone depletion is CFC. But, the ""hole"" in the ozone layer was discovered years before CFC was largely used.
So it naturally follows that CFC did not create the hole in the ozone layer. Meaning come up with another culprit......
I'm bored.....I don't like science anyway, why am I part of this debate?",13,14,topic_stance_votes_2
14,Ozone Depletion,climate change,attack,"I'm no scientist either so I'll mention only what I can find proof of on the net. It seems that CFC's are products contain a certain amount of chlorine in them which is proven to cause ozone depletion. That would mean that any other product released into the air that contains any amount of chlorine would also cause ozone depletion particularly if they were not washed back down to earth by rain. Bromine is another element which creates ozone depletion and is found in particals called halons used in fire extinguishers before 1993. The manufacturing of stryrofoam was also found to release ozone depleting chemicals into the air as well as volcanic eruptions and the burning of fossil fuels.
This is what I could find during a quick search of the net. The one thing that I couldn't find that I would have liked to was a photo timeline of the ozone hole from the 1950's (estimated) to today. Anyways, I hope this is what you were looking for.",14,15,topic_stance_votes_1
15,Ozone Depletion,climate change,attack,"The fire extinguishers did it! I knew it! They called me crazy, but I was right! HAHAHAHA!!!!! 
::Runs off into the distance::
::Comes back::
Sorry, had to get some of that sarcasm out of my system.",15,16,topic_stance_votes_2
16,Ozone Depletion,climate change,attack,Sarcastic indeed. I guess you had no where else to go with your debate anyways.,16,17,topic_stance_votes_1
