,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Death sentence to expencive?,death penalty,support,Is it just me or does it seem like we could be saving alot of money by cutback expences on the death penealty. why do criminals have to die so humainly we could just kill them and be done with it. in fact we could just inject them with a massive amount on air and destroy there heart. it dosent last long and its almost costless.,0,1,topic_stance_votes_1
1,Death sentence to expencive?,death penalty,attack,"The actual killing isn't the expensive part. The making sure we don't ***k up is what costs the real money. It's pretty sad as it is, as there are a known 23 innocent people who have been executed, and likely far more. If you want to cut costs, you cut the process that ensures we don't execute the wrong person, but then again, I'm pretty sure everyone can figure out what that will do to the innocents to guilty execution ratios.",1,2,topic_stance_votes_2
2,Death sentence to expencive?,death penalty,support,I am trying to figure out if your serious or just pulling our legs.........can you elaborate? Thank you.......,1,3,topic_stance_votes_1
3,Death sentence to expencive?,death penalty,support,"A bullet doesn't cost much. Neither does a rope, and it can be re-used.
The expense is in the endless appeals. When President Garfield was assassinated, his killer was caught, tried, sentenced, executed and buried within six weeks. Back in the fifies, it was a national scandal that Caryl Chessman spent ten whole years (!) on death row in California before his execution. Now, a prisoner can routinely expect to spend twenty years on death row before the case is finalized. Since most of these convicts are broke by the time they are sentenced, the taxpayers foot the bill for the defense + the prosecution + the incarceration. It's a consequence of our judicial branch morphing from a justice system to a legal system.",1,4,topic_stance_votes_1
4,Death sentence to expencive?,death penalty,support,"I agree, the appeals process is way to long.......You want to cut the expense....Give 2 appeals and 2 years........If the case is not overturned then fry them............Th tawould cut the cost down a whole bunch........",4,5,topic_stance_votes_1
5,Death sentence to expencive?,death penalty,attack,"For obvious reasons. Do you know the current rate of release? DNA is exonerateing about 1-2 death row inmates every month. 
The taxpayers, actually counties percisely pay for all of the procesution and often for the defense lawyer. Convicts usually don't pay for their own defenses unless they are very rich. There's no real way to get around that: unless you want to kill more innocent people. It's called due process.
So VOR, you would send a innocent man do die?
You do know that DNA tech as well as other technologies take time to develop. Usually more then two years. 
Would you condemn the 216 or so freed prisoners to death merely because their 2 years ran out before their DNA could be tested? 
Not to mention that every DNA lab in the US is backlogged, often for months or years. You would condemn a man merely because the process to prove he might just be innocent is jammed up? 
Sadistic.
What exactly makes you think you can win a death penalty argument when you have failed every single time in the past in at least 10 different threads?",4,6,topic_stance_votes_2
6,Death sentence to expencive?,death penalty,attack,"Do you support abortion also? And should we "" stone at the gates of the city"" those who preform lewd acts befor god?",5,7,topic_stance_votes_2
7,Death sentence to expencive?,death penalty,attack,"[QUOTE=Voice Of Reason] ......then fry them............[QUOTE]
My father was a big, tough man, a twice wounded veteran of WWII, former Cop. When I asked him what the worst thing he ever witnessed was, he answered that it was an execution (electrocution). He said that he had seen a lot of bad things - bodies blown apart, maggots crawling out of a dead man's eyes, but the most barbaric thing he ever saw was a man being killed (fried) by the state.
Dono",5,8,topic_stance_votes_2
8,Death sentence to expencive?,death penalty,attack,"No I am strongly against the murder of innocent, defenseless babies in the womb unless the mother's life is endangered.....
The difference is your criminal friends have murdered and raped and committed other barbaric crimes against other human beings..........That baby that you want to butcher in the womb committed no crime against anyone......",7,9,topic_stance_votes_1
9,Death sentence to expencive?,death penalty,attack,"That would also create alot more mistakes and end up sending alot more innocent people to die.You have to get the story straight and make sure that the person being ""executed"" deserves it, and not some innocent man that was killed because people dont want to spend a few more dollers to put the right man there.
So would it cut down costs. IT sure would as VOR pointed out. However there is more then 1 side.",5,10,topic_stance_votes_2
10,Death sentence to expencive?,death penalty,attack,"It's funny, i didn't expect you to be pro-death because of your strong abortion feelings, not saying that a fetus is a criminal by any means, just saying that i didn't expect you to feel that way.",5,11,topic_stance_votes_2
11,Death sentence to expencive?,death penalty,attack,I'm not aware of any friends I have that are criminals. But my point remaines ... if you wouldn't kill an innocent baby why rush and perhaps kill a innocent adult?,9,12,topic_stance_votes_2
12,Death sentence to expencive?,death penalty,support,Well said.,12,13,topic_stance_votes_2
13,Death sentence to expencive?,death penalty,attack,"I should have qualified that...I am talking about cases where there is no doubt of guilt........Eye witnesses, etc........When there is any doubt of guilt the death penalty should not be applicable.........DNA will also sort out the problem too.......",10,14,topic_stance_votes_1
14,Death sentence to expencive?,death penalty,attack,I just have no pity for someone that rapes and murders someone.....That is just me though.......,11,15,topic_stance_votes_1
15,Death sentence to expencive?,death penalty,attack,"aAnd this is the problem with this whole issue. I'm shure that ,hopfully most if not all, of the poeple who sat on the jury of thos innocents killed thought they had arrived at the truth, the whole truth, and nothing but the truth",14,16,topic_stance_votes_2
16,Death sentence to expencive?,death penalty,attack,What do you not understand about eye witnessess and blood evidence?,16,17,topic_stance_votes_1
17,Death sentence to expencive?,death penalty,attack,"I'm sure all those who sat on a jury that sent a person to be killed and later discovered they were innocent believed they had arrived at "" The truth, the whole truth, and nothing but the truth "" ... this is the problem with this issue. Just where do we draw the line on the value of an innocent persons life?",14,18,topic_stance_votes_2
18,Death sentence to expencive?,death penalty,attack,"Why can't we lock them up for life, then?
That would still be a just punishment, AND it gives us a chance to compensate the accused if he is later found innocent, AND it costs less.",15,19,topic_stance_votes_2
19,Death sentence to expencive?,death penalty,support,"You may have something here. The origanal idea of this post was ... let's cut costs. It would acutally be cheaper in the long run. We wouldn't incur those legal fees , or the price of paying the bill for the person that has to do the killing. And all the while they are free to pursue thier not guilty appeal. ( of course they should have to pay for it. ) This wuold save us from having to place a price on an innocent personsons life.",19,20,topic_stance_votes_2
20,Death sentence to expencive?,death penalty,attack,"Because there is always a chance down the road that some liberal judge will feel sorry for them and turn them loose to rape and murder again........It has happened many times.......
You have to undertand the people I am talking about........People that have eye witnessess to the crime.............Where their DNA is found at the crime scene......Where there is a 100 percent surety that they committed the crime........",19,21,topic_stance_votes_1
21,Death sentence to expencive?,death penalty,attack,"That would mean a large number of current death row inmates shouldn't be executed: Including Scott Peterson. His entire conviction was based upon circumantial evidence. 
Alone cannot condemn a man for obvious reasons. 
Problem is that every DNA lab in the US is backlogged 
What do you not understand? Eye witness testimonies depend on the mood of the testifier, and they often change. Blood evidence required DNA. DNA testing requires the lab. Problem is the lab is backlogged with requests for such data. 
Name one. Name one who was released from a life sentence with no chance of parole. Please say Horton. I'd love to show everyone how ignornat you are and how you basically lie about history to make your arguments.
you cannot win this argument, you have lost every  death penatly debate you engaged on WS, here and PWH",14,22,topic_stance_votes_2
22,Death sentence to expencive?,death penalty,attack,Again just where do we place the value of an innocent persons life. How valuable is life and who decides which life is to take . Sounds like a god complex to me. The debate was about costs.,21,23,topic_stance_votes_2
23,Death sentence to expencive?,death penalty,attack,Willie Horton. Now go ahead and show everyone how ignorant you are. Please. :p,22,24,topic_stance_votes_1
24,Death sentence to expencive?,death penalty,attack,Is this really going to spiral to who is more dumber than who? I thought we were going to debate thie issue of reducing costs?,24,25,topic_stance_votes_2
25,Death sentence to expencive?,death penalty,attack,"Not trying to pick a fight here, just curious: How do you feel about providing heroic (and extremely expensive) medical treatment - like heart and/or lung transplants, or bypass surgery - for those who are serving life without parole? Do we have an obligation to do it, or should we simply lock them up for their natural life span?",20,26,topic_stance_votes_1
26,Death sentence to expencive?,death penalty,attack,"When you say natural I wonder what that really means. I mean nature didn't acutally create these life saving procedures we have today, although it is natural for our species to develope them. Are biggest problem is we haven't found a way to provide them affordably. I my self am like millions of other americans who can not afforb health insurance, it may seem surprising but I own my own company. So given the light of how our society is based in regard to this issue, ... screw'em if they can't afford it ... I would have to say let them at least live with the same indignity I do. I think at least if they are innocent they would be happier as I am living without that safety net than being killed because we don't think they should have a right to fight for thier lives leagally.",26,27,topic_stance_votes_2
