,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Guilty!  Should he die?,death penalty,support,"REDWOOD CITY, Calif. — Scott Peterson has been found guilty of first-degree murder in the death of his wife Laci, and second-degree murder in the death of their unborn son, Conner. 
Peterson could face the death penalty or life without parole.
Which should he get?
I say KILL THE BASTARD!",0,1,topic_stance_votes_1
1,Guilty!  Should he die?,death penalty,attack,What if the jury is wrong?,1,2,topic_stance_votes_2
2,Guilty!  Should he die?,death penalty,support,"/hypothetical mode on.
The State murders an innocent man.
/hypothetical mode off.",2,3,topic_stance_votes_2
3,Guilty!  Should he die?,death penalty,attack,"Collateral damage. :p 
Just from what I've read and heard in the news, I know he's guilty.
The bleeding hearts will always ask whether the jury was correct. This is why appeals go on forever. This is why some guilty parties eventually get off on a technicality. He may yet get off Scott free.",2,4,topic_stance_votes_1
4,Guilty!  Should he die?,death penalty,attack,"I'm sure he's guilty, but I am against the death penalty. But on another note, I wonder whether he wouldn't rather be sentenced to death than put with the general prison population. To put it lightly, he's not going to have a very good time if he is put with them.",4,5,topic_stance_votes_2
5,Guilty!  Should he die?,death penalty,support,"I don't care much either way, as long as he never walks around loose again. But life in prison is going to cost the taxpayers hundreds of thousands of dollars. That money could be better spent in the war on terror.",1,6,topic_stance_votes_1
6,Guilty!  Should he die?,death penalty,support,"That's why I say, ""Kill the bastard!""",6,7,topic_stance_votes_1
7,Guilty!  Should he die?,death penalty,support,"I agree, put him out of our misery. emoticonXKill",7,8,topic_stance_votes_1
8,Guilty!  Should he die?,death penalty,attack,"First of all, death penalty cases usually cost more than keeping a prisoner alive for his life.
http://www.deathpenaltyinfo.org/arti...did=108&scid=7
Then, how much money should spend on the war on terror? Should we bankrupt the country to do it? Is it necessary to spend so much that we go bankrupt, or is it better to wisely spend the money we have and to fight an intellegent war against terror?",6,9,topic_stance_votes_2
9,Guilty!  Should he die?,death penalty,support,"If this case had not gotten the publicity that it did, would that had made a difference?
Was Peterson on trial or the murder of an unborn child - pro/con - on trial?
My feelings aside, let him do his time.",9,10,topic_stance_votes_2
10,Guilty!  Should he die?,death penalty,support,I say let him rot in prison. Why should he get off so easy as to have what he did die with him in the short 10-15 years it would take to submit to the death penalty. Let him live on and just hope that his cell-mates know what he did and punish him even further.,10,11,topic_stance_votes_2
