,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Should CRIMINALS have the right to choose DEATH over a LIFE sentence?,death penalty,support,"Do you think that a criminal that faces life in prison should have the right to choose to be put to death instead?
If yes, why?
If not, why not?",0,1,topic_stance_votes_2
1,Should CRIMINALS have the right to choose DEATH over a LIFE sentence?,death penalty,attack,"No.
Criminals that are sentenced to life forfeit all rights that they might have had or want to have.
Death as an escape mechanism for punishment should not be allowed.",1,2,topic_stance_votes_1
2,Should CRIMINALS have the right to choose DEATH over a LIFE sentence?,death penalty,support,"I agree entirely. Death is a much kinder sentence than life in prison, if you are sentenced to life, you should get to suffer for the whole bit.",2,3,topic_stance_votes_1
3,Should CRIMINALS have the right to choose DEATH over a LIFE sentence?,death penalty,attack,"Funny how people who are ""for"" capital punishment don't see it that way...",3,4,topic_stance_votes_2
4,Should CRIMINALS have the right to choose DEATH over a LIFE sentence?,death penalty,attack,"I am ""for"" capital punishment... but if a criminal shows a desire for death over a life sentence, I prefer to be sadistic.",4,5,topic_stance_votes_1
5,Should CRIMINALS have the right to choose DEATH over a LIFE sentence?,death penalty,support,I am also for capital punishment and believe that the criminals should serve the sentences passed down to them. I don't believe we should do anything in our legal system just for the sake of being sadistic though. That term would suggest corruption in our legal system and that is one thing that both criminals and lawabiding citizens don't want to have.,5,6,topic_stance_votes_1
6,Should CRIMINALS have the right to choose DEATH over a LIFE sentence?,death penalty,support,"I suppose I am less of an ""eye for an eye"" person and more of an ""eye and both your legs for an eye"" person when it comes to dealing with those deserving of capital punishment.
That's just my personal opinion though, and I can see your point about the corruption of the legal system.",6,7,topic_stance_votes_1
7,Should CRIMINALS have the right to choose DEATH over a LIFE sentence?,death penalty,support,"Yes, they should be able to choose.
but only in countries in which capital punishment is legal ;) .
@WorldTraveller:
I see your point, but don´t you think that a criminal whose offer to be executed got denied will take any chance to show his environment that a lifetime sentence was wrong? He had nothing to lose anyway so he could attack any guards or prisoners walking by. In that case I would rather give in and grant his wish.",7,8,topic_stance_votes_1
8,Should CRIMINALS have the right to choose DEATH over a LIFE sentence?,death penalty,support,"Sure they should be able to pick death. One less prisoner to guard. Actually, I think the idea of life with no chance of parole is a waste of money as well. Simple, fast, economical execution could control the prison population, and save vast amounts of money. As you might have guessed, I am very pro-capital punishment. 
By the way, just out of curiosity, does anyone here (without looking it up on the internet), know how many legal methods of execution there are in the US? Can you name them?",8,9,topic_stance_votes_1
9,Should CRIMINALS have the right to choose DEATH over a LIFE sentence?,death penalty,support,"Lethal injection is the common method now. The gas chamber is in use occasionally, as well as hanging can be chosen (was it Washington?). The electric chair certainly is still written down in the laws of some states as might be firing squads.
But the vast majority are executed by lethal injections.",9,10,topic_stance_votes_1
