,title,topic,stance,comment,parent_id,comment_id,viewpoint
0,Could God really exist?,evolution,support,"I am starting this thread because I have asked this one question many times and I have never gotten a satisfying answer. In fact, the only answer I got was, ""That strays to far from the topic of this thread.""
I intend to get an answer this time.
Here's the question: how can a benevolent, omnipotent god exist in a universe with so much unhappiness?",0,1,topic_stance_votes_2
1,Could God really exist?,evolution,support,"Not a bad question, but why is it in the C/E forum?",1,2,topic_stance_votes_2
2,Could God really exist?,evolution,support,"Diest Answer: God's not here and hasn't been for 15 billion years
Christian Answer: Suffering and unhappiness are the methods for God to test the faith of its followers.",2,3,topic_stance_votes_2
3,Could God really exist?,evolution,support,"I want an answer from at least one of the two people I have asked it to: marc and supersport.
I suppose I could ask it in the religion forum too, but that would be redundant. The question does involve the C part of this forum...",2,4,topic_stance_votes_2
4,Could God really exist?,evolution,attack,"I'm going to give an Anglican answer: I don't really know. :p
However, it's worth remembering that unhappiness is relative, and doesn't always have a real cause. In my experience when we are unhappy is when we come to rely on God, and hence draw closer to him (the old poem, ""Footprints"", gives some idea what I mean), so maybe that is part of the purpose. Unhappiness can also inspire great acts of compassion.",4,5,topic_stance_votes_1
5,Could God really exist?,evolution,support,"Firstly, you have to start thinking on the epic scale of the omnipotent being (i.e spanning the full extent of the universe, as well as those that might precede and survive it) something that seems to cause the suffering of several billion people might lead to creation of something that will benefit countless billions upon billions. What we might consider benevolent now, might not be in the grand scheme of things.
Now with regards to the omnipotent thing, you need to firstly clarify what sort of omnipotence you are talking about, whether we have a being who can do anything that is possible (which might boil down to a human) or something that can make four sided triangles.
Assuming we are talking near-true omnipotence, we suddenly encounter a being that can end itself and the entirity of creation. This deity might have a philosophical problem with making a perfect world - as such a universe would be without purpose, in just existing to exist it renders any good pointless. The deity then has to decide whether it would prefer a universe where more good than bad happens and whether it is willing to consider an ammoral universe as 'good' (i.e does a universe need more good than bad to be 'good', or is an equal balance acceptable). Is a life of suffering better or worse than oblivion? 
On top of this, just because a entity is benevolent and omnipotent does't mean it knows how to use its own powers. It might be omniscient with regards to its created universe but as it exists outside the universe it might have no idea what it has to do to create total perfection (if it even knows what it is).
The set of three god powers aren't exactly defined. Will an all good deity settle for balance or neutrality? Can an all powerful being break its own rules? Doesn't the all knowing entity need to be truely omnipotent or is otherwise going to be unaware of everything that holds its own information.
They are nice words, but pretty much all are logical impossibilities anyway (seeing as 'good' is completely subjective).",5,6,topic_stance_votes_1
6,Could God really exist?,evolution,attack,"Simple. God isn't a control freak. You will get a more comprehensive discussion of the following in Chapter 7 of Kenneth Miller's Finding Darwin's God.
Basically, our lives have to have meaning. That is, what we choose has to have real consequences. That includes how we treat our fellow human beings -- including acts that cause unhappiness -- and how we react to what happens to us. Do we react with grace, compassion, and courage? Or do we react with selfishness and cowardice? 
So God created a real universe with real consequences. And isn't a puppet master that manipulates both the universe and us so that only nicey-nice things can happen to us.",1,7,topic_stance_votes_1
7,Could God really exist?,evolution,support,"1. I agree that the 3 omni's are either logical impossibilities or the data shows them not to be true. They are human extrapolations from revelation that God is VERY powerful, VERY knowing, and VERY present. The extrapolations don't seem to be accurate.
2. I disagree that ""good"" is completely subjective. Studies in philosophy back that up. I am one of those that answer Plato's question -- ""Is something good because God commands it or does God command it because it is good"" -- with ""God commands it because it is good.""",6,8,topic_stance_votes_1
8,Could God really exist?,evolution,support,This is honestly a stupid question. What part of benevolent and omnipotent is a synonym of mercy?,6,9,topic_stance_votes_1
9,Could God really exist?,evolution,support,"emoticonXConfused ""Footprints"" doesn't say that at all! The poem says that God helped the person thru the unhappy times, not what you imply -- that closeness to God caused the unhappiness. 
The people I have known that are close to God are generally happy.",5,10,topic_stance_votes_1
